orf	hap a | replicative lifespan (relative abundance in pool counterselected for derepression of HML locus) | YPD [standard], time [6 d] | Ghavidel A~Harkness TAA, 2015	hap a | replicative lifespan (relative abundance in pool counterselected for derepression of HML locus) | YPD [standard], time [16 d] | Ghavidel A~Harkness TAA, 2015
YAL013W	7.416414161687262	12.452240010257519
YAL028W	9.398386911793342	8.956874393343128
YAR002C-A	18.34923158969176	9.924341662310503
YBR084C-A	5.6901798309497105	11.984110686563627
YBR115C	6.713133508423815	7.86457263805738
YCL001W	6.4573950890552885	11.359938254971771
YCR084C	16.431193444427812	8.863248528604348
YDL033C	4.731160758317737	8.925665771763533
YDL136W	6.649198903581683	7.396443314363489
YEL011W	2.8131226130537894	10.642139958641138
YER097W	9.590190726319737	10.392470986004396
YER174C	5.1147683873705265	8.738414042285978
YFL044C	5.562310621265447	9.081708879661498
YGR034W	7.352479556845131	8.738414042285978
YGR080W	1.086888282316237	9.081708879661498
YGR084C	5.562310621265447	8.42632782649005
YGR227W	6.777068113265947	11.422355498130957
YGR254W	4.539356943791342	9.11291750124109
YGR260W	1.342626701684763	7.240400206465524
YIL014W	6.649198903581683	11.266312390232992
YJR075W	14.19348227495321	9.799507175992133
YJR113C	15.47217437179584	8.863248528604348
YJR153W	6.265591274528894	10.017967527049281
YJR154W	4.219683919580684	8.488745069649237
YKL063C	4.859029968002	10.642139958641138
YKL077W	3.5164032663172367	9.11291750124109
YLL042C	6.201656669686763	7.271608828045117
YLR046C	12.019705710320736	10.142802013367653
YLR185W	10.54920979895171	7.739738151739009
YLR260W	8.631171653687764	11.203895147073807
YML018C	10.293471379583185	7.677320908579824
YMR086W	12.978724782952709	9.737089932832948
YMR251W-A	18.73283921874455	10.174010634947246
YMR311C	5.818049040633974	9.268960609139056
YMR319C	0.7672152581055789	9.861924419151318
YNL045W	4.859029968002	7.677320908579824
YNL322C	3.452468661475105	10.049176148628876
YNR014W	4.283618524422816	7.677320908579824
YNR037C	5.6901798309497105	9.144126122820685
YOR064C	6.201656669686763	7.646112287000231
YOR320C	8.247564024634974	7.770946773318602
YPL006W	25.5099073320105	9.643464068094168
YPL057C	7.608217976213657	9.081708879661498
YPL137C	1.2147574920005	8.519953691228828
YPL177C	4.47542233894921	8.800831285445163
YPL181W	7.480348766529394	7.646112287000231
YPL203W	7.608217976213657	10.423679607583988
YPR037C	13.04265938779484	12.296196902359554
YPR073C	12.722986363584184	8.894457150183943
YPR122W	17.07053949284913	10.174010634947246
YPR156C	6.329525879371026	9.861924419151318
