orf	hom | growth (colony size) | gamma-irradiation [80 Krads] | Bennett CB~Resnick MA, 2001
YAL021C	-3.0269870502546983
YAL035W	-9.080961150764095
YBL006C	-3.0269870502546983
YBL031W	-3.0269870502546983
YBL079W	-3.0269870502546983
YBR200W	-9.080961150764095
YCL005W-A	-3.0269870502546983
YCL016C	-9.080961150764095
YCL029C	-3.0269870502546983
YCL037C	0.0
YCR009C	-6.0539741005093965
YCR020W-B	-9.080961150764095
YCR066W	-9.080961150764095
YCR071C	-3.0269870502546983
YCR077C	-3.0269870502546983
YDL106C	-3.0269870502546983
YDL115C	-6.0539741005093965
YDL116W	-9.080961150764095
YDL151C	-6.0539741005093965
YDL160C	-9.080961150764095
YDR004W	-9.080961150764095
YDR014W	-9.080961150764095
YDR076W	-9.080961150764095
YDR092W	-3.0269870502546983
YDR129C	-6.0539741005093965
YDR138W	-6.0539741005093965
YDR149C	0.0
YDR195W	-3.0269870502546983
YDR207C	-6.0539741005093965
YDR217C	-9.080961150764095
YDR226W	-3.0269870502546983
YDR264C	-6.0539741005093965
YDR359C	-9.080961150764095
YDR364C	-6.0539741005093965
YDR369C	-9.080961150764095
YDR386W	-6.0539741005093965
YDR388W	-6.0539741005093965
YDR433W	-6.0539741005093965
YEL033W	-3.0269870502546983
YEL072W	-6.0539741005093965
YER044C	0.0
YER095W	-9.080961150764095
YFR001W	-6.0539741005093965
YGL019W	-3.0269870502546983
YGL058W	-9.080961150764095
YGL070C	-6.0539741005093965
YGL084C	0.0
YGL087C	-3.0269870502546983
YGL240W	-3.0269870502546983
YGL244W	-6.0539741005093965
YGL246C	-3.0269870502546983
YGR020C	-3.0269870502546983
YGR036C	-3.0269870502546983
YGR056W	-9.080961150764095
YGR135W	-3.0269870502546983
YGR165W	-3.0269870502546983
YGR167W	-6.0539741005093965
YGR184C	-3.0269870502546983
YGR229C	-3.0269870502546983
YGR285C	-3.0269870502546983
YHL031C	-9.080961150764095
YHR011W	-6.0539741005093965
YHR013C	-6.0539741005093965
YHR064C	-3.0269870502546983
YHR081W	-3.0269870502546983
YHR183W	-3.0269870502546983
YHR191C	-9.080961150764095
YJL005W	-3.0269870502546983
YJL073W	-6.0539741005093965
YJL080C	-6.0539741005093965
YJL092W	-9.080961150764095
YJL095W	-3.0269870502546983
YJL115W	-6.0539741005093965
YJL127C	-6.0539741005093965
YJL146W	-3.0269870502546983
YJL158C	-3.0269870502546983
YJL159W	-3.0269870502546983
YJL179W	-3.0269870502546983
YJL183W	-3.0269870502546983
YJL188C	-6.0539741005093965
YJL193W	-3.0269870502546983
YJR043C	-6.0539741005093965
YJR090C	-9.080961150764095
YJR105W	-6.0539741005093965
YJR113C	-3.0269870502546983
YKL009W	-6.0539741005093965
YKL054C	-9.080961150764095
YKL057C	-9.080961150764095
YKL073W	-3.0269870502546983
YKL113C	-6.0539741005093965
YKL114C	-3.0269870502546983
YKL119C	-3.0269870502546983
YKL138C	-3.0269870502546983
YKR082W	-9.080961150764095
YLL002W	-3.0269870502546983
YLR056W	0.0
YLR226W	-9.080961150764095
YLR233C	-3.0269870502546983
YLR235C	-6.0539741005093965
YLR242C	0.0
YLR288C	-6.0539741005093965
YLR320W	-6.0539741005093965
YLR322W	-6.0539741005093965
YLR357W	-3.0269870502546983
YLR403W	-9.080961150764095
YLR435W	-6.0539741005093965
YML009C-A	-6.0539741005093965
YML009W-B	-3.0269870502546983
YML012C-A	-3.0269870502546983
YML014W	-3.0269870502546983
YML032C	-9.080961150764095
YML095C	-3.0269870502546983
YML103C	-3.0269870502546983
YMR032W	-3.0269870502546983
YMR060C	-6.0539741005093965
YMR190C	-3.0269870502546983
YMR205C	-3.0269870502546983
YMR293C	-3.0269870502546983
YNL225C	-3.0269870502546983
YNL250W	-9.080961150764095
YNR068C	-6.0539741005093965
YOR196C	-3.0269870502546983
YOR198C	-6.0539741005093965
YOR216C	0.0
YOR221C	-3.0269870502546983
YOR258W	0.0
YOR368W	-6.0539741005093965
YPL008W	-9.080961150764095
YPL022W	-6.0539741005093965
YPL055C	-3.0269870502546983
YPL066W	-3.0269870502546983
YPL071C	-3.0269870502546983
YPL106C	-6.0539741005093965
YPL129W	-9.080961150764095
YPL193W	-3.0269870502546983
YPL254W	-6.0539741005093965
YPR131C	-9.080961150764095
YPR135W	-9.080961150764095
