ORF	hom | growth (colony size) | gamma-irradiation [80 Krads] | Bennett CB~Resnick MA, 2001
YPL022W	-2.000
YML095C	-1.000
YGL058W	-3.000
YCR066W	-3.000
YNL250W	-3.000
YDR369C	-3.000
YER095W	-3.000
YML032C	-3.000
YDR076W	-3.000
YDR004W	-3.000
YKL113C	-2.000
YDR138W	-2.000
YJL092W	-3.000
YKL114C	-1.000
YDR386W	-2.000
YGL087C	-1.000
YMR190C	-1.000
YJR043C	-2.000
YLL002W	-1.000
YDR217C	-3.000
YOR368W	-2.000
YLR288C	-2.000
YLR403W	-3.000
YDL116W	-3.000
YKL057C	-3.000
YKR082W	-3.000
YBL079W	-1.000
YML103C	-1.000
YGR056W	-3.000
YJL115W	-2.000
YLR357W	-1.000
YHR013C	-2.000
YPR131C	-3.000
YLR233C	-1.000
YJL127C	-2.000
YDL160C	-3.000
YPL008W	-3.000
YPR135W	-3.000
YHR191C	-3.000
YPL129W	-3.000
YCR077C	-1.000
YJL080C	-2.000
YCL029C	-1.000
YDR359C	-3.000
YKL054C	-3.000
YHL031C	-3.000
YGR020C	-1.000
YKL119C	-1.000
YOR216C	0.000
YJL183W	-1.000
YGR167W	-2.000
YJR090C	-3.000
YGR184C	-1.000
YGR135W	-1.000
YNR068C	-2.000
YDR092W	-1.000
YGL240W	-1.000
YLR226W	-3.000
YDR364C	-2.000
YFR001W	-2.000
YGL070C	-2.000
YGL244W	-2.000
YKL009W	-2.000
YGL246C	-1.000
YAL021C	-1.000
YDR195W	-1.000
YDL106C	-1.000
YGL019W	-1.000
YPL254W	-2.000
YBR200W	-3.000
YDR264C	-2.000
YOR198C	-2.000
YCR009C	-2.000
YDR388W	-2.000
YMR032W	-1.000
YJL179W	-1.000
YNL225C	-1.000
YDR129C	-2.000
YJR113C	-1.000
YKL138C	-1.000
YMR293C	-1.000
YDR226W	-1.000
YOR196C	-1.000
YOR221C	-1.000
YCR071C	-1.000
YHR038W	-1.000
YMR060C	-2.000
YPL106C	-2.000
YJL159W	-1.000
YJL158C	-1.000
YHR064C	-1.000
YJL095W	-1.000
YKL073W	-1.000
YCL005W-A	-1.000
YGR036C	-1.000
YGR229C	-1.000
YAL035W	-3.000
YPL193W	-1.000
YCL037C	0.000
YHR011W	-2.000
YEL033W	-1.000
YDR207C	-2.000
YJL146W	-1.000
YJL073W	-2.000
YGR285C	-1.000
YER044C	0.000
YLR056W	0.000
YGL084C	0.000
YLR242C	0.000
YCR020W-B	-3.000
YJR105W	-2.000
YBL031W	-1.000
YMR205C	-1.000
YHR183W	-1.000
YBL006C	-1.000
YCL016C	-3.000
YDR014W	-3.000
YDR149C	0.000
YDR433W	-2.000
YDL115C	-2.000
YDL151C	-2.000
YEL072W	-2.000
YGR165W	-1.000
YHR081W	-1.000
YJL188C	-2.000
YJL193W	-1.000
YLR235C	-2.000
YLR320W	-2.000
YLR322W	-2.000
YLR435W	-2.000
YML009C-A	-2.000
YML009W-B	-1.000
YML012C-A	-1.000
YML014W	-1.000
YOR258W	0.000
YPL055C	-1.000
YPL066W	-1.000
YPL071C	-1.000
