orf	hap a (post-SGA) | growth (colony size) | expression of human TDP-43 [GAL] | SC - Leu, Gal [2%] | Armakola M~Gitler AD, 2012	hap a (post-SGA) | growth (colony size) | expression of human TDP-43 [GAL] | SC - Ura, Gal [2%] | Armakola M~Gitler AD, 2012
YBL090W		-0.7846175004362825
YBL091C		-0.08046840392678734
YBL091C-A	0.024495000000000045	0.14350110599217553
YBL093C	0.667353	
YBL094C		-0.2518374742327154
YBL095W		-0.1011295646568604
YBL096C		-0.1390985829202167
YBL098W	-1.451944	0.22509023484895258
YBL099W		-0.8044378209264029
YBL100C		-0.8272295610118154
YBL100W-C	0.090217	
YBL101C	1.341284	-0.010738809225675022
YBL102W		0.13996468203254542
YBL103C		5.616060007356733
YBL104C	1.1033089999999999	-0.518671816424485
YBL106C		-0.0997030922526348
YBL107C	-0.640596	-0.09218282336192535
YBR001C	-0.369979	-0.1905237757870443
YBR003W		-0.8155248830488946
YBR005W	0.115663	-0.3010460226339737
YBR006W	-0.09256	0.15386466018233813
YBR007C	-0.161452	-0.058805686356022596
YBR008C		0.020149749190022243
YBR009C	-0.402135	0.20162984995130462
YBR010W	1.91403	0.16216187295538534
YBR012C	0.970261	0.09216785064956615
YBR013C		-0.1554022070655135
YBR014C	-0.945094	0.21486669405745634
YBR015C	0.630657	-0.11418665191461982
YBR016W	-0.74185	0.1047623316011925
YBR018C		-0.7802173109952448
YBR019C	1.029698	-0.7451357187101402
YBR020W	-0.836868	-0.7228344185099772
YBR021W	5.484827	0.39059797288559706
YBR022W	-0.692664	0.09813025078481247
YBR023C	-0.784323	-0.12080288452158422
YBR024W	-0.041941	-0.40753626406298793
YBR025C	1.125684	-0.29371397677901706
YBR026C	3.926413	-0.7128061355143007
YBR027C	-0.687653	0.22947737818525116
YBR028C	0.018647	0.3495434659315482
YBR030W	-0.710838	-0.23600902359597994
YBR031W	1.306275	0.7629662920209888
YBR032W		0.5408020045801694
YBR033W	0.35479	0.23004234844105148
YBR034C	1.122748	0.36585902179806346
YBR035C		2.1395080303625083
YBR036C		0.41919626918354086
YBR037C		-1.0
YBR040W	-0.486694	0.0058111201655396405
YBR041W	0.152962	-0.11529140224350862
YBR042C		-0.18015023435035937
YBR043C	-1.079255	0.2139984417927152
YBR044C	0.239335	0.3422931071235106
YBR045C	0.61726	0.3731032937174381
YBR046C	0.561112	0.20080467572981103
YBR047W	1.466867	0.27621516095336635
YBR048W	3.08867	1.6220613458237398
YBR050C	0.902674	0.2053385537266198
YBR051W	1.302953	0.05144024501718342
YBR052C	2.025092	0.0439772357170293
YBR053C	-0.798501	-0.06821090923716275
YBR054W	0.517163	-0.2892459954175458
YBR056W	0.879578	-0.33294611517946615
YBR056W-A	-0.007387	
YBR057C	-1.362125	-0.036740523813079934
YBR058C	0.61805	-0.5202272432287529
YBR058C-A	2.008228	
YBR059C	-1.63861	0.29913523865863884
YBR061C	-0.349123	0.23661431932384053
YBR062C	0.11665	
YBR063C		0.29583674292123224
YBR064W		-0.06967533498050546
YBR065C		0.17660914494541258
YBR066C	0.725499	0.4089362319256424
YBR067C		-0.14190009736859377
YBR068C	-1.007578	-0.03628283393046772
YBR069C	0.676849	1.2153638853736854
YBR071W	-0.387571	-0.10023789522783633
YBR072C-A	0.295825	
YBR072W		-0.08229018941544525
YBR073W	-0.045981	0.360526502894876
YBR074W	-0.6576146666666667	-0.005379497732841319
YBR076W	-1.090303	-0.1285437024137228
YBR077C	-0.377397	0.543370355863166
YBR078W	0.536291	0.15323034963805507
YBR081C	0.24855	-1.0
YBR082C	0.120311	0.33234141968629327
YBR083W		0.03505383620707528
YBR084C-A	3.322556	1.760601043812108
YBR084W	3.603002	-0.5589441237881019
YBR085C-A	-1.229303	
YBR085W		1.6415249794022921
YBR089C-A	0.271085	-0.18232259260148773
YBR090C	0.497046	-0.2072186014418192
YBR092C	-0.190447	-0.08914875861245816
YBR093C	1.224355	0.2843262269689157
YBR094W	-0.191335	0.10671892960794854
YBR095C	0.64059	-0.35522101550844387
YBR097W		
YBR098W	0.628861	0.23746498588455883
YBR099C	-0.203983	0.27468420108362335
YBR101C		
YBR103W	2.588748	1.277468325293405
YBR104W	-2.271381	-0.29323376651022226
YBR105C	-0.144921	-0.1739657092946299
YBR106W	-1.642261	0.1301563864583818
YBR107C	0.547606	0.039821467813340644
YBR108W	0.832113	-0.17431160030452708
YBR111C	0.700548	-0.4641505834980271
YBR111W-A	-3.233718	
YBR112C	-0.676591	
YBR113W	0.503253	0.011696491950359461
YBR114W	-0.137127	0.4180421224560137
YBR115C		-1.0
YBR116C	-0.2188	0.014227860424416428
YBR119W	1.077055	0.01604164076576181
YBR120C	4.654975	-0.8042983491010468
YBR121C		-0.5171812597867315
YBR122C	5.604915	-0.31759317514823426
YBR125C	0.378759	0.16132636315615767
YBR126C	-0.479639	-0.10290890754134174
YBR127C		-0.48459457516793625
YBR128C	-0.106139	-0.15818141560391444
YBR129C	0.860653	-0.5792884972788077
YBR130C		0.05245981277922773
YBR131W	-0.301345	-0.5349491977177246
YBR132C	0.066916	0.10402890567133122
YBR133C	-1.036784	
YBR134W	-0.176522	0.3474648547254366
YBR137W	-0.314866	0.07448255067292842
YBR138C	0.653045	0.055270038150556394
YBR139W	0.043581	-0.014452407777246767
YBR141C		-0.37921108018502303
YBR144C	-0.258147	-0.11504064971630745
YBR145W	1.093211	0.0031068742485657053
YBR146W	1.041383	0.5571324345894881
YBR147W	-0.311998	0.10953705116694296
YBR148W		0.24070743129405053
YBR149W	0.633508	0.24413069450695046
YBR150C	-0.832365	-0.16164199794829154
YBR151W	0.547256	0.29316162658080547
YBR156C	0.789228	0.3380406669095879
YBR157C	0.6506945	0.02821228497749928
YBR158W	-0.148643	0.10743343231554167
YBR159W	0.614533	0.23186715679410247
YBR161W	1.118438	-0.10639947322973578
YBR162C	-1.94235	-0.259087374989744
YBR162W-A	-0.781922	-0.1823564725190055
YBR163W	-1.206634	-1.0
YBR164C	-0.627645	0.24843796235767637
YBR165W	1.047414	0.2561110909169591
YBR166C	-0.702752	0.5774033902890858
YBR168W	0.927258	0.914297967034404
YBR169C	0.634428	-0.040542947534269874
YBR170C	0.797523	0.5565615295660518
YBR171W	-0.22344	-0.38060179810068245
YBR172C	-0.972856	0.3723570806280653
YBR173C	0.682654	0.29391605790387565
YBR174C	3.772802	-0.509301914877177
YBR175W	3.748845	-0.44340228248573466
YBR176W	0.502676	-0.1573353300811563
YBR177C	0.430952	-0.02300552500250344
YBR178W		0.04163805672517787
YBR179C	5.287342	-0.7371696777921788
YBR180W	-0.948741	0.2744993857126398
YBR181C	2.488257	1.29297748041941
YBR182C	0.161571	0.16377379613330428
YBR182C-A		
YBR183W		0.0379501486607631
YBR184W	-0.342918	0.036296003632121654
YBR185C	0.445504	-0.5266489704116823
YBR186W	-0.832423	0.06812390209116889
YBR187W	1.221829	-0.2691973553995546
YBR188C		-0.22506675717438476
YBR189W	3.149869	1.618695943975092
YBR191W	-1.447929	0.6497161002437027
YBR194W	1.546118	-0.23105513488322946
YBR195C	1.979865	0.09066100443412384
YBR196C-A	1.01759	
YBR196C-B	1.149013	
YBR197C	-0.200728	-0.12648425631701724
YBR199W	0.166154	-0.031981374732685114
YBR200W		-0.44261837740438453
YBR200W-A	-1.164238	
YBR201W	-0.3663425	0.3717046495874282
YBR203W		-0.055509260894345214
YBR204C	1.766693	0.06639251965076742
YBR205W	0.846069	0.04153056952837467
YBR206W	0.204709	0.016597506455347938
YBR207W		-0.23783599013239168
YBR208C	-0.724106	-0.08618264287926286
YBR209W		0.0009890036154404092
YBR210W	-0.816211	-0.01011366232454794
YBR212W	0.099424	-0.30386117615838426
