orf	hap a | formation of nuclear extensions (Pus1-GFP) | standard [standard] | Witkin KL~Cohen-Fix O, 2012
YBR026C	11.405512451692571
YBR221C	11.405512451692571
YCL029C	11.405512451692571
YDL013W	11.405512451692571
YDR076W	11.405512451692571
YDR314C	11.405512451692571
YDR378C	11.405512451692571
YEL061C	11.405512451692571
YER095W	11.405512451692571
YGL163C	11.405512451692571
YGR101W	11.405512451692571
YHR004C	11.405512451692571
YHR067W	11.405512451692571
YHR154W	11.405512451692571
YHR191C	11.405512451692571
YJL047C	11.405512451692571
YJL124C	11.405512451692571
YJR043C	11.405512451692571
YKL113C	11.405512451692571
YLL002W	11.405512451692571
YLR032W	11.405512451692571
YLR079W	11.405512451692571
YLR234W	11.405512451692571
YML032C	11.405512451692571
YMR078C	11.405512451692571
YMR179W	11.405512451692571
YMR190C	11.405512451692571
YMR198W	11.405512451692571
YNL147W	11.405512451692571
YNR051C	11.405512451692571
YOR196C	11.405512451692571
YOR221C	11.405512451692571
YPR135W	11.405512451692571
YPR141C	11.405512451692571
YPR164W	11.405512451692571
