orf	hom | growth (pooled culture, barseq) | hypoculoside [2.7 uM] | YPD, 25 mM HEPES, pH 6.8, DMSO | Alfatah M~Arumugam P, 2019
YAL002W	-7.871262970214308
YAL004W	0.32058759230729394
YAL005C	0.2297866315052253
YAL007C	0.3082989212896686
YAL008W	-0.39998259040244116
YAL009W	-0.2132840437946583
YAL010C	0.7783076492580829
YAL011W	-2.344214496226434
YAL013W	-2.201134546728747
YAL014C	-1.5033407769130431
YAL015C	0.5915898432568549
YAL017W	0.2627573792853417
YAL018C	-1.210931227756395
YAL019W	0.6732375092547974
YAL020C	-1.3989755051542585
YAL021C	-2.546431889414652
YAL022C	-0.10064927950694759
YAL023C	0.5637299311903605
YAL024C	0.6010011294910722
YAL026C	-0.707368963084548
YAL029C	0.30741301358006257
YAL030W	-0.5392259161518127
YAL031C	-1.0487516678440842
YAL034C	-0.5930327141640581
YAL036C	-0.2221067674942632
YAL037W	-0.0309579688721968
YAL040C	0.9116773266468536
YAL042C-A	-1.0716187125391246
YAL042W	-1.6579615454948347
YAL044C	-0.23422718321640984
YAL045C	0.43450480992496804
YAL046C	0.839054014195802
YAL048C	1.0210619106291055
YAL049C	-0.5128128327221336
YAL051W	-0.2835768250752692
YAL053W	0.01687677387779457
YAL054C	0.49828102144697983
YAL055W	0.06535153811036555
YAL056C-A	-0.5079540470881171
YAL056W	0.5481444344600243
YAL058W	-0.7057381057242571
YAL059W	0.7933288395360689
YAL060W	-0.34125821036969084
YAL061W	-0.9359186992872892
YAL062W	0.38244797401368225
YAL064C-A	0.19570257036886476
YAL065C	-0.07283804251650865
YAL066W	0.17245864490734367
YAL067C	-0.48196892717397494
YAL068C	-0.4226247780747494
YAR002C-A	-0.17475071156988622
YAR003W	-0.13202063897702582
YAR014C	-0.9864333600973421
YAR015W	1.512763479411024
YAR018C	-0.5400979472705797
YAR020C	0.17256027186372186
YAR023C	1.037579664257257
YAR027W	-0.43199725058700456
YAR028W	-0.5015386738262955
YAR029W	0.12480812732987373
YAR030C	-0.2907968923928513
YAR031W	0.06827784683872923
YAR035W	-0.12548299327185142
YAR042W	-2.324953044619697
YAR047C	-0.29282449271534267
YBL001C	-0.8099341972894205
YBL002W	0.1564402000121573
YBL005W	-0.5290665485722652
YBL006C	-0.4970931600179356
YBL007C	-1.5179475437006307
YBL008W	-0.6410379954451552
YBL009W	-0.4320097116890227
YBL010C	-0.3764834276708031
YBL011W	0.3974725013872394
YBL012C	1.6673896237168728
YBL013W	-0.22155082783146637
YBL015W	-0.7502759352202285
YBL019W	-1.0418825376774812
YBL021C	-0.5409456557869663
YBL022C	-2.7086570742115907
YBL024W	0.07842751718727439
YBL028C	-0.5975029133669368
YBL029W	0.6492900182392566
YBL031W	-0.922275406023064
YBL032W	0.1978588498166078
YBL036C	-0.4696478832229262
YBL037W	0.05605488505312924
YBL042C	-0.7153406905870276
YBL045C	-0.2111489884692907
YBL046W	-4.641421553854729
YBL048W	0.31777819590270606
YBL049W	-1.0869442451376183
YBL051C	-2.458615014863696
YBL052C	-0.48799885118763237
YBL053W	0.3349265550208654
YBL054W	-0.1644392665107208
YBL055C	0.34171497770361
YBL056W	0.09558950827257212
YBL057C	-0.08507614037069965
YBL059W	-0.5540602730932597
YBL060W	-0.15931560936764458
YBL061C	0.8423180805721839
YBL062W	0.09804592150941205
YBL063W	1.7964538741412879
YBL064C	0.2513272231180165
YBL066C	-0.20819518456415098
YBL067C	-1.5123328095191892
YBL068W	0.31383865015446555
YBL069W	0.2708481920619437
YBL070C	0.20395835205395055
YBL071C	-2.367399630651061
YBL072C	-4.9796805832818665
YBL078C	-0.3729193688622009
YBL081W	0.6350043346674995
YBL082C	-0.32750789982175244
YBL083C	-0.3561635118667187
YBL085W	-0.15237523865597163
YBL086C	0.03579203763943787
YBL087C	-0.7511390008968709
YBL088C	0.19766226511597013
YBL089W	-0.36253491173183766
YBL090W	-1.895607897168612
YBL091C	0.40762608079980406
YBL091C-A	0.12430613305169395
YBL094C	0.3516828363639212
YBL096C	0.4277073466613251
YBL098W	0.09617794461481532
YBL102W	0.5257422455489453
YBL103C	0.6460114583116449
YBL104C	-0.7848500268434798
YBL106C	-0.733149234770585
YBL107C	0.27384943609358564
YBR001C	-0.09573410061452071
YBR005W	-0.4093923024505158
YBR007C	0.2519452405178282
YBR008C	-0.21380603851883614
YBR009C	-0.5911490859332679
YBR013C	0.21388972829260003
YBR016W	0.6183817558080634
YBR018C	0.7997217907907294
YBR019C	0.4739595577894128
YBR020W	0.06077364660296186
YBR022W	0.48285303935307505
YBR023C	-0.28733696731068187
YBR024W	1.0168339744093569
YBR026C	-3.5109081232188655
YBR027C	-0.5398420917980337
YBR028C	-0.5986876510872264
YBR030W	-0.9112222383081191
YBR031W	-0.20868792896935923
YBR032W	0.6206214631278593
YBR033W	0.5532318611711298
YBR034C	0.39494005545841043
YBR036C	-4.501222314229885
YBR037C	0.9604451931670541
YBR040W	-1.0325151781017157
YBR041W	-0.4954410887823562
YBR042C	-0.6283118390782763
YBR043C	-0.3727880408926024
YBR045C	0.5352203978072511
YBR048W	-1.7848858890928248
YBR050C	0.08478878175522055
YBR051W	-0.4110874675683477
YBR052C	0.09137448421375904
YBR053C	0.22379667173222922
YBR056W	-1.882377422483134
YBR058C	0.308676288989253
YBR062C	0.6035536025620426
YBR063C	0.03237147208812184
YBR064W	0.18904137295006193
