orf	het | growth (culture turbidity) | nelfinavir [10 uM] | SC + G418 [200 ug/ml] + DMSO | Shim JS~Liu JO, 2012
YAL005C	0.385
YBR101C	0.38333333333333336
YDL191W	0.4
YDR077W	0.38666666666666666
YER157W	0.44666666666666666
YFL008W	0.36333333333333334
YGR191W	0.1835
YGR223C	0.21
YJL166W	0.38833333333333336
YKL077W	0.39499999999999996
YLR185W	0.48166666666666663
YLR197W	0.46
YML073C	0.5
YML111W	0.475
YNL110C	0.4666666666666667
YNL169C	0.35333333333333333
YOR096W	0.3416666666666667
