orf	het | growth (culture turbidity) | nelfinavir [10 uM] | SC + G418 [200 ug/ml] + DMSO | Shim JS~Liu JO, 2012
YAL005C	15.820316209396594
YBR101C	15.7518299920399
YDL191W	16.43669216560685
YDR077W	15.888802426753289
YER157W	18.354306251594316
YFL008W	14.929995383759556
YGR191W	7.540332530972142
YGR223C	8.629263386943595
YJL166W	15.957288644109985
YKL077W	16.231233513536765
YLR185W	19.792516816084913
YLR197W	18.90219599044788
YML073C	20.545865207008564
YML111W	19.518571946658135
YNL110C	19.17614085987466
YNL169C	14.519078079619385
YOR096W	14.039674558122519
