orf	hom | growth (relative abundance in pooled culture) | time [5 generations], Chitosan oligosaccharide [91.1 ug/ml] | Jaime MD~Nislow C, 2012	het | growth (relative abundance in pooled culture) | time [20 generations], Chitosan oligosaccharide [91.1 ug/ml] | Jaime MD~Nislow C, 2012
YAL004W	0.20526229763444492	
YAL005C	0.3709606791217934	
YAL007C	-0.29888384178450894	
YAL008W	-0.13201029447100907	
YAL009W	-3.3543149897781688	
YAL011W	0.025461926233279537	
YAL012W	-2.3648253641586834	
YAL013W	0.439120297038575	
YAL014C	0.6988319446180361	
YAL015C	-0.1684404350817027	
YAL016W	-3.0487718749788026	
YAL017W	0.2910494029434976	
YAL018C	-0.35529180143977657	
YAL019W	0.16765699119759983	
YAL020C	-0.7701253380712234	
YAL022C	0.05601623771321613	
YAL023C	0.4696746085185116	
YAL024C	0.586016025307501	
YAL026C	-0.6749369061529594	
YAL027W	-0.14611228438482599	
YAL028W	-0.12965996281870626	
YAL029C	0.17940864945911392	
YAL030W	0.8010713714932086	
YAL031C	-0.3200368266552343	
YAL034C	0.03838875032094501	
YAL035W	-1.3318546029715963	
YAL036C	-0.15668877682018867	
YAL037W	-0.9005687447740297	
YAL042C-A	-1.965268983267205	
YAL042W	-1.310701618100871	
YAL044C	0.3145527194665258	
YAL045C	-0.00979304855126269	
YAL046C	0.45087195530008906	
YAL047C	-1.3459565928854131	
YAL048C	0.14532884050072312	
YAL049C	-0.3223871583075371	
YAL051W	-0.15668877682018867	
YAL054C	-0.1378861236017661	
YAL055W	0.7611157334040607	
YAL056C-A	0.032512921190187984	
YAL056W	0.0665927301485788	
YAL058W	0.6330226583535573	
YAL059W	-0.15551361099403724	
YAL060W	0.05249074023476191	
YAL061W	0.09244637832390977	
YAL062W	-0.025070204291230993	
YAL064C-A	-0.8277084635526424	
YAL065C	0.22876561415747304	
YAL066W	1.6859712385852186	
YAL067C	0.40504048808018417	
YAL068C	0.05836656936551895	
YAR002C-A	0.6083441760043777	
YAR003W	-2.458838630250796	
YAR014C	0.1888099760683252	
YAR015W	0.08422021754084992	
YAR020C	0.280472910508135	
YAR023C	-0.21662223395391042	
YAR028W	0.10654836823772665	
YAR029W	0.24521793572359274	
YAR030C	0.12182552397769497	
YAR031W	0.3051513928573145	
YAR035W	-0.10145598299107249	
YAR042W	-1.9911226314425359	
YAR047C	0.02898742371173376	
YAR050W	0.40269015642788136	
YBL001C	-0.02036954098662536	
YBL002W	0.6059938443520749	
YBL003C	-0.05209901829271337	
YBL005W	0.4191424779940011	
YBL006C	-2.7514549209624963	
YBL007C	0.18058381528526532	
YBL008W	0.5390093922614446	
YBL009W	0.14885433797917733	
YBL011W	1.087811833074152	
YBL012C	1.0607830190726697	
YBL013W	0.24051727241898715	
YBL015W	0.08657054919315274	
YBL017C	1.6248626156253452	
YBL019W	0.9456167681098318	
YBL021C	0.4203176438201525	
YBL022C	-2.3095925703295674	
YBL028C	0.6189206684397404	
YBL029W	0.8657054919315359	
YBL031W	-1.8712557171750923	
YBL032W	0.7775680549701804	
YBL036C	0.6647521356596453	
YBL037W	0.025461926233279537	
YBL039C	1.3157940033475253	
YBL043W	-0.07442716898959012	
YBL044W	0.14650400632687452	
YBL046W	-4.064115148773619	
YBL047C	0.44852162364778625	
YBL048W	-0.18489275664782243	
YBL049W	-0.31533616335062864	
YBL051C	-0.806555478681917	
