ORF	het | growth (relative abundance in pooled culture) | time [20 generations], Chitosan oligosaccharide [91.1 ug/ml] | Jaime MD~Nislow C, 2012	hom | growth (relative abundance in pooled culture) | time [5 generations], Chitosan oligosaccharide [91.1 ug/ml] | Jaime MD~Nislow C, 2012
YBL036C	0.530	NaN
YBL037W	-0.014	NaN
YBL039C	1.084	NaN
YBL040C	NaN	0.861
YBL041W	NaN	-2.446
YBL043W	-0.099	NaN
YBL044W	0.089	NaN
YBL046W	-3.494	NaN
YBL047C	0.346	NaN
YBL048W	-0.193	NaN
YBL049W	-0.304	NaN
YBL050W	NaN	1.124
YBL051C	-0.722	NaN
YBL052C	-1.300	NaN
YBL053W	-0.523	NaN
YBL055C	-0.072	NaN
YBL056W	-0.292	NaN
YBL057C	0.113	NaN
YBL059W	-0.392	NaN
YBL060W	0.296	NaN
YBL061C	0.309	NaN
YBL062W	0.254	NaN
YBL063W	0.464	NaN
YBL064C	-0.436	NaN
YBL066C	0.161	NaN
YBL067C	0.463	NaN
YBL068W	0.009	NaN
YBL069W	-0.044	NaN
YBL070C	0.337	NaN
YBL071C	-1.080	NaN
YBL072C	-0.948	NaN
YBL073W	-1.220	NaN
YBL074C	NaN	-0.164
YBL075C	0.036	NaN
YBL076C	NaN	-0.443
YBL077W	-1.338	NaN
YBL078C	-0.520	NaN
YBL079W	0.567	NaN
YBL081W	0.514	NaN
YBL083C	-2.930	NaN
YBL084C	NaN	1.838
YBL085W	0.517	NaN
YBL086C	-0.509	NaN
YBL087C	-0.364	NaN
YBL088C	0.351	NaN
YBL089W	-0.302	NaN
YBL091C-A	-0.177	NaN
YBL091C	0.020	NaN
YBL092W	NaN	-3.081
YBL094C	-0.223	NaN
YBL095W	-0.117	NaN
YBL096C	-0.234	NaN
YBL097W	NaN	-0.174
YBL098W	0.405	NaN
YBL099W	-0.867	NaN
YBL101C	-0.301	NaN
YBL102W	0.758	NaN
YBL103C	-0.003	NaN
YBL104C	-1.539	NaN
YBL105C	NaN	-0.023
YBL106C	-0.311	NaN
YBL107C	-0.434	NaN
YBR001C	-0.340	NaN
YBR002C	NaN	-0.101
YBR003W	-0.094	NaN
YBR005W	-0.155	NaN
YBR006W	-0.003	NaN
YBR007C	-0.261	NaN
YBR008C	-0.273	NaN
YBR009C	0.479	NaN
YBR010W	0.023	NaN
YBR011C	NaN	-1.156
YBR012C	-0.195	NaN
YBR013C	-0.523	NaN
YBR014C	-0.622	NaN
YBR015C	-0.172	NaN
YBR016W	-0.001	NaN
YBR018C	0.134	NaN
YBR019C	-0.747	NaN
YBR020W	0.573	NaN
YBR021W	0.469	NaN
YBR022W	0.165	NaN
YBR023C	-0.056	NaN
YBR024W	0.180	NaN
YBR025C	0.475	NaN
YBR026C	0.381	NaN
YBR027C	-1.995	NaN
YBR028C	-1.456	NaN
YBR029C	NaN	2.785
YBR030W	0.183	NaN
YBR031W	-0.311	NaN
YBR032W	0.269	NaN
YBR033W	0.259	NaN
YBR034C	-0.725	NaN
YBR035C	1.070	NaN
YBR036C	-3.182	NaN
YBR037C	0.272	NaN
YBR038W	NaN	-0.238
YBR039W	0.137	NaN
YBR040W	0.640	NaN
YBR041W	-1.085	NaN
YBR043C	0.131	NaN
YBR044C	0.432	NaN
YBR045C	-0.564	NaN
YBR046C	0.356	NaN
YBR047W	-0.330	NaN
YBR048W	-2.135	NaN
YBR050C	0.259	NaN
YBR051W	0.107	NaN
YBR052C	0.104	NaN
YBR053C	0.140	NaN
YBR054W	-0.224	NaN
YBR055C	NaN	-1.466
YBR056W	0.287	NaN
YBR058C	1.166	NaN
YBR059C	0.420	NaN
YBR060C	NaN	-0.534
YBR061C	-1.068	NaN
YBR062C	-0.339	NaN
YBR063C	0.276	NaN
YBR064W	-0.002	NaN
YBR065C	0.278	NaN
YBR066C	-0.077	NaN
YBR067C	-0.069	NaN
YBR068C	-0.264	NaN
YBR069C	-0.155	NaN
YBR070C	NaN	-0.157
YBR071W	-0.484	NaN
YBR072W	0.033	NaN
YBR073W	0.222	NaN
YBR074W	0.061	NaN
YBR076W	-0.180	NaN
YBR077C	-1.810	NaN
YBR078W	0.081	NaN
YBR079C	NaN	-2.631
YBR080C	NaN	0.604
YBR082C	-0.179	NaN
YBR083W	-0.365	NaN
YBR084C-A	0.220	NaN
YBR084W	-0.008	NaN
YBR085W	-0.062	NaN
YBR087W	NaN	-0.471
YBR088C	NaN	-0.126
YBR089W	0.021	NaN
YBR089C-A	-0.644	NaN
YBR090C	-1.189	NaN
YBR091C	NaN	-0.612
YBR092C	-0.539	NaN
YBR093C	-0.454	NaN
YBR094W	-0.062	NaN
YBR095C	0.706	NaN
YBR098W	0.118	NaN
YBR099C	-0.244	NaN
YBR101C	0.820	NaN
YBR102C	NaN	0.593
YBR103W	1.240	NaN
YBR104W	-0.476	NaN
YBR105C	0.475	NaN
YBR106W	-2.572	NaN
YBR108W	0.967	NaN
YBR109C	NaN	-2.120
YBR110W	NaN	-2.656
YBR113W	0.125	NaN
YBR114W	0.643	NaN
YBR115C	-0.073	NaN
YBR116C	0.013	NaN
YBR119W	-0.562	NaN
YBR120C	0.656	NaN
YBR121C	NaN	0.729
YBR123C	NaN	0.921
YBR124W	-1.196	NaN
YBR125C	0.075	NaN
YBR126C	-0.029	NaN
YBR128C	1.088	NaN
YBR129C	-0.215	NaN
YBR130C	0.456	NaN
YBR131W	1.030	NaN
YBR134W	0.239	NaN
YBR135W	NaN	-1.165
YBR136W	NaN	-0.584
YBR137W	0.145	NaN
YBR138C	0.380	NaN
YBR139W	-0.088	NaN
YBR140C	NaN	0.182
YBR141C	0.162	NaN
YBR142W	NaN	-0.683
YBR143C	NaN	-0.126
YBR144C	0.311	NaN
YBR145W	-0.349	NaN
YBR146W	0.238	NaN
YBR147W	0.168	NaN
YBR148W	0.081	NaN
YBR150C	0.177	NaN
YBR151W	0.010	NaN
YBR152W	NaN	-0.356
YBR153W	NaN	-1.180
YBR155W	NaN	-1.026
YBR156C	0.099	NaN
YBR157C	-0.162	NaN
YBR158W	0.734	NaN
YBR159W	0.371	NaN
YBR160W	NaN	0.059
YBR161W	-0.330	NaN
YBR162C	1.617	NaN
YBR162W-A	-2.483	NaN
YBR163W	0.027	NaN
YBR164C	-4.686	NaN
YBR165W	0.056	NaN
YBR167C	NaN	-0.166
YBR169C	-0.634	NaN
YBR171W	-0.706	NaN
YBR172C	0.002	NaN
YBR173C	-0.266	NaN
YBR174C	-1.683	NaN
YBR175W	-1.086	NaN
YBR176W	-0.043	NaN
YBR177C	-1.040	NaN
YBR178W	0.142	NaN
YBR180W	0.097	NaN
YBR181C	-1.586	NaN
YBR182C	0.120	NaN
YBR183W	-0.232	NaN
YBR184W	-0.180	NaN
YBR185C	0.077	NaN
YBR186W	-0.272	NaN
YBR187W	-0.231	NaN
YBR188C	0.865	NaN
YBR189W	-1.543	NaN
YBR190W	0.812	NaN
YBR191W	0.342	NaN
YBR192W	NaN	-0.299
YBR193C	NaN	-0.854
YBR194W	0.833	NaN
YBR195C	1.885	NaN
YBR196C	NaN	-0.136
YBR197C	0.178	NaN
YBR198C	NaN	-0.628
YBR199W	-1.971	NaN
YBR200W	-1.699	NaN
YBR201W	0.632	NaN
YBR203W	0.150	NaN
YBR204C	-0.621	NaN
YBR205W	-0.481	NaN
YBR206W	-1.027	NaN
YBR207W	0.028	NaN
YBR208C	0.142	NaN
YBR210W	-0.349	NaN
YBR211C	NaN	0.818
YBR212W	-0.170	NaN
YBR213W	0.036	NaN
YBR214W	-0.061	NaN
YBR216C	0.296	NaN
YBR217W	-0.838	NaN
YBR218C	-0.249	NaN
YBR219C	0.609	NaN
YBR220C	0.178	NaN
YBR221C	-0.164	NaN
YBR222C	0.666	NaN
YBR223C	0.098	NaN
YBR224W	0.477	NaN
YBR226C	-0.054	NaN
YBR227C	0.228	NaN
YBR228W	0.051	NaN
YBR229C	0.103	NaN
YBR230C	0.340	NaN
YBR231C	0.259	NaN
YBR232C	-0.262	NaN
YBR233W	-0.123	NaN
YBR234C	NaN	0.514
YBR235W	-0.379	NaN
YBR236C	NaN	-0.047
YBR237W	NaN	-1.330
YBR238C	-0.641	NaN
YBR239C	0.155	NaN
YBR240C	-0.204	NaN
YBR241C	0.224	NaN
YBR242W	0.764	NaN
YBR243C	NaN	0.075
YBR244W	-1.682	NaN
YBR245C	0.159	NaN
YBR246W	-2.729	NaN
YBR247C	NaN	-2.718
YBR248C	-0.896	NaN
YBR249C	0.805	NaN
YBR250W	0.280	NaN
YBR251W	0.579	NaN
YBR252W	NaN	-1.578
YBR253W	NaN	0.436
YBR254C	NaN	2.077
YBR255W	-0.145	NaN
YBR256C	NaN	-1.365
YBR257W	NaN	-3.534
YBR258C	0.513	NaN
YBR259W	0.171	NaN
YBR260C	0.492	NaN
YBR261C	-0.315	NaN
YBR262C	-0.086	NaN
YBR263W	0.283	NaN
YBR264C	0.270	NaN
YBR265W	NaN	-0.243
YBR266C	-1.423	NaN
YBR267W	0.028	NaN
YBR268W	0.137	NaN
YBR269C	0.923	NaN
YBR270C	0.221	NaN
YBR271W	-0.098	NaN
YBR272C	-0.053	NaN
YBR273C	-0.655	NaN
YBR275C	-0.631	NaN
YBR276C	-0.008	NaN
YBR277C	0.283	NaN
YBR278W	0.793	NaN
YBR279W	-0.633	NaN
YBR280C	0.394	NaN
YBR281C	0.470	NaN
YBR282W	1.507	NaN
YBR283C	-1.194	NaN
YBR284W	0.331	NaN
YBR285W	-0.169	NaN
YBR286W	0.577	NaN
YBR287W	-0.822	NaN
YBR288C	0.836	NaN
YBR289W	0.882	NaN
YBR290W	0.136	NaN
YBR291C	0.284	NaN
YBR292C	1.154	NaN
YBR293W	-0.197	NaN
YBR294W	-0.148	NaN
YBR295W	0.004	NaN
YBR297W	0.257	NaN
YBR298C	0.526	NaN
YBR299W	-0.229	NaN
YBR300C	0.603	NaN
YBR301W	-0.336	NaN
YCL001W-A	0.301	NaN
YCL001W	0.824	NaN
YCL002C	0.643	NaN
YCL004W	NaN	-1.008
YCL005W	-2.193	NaN
YCL006C	-0.023	NaN
YCL008C	-3.091	NaN
YCL009C	0.058	NaN
YCL010C	-1.875	NaN
YCL011C	0.217	NaN
YCL014W	-0.127	NaN
YCL013W	0.241	NaN
YCL016C	-0.241	NaN
YCL017C	NaN	-1.424
YCL022C	0.115	NaN
YCL023C	-0.229	NaN
YCL024W	0.098	NaN
YCL025C	0.131	NaN
YCL026C-A	0.713	NaN
YCL026C	0.521	NaN
YCL027W	0.008	NaN
YCL028W	-0.188	NaN
YCL029C	-0.237	NaN
YCL030C	-0.017	NaN
YCL031C	NaN	0.369
YCL032W	0.294	NaN
YCL033C	-0.118	NaN
YCL034W	-0.075	NaN
YCL035C	-0.067	NaN
YCL036W	-0.849	NaN
YCL037C	0.993	NaN
YCL038C	0.378	NaN
YCL039W	-0.388	NaN
YCL040W	-0.346	NaN
YCL041C	-0.467	NaN
YCL042W	-0.283	NaN
YCL043C	NaN	0.118
YCL044C	0.368	NaN
YCL045C	1.535	NaN
YCL046W	0.936	NaN
YCL047C	0.402	NaN
YCL048W	0.126	NaN
YCL049C	-0.319	NaN
YCL050C	0.433	NaN
YCL051W	-0.388	NaN
YCL052C	NaN	-0.963
YCL053C	-0.291	NaN
YCL054W	NaN	0.466
YCL055W	-0.634	NaN
YCL056C	0.223	NaN
YCL057W	-0.586	NaN
YCL058C	0.022	NaN
YCL059C	NaN	-0.211
YCL061C	0.567	NaN
YCL063W	0.566	NaN
YCL064C	0.912	NaN
YCL069W	0.052	NaN
YCL074W	-0.127	NaN
YCL075W	0.079	NaN
YCL076W	-0.292	NaN
YCR001W	0.305	NaN
YCR002C	-0.363	NaN
YCR003W	-1.464	NaN
YCR004C	0.834	NaN
YCR005C	-0.014	NaN
YCR006C	0.242	NaN
YCR008W	-1.475	NaN
YCR009C	1.018	NaN
YCR010C	-0.053	NaN
YCR011C	0.055	NaN
YCR012W	NaN	-1.414
YCR013C	-1.328	NaN
YCR014C	-0.137	NaN
YCR015C	-0.308	NaN
YCR016W	0.151	NaN
YCR017C	-0.288	NaN
YCR019W	0.387	NaN
YCR020C-A	-1.169	NaN
YCR020C	-0.230	NaN
YCR020W-B	-1.942	NaN
YCR021C	0.086	NaN
YCR022C	0.256	NaN
YCR023C	-0.125	NaN
YCR024C-A	1.374	NaN
YCR024C	0.481	NaN
YCR025C	1.028	NaN
YCR026C	-1.082	NaN
YCR027C	0.936	NaN
YCR028C-A	0.293	NaN
YCR028C	0.138	NaN
YCR030C	0.470	NaN
YCR031C	-2.533	NaN
YCR032W	0.283	NaN
YCR033W	-0.448	NaN
YCR034W	1.839	NaN
YCR035C	NaN	1.273
YCR036W	-0.002	NaN
YCR037C	0.419	NaN
YCR043C	0.112	NaN
YCR044C	-0.103	NaN
YCR045C	0.252	NaN
YCR046C	-0.126	NaN
YCR047C	-2.214	NaN
YCR048W	0.912	NaN
YCR049C	0.341	NaN
YCR050C	0.791	NaN
YCR051W	0.723	NaN
YCR052W	NaN	0.599
YCR053W	-0.160	NaN
YCR054C	NaN	-3.002
YCR057C	NaN	-0.640
YCR059C	0.336	NaN
YCR060W	0.263	NaN
YCR061W	-0.278	NaN
YCR063W	-0.751	NaN
YCR065W	0.454	NaN
YCR066W	-0.203	NaN
YCR067C	-0.024	NaN
YCR068W	0.412	NaN
YCR069W	-0.327	NaN
YCR072C	NaN	-0.933
YCR073C	-0.511	NaN
YCR073W-A	0.274	NaN
YCR075C	-0.172	NaN
YCR076C	0.063	NaN
YCR077C	-2.326	NaN
YCR079W	-2.205	NaN
YCR081W	-1.457	NaN
YCR082W	0.202	NaN
YCR083W	-0.163	NaN
YCR085W	0.453	NaN
YCR086W	0.030	NaN
YCR087C-A	-0.205	NaN
YCR087W	-0.097	NaN
YCR088W	0.123	NaN
YCR089W	0.242	NaN
YCR090C	-0.008	NaN
YCR091W	-0.090	NaN
YCR092C	0.004	NaN
YCR093W	NaN	-0.963
YCR094W	0.469	NaN
YCR095C	-2.020	NaN
YCR098C	1.224	NaN
YCR099C	-0.081	NaN
YCR100C	-0.045	NaN
YCR101C	0.592	NaN
YCR102C	-0.132	NaN
YCR102W-A	0.280	NaN
YCR105W	0.037	NaN
YCR106W	-0.067	NaN
YDL001W	0.309	NaN
YDL002C	-0.877	NaN
YDL003W	NaN	-2.396
YDL004W	NaN	-0.884
YDL006W	-2.419	NaN
YDL007W	NaN	-2.172
YDL008W	NaN	1.366
YDL009C	0.835	NaN
YDL010W	0.830	NaN
YDL011C	0.850	NaN
YDL012C	-0.168	NaN
YDL013W	-0.818	NaN
YDL014W	NaN	-1.869
YDL015C	NaN	-2.181
YDL016C	-0.839	NaN
YDL017W	NaN	-1.394
YDL018C	-1.624	NaN
YDL019C	-0.051	NaN
YDL020C	-0.923	NaN
YDL021W	-2.291	NaN
YDL022W	0.155	NaN
YDL023C	-0.826	NaN
YDL024C	0.089	NaN
YDL025C	1.269	NaN
YDL026W	0.074	NaN
YDL027C	-0.148	NaN
YDL028C	NaN	-1.164
YDL029W	NaN	2.393
YDL030W	NaN	-1.059
YDL031W	NaN	0.535
YDL032W	0.183	NaN
YDL033C	-2.709	NaN
YDL034W	0.274	NaN
YDL035C	0.069	NaN
YDL036C	0.036	NaN
YDL037C	0.162	NaN
YDL039C	0.356	NaN
YDL040C	-0.539	NaN
YDL041W	-2.079	NaN
YDL043C	NaN	-1.047
YDL044C	-0.186	NaN
YDL045C	NaN	-0.986
YDL045W-A	-1.229	NaN
YDL046W	0.032	NaN
YDL047W	-0.795	NaN
YDL048C	-0.679	NaN
YDL049C	-0.056	NaN
YDL050C	-0.710	NaN
YDL051W	-1.090	NaN
YDL052C	-1.272	NaN
YDL053C	-0.371	NaN
YDL054C	0.284	NaN
YDL055C	NaN	-0.748
YDL056W	-0.831	NaN
YDL057W	-0.440	NaN
YDL058W	NaN	-0.475
YDL059C	-0.190	NaN
YDL060W	NaN	-3.769
YDL061C	-0.147	NaN
YDL062W	0.549	NaN
YDL063C	-0.094	NaN
YDL064W	NaN	-1.946
YDL065C	1.395	NaN
YDL066W	-3.037	NaN
YDL067C	-0.039	NaN
YDL068W	0.083	NaN
YDL069C	0.201	NaN
YDL070W	-0.036	NaN
YDL071C	0.096	NaN
YDL072C	-0.020	NaN
YDL073W	0.929	NaN
YDL074C	-2.092	NaN
YDL075W	-1.393	NaN
YDL076C	-0.488	NaN
YDL077C	-0.617	NaN
YDL078C	-0.296	NaN
YDL079C	-0.247	NaN
YDL080C	-0.006	NaN
YDL081C	-3.152	NaN
YDL082W	-1.163	NaN
YDL083C	-1.714	NaN
YDL084W	NaN	-0.140
YDL085W	-0.116	NaN
YDL086W	-0.119	NaN
YDL087C	NaN	-0.525
YDL088C	0.510	NaN
YDL089W	0.013	NaN
YDL090C	-2.977	NaN
YDL091C	-0.747	NaN
YDL092W	NaN	-1.174
YDL093W	0.049	NaN
YDL094C	-0.109	NaN
YDL095W	0.830	NaN
YDL096C	1.060	NaN
YDL097C	NaN	-1.341
YDL098C	NaN	-2.287
YDL099W	1.749	NaN
YDL100C	2.131	NaN
YDL101C	0.686	NaN
YDL102W	NaN	-0.859
YDL103C	NaN	-1.563
YDL104C	0.155	NaN
YDL106C	-0.917	NaN
YDL108W	NaN	1.135
YDL109C	-0.110	NaN
YDL110C	-0.170	NaN
YDL111C	NaN	-1.323
YDL112W	0.200	NaN
YDL113C	0.958	NaN
YDL114W	0.400	NaN
YDL115C	-0.968	NaN
YDL117W	1.053	NaN
YDL118W	0.288	NaN
YDL119C	-0.546	NaN
YDL121C	0.149	NaN
YDL122W	-0.201	NaN
YDL123W	0.410	NaN
YDL124W	0.231	NaN
YDL125C	0.237	NaN
YDL126C	NaN	1.296
YDL127W	0.389	NaN
YDL128W	0.059	NaN
YDL129W	-0.374	NaN
YDL130W-A	-0.332	NaN
YDL130W	-2.521	NaN
YDL131W	0.595	NaN
YDL133C-A	-0.246	NaN
YDL133W	-1.372	NaN
YDL134C	-1.282	NaN
YDL135C	0.323	NaN
YDL136W	-0.968	NaN
YDL137W	0.663	NaN
YDL138W	0.442	NaN
YDL139C	NaN	-1.172
YDL140C	NaN	-0.223
YDL141W	NaN	-2.680
YDL142C	0.181	NaN
YDL143W	NaN	1.591
YDL144C	0.059	NaN
YDL145C	NaN	-1.065
YDL146W	-0.627	NaN
YDL147W	NaN	2.008
YDL148C	NaN	0.640
YDL149W	-0.184	NaN
YDL150W	NaN	-0.716
YDL152W	-1.472	NaN
YDL153C	NaN	-0.169
YDL154W	0.295	NaN
YDL155W	0.082	NaN
YDL156W	-0.355	NaN
YDL157C	0.070	NaN
YDL160C	-2.424	NaN
YDL161W	0.488	NaN
YDL162C	0.995	NaN
YDL163W	-1.220	NaN
YDL164C	NaN	-1.710
YDL165W	NaN	-1.562
YDL166C	NaN	0.495
YDL167C	0.597	NaN
YDL168W	-0.079	NaN
YDL169C	0.326	NaN
YDL170W	0.317	NaN
YDL171C	0.062	NaN
YDL172C	-0.174	NaN
YDL173W	0.291	NaN
YDL174C	-0.176	NaN
YDL176W	-0.523	NaN
YDL177C	0.122	NaN
YDL178W	-0.319	NaN
YDL179W	0.724	NaN
YDL180W	-0.129	NaN
YDL182W	0.205	NaN
YDL183C	0.480	NaN
YDL184C	-0.442	NaN
