ORF	het | growth (relative abundance in pooled culture) | time [20 generations], Chitosan oligosaccharide [91.1 ug/ml] | Jaime MD~Nislow C, 2012	hom | growth (relative abundance in pooled culture) | time [5 generations], Chitosan oligosaccharide [91.1 ug/ml] | Jaime MD~Nislow C, 2012
YGR026W	-0.101	NaN
YGR027C	-0.127	NaN
YGR028W	0.251	NaN
YGR029W	NaN	-0.180
YGR030C	NaN	-0.581
YGR031W	0.071	NaN
YGR032W	0.725	NaN
YGR033C	-0.198	NaN
YGR034W	0.230	NaN
YGR035C	0.208	NaN
YGR036C	-0.445	NaN
YGR037C	1.081	NaN
YGR038W	0.231	NaN
YGR039W	0.270	NaN
YGR040W	0.439	NaN
YGR041W	0.321	NaN
YGR042W	0.289	NaN
YGR043C	0.016	NaN
YGR044C	-0.327	NaN
YGR045C	-0.196	NaN
YGR046W	NaN	-0.847
YGR047C	NaN	-1.727
YGR048W	NaN	0.431
YGR049W	-0.241	NaN
YGR050C	-0.118	NaN
YGR051C	-0.282	NaN
YGR052W	0.098	NaN
YGR053C	-0.341	NaN
YGR054W	-0.741	NaN
YGR055W	-2.140	NaN
YGR056W	-3.720	NaN
YGR057C	-1.608	NaN
YGR058W	0.194	NaN
YGR059W	-0.213	NaN
YGR060W	NaN	1.143
YGR061C	0.121	NaN
YGR063C	0.812	NaN
YGR064W	0.925	NaN
YGR066C	-0.154	NaN
YGR067C	-0.079	NaN
YGR068C	-0.505	NaN
YGR069W	-0.496	NaN
YGR070W	0.296	NaN
YGR071C	0.069	NaN
YGR072W	-0.334	NaN
YGR073C	-2.176	NaN
YGR074W	NaN	-0.175
YGR075C	NaN	-0.983
YGR077C	0.133	NaN
YGR078C	0.013	NaN
YGR079W	-0.362	NaN
YGR080W	0.252	NaN
YGR081C	-2.908	NaN
YGR082W	NaN	-2.158
YGR083C	NaN	-2.718
YGR084C	0.252	NaN
YGR085C	0.737	NaN
YGR086C	-0.676	NaN
YGR087C	0.366	NaN
YGR088W	-0.412	NaN
YGR089W	0.365	NaN
YGR090W	NaN	0.982
YGR091W	NaN	-1.423
YGR092W	2.054	NaN
YGR093W	0.451	NaN
YGR094W	NaN	-0.387
YGR095C	NaN	-1.884
YGR096W	-0.100	NaN
YGR097W	0.227	NaN
YGR098C	NaN	1.910
YGR099W	NaN	-1.213
YGR100W	-0.930	NaN
YGR101W	0.402	NaN
YGR102C	-0.203	NaN
YGR103W	NaN	-0.499
YGR104C	0.770	NaN
YGR106C	-0.245	NaN
YGR107W	0.153	NaN
YGR108W	-0.340	NaN
YGR109C	-0.285	NaN
YGR111W	0.606	NaN
YGR113W	NaN	-2.730
YGR114C	-0.026	NaN
YGR115C	-0.207	NaN
YGR116W	NaN	0.658
YGR118W	-2.914	NaN
YGR119C	NaN	-0.025
YGR120C	NaN	-0.421
YGR121C	-0.041	NaN
YGR122W	-3.719	NaN
YGR123C	-0.857	NaN
YGR124W	0.662	NaN
YGR125W	-0.314	NaN
YGR126W	0.399	NaN
YGR127W	-1.162	NaN
YGR128C	NaN	-0.238
YGR129W	0.197	NaN
YGR130C	1.083	NaN
YGR131W	-0.478	NaN
YGR132C	0.398	NaN
YGR133W	0.456	NaN
YGR134W	0.027	NaN
YGR135W	-1.109	NaN
YGR136W	-0.136	NaN
YGR137W	0.107	NaN
YGR138C	0.244	NaN
YGR139W	0.115	NaN
YGR140W	NaN	0.187
YGR141W	-0.227	NaN
YGR142W	-0.357	NaN
YGR144W	-1.456	NaN
YGR145W	NaN	-1.213
YGR146C	-0.159	NaN
YGR147C	NaN	-1.611
YGR148C	0.302	NaN
YGR149W	-0.164	NaN
YGR150C	0.079	NaN
YGR151C	0.423	NaN
YGR152C	0.153	NaN
YGR153W	0.023	NaN
YGR154C	-0.192	NaN
YGR155W	-0.530	NaN
YGR156W	NaN	-0.184
YGR157W	-0.082	NaN
YGR158C	NaN	-0.497
YGR159C	-2.182	NaN
YGR160W	-2.682	NaN
YGR161C	-0.162	NaN
YGR162W	-0.224	NaN
YGR163W	-2.258	NaN
YGR164W	0.664	NaN
YGR165W	0.237	NaN
YGR168C	-0.460	NaN
YGR169C	0.051	NaN
YGR170W	0.128	NaN
YGR171C	1.467	NaN
YGR172C	NaN	3.209
YGR173W	-0.330	NaN
YGR174C	0.085	NaN
YGR175C	NaN	-2.191
YGR176W	0.960	NaN
YGR177C	0.299	NaN
YGR178C	-0.442	NaN
YGR179C	NaN	-0.224
YGR181W	-0.029	NaN
YGR182C	-0.252	NaN
YGR184C	0.774	NaN
YGR185C	NaN	0.024
YGR187C	-0.513	NaN
YGR189C	0.001	NaN
YGR190C	-1.256	NaN
YGR191W	NaN	-1.215
YGR192C	0.598	NaN
YGR194C	0.252	NaN
YGR195W	NaN	-1.228
YGR196C	1.278	NaN
YGR198W	NaN	-2.019
YGR199W	-0.615	NaN
YGR200C	-1.315	NaN
YGR201C	0.518	NaN
YGR202C	-2.360	NaN
YGR203W	-0.677	NaN
YGR205W	-0.538	NaN
YGR206W	0.573	NaN
YGR207C	-0.317	NaN
YGR208W	0.496	NaN
YGR209C	-0.170	NaN
YGR210C	0.012	NaN
YGR211W	NaN	0.120
YGR212W	0.033	NaN
YGR213C	-0.115	NaN
YGR214W	0.654	NaN
YGR215W	-0.039	NaN
YGR216C	NaN	-0.412
YGR217W	0.241	NaN
YGR218W	NaN	-1.022
YGR219W	-0.018	NaN
YGR221C	-0.392	NaN
YGR222W	-0.224	NaN
YGR223C	-0.095	NaN
YGR224W	-0.060	NaN
YGR225W	0.029	NaN
YGR226C	-0.059	NaN
YGR227W	-1.311	NaN
YGR228W	-0.159	NaN
YGR229C	0.492	NaN
YGR230W	0.379	NaN
YGR231C	-0.168	NaN
YGR232W	-0.319	NaN
YGR233C	-1.884	NaN
YGR235C	-0.196	NaN
YGR236C	-0.025	NaN
YGR237C	-0.897	NaN
YGR238C	0.260	NaN
YGR239C	0.376	NaN
YGR240C	1.503	NaN
YGR241C	-0.763	NaN
YGR242W	0.034	NaN
YGR243W	0.079	NaN
YGR244C	-0.318	NaN
YGR245C	NaN	-0.673
YGR246C	NaN	-3.887
YGR247W	0.134	NaN
YGR248W	-0.194	NaN
YGR249W	-0.080	NaN
YGR250C	0.342	NaN
YGR251W	NaN	0.297
YGR252W	-1.839	NaN
YGR253C	NaN	-2.602
YGR254W	0.088	NaN
YGR256W	-0.191	NaN
YGR258C	-0.905	NaN
YGR259C	0.826	NaN
YGR260W	0.216	NaN
YGR261C	1.360	NaN
YGR263C	0.506	NaN
YGR264C	NaN	-2.407
YGR265W	-1.491	NaN
YGR266W	0.157	NaN
YGR267C	NaN	-1.005
YGR268C	0.468	NaN
YGR269W	0.228	NaN
YGR270W	-0.658	NaN
YGR271W	0.437	NaN
YGR273C	0.324	NaN
YGR274C	NaN	2.898
YGR275W	-0.225	NaN
YGR276C	-1.470	NaN
YGR277C	NaN	-0.132
YGR278W	NaN	-1.120
YGR279C	0.185	NaN
YGR280C	NaN	-1.853
YGR281W	-0.378	NaN
YGR282C	-1.489	NaN
YGR283C	0.021	NaN
YGR284C	0.202	NaN
YGR285C	-1.813	NaN
YGR286C	-0.455	NaN
YGR287C	0.150	NaN
YGR288W	-0.276	NaN
YGR289C	0.631	NaN
YGR290W	-0.058	NaN
YGR291C	-0.025	NaN
YGR292W	0.019	NaN
YHL002W	-0.856	NaN
YHL003C	-0.192	NaN
YHL006C	0.019	NaN
YHL007C	1.336	NaN
YHL008C	1.527	NaN
YHL009C	-3.625	NaN
YHL010C	-1.059	NaN
YHL011C	-1.403	NaN
YHL012W	0.500	NaN
YHL014C	-0.947	NaN
YHL015W	NaN	-0.283
YHL016C	-0.432	NaN
YHL017W	0.357	NaN
YHL019C	-1.166	NaN
YHL020C	-1.940	NaN
YHL021C	-0.340	NaN
YHL022C	-0.504	NaN
YHL023C	0.826	NaN
YHL024W	0.256	NaN
YHL026C	-0.030	NaN
YHL027W	-3.045	NaN
YHL028W	-0.161	NaN
YHL029C	-2.464	NaN
YHL030W	-0.031	NaN
YHL031C	0.256	NaN
YHL032C	-0.420	NaN
YHL033C	-0.385	NaN
YHL034C	-1.238	NaN
YHL035C	0.052	NaN
YHL036W	0.168	NaN
YHL038C	-0.422	NaN
YHL039W	0.088	NaN
YHL040C	0.502	NaN
YHL041W	0.031	NaN
YHL042W	-0.099	NaN
YHL043W	-0.474	NaN
YHL044W	-1.729	NaN
YHL045W	-0.181	NaN
YHL046C	0.192	NaN
YHL047C	0.079	NaN
YHR001W-A	1.433	NaN
YHR003C	-0.325	NaN
YHR004C	-1.556	NaN
YHR005C-A	NaN	-1.136
YHR006W	0.291	NaN
YHR007C	NaN	-0.107
YHR008C	0.316	NaN
YHR009C	0.404	NaN
YHR010W	-1.988	NaN
YHR012W	-1.857	NaN
YHR013C	-0.229	NaN
YHR014W	0.307	NaN
YHR015W	0.379	NaN
YHR016C	0.077	NaN
YHR017W	-0.033	NaN
YHR018C	-0.648	NaN
YHR019C	NaN	-2.661
YHR020W	NaN	-1.358
YHR021C	-3.323	NaN
YHR021W-A	0.330	NaN
YHR022C	-1.035	NaN
YHR023W	NaN	-1.258
YHR024C	NaN	-1.032
YHR025W	0.466	NaN
YHR028C	0.363	NaN
YHR031C	-0.291	NaN
YHR032W	-0.060	NaN
YHR033W	-0.167	NaN
YHR034C	-0.539	NaN
YHR035W	0.025	NaN
YHR036W	NaN	1.114
YHR037W	0.067	NaN
YHR038W	1.369	NaN
YHR039C	-0.111	NaN
YHR040W	NaN	-1.988
YHR041C	1.069	NaN
YHR042W	NaN	1.125
YHR043C	-0.179	NaN
YHR044C	-0.132	NaN
YHR045W	0.297	NaN
YHR046C	-0.300	NaN
YHR047C	0.213	NaN
YHR048W	-0.084	NaN
YHR049C-A	-0.250	NaN
YHR049W	0.683	NaN
YHR050W	-1.571	NaN
YHR051W	-0.335	NaN
YHR058C	NaN	0.444
YHR059W	0.323	NaN
YHR060W	-0.341	NaN
YHR061C	-0.419	NaN
YHR062C	NaN	-2.919
YHR064C	-2.684	NaN
YHR065C	NaN	-0.410
YHR067W	0.170	NaN
YHR068W	NaN	-0.730
YHR069C	NaN	-0.038
YHR070W	NaN	-2.157
YHR072W	NaN	-0.247
YHR073W	-1.525	NaN
YHR074W	NaN	-0.555
YHR075C	0.198	NaN
YHR076W	-0.471	NaN
YHR077C	-0.661	NaN
YHR078W	0.632	NaN
YHR079C-A	-0.058	NaN
YHR079C	0.202	NaN
YHR080C	-0.089	NaN
YHR081W	-0.907	NaN
YHR082C	0.065	NaN
YHR083W	NaN	-0.850
YHR085W	NaN	-1.394
YHR086W	0.544	NaN
YHR087W	0.530	NaN
YHR088W	NaN	-1.929
YHR091C	0.305	NaN
YHR092C	1.010	NaN
YHR093W	-0.238	NaN
YHR094C	-0.008	NaN
YHR095W	-0.265	NaN
YHR096C	-0.250	NaN
YHR097C	-0.519	NaN
YHR100C	0.394	NaN
YHR101C	NaN	-2.118
YHR103W	-0.090	NaN
YHR104W	1.500	NaN
YHR105W	-0.187	NaN
YHR106W	-0.149	NaN
YHR107C	NaN	0.638
YHR108W	1.573	NaN
YHR109W	-0.400	NaN
YHR110W	0.333	NaN
YHR111W	-2.264	NaN
YHR112C	-0.064	NaN
YHR113W	0.046	NaN
YHR114W	0.973	NaN
YHR116W	-0.135	NaN
YHR117W	-0.414	NaN
YHR118C	NaN	-1.492
YHR121W	-0.393	NaN
YHR122W	NaN	-1.191
YHR123W	0.162	NaN
YHR124W	-0.443	NaN
YHR126C	0.260	NaN
YHR127W	-0.253	NaN
YHR129C	-0.913	NaN
YHR130C	-0.377	NaN
YHR131C	-0.169	NaN
YHR132C	-0.033	NaN
YHR132W-A	-0.580	NaN
YHR133C	-0.827	NaN
YHR134W	-0.351	NaN
YHR135C	-1.113	NaN
YHR136C	-1.050	NaN
YHR137W	0.086	NaN
YHR138C	-0.303	NaN
YHR139C-A	0.068	NaN
YHR139C	-0.396	NaN
YHR140W	-0.006	NaN
YHR142W	0.364	NaN
YHR143W-A	NaN	2.990
YHR143W	-0.047	NaN
YHR146W	-0.453	NaN
YHR147C	0.081	NaN
YHR148W	NaN	-1.796
YHR151C	0.694	NaN
YHR152W	-0.278	NaN
YHR154W	0.612	NaN
YHR155W	0.006	NaN
YHR156C	0.134	NaN
YHR157W	0.177	NaN
YHR158C	-0.327	NaN
YHR159W	-0.503	NaN
YHR160C	0.058	NaN
YHR161C	-1.774	NaN
YHR162W	0.206	NaN
YHR163W	0.102	NaN
YHR166C	NaN	-2.225
YHR167W	0.689	NaN
YHR168W	0.114	NaN
YHR171W	-0.366	NaN
YHR172W	NaN	2.132
YHR176W	0.008	NaN
YHR177W	0.371	NaN
YHR178W	-0.487	NaN
YHR180W	-0.029	NaN
YHR181W	-2.694	NaN
YHR184W	-0.082	NaN
YHR185C	0.266	NaN
YHR186C	NaN	-1.546
YHR188C	NaN	-0.509
YHR189W	-0.055	NaN
YHR190W	NaN	-0.687
YHR191C	-0.053	NaN
YHR193C	0.271	NaN
YHR194W	-1.269	NaN
YHR195W	0.608	NaN
YHR196W	NaN	-0.672
YHR197W	NaN	-0.830
YHR198C	-0.220	NaN
YHR199C	0.373	NaN
YHR200W	-0.109	NaN
YHR202W	0.125	NaN
YHR203C	-2.059	NaN
YHR204W	-1.194	NaN
YHR206W	-0.519	NaN
YHR207C	0.511	NaN
YHR209W	0.259	NaN
YHR210C	-0.243	NaN
YIL001W	-0.140	NaN
YIL002C	-2.417	NaN
YIL003W	NaN	1.360
YIL004C	NaN	0.322
YIL005W	0.692	NaN
YIL007C	-0.079	NaN
YIL008W	-2.658	NaN
YIL009C-A	-0.480	NaN
YIL009W	-0.228	NaN
YIL010W	-0.049	NaN
YIL011W	-0.561	NaN
YIL012W	0.028	NaN
YIL013C	-0.121	NaN
YIL014W	0.026	NaN
YIL014C-A	-0.672	NaN
YIL015W	-0.608	NaN
YIL016W	-0.402	NaN
YIL017C	0.517	NaN
YIL018W	0.463	NaN
YIL019W	NaN	-3.590
YIL020C	-0.289	NaN
YIL021W	NaN	2.905
YIL022W	NaN	-3.931
YIL023C	0.109	NaN
YIL024C	-0.254	NaN
YIL025C	-0.008	NaN
YIL026C	NaN	-1.180
YIL027C	1.209	NaN
YIL028W	-0.213	NaN
YIL030C	0.609	NaN
YIL031W	NaN	-0.096
YIL032C	-0.285	NaN
YIL034C	0.354	NaN
YIL035C	-2.726	NaN
YIL036W	0.465	NaN
YIL037C	0.637	NaN
YIL038C	0.779	NaN
YIL039W	2.448	NaN
YIL042C	-0.112	NaN
YIL043C	-0.843	NaN
YIL044C	1.087	NaN
YIL045W	-0.935	NaN
YIL046W	NaN	-2.351
YIL047C	-0.484	NaN
YIL048W	NaN	-3.830
YIL050W	-0.391	NaN
YIL051C	NaN	-1.725
YIL052C	-0.584	NaN
YIL053W	-0.399	NaN
YIL054W	-0.244	NaN
YIL055C	-0.856	NaN
YIL056W	-0.791	NaN
YIL057C	-1.132	NaN
YIL058W	0.107	NaN
YIL059C	0.132	NaN
YIL060W	0.112	NaN
YIL061C	NaN	-1.572
YIL062C	NaN	2.576
YIL063C	NaN	-1.485
YIL064W	-0.074	NaN
YIL065C	-0.044	NaN
YIL066C	-0.408	NaN
YIL067C	0.226	NaN
YIL068C	NaN	1.474
YIL069C	-2.574	NaN
YIL070C	-0.079	NaN
YIL071C	-0.086	NaN
YIL072W	0.433	NaN
YIL073C	0.233	NaN
YIL074C	-0.105	NaN
YIL075C	NaN	-3.653
YIL076W	-0.429	NaN
YIL077C	-0.526	NaN
YIL078W	NaN	1.831
YIL079C	-0.220	NaN
YIL083C	NaN	1.329
YIL084C	0.133	NaN
YIL085C	-0.335	NaN
YIL086C	0.152	NaN
YIL087C	-0.157	NaN
YIL088C	0.015	NaN
YIL089W	0.415	NaN
YIL090W	1.432	NaN
YIL092W	0.107	NaN
YIL093C	0.068	NaN
YIL094C	-0.270	NaN
YIL095W	-0.549	NaN
YIL096C	-0.681	NaN
YIL097W	0.009	NaN
YIL098C	-0.577	NaN
YIL099W	0.501	NaN
YIL100W	0.662	NaN
YIL101C	-1.079	NaN
YIL102C	0.401	NaN
YIL103W	-0.652	NaN
YIL104C	NaN	-0.743
YIL105C	0.215	NaN
YIL106W	NaN	-0.394
YIL107C	-0.977	NaN
YIL108W	-0.279	NaN
YIL109C	NaN	3.032
YIL110W	-1.218	NaN
YIL111W	-0.890	NaN
YIL112W	-0.607	NaN
YIL113W	-0.521	NaN
YIL115C	NaN	-0.056
YIL116W	-0.127	NaN
YIL117C	-0.376	NaN
YIL118W	NaN	0.379
YIL119C	0.064	NaN
YIL120W	-0.092	NaN
YIL121W	-0.000	NaN
YIL123W	0.868	NaN
YIL124W	-0.601	NaN
YIL125W	0.105	NaN
YIL126W	NaN	0.084
YIL129C	NaN	-1.092
YIL130W	0.001	NaN
YIL132C	-0.184	NaN
YIL133C	-0.051	NaN
YIL134W	-0.537	NaN
YIL135C	-0.370	NaN
YIL137C	-0.701	NaN
YIL138C	-0.172	NaN
YIL139C	-0.259	NaN
YIL140W	-0.246	NaN
YIL141W	0.090	NaN
YIL142W	NaN	2.080
YIL143C	NaN	-0.094
YIL144W	NaN	-1.861
YIL145C	0.359	NaN
YIL146C	-0.297	NaN
YIL148W	0.172	NaN
YIL149C	-0.619	NaN
YIL150C	NaN	-0.244
YIL152W	-0.025	NaN
YIL153W	2.415	NaN
YIL154C	-4.315	NaN
YIL155C	-0.325	NaN
YIL156W	0.273	NaN
YIL158W	-0.221	NaN
YIL159W	-0.519	NaN
YIL160C	-1.334	NaN
YIL161W	-0.399	NaN
YIL162W	-0.096	NaN
YIL163C	0.148	NaN
YIL164C	-0.534	NaN
YIL165C	-0.549	NaN
YIL166C	0.002	NaN
YIL167W	-0.325	NaN
YIL168W	-0.017	NaN
YIL171W	-4.001	NaN
YIL173W	0.279	NaN
YIR001C	0.192	NaN
YIR002C	-0.002	NaN
YIR003W	0.831	NaN
YIR004W	-0.357	NaN
YIR005W	1.127	NaN
YIR006C	NaN	0.258
YIR007W	0.381	NaN
YIR008C	NaN	-2.673
YIR010W	NaN	1.118
YIR011C	NaN	-0.263
YIR012W	NaN	-2.277
YIR013C	0.042	NaN
YIR014W	-0.225	NaN
YIR015W	NaN	-1.975
YIR016W	-0.092	NaN
YIR017C	0.451	NaN
YIR018W	-0.175	NaN
YIR019C	-0.757	NaN
YIR020C	0.185	NaN
YIR020W-A	0.014	NaN
YIR021W	0.585	NaN
YIR022W	NaN	-1.272
YIR023W	0.110	NaN
YIR024C	0.179	NaN
YIR025W	-0.006	NaN
YIR026C	-1.480	NaN
YIR027C	-0.098	NaN
YIR028W	0.110	NaN
YIR029W	-0.009	NaN
YIR030C	-0.439	NaN
YIR031C	0.528	NaN
YIR032C	0.339	NaN
YIR033W	-1.103	NaN
YIR035C	0.345	NaN
YIR036C	-0.003	NaN
YIR037W	1.217	NaN
YIR038C	0.850	NaN
YIR039C	-0.005	NaN
YIR042C	0.054	NaN
YIR043C	-0.221	NaN
YIR044C	-0.065	NaN
YJL001W	NaN	-1.872
YJL002C	NaN	-3.515
YJL003W	-0.646	NaN
YJL004C	-1.394	NaN
YJL005W	NaN	-1.744
YJL007C	0.170	NaN
YJL009W	2.581	NaN
YJL010C	NaN	-1.261
YJL011C	NaN	-0.183
YJL012C	-0.118	NaN
YJL013C	-0.501	NaN
YJL014W	NaN	2.134
YJL015C	-1.639	NaN
YJL016W	0.244	NaN
YJL019W	NaN	-1.292
YJL020C	-1.854	NaN
YJL022W	0.094	NaN
YJL023C	0.135	NaN
YJL024C	1.468	NaN
YJL025W	NaN	-0.451
YJL026W	NaN	-0.534
YJL027C	-0.041	NaN
YJL028W	0.085	NaN
YJL030W	0.167	NaN
YJL031C	NaN	-1.994
YJL032W	-0.195	NaN
YJL033W	NaN	-0.471
YJL034W	NaN	-2.133
YJL035C	NaN	-0.738
YJL036W	1.448	NaN
YJL037W	0.136	NaN
YJL038C	0.003	NaN
YJL039C	NaN	-0.536
YJL041W	NaN	-0.601
YJL042W	-0.428	NaN
YJL043W	0.131	NaN
YJL044C	1.113	NaN
YJL045W	-0.113	NaN
YJL046W	1.059	NaN
YJL047C	0.027	NaN
YJL048C	-0.241	NaN
YJL049W	-0.128	NaN
YJL050W	NaN	-0.871
YJL051W	0.045	NaN
YJL052W	-3.336	NaN
YJL053W	-1.233	NaN
YJL054W	NaN	1.954
YJL055W	-0.295	NaN
YJL056C	0.227	NaN
YJL058C	-0.006	NaN
YJL060W	0.105	NaN
YJL061W	NaN	-0.194
YJL062W	-0.191	NaN
YJL063C	-0.336	NaN
YJL064W	-0.678	NaN
YJL065C	-1.907	NaN
YJL066C	0.013	NaN
YJL067W	0.043	NaN
YJL068C	-0.230	NaN
YJL069C	NaN	-0.573
YJL070C	-0.277	NaN
YJL071W	-0.107	NaN
YJL072C	NaN	-2.479
YJL073W	-2.654	NaN
YJL074C	NaN	-0.600
YJL075C	-1.768	NaN
YJL076W	NaN	-0.830
YJL077C	-0.410	NaN
YJL078C	0.108	NaN
YJL079C	-0.196	NaN
YJL080C	-2.748	NaN
YJL081C	NaN	0.842
YJL082W	-0.120	NaN
YJL083W	-0.172	NaN
YJL085W	NaN	-0.263
YJL086C	1.981	NaN
YJL087C	NaN	-0.741
YJL088W	-0.271	NaN
YJL089W	-0.197	NaN
YJL090C	NaN	-0.293
YJL091C	NaN	-0.253
YJL092W	-0.168	NaN
YJL093C	-0.468	NaN
YJL094C	0.021	NaN
YJL095W	-0.255	NaN
YJL096W	-1.428	NaN
YJL098W	0.656	NaN
YJL099W	-0.291	NaN
YJL100W	-0.484	NaN
YJL101C	0.241	NaN
YJL102W	0.109	NaN
YJL103C	0.391	NaN
YJL104W	NaN	-0.632
YJL105W	-0.477	NaN
YJL106W	0.126	NaN
YJL107C	0.315	NaN
YJL108C	-0.154	NaN
YJL109C	NaN	-0.848
YJL110C	0.526	NaN
YJL111W	NaN	3.311
YJL112W	-0.085	NaN
YJL116C	0.166	NaN
YJL118W	-0.388	NaN
YJL119C	0.082	NaN
YJL120W	-0.196	NaN
YJL121C	0.749	NaN
YJL122W	0.492	NaN
YJL123C	-0.001	NaN
YJL124C	-2.691	NaN
YJL125C	NaN	-0.288
YJL126W	0.107	NaN
YJL128C	-1.064	NaN
YJL129C	-2.221	NaN
YJL130C	0.087	NaN
YJL131C	0.275	NaN
YJL132W	-0.106	NaN
YJL133W	0.458	NaN
YJL134W	-0.893	NaN
YJL135W	-0.005	NaN
YJL136C	-2.951	NaN
YJL137C	0.077	NaN
YJL138C	0.136	NaN
YJL139C	-0.231	NaN
YJL140W	-0.806	NaN
YJL141C	-0.728	NaN
YJL142C	0.379	NaN
YJL143W	NaN	-0.504
YJL144W	-0.945	NaN
YJL146W	0.250	NaN
YJL147C	0.182	NaN
YJL148W	-1.463	NaN
YJL149W	-0.082	NaN
YJL150W	-0.142	NaN
YJL151C	0.097	NaN
YJL152W	0.426	NaN
YJL153C	0.035	NaN
YJL154C	-2.633	NaN
YJL155C	0.221	NaN
YJL156C	NaN	-0.057
YJL157C	-0.025	NaN
YJL158C	-1.529	NaN
YJL159W	-1.294	NaN
YJL160C	-0.479	NaN
YJL161W	0.151	NaN
YJL162C	0.182	NaN
YJL163C	0.342	NaN
YJL164C	0.187	NaN
YJL165C	-1.952	NaN
YJL166W	-0.529	NaN
YJL167W	NaN	-0.889
YJL168C	-0.986	NaN
YJL169W	-0.858	NaN
YJL170C	0.395	NaN
YJL171C	-0.599	NaN
YJL172W	0.739	NaN
YJL173C	NaN	-0.323
YJL174W	NaN	-0.630
YJL175W	-1.476	NaN
YJL176C	-0.639	NaN
YJL177W	0.076	NaN
YJL178C	-0.045	NaN
YJL179W	-1.913	NaN
YJL180C	1.506	NaN
YJL181W	0.075	NaN
YJL182C	-0.111	NaN
YJL183W	0.889	NaN
YJL185C	0.106	NaN
YJL186W	-0.234	NaN
YJL187C	-0.324	NaN
YJL188C	-3.656	NaN
YJL189W	-0.936	NaN
YJL190C	-1.630	NaN
YJL191W	-0.988	NaN
YJL192C	-1.545	NaN
YJL193W	1.235	NaN
YJL194W	NaN	-1.166
YJL195C	-1.253	NaN
YJL197W	-0.485	NaN
YJL198W	-0.677	NaN
YJL199C	-0.394	NaN
YJL200C	0.014	NaN
YJL201W	-0.146	NaN
YJL202C	-0.079	NaN
YJL203W	NaN	-1.308
YJL204C	-2.315	NaN
YJL205C	-0.641	NaN
YJL206C	0.498	NaN
YJL208C	0.332	NaN
YJL209W	0.774	NaN
YJL210W	0.160	NaN
YJL211C	0.464	NaN
YJL212C	-0.028	NaN
YJL213W	-0.197	NaN
YJL215C	-0.342	NaN
YJL216C	-0.215	NaN
YJL217W	0.462	NaN
YJL218W	-0.067	NaN
YJR001W	0.257	NaN
YJR002W	NaN	-0.270
YJR003C	0.107	NaN
YJR004C	0.260	NaN
YJR005W	-0.539	NaN
YJR006W	NaN	-0.610
YJR007W	NaN	-0.996
YJR008W	-0.060	NaN
YJR009C	-0.333	NaN
YJR010C-A	0.082	NaN
YJR010W	-0.090	NaN
YJR011C	-0.333	NaN
YJR012C	NaN	-1.350
YJR013W	NaN	-0.479
YJR014W	-3.320	NaN
YJR015W	-0.053	NaN
YJR016C	NaN	-1.116
YJR017C	NaN	0.156
YJR019C	-0.150	NaN
YJR020W	-0.022	NaN
YJR021C	0.189	NaN
YJR022W	NaN	-1.267
YJR023C	0.051	NaN
YJR024C	-0.495	NaN
YJR025C	0.057	NaN
YJR026W	0.479	NaN
YJR030C	1.176	NaN
YJR031C	-0.792	NaN
YJR033C	0.587	NaN
YJR034W	0.849	NaN
YJR035W	0.133	NaN
YJR036C	0.348	NaN
YJR037W	0.336	NaN
YJR038C	-0.160	NaN
YJR039W	-0.728	NaN
YJR040W	-3.397	NaN
YJR041C	NaN	-0.056
YJR042W	NaN	-0.204
YJR043C	-1.884	NaN
YJR044C	0.188	NaN
YJR045C	NaN	-0.906
YJR048W	0.395	NaN
YJR049C	0.324	NaN
YJR050W	-0.107	NaN
YJR051W	-0.367	NaN
YJR052W	0.186	NaN
YJR053W	0.098	NaN
YJR054W	-1.408	NaN
YJR055W	-1.643	NaN
YJR056C	0.219	NaN
YJR057W	NaN	-0.543
YJR058C	-0.596	NaN
YJR059W	-0.053	NaN
YJR060W	0.227	NaN
YJR061W	-0.181	NaN
YJR062C	-0.355	NaN
YJR064W	NaN	2.014
YJR065C	NaN	3.767
YJR066W	-0.371	NaN
YJR067C	NaN	-1.281
YJR068W	NaN	-1.942
YJR069C	-0.045	NaN
YJR070C	0.970	NaN
YJR072C	NaN	-0.829
YJR073C	-2.439	NaN
YJR074W	-1.099	NaN
YJR075W	1.091	NaN
YJR076C	NaN	0.446
YJR077C	0.055	NaN
YJR078W	0.220	NaN
YJR079W	1.127	NaN
YJR080C	-0.216	NaN
YJR082C	-0.953	NaN
YJR083C	1.665	NaN
YJR084W	-0.156	NaN
YJR087W	0.903	NaN
YJR088C	1.747	NaN
YJR090C	0.119	NaN
YJR091C	-0.263	NaN
YJR092W	-0.164	NaN
YJR093C	NaN	0.650
YJR094C	-0.018	NaN
YJR094W-A	0.165	NaN
YJR095W	-0.120	NaN
YJR096W	-0.303	NaN
YJR097W	-2.619	NaN
YJR098C	-0.309	NaN
YJR099W	0.052	NaN
YJR100C	-0.343	NaN
YJR102C	-3.755	NaN
YJR103W	0.112	NaN
YJR104C	-0.124	NaN
YJR105W	-1.569	NaN
YJR106W	-0.162	NaN
YJR107W	-0.356	NaN
YJR108W	-0.178	NaN
YJR109C	0.127	NaN
YJR110W	-0.081	NaN
YJR111C	-1.598	NaN
YJR112W	NaN	-1.719
YJR113C	0.271	NaN
YJR115W	-0.248	NaN
YJR116W	-0.009	NaN
