orf	hom | abundance of CoQ | standard | SD -4HB -pABA | Ayer A~Stocker R, 2021
YAL026C	11.066921803247315
YAR002W	11.066921803247315
YCR063W	11.066921803247315
YCR094W	11.066921803247315
YDL216C	11.066921803247315
YDR027C	11.066921803247315
YDR194C	11.066921803247315
YDR204W	-10.84558336718237
YDR207C	11.066921803247315
YDR226W	11.066921803247315
YDR320C	11.066921803247315
YER080W	11.066921803247315
YER095W	11.066921803247315
YGL105W	11.066921803247315
YGL119W	-10.84558336718237
YGR078C	11.066921803247315
YGR157W	11.066921803247315
YGR255C	-10.84558336718237
YJL092W	11.066921803247315
YKL037W	11.066921803247315
YKL212W	11.066921803247315
YLR039C	11.066921803247315
YLR201C	-10.84558336718237
YLR439W	11.066921803247315
YML112W	11.066921803247315
YMR032W	11.066921803247315
YMR077C	11.066921803247315
YMR110C	-10.84558336718237
YNL299W	11.066921803247315
YNR041C	-10.84558336718237
YOL004W	11.066921803247315
YOL096C	-10.84558336718237
YOL115W	11.066921803247315
YOR130C	11.066921803247315
YOR305W	11.066921803247315
YPL031C	11.066921803247315
YPL271W	11.066921803247315
