orf	hap a | growth (CFU) | temperature [30ºC - 62ºC], time [20 min] | YPD | Teng X~Hardwick JM, 2011
YAL002W	25.571428571428573
YAL004W	17.0
YAL005C	20.625
YAL007C	252.25
YAL008W	234.25
YAL009W	201.0
YAL010C	65.8
YAL011W	160.875
YAL012W	28.25
YAL013W	10.25
YAL014C	52.25
YAL015C	235.0
YAL016W	165.5
YAL017W	74.0
YAL018C	221.5
YAL019W	209.25
YAL020C	195.75
YAL021C	235.75
YAL022C	158.5
YAL023C	11.5
YAL024C	203.25
YAL026C	57.5
YAL027W	106.0
YAL028W	48.625
YAL029C	275.625
YAL030W	120.375
YAL031C	104.875
YAL034C	293.375
YAL035W	
YAL036C	86.0
YAL037W	154.75
YAL039C	171.0
YAL040C	261.5
YAL042W	208.625
YAL043C-A	142.0
YAL044C	177.5
YAL045C	248.125
YAL046C	255.375
YAL047C	21.5
YAL048C	39.5
YAL049C	257.125
YAL051W	101.0
YAL053W	135.625
YAL054C	48.25
YAL055W	138.375
YAL056W	5.0
YAL058C-A	74.75
YAL058W	224.875
YAL059W	27.0
YAL060W	288.375
YAL061W	203.25
YAL062W	208.16666666666666
YAL064C-A	51.75
YAL065C	222.5
YAL066W	301.25
YAL067C	254.375
YAL068C	225.25
YAR002C-A	148.5
YAR002W	349.85714285714283
YAR003W	16.0
YAR014C	176.625
YAR015W	65.25
YAR018C	161.625
YAR020C	96.0
YAR023C	181.5
YAR027W	244.0
YAR028W	264.75
YAR029W	31.0
YAR030C	78.375
YAR031W	237.75
YAR035W	263.75
YAR037W	38.75
YAR040C	106.5
YAR042W	153.625
YAR043C	47.5
YAR047C	25.0
YAR050W	86.25
YBL001C	216.875
YBL003C	82.375
YBL005W	137.125
YBL006C	20.125
YBL007C	9.25
YBL008W	95.25
YBL009W	135.625
YBL010C	125.0
YBL011W	168.0
YBL012C	79.0
YBL013W	62.75
YBL015W	197.5
YBL016W	302.25
YBL017C	141.875
YBL019W	64.75
YBL021C	9.25
YBL022C	62.5
YBL024W	10.875
YBL025W	20.0
YBL027W	240.75
YBL028C	152.875
YBL029W	130.375
YBL031W	148.875
YBL032W	112.25
YBL033C	4.75
YBL036C	151.375
YBL037W	121.125
YBL038W	1.25
YBL039C	114.875
YBL042C	85.375
YBL043W	118.875
YBL044W	43.125
YBL045C	2.5
YBL046W	85.5
YBL047C	50.5
YBL048W	150.625
YBL049W	120.25
YBL051C	12.25
YBL052C	86.375
YBL053W	126.375
YBL054W	108.5
YBL055C	152.375
YBL056W	126.0
YBL057C	117.75
YBL058W	
YBL059W	92.5
YBL060W	152.25
YBL061C	205.0
YBL062W	206.25
YBL063W	126.875
YBL064C	96.125
YBL065W	131.125
YBL066C	128.375
YBL067C	173.625
YBL068W	143.5
YBL069W	117.875
YBL070C	109.75
YBL071C	66.375
YBL072C	215.375
YBL075C	162.875
YBL078C	167.5
YBL079W	40.25
YBL080C	2.625
YBL081W	157.625
YBL082C	67.75
YBL083C	66.0
YBL085W	138.5
YBL086C	134.25
YBL087C	313.5
YBL088C	188.875
YBL089W	176.625
YBL090W	11.875
YBL091C	147.125
YBL091C-A	6.25
YBL094C	3.375
YBL095W	63.75
YBL096C	104.25
YBL098W	85.625
YBL099W	88.25
YBL100C	17.25
YBL101C	121.375
YBL102W	108.5
YBL103C	196.75
YBL104C	281.25
YBL106C	58.25
YBL107C	138.875
YBR001C	93.625
YBR003W	22.5
YBR005W	79.75
YBR006W	140.75
YBR007C	137.375
YBR008C	137.375
YBR009C	134.75
YBR010W	193.5
YBR012C	134.0
YBR013C	172.25
YBR014C	155.5
YBR015C	44.75
YBR016W	138.875
YBR018C	137.5
YBR019C	114.125
YBR020W	126.375
YBR021W	53.25
YBR022W	66.25
YBR023C	127.5
YBR024W	153.375
YBR025C	150.0
YBR026C	62.875
YBR027C	139.28571428571428
YBR028C	98.25
YBR030W	120.25
YBR031W	225.875
YBR032W	122.75
YBR033W	81.5
YBR034C	99.375
YBR035C	36.875
YBR036C	100.125
YBR037C	42.5
YBR040W	143.375
YBR041W	99.875
YBR042C	151.375
YBR043C	150.25
YBR044C	140.0
YBR045C	103.625
YBR046C	183.875
YBR047W	195.875
YBR048W	390.25
YBR050C	207.0
YBR051W	190.5
YBR052C	153.625
YBR053C	168.125
YBR054W	162.375
YBR056W	156.0
YBR057C	139.25
YBR058C	90.0
YBR059C	423.75
YBR061C	99.375
YBR062C	193.25
YBR063C	157.25
YBR064W	94.625
YBR065C	97.125
YBR066C	123.875
YBR067C	133.125
YBR068C	115.25
YBR069C	114.375
YBR071W	85.375
YBR072W	102.875
YBR073W	173.125
YBR074W	132.29166666666666
YBR076W	162.625
YBR077C	37.25
YBR078W	9.0
YBR081C	196.375
YBR082C	24.0
YBR083W	106.875
YBR084C-A	273.0
YBR084W	110.25
YBR085W	62.75
YBR089C-A	150.75
YBR090C	185.375
YBR092C	165.25
YBR093C	237.375
YBR094W	191.0
YBR095C	122.0
YBR097W	20.875
YBR098W	138.41666666666666
YBR099C	256.375
YBR101C	11.0
YBR103W	181.125
YBR104W	89.125
YBR105C	78.125
YBR106W	30.0
YBR107C	118.5
YBR108W	192.25
YBR111C	142.25
YBR113W	119.5
YBR114W	93.25
YBR115C	274.375
YBR116C	243.375
YBR119W	139.25
YBR120C	11.857142857142858
YBR121C	191.75
YBR122C	63.0
YBR125C	181.125
YBR126C	10.75
YBR127C	46.125
YBR128C	67.625
YBR129C	158.375
YBR130C	94.25
YBR131W	44.0
YBR132C	64.75
YBR133C	49.5
YBR134W	20.0
YBR137W	160.375
YBR138C	152.625
YBR139W	129.5
YBR141C	97.125
YBR144C	124.375
YBR145W	100.375
YBR146W	113.25
YBR147W	169.375
YBR148W	135.0
YBR149W	100.75
YBR150C	198.5
YBR151W	122.375
YBR156C	23.25
YBR157C	141.5
YBR158W	138.875
YBR159W	83.625
YBR161W	140.375
YBR162C	90.25
YBR162W-A	167.125
YBR163W	58.875
YBR164C	111.5
YBR165W	130.125
YBR166C	170.5
YBR168W	200.25
YBR169C	85.0
YBR170C	182.875
YBR171W	12.125
YBR172C	36.75
YBR173C	31.625
YBR174C	9.375
YBR175W	13.875
YBR176W	147.875
YBR177C	91.5
YBR178W	44.75
YBR179C	117.75
YBR180W	106.5
YBR181C	259.25
YBR182C	109.375
YBR183W	207.0
YBR184W	88.25
YBR185C	144.0
YBR186W	76.875
YBR187W	172.375
YBR188C	125.75
YBR189W	95.625
YBR191W	26.25
YBR194W	19.25
YBR195C	107.25
YBR197C	151.875
