orf	hap a | growth (colony size) | CTBT [2 ug/ml] | Batova M~Schuller C, 2010	hap a | growth (colony size) | CTBT [4 ug/ml] | Batova M~Schuller C, 2010
YAL012W	-8.989669587478474	-5.640816902808533
YBL025W	-4.494834793739237	-5.640816902808533
YBL093C	0.0	-5.640816902808533
YBL099W	-4.494834793739237	-2.8204084514042664
YBL100C	-4.494834793739237	-2.8204084514042664
YBR069C	0.0	-5.640816902808533
YBR097W	-4.494834793739237	-5.640816902808533
YBR098W	-8.989669587478474	-5.640816902808533
YBR200W	-4.494834793739237	-2.8204084514042664
YCL007C	-4.494834793739237	-5.640816902808533
YCR066W	-4.494834793739237	-5.640816902808533
YCR086W	-4.494834793739237	-5.640816902808533
YCR094W	-4.494834793739237	-5.640816902808533
YDL005C	-8.989669587478474	-5.640816902808533
YDL040C	-4.494834793739237	-5.640816902808533
YDL167C	-4.494834793739237	-5.640816902808533
YDL185W	-4.494834793739237	-5.640816902808533
YDR004W	-4.494834793739237	-5.640816902808533
YDR008C	-4.494834793739237	-5.640816902808533
YDR017C	0.0	-5.640816902808533
YDR028C	-8.989669587478474	-5.640816902808533
YDR049W	-4.494834793739237	-5.640816902808533
YDR114C	0.0	-2.8204084514042664
YDR115W	0.0	-2.8204084514042664
YDR128W	-4.494834793739237	-5.640816902808533
YDR138W	-4.494834793739237	-5.640816902808533
YDR162C	0.0	-2.8204084514042664
YDR173C	0.0	-2.8204084514042664
YDR195W	-4.494834793739237	-5.640816902808533
YDR207C	-4.494834793739237	-5.640816902808533
YDR264C	-4.494834793739237	-5.640816902808533
YDR369C	-4.494834793739237	-5.640816902808533
YDR463W	-4.494834793739237	-2.8204084514042664
YDR477W	-4.494834793739237	-5.640816902808533
YDR532C	-4.494834793739237	-5.640816902808533
YEL036C	-4.494834793739237	-5.640816902808533
YEL044W	-4.494834793739237	-5.640816902808533
YEL050C	-4.494834793739237	-5.640816902808533
YEL059W	-4.494834793739237	-2.8204084514042664
YER014C-A	-4.494834793739237	-5.640816902808533
YER016W	-4.494834793739237	-2.8204084514042664
YER017C	0.0	-5.640816902808533
YER026C	-8.989669587478474	-5.640816902808533
YER067W	-4.494834793739237	-2.8204084514042664
YER083C	-4.494834793739237	-2.8204084514042664
YER086W	-4.494834793739237	-5.640816902808533
YER087C-B	0.0	-2.8204084514042664
YER090W	-8.989669587478474	-5.640816902808533
YER095W	-8.989669587478474	-5.640816902808533
YER111C	0.0	-5.640816902808533
YFL023W	0.0	-2.8204084514042664
YFR031C-A	0.0	-2.8204084514042664
YGL024W	-4.494834793739237	-5.640816902808533
YGL025C	-4.494834793739237	-5.640816902808533
YGL026C	-4.494834793739237	-5.640816902808533
YGL038C	-4.494834793739237	-5.640816902808533
YGL058W	-4.494834793739237	-5.640816902808533
YGL066W	-4.494834793739237	-2.8204084514042664
YGL085W	-4.494834793739237	-2.8204084514042664
YGL135W	-4.494834793739237	-5.640816902808533
YGL163C	-4.494834793739237	-5.640816902808533
YGL194C	0.0	-5.640816902808533
YGL244W	-4.494834793739237	-5.640816902808533
YGL246C	-4.494834793739237	-5.640816902808533
YGR044C	0.0	-2.8204084514042664
YGR055W	-8.989669587478474	-5.640816902808533
YGR056W	-4.494834793739237	-2.8204084514042664
YGR063C	-4.494834793739237	-5.640816902808533
YGR064W	-4.494834793739237	-5.640816902808533
YGR101W	-4.494834793739237	-5.640816902808533
YGR104C	-4.494834793739237	-5.640816902808533
YGR105W	0.0	-2.8204084514042664
YGR132C	-4.494834793739237	-5.640816902808533
YGR135W	-4.494834793739237	-5.640816902808533
YGR157W	0.0	-5.640816902808533
YGR165W	-4.494834793739237	-5.640816902808533
YGR180C	0.0	-5.640816902808533
YHL020C	0.0	-5.640816902808533
YHR008C	-8.989669587478474	-5.640816902808533
YHR011W	-4.494834793739237	-5.640816902808533
YHR013C	-4.494834793739237	-5.640816902808533
YHR045W	-8.989669587478474	-5.640816902808533
YHR060W	-4.494834793739237	-5.640816902808533
YHR100C	-4.494834793739237	-5.640816902808533
YHR141C	-8.989669587478474	-5.640816902808533
YHR183W	-8.989669587478474	-5.640816902808533
YHR206W	0.0	-2.8204084514042664
YIL097W	0.0	-2.8204084514042664
YIL128W	-4.494834793739237	-5.640816902808533
YIR021W	0.0	-2.8204084514042664
YIR033W	-8.989669587478474	-5.640816902808533
YJL095W	0.0	-5.640816902808533
YJL096W	0.0	-2.8204084514042664
YJL120W	0.0	-5.640816902808533
YJL121C	0.0	-5.640816902808533
YJL175W	-4.494834793739237	-5.640816902808533
YJL176C	-4.494834793739237	-5.640816902808533
YJL180C	-8.989669587478474	-5.640816902808533
YJL182C	-8.989669587478474	-5.640816902808533
YJL204C	-8.989669587478474	-5.640816902808533
YJL205C	-8.989669587478474	-5.640816902808533
YJR018W	0.0	-5.640816902808533
YJR104C	-8.989669587478474	-5.640816902808533
YKL134C	-4.494834793739237	-5.640816902808533
YKL139W	-4.494834793739237	-5.640816902808533
YKL211C	0.0	-5.640816902808533
YKR082W	-4.494834793739237	-2.8204084514042664
YLL002W	-4.494834793739237	-5.640816902808533
YLL027W	-8.989669587478474	-5.640816902808533
YLR044C	0.0	-5.640816902808533
YLR056W	-4.494834793739237	-5.640816902808533
YLR226W	-4.494834793739237	-5.640816902808533
YLR240W	-4.494834793739237	-5.640816902808533
YLR244C	-8.989669587478474	-5.640816902808533
YLR350W	-4.494834793739237	-5.640816902808533
YLR418C	-4.494834793739237	-5.640816902808533
YML007W	0.0	-5.640816902808533
YML008C	0.0	-5.640816902808533
YML081C-A	0.0	-2.8204084514042664
YMR031W-A	-4.494834793739237	-5.640816902808533
YMR038C	-8.989669587478474	-5.640816902808533
YMR060C	-4.494834793739237	-5.640816902808533
YMR077C	0.0	-5.640816902808533
YMR078C	0.0	-5.640816902808533
YMR097C	-4.494834793739237	-5.640816902808533
YMR116C	-4.494834793739237	-5.640816902808533
YMR150C	0.0	-2.8204084514042664
YMR151W	0.0	-5.640816902808533
YMR198W	-4.494834793739237	-5.640816902808533
YMR202W	0.0	-5.640816902808533
YMR224C	-8.989669587478474	-5.640816902808533
YNL059C	-8.989669587478474	-5.640816902808533
YNL101W	0.0	-2.8204084514042664
YNL107W	-4.494834793739237	-5.640816902808533
YNL139C	0.0	-2.8204084514042664
YNL250W	0.0	-5.640816902808533
YNL280C	-4.494834793739237	-5.640816902808533
YNL315C	-8.989669587478474	-5.640816902808533
YNR001C	-4.494834793739237	-5.640816902808533
YNR037C	-4.494834793739237	-5.640816902808533
YNR065C	-4.494834793739237	-2.8204084514042664
YOL012C	-4.494834793739237	-5.640816902808533
YOL027C	-4.494834793739237	-5.640816902808533
YOL028C	-4.494834793739237	-5.640816902808533
YOL086C	-8.989669587478474	-5.640816902808533
YOL138C	-4.494834793739237	-2.8204084514042664
YOL148C	-8.989669587478474	-5.640816902808533
YOR026W	-4.494834793739237	-2.8204084514042664
YOR065W	-4.494834793739237	-5.640816902808533
YOR080W	0.0	-5.640816902808533
YOR147W	-8.989669587478474	-5.640816902808533
YOR187W	-4.494834793739237	-2.8204084514042664
YOR209C	-8.989669587478474	-5.640816902808533
YOR211C	-4.494834793739237	-5.640816902808533
YOR290C	-4.494834793739237	-5.640816902808533
YOR305W	0.0	-2.8204084514042664
YOR323C	0.0	-5.640816902808533
YOR330C	-4.494834793739237	-5.640816902808533
YOR331C	-4.494834793739237	-5.640816902808533
YOR332W	-4.494834793739237	-5.640816902808533
YPL031C	-4.494834793739237	-5.640816902808533
YPL097W	-8.989669587478474	-5.640816902808533
YPL129W	-8.989669587478474	-5.640816902808533
YPL170W	-8.989669587478474	-5.640816902808533
YPL234C	-4.494834793739237	-5.640816902808533
YPR067W	-4.494834793739237	-5.640816902808533
YPR124W	-8.989669587478474	-5.640816902808533
YPR131C	-8.989669587478474	-5.640816902808533
YPR164W	-4.494834793739237	-5.640816902808533
