ORF	hap a | growth (colony size) | CTBT [2 ug/ml] | Batova M~Schuller C, 2010	hap a | growth (colony size) | CTBT [4 ug/ml] | Batova M~Schuller C, 2010
YOL086C	-2.000	-2.000
YER017C	1.000	-2.000
YDR264C	-1.000	-2.000
YEL036C	-1.000	-2.000
YHR013C	-1.000	-2.000
YDR173C	1.000	-1.000
YNL059C	-2.000	-2.000
YMR116C	-1.000	-2.000
YBL099W	-1.000	-1.000
YNL315C	-2.000	-2.000
YJL180C	-2.000	-2.000
YNL101W	1.000	-1.000
YJL095W	1.000	-2.000
YBR200W	-1.000	-1.000
YER016W	-1.000	-1.000
YOR026W	-1.000	-1.000
YFL023W	1.000	-1.000
YLR226W	-1.000	-2.000
YMR038C	-2.000	-2.000
YCR094W	-1.000	-2.000
YLR418C	-1.000	-2.000
YER026C	-2.000	-2.000
YGR157W	1.000	-2.000
YMR198W	-1.000	-2.000
YNR001C	-1.000	-2.000
YCR086W	-1.000	-2.000
YMR078C	1.000	-2.000
YKL139W	-1.000	-2.000
YPR124W	-2.000	-2.000
YCL007C	-1.000	-2.000
YAL012W	-2.000	-2.000
YOR065W	-1.000	-2.000
YPL170W	-2.000	-2.000
YOR080W	1.000	-2.000
YHR011W	-1.000	-2.000
YEL059W	-1.000	-1.000
YMR202W	1.000	-2.000
YNL280C	-1.000	-2.000
YLR056W	-1.000	-2.000
YML008C	1.000	-2.000
YIL097W	1.000	-1.000
YHR100C	-1.000	-2.000
YER083C	-1.000	-1.000
YHR183W	-2.000	-2.000
YGL194C	1.000	-2.000
YDR138W	-1.000	-2.000
YOL012C	-1.000	-2.000
YEL044W	-1.000	-2.000
YER086W	-1.000	-2.000
YMR150C	1.000	-1.000
YLL027W	-2.000	-2.000
YPR067W	-1.000	-2.000
YDR017C	1.000	-2.000
YDR532C	-1.000	-2.000
YLR244C	-2.000	-2.000
YMR060C	-1.000	-2.000
YOR147W	-2.000	-2.000
YOL027C	-1.000	-2.000
YDL005C	-2.000	-2.000
YIL128W	-1.000	-2.000
YIR033W	-2.000	-2.000
YOR211C	-1.000	-2.000
YOR330C	-1.000	-2.000
YPR164W	-1.000	-2.000
YBR098W	-2.000	-2.000
YMR224C	-2.000	-2.000
YJL096W	1.000	-1.000
YGR165W	-1.000	-2.000
YIR021W	1.000	-1.000
YPL097W	-2.000	-2.000
YDR128W	-1.000	-2.000
YMR097C	-1.000	-2.000
YGR055W	-2.000	-2.000
YDL040C	-1.000	-2.000
YPR131C	-2.000	-2.000
YDR162C	1.000	-1.000
YOR209C	-2.000	-2.000
YDL167C	-1.000	-2.000
YKR082W	-1.000	-1.000
YGL038C	-1.000	-2.000
YKL134C	-1.000	-2.000
YHL020C	1.000	-2.000
YLR350W	-1.000	-2.000
YGR101W	-1.000	-2.000
YLR044C	1.000	-2.000
YGL025C	-1.000	-2.000
YGR132C	-1.000	-2.000
YPL031C	-1.000	-2.000
YGR135W	-1.000	-2.000
YOR323C	1.000	-2.000
YCR066W	-1.000	-2.000
YNL250W	1.000	-2.000
YER095W	-2.000	-2.000
YGL163C	-1.000	-2.000
YDR004W	-1.000	-2.000
YGL058W	-1.000	-2.000
YGL246C	-1.000	-2.000
YJL204C	-2.000	-2.000
YDR195W	-1.000	-2.000
YDR028C	-2.000	-2.000
YER067W	-1.000	-1.000
YGR044C	1.000	-1.000
YEL050C	-1.000	-2.000
YGR180C	1.000	-2.000
YBL093C	1.000	-2.000
YJL121C	1.000	-2.000
YGL135W	-1.000	-2.000
YHR141C	-2.000	-2.000
YBL025W	-1.000	-2.000
YGR056W	-1.000	-1.000
YNR037C	-1.000	-2.000
YOL138C	-1.000	-1.000
YGL244W	-1.000	-2.000
YLL002W	-1.000	-2.000
YGL066W	-1.000	-1.000
YHR206W	1.000	-1.000
YDR477W	-1.000	-2.000
YOR290C	-1.000	-2.000
YJR104C	-2.000	-2.000
YHR008C	-2.000	-2.000
YOL148C	-2.000	-2.000
YGR063C	-1.000	-2.000
YGR104C	-1.000	-2.000
YDR463W	-1.000	-1.000
YJL176C	-1.000	-2.000
YER111C	1.000	-2.000
YPL129W	-2.000	-2.000
YBR069C	1.000	-2.000
YDL185W	-1.000	-2.000
YPL234C	-1.000	-2.000
YNL139C	1.000	-1.000
YER090W	-2.000	-2.000
YKL211C	1.000	-2.000
YGL026C	-1.000	-2.000
YOR187W	-1.000	-1.000
YDR207C	-1.000	-2.000
YGR105W	1.000	-1.000
YHR060W	-1.000	-2.000
YOR332W	-1.000	-2.000
YBR097W	-1.000	-2.000
YMR077C	1.000	-2.000
YLR240W	-1.000	-2.000
YDR369C	-1.000	-2.000
YNL107W	-1.000	-2.000
YML007W	1.000	-2.000
YOL028C	-1.000	-2.000
YMR151W	1.000	-2.000
YBL100C	-1.000	0.000
YDR008C	-2.000	0.000
YDR049W	-2.000	0.000
YDR114C	-1.000	0.000
YDR115W	-1.000	0.000
YGL024W	-2.000	0.000
YGL085W	-1.000	0.000
YGR064W	-2.000	0.000
YHR045W	-2.000	0.000
YJL120W	-2.000	0.000
YJL175W	-2.000	0.000
YJL182C	-2.000	0.000
YJR018W	-2.000	0.000
YNR065C	-1.000	0.000
YOR305W	-1.000	0.000
YOR331C	-2.000	0.000
