orf	hom | growth (lagVstall) | UVC [15 J/m2] | SC | Silva E~Ideker T, 2020	hom | growth (colony size) | UVC [15 J/m2] | SC | Silva E~Ideker T, 2020
YAL002W	0.8086733037131634	0.3627600893375947
YAL004W	0.35802122834035	-0.3023482497586656
YAL005C	0.4459405000544387	-0.21129691259424932
YAL007C	-0.10579241465433295	-0.4905210132317926
YAL008W	0.42172321563019866	-0.6362031526948587
YAL009W	0.4159321258765759	-0.5416831931622741
YAL011W	-0.376394244959971	-1.1460906408155904
YAL012W	-0.5564444900271465	0.09914478935680837
YAL014C	-0.052093218757105195	-0.23210864680325877
YAL015C	0.39118837874746126	-0.4965911023760871
YAL017W	0.21956153695828234	-0.5676978609235358
YAL018C	-0.07157233883747215	-0.3118869612711284
YAL019W	-0.2563607482485206	0.21014070513819205
YAL020C	0.8223613340399079	0.2708415965811362
YAL021C	6.492891128246185	-2.3462339802018004
YAL022C	-0.34428001996260926	0.31159790940711285
YAL023C	-1.1413445551430292	0.5613387199152264
YAL024C	1.090330850821172	-2.9428370275267395
YAL026C	0.983985384436466	-0.47751367935116257
YAL027W	-0.06578124908384954	-0.7229187118990649
YAL028W	0.08110184557621467	-0.3110198056790862
YAL029C	0.11216314516382683	0.23788968408353797
YAL030W	0.08426062180546334	0.3905090682829405
YAL031C	0.17060050540492763	-0.23991304713163722
YAL034C	0.14585675827581285	-0.4384916777092691
YAL036C	0.07531075582259203	-0.5174028365850968
YAL037W	0.24114650785814845	-0.13498722049454792
YAL039C	-1.1934643629256314	1.1284584771107342
YAL040C	0.3359097947356093	-0.5052626582965078
YAL042C-A	-0.5174862498664126	-0.10637108595716001
YAL042W	-0.4695781437228073	-0.22690571325100636
YAL045C	0.741812540194066	-0.8989512970836029
YAL047C	-0.15106820727356543	-2.808427910760223
YAL049C	0.553865354553769	-0.18094646687277716
YAL051W	0.1821826849121728	-0.3881966533708296
YAL053W	0.1337481160636928	-0.178345000096651
YAL054C	0.25904623982389097	-0.7801509809738408
YAL055W	0.33433040662098484	-0.8850768076109301
YAL056C-A	0.006344141483995781	-0.5503547490826949
YAL058W	0.4206702902204491	-0.7870882257101773
YAL059W	-0.05893723392047731	-0.1479945543751789
YAL060W	-0.0926308470324634	-0.2390458915395952
YAL061W	0.8018292885497913	-0.38906380896287157
YAL062W	-0.021031919169493058	-0.11937841983779088
YAL064C-A	-0.2926866748848806	-0.8807410296507198
YAL065C	-0.3763942449599709	-0.3552447408732313
YAL066W	0.03214081402285992	-0.6257972855903541
YAL067C	0.14269798204656423	-0.336167317848306
YAL068C	-0.1921322982537972	-0.11590979746962278
YAR002C-A	0.08531354721521305	-0.13498722049454803
YAR002W	-0.41324663430120584	-1.7088746200508873
YAR003W	-0.02998178515236439	-0.7758152030136305
YAR014C	0.971876742224346	-0.40033683165941863
YAR018C	0.30800727137724576	0.2595685738845896
YAR020C	-0.03314056138161309	-0.11851126424574877
YAR023C	0.06162272549584771	0.16591576994404694
YAR027W	-0.04524920359373314	-0.9978070345763979
YAR028W	-0.4869514129836752	0.3618929337455526
YAR029W	-0.2905808240653815	-0.21649984614650164
YAR030C	-0.18739413390992413	-0.24598313627593174
YAR031W	-0.048407979822981735	-0.19742242312157632
YAR035W	0.1853414611414215	-0.4757793681670778
YAR042W	0.14585675827581285	0.23355390612332766
YAR047C	-0.1294832363736981	-0.19828957871361869
YAR050W	-0.14264480399556773	0.07226296600350446
YBL001C	0.07057259147871901	-0.14279162082292654
YBL002W	-0.2553078228387711	-0.6041183957893027
YBL003C	-0.0020792617940008566	-0.017921215568869872
YBL005W	-0.09526316055683737	0.08006736633188304
YBL006C	0.1348010414734425	-0.2555218477883943
YBL007C	-1.348770860863692	-0.062146150763014794
YBL008W	-0.12948323637369816	-0.44022598889335307
YBL009W	-0.2637312261167676	-0.35004180732097834
YBL010C	0.19429132712429298	-0.5590263050031155
YBL011W	-0.17370610358317984	0.3549556890092162
YBL012C	0.39434715497670997	0.6151023666218342
YBL013W	0.18007683409267367	-0.004046726096196847
YBL015W	-0.30321592898237637	0.005491985416265729
YBL017C	-0.07262526424722171	0.3263395544718281
