orf	hom | growth (lagVstall) | UVC [15 J/m2] | SC | Silva E~Ideker T, 2020	hom | growth (colony size) | UVC [15 J/m2] | SC | Silva E~Ideker T, 2020
YAL002W	1.529	0.509
YAL004W	0.6729999999999999	-0.25799999999999995
YAL005C	0.8400000000000001	-0.15300000000000002
YAL007C	-0.20799999999999996	-0.47499999999999987
YAL008W	0.794	-0.6429999999999998
YAL009W	0.7829999999999997	-0.5339999999999998
YAL011W	-0.7220000000000001	-1.231
YAL012W	-1.064	0.20500000000000007
YAL014C	-0.10599999999999998	-0.17700000000000005
YAL015C	0.736	-0.482
YAL017W	0.41000000000000003	-0.5639999999999996
YAL018C	-0.14300000000000002	-0.26900000000000013
YAL019W	-0.494	0.333
YAL020C	1.5550000000000002	0.4029999999999999
YAL021C	12.326	-2.6149999999999984
YAL022C	-0.661	0.44999999999999973
YAL023C	-2.175	0.738
YAL024C	2.064	-3.303
YAL026C	1.862	-0.46000000000000085
YAL027W	-0.132	-0.743
YAL028W	0.14700000000000002	-0.268
YAL029C	0.20600000000000007	0.365
YAL030W	0.153	0.5409999999999999
YAL031C	0.31700000000000006	-0.18599999999999994
YAL034C	0.27	-0.41500000000000004
YAL036C	0.13599999999999995	-0.5060000000000002
YAL037W	0.45100000000000007	-0.06499999999999995
YAL039C	-2.2739999999999974	1.3920000000000003
YAL040C	0.6310000000000002	-0.4920000000000001
YAL042C-A	-0.99	-0.03200000000000003
YAL042W	-0.8989999999999999	-0.17099999999999999
YAL045C	1.4019999999999997	-0.9459999999999997
YAL047C	-0.29400000000000226	-3.1480000000000032
YAL049C	1.045	-0.118
YAL051W	0.33899999999999997	-0.357
YAL053W	0.2469999999999999	-0.11499999999999999
YAL054C	0.485	-0.8089999999999999
YAL055W	0.628	-0.9299999999999999
YAL056C-A	0.0050000000000003375	-0.544
YAL058W	0.792	-0.817
YAL059W	-0.11899999999999988	-0.08
YAL060W	-0.18299999999999994	-0.185
YAL061W	1.516	-0.3579999999999999
YAL062W	-0.046999999999999986	-0.046999999999999986
YAL064C-A	-0.563	-0.9249999999999999
YAL065C	-0.722	-0.319
YAL066W	0.05399999999999999	-0.631
YAL067C	0.2640000000000001	-0.29700000000000004
YAL068C	-0.37199999999999994	-0.04300000000000015
YAR002C-A	0.15500000000000025	-0.06500000000000006
YAR002W	-0.7920000000000003	-1.88
YAR003W	-0.06400000000000006	-0.8039999999999999
YAR014C	1.839	-0.3710000000000002
YAR018C	0.5780000000000001	0.3900000000000001
YAR020C	-0.07000000000000006	-0.04599999999999993
YAR023C	0.10999999999999999	0.282
YAR027W	-0.0930000000000002	-1.0599999999999998
YAR028W	-0.932	0.508
YAR029W	-0.559	-0.159
YAR030C	-0.3629999999999999	-0.19300000000000006
YAR031W	-0.099	-0.137
YAR035W	0.345	-0.4580000000000001
YAR042W	0.27	0.36
YAR047C	-0.2529999999999999	-0.13800000000000034
YAR050W	-0.278	0.17400000000000002
YBL001C	0.127	-0.07400000000000001
YBL002W	-0.49200000000000005	-0.6060000000000001
YBL003C	-0.010999999999999899	0.06999999999999995
YBL005W	-0.18800000000000006	0.18300000000000005
YBL006C	0.2490000000000001	-0.20399999999999996
YBL007C	-2.5689999999999973	0.019000000000000128
YBL008W	-0.253	-0.4169999999999998
YBL009W	-0.508	-0.3129999999999993
YBL010C	0.3620000000000003	-0.5539999999999999
YBL011W	-0.33699999999999997	0.5000000000000001
YBL012C	0.742	0.7999999999999999
YBL013W	0.33499999999999996	0.08600000000000002
YBL015W	-0.5830000000000002	0.09699999999999992
YBL017C	-0.14500000000000002	0.46699999999999997
YBL019W	-3.328999999999999	2.562
YBL021C	-4.616	1.4849999999999994
YBL022C	1.049	0.09100000000000019
YBL024W	0.5589999999999999	-0.2819999999999999
YBL028C	1.263	-0.2509999999999999
YBL029W	-0.16600000000000004	0.328
YBL031W	0.8210000000000002	-1.205
YBL036C	0.37399999999999994	-0.41500000000000004
YBL037W	-0.44099999999999995	0.22399999999999998
YBL039C	0.8630000000000002	-1.0479999999999998
YBL043W	0.3440000000000001	-0.15600000000000036
YBL044W	0.23399999999999999	0.27199999999999996
YBL045C	-3.2200000000000006	1.9969999999999999
YBL046W	-1.116	-0.769
YBL047C	0.367	-1.6109999999999998
YBL048W	1.2169999999999999	0.715
YBL049W	0.5569999999999999	-0.137
YBL051C	-2.0059999999999993	4.002999999999998
YBL052C	0.2849999999999999	-0.7360000000000007
YBL053W	0.033999999999999975	-0.173
YBL054W	0.04800000000000004	0.47300000000000003
YBL055C	-0.04500000000000004	-0.5329999999999999
YBL056W	-0.48	-0.9829999999999999
YBL057C	-0.185	0.7619999999999999
YBL059W	-2.274	1.041
YBL060W	0.335	0.11
YBL061C	0.21599999999999997	-0.265
YBL062W	0.19899999999999998	-1.007
YBL063W	-0.708	0.12700000000000003
YBL064C	-0.7409999999999999	0.3330000000000002
YBL065W	0.10599999999999987	0.21900000000000003
YBL066C	-0.43500000000000005	0.25499999999999995
YBL067C	-0.21900000000000003	0.68
YBL068W	0.47299999999999986	-0.629
YBL069W	-0.8969999999999998	-0.602
YBL070C	-0.478	-0.20599999999999996
YBL071C	0.10100000000000009	0.45599999999999996
YBL072C	2.5109999999999997	-0.7910000000000001
YBL075C	-0.7269999999999999	0.21199999999999974
YBL078C	-1.104	0.544
YBL080C	-3.682999999999998	1.8909999999999996
YBL081W	-0.3340000000000002	0.06599999999999984
YBL083C	0.9959999999999996	-0.6200000000000001
YBL085W	-0.2140000000000002	-0.17200000000000001
YBL086C	0.322	-0.5259999999999998
YBL087C	1.9500000000000002	0.14300000000000002
YBL088C	-0.373	-0.526
YBL089W	-3.4419999999999993	2.484
YBL090W	-3.4909999999999997	5.1579999999999995
YBL091C	-0.27899999999999997	0.31799999999999984
