ORF	growth;control barcode hybridization (microarray)
	growth;0.4 mM H202 barcode hybridization (microarray)
	growth;2.5 mM DDT barcode hybridization (microarray)
	growth;0.7 M NaClbarcode hybridization (microarray)
	growth;Heat Shock barcode hybridization (microarray)
	growth;20 uM tunicamycin barcode hybridization (microarray)
	growth;2.5 mM DDT, H2O2 barcode hybridization (microarray)
	growth;0.7 M NaCl, H2O2 barcode hybridization (microarray)
	growth;Heat Shock, H2O2 barcode hybridization (microarray)
	growth;20 uM tunicamycin, H2O2 barcode hybridization (microarray)
	growth;control barcode sequencing
	growth;0.4 mM H202 barcode sequencing
	growth;2.5 mM DDT barcode sequencing
	growth;0.7 M NaCl barcode sequencing
	growth;Heat Shock barcode sequencing
	growth;20 uM tunicamycin barcode sequencing
	growth;2.5 mM DDT, H2O2 barcode sequencing
	growth;0.7 M NaCl, H2O2 barcode sequencing
	growth;Heat Shock, H2O2 barcode sequencing
	growth;20 uM tunicamycin, H2O2 barcode sequencing
YBL009W	0.010
YBL010C	0.115
YBL011W	-0.213
YBL012C	-0.207
YBL013W	-0.189
YBL014C	-0.044
YBL015W	0.022
YBL016W	-0.124
YBL017C	0.004
YBL018C	-0.035
YBL019W	0.104
YBL020W	-0.001
YBL021C	0.037
YBL022C	0.048
YBL023C	-0.167
YBL024W	-0.073
YBL025W	-0.059
YBL026W	0.364
YBL027W	0.262
YBL028C	-0.029
YBL029C-A	NaN
YBL029W	0.020
YBL030C	-0.458
YBL031W	-0.185
YBL032W	0.049
YBL033C	0.890
YBL034C	-0.065
YBL035C	-0.303
YBL036C	0.121
YBL037W	0.034
YBL038W	0.353
YBL039C	-0.289
YBL039W-A	NaN
YBL040C	-0.016
YBL041W	0.021
YBL042C	0.268
YBL043W	0.027
YBL044W	-0.000
YBL045C	-0.121
YBL046W	0.268
YBL047C	0.375
YBL048W	-0.027
YBL049W	0.062
YBL050W	-0.076
YBL051C	-0.115
YBL052C	0.154
YBL053W	0.047
YBL054W	0.054
YBL055C	-0.036
YBL056W	0.079
YBL057C	-0.013
YBL058W	NaN
YBL059W	-0.170
YBL060W	0.104
YBL061C	-0.002
YBL062W	0.176
YBL063W	0.192
YBL064C	-0.026
YBL065W	0.037
YBL066C	0.112
YBL067C	0.219
YBL068W	0.144
YBL069W	-0.003
YBL070C	0.086
YBL071C	-0.241
YBL071C-B	NaN
YBL071W-A	NaN
YBL072C	-0.063
YBL073W	-0.023
YBL074C	0.229
YBL075C	0.130
YBL076C	0.081
YBL077W	0.104
YBL078C	0.047
YBL079W	-0.278
YBL080C	0.252
YBL081W	0.196
YBL082C	0.134
YBL083C	0.138
YBL084C	0.039
YBL085W	0.052
YBL086C	0.039
YBL087C	0.141
YBL088C	0.141
YBL089W	0.072
YBL090W	-2.723
YBL091C	-0.027
YBL091C-A	0.012
YBL092W	-0.150
YBL093C	NaN
YBL094C	-0.050
YBL095W	-0.024
YBL096C	-0.077
YBL097W	0.059
YBL098W	0.112
YBL099W	0.193
YBL100C	NaN
YBL101C	0.042
YBL101W-C	NaN
YBL102W	-0.034
YBL103C	0.057
YBL104C	0.050
YBL105C	-0.065
YBL106C	0.020
YBL107C	0.121
YBR001C	-0.047
YBR002C	-0.343
YBR003W	-0.285
YBR004C	-0.144
YBR005W	0.015
YBR006W	-0.074
