ORF	growth;control barcode hybridization (microarray)
	growth;0.4 mM H202 barcode hybridization (microarray)
	growth;2.5 mM DDT barcode hybridization (microarray)
	growth;0.7 M NaClbarcode hybridization (microarray)
	growth;Heat Shock barcode hybridization (microarray)
	growth;20 uM tunicamycin barcode hybridization (microarray)
	growth;2.5 mM DDT, H2O2 barcode hybridization (microarray)
	growth;0.7 M NaCl, H2O2 barcode hybridization (microarray)
	growth;Heat Shock, H2O2 barcode hybridization (microarray)
	growth;20 uM tunicamycin, H2O2 barcode hybridization (microarray)
	growth;control barcode sequencing
	growth;0.4 mM H202 barcode sequencing
	growth;2.5 mM DDT barcode sequencing
	growth;0.7 M NaCl barcode sequencing
	growth;Heat Shock barcode sequencing
	growth;20 uM tunicamycin barcode sequencing
	growth;2.5 mM DDT, H2O2 barcode sequencing
	growth;0.7 M NaCl, H2O2 barcode sequencing
	growth;Heat Shock, H2O2 barcode sequencing
	growth;20 uM tunicamycin, H2O2 barcode sequencing
YDR145W	-0.167
YDR146C	-0.053
YDR147W	0.171
YDR148C	-0.056
YDR149C	-0.117
YDR150W	-0.040
YDR151C	-0.004
YDR152W	-0.025
YDR153C	0.124
YDR154C	-0.084
YDR155C	-0.153
YDR156W	-0.081
YDR157W	0.108
YDR158W	0.050
YDR159W	-0.769
YDR160W	-0.087
YDR161W	0.060
YDR162C	-0.164
YDR163W	0.185
YDR164C	0.045
YDR165W	0.190
YDR166C	0.031
YDR167W	-0.038
YDR168W	-0.086
YDR169C	0.009
YDR169C-A	NaN
YDR170C	0.144
YDR171W	0.002
YDR172W	-0.326
YDR173C	-0.373
YDR174W	-0.848
YDR175C	0.279
YDR176W	-1.564
YDR177W	0.053
YDR178W	0.043
YDR179C	0.186
YDR179W-A	-0.158
YDR180W	-0.110
YDR181C	0.028
YDR182W	-0.017
YDR182W-A	NaN
YDR183W	-0.095
YDR184C	0.062
YDR185C	0.186
YDR186C	0.044
YDR187C	-0.093
YDR188W	0.185
YDR189W	0.206
YDR190C	-0.036
YDR191W	0.035
YDR192C	0.039
YDR193W	-0.091
YDR194C	3.924
YDR194W-A	NaN
YDR195W	-1.194
YDR196C	-0.119
YDR197W	-0.127
YDR198C	0.028
YDR199W	0.171
YDR200C	-0.932
YDR201W	0.040
YDR202C	0.041
YDR203W	0.116
YDR204W	-0.389
YDR205W	0.111
YDR206W	0.012
YDR207C	-3.189
YDR208W	-0.161
YDR209C	-0.011
YDR210W	0.014
YDR211W	-0.026
YDR212W	-0.142
YDR213W	0.068
YDR214W	-0.006
YDR215C	-0.018
YDR216W	-0.021
YDR217C	-0.005
YDR218C	-0.061
YDR219C	-0.085
YDR220C	0.207
YDR221W	-0.042
YDR222W	-0.038
YDR223W	-0.037
YDR224C	-0.039
YDR225W	-0.372
YDR226W	NaN
YDR227W	NaN
YDR228C	-0.323
YDR229W	-0.069
YDR230W	-0.236
YDR231C	-0.132
YDR232W	-0.302
YDR233C	-0.081
YDR234W	0.104
YDR235W	-0.229
YDR236C	0.113
YDR237W	-0.346
YDR238C	0.009
YDR239C	-0.032
YDR240C	0.063
YDR241W	-0.802
YDR242W	0.047
YDR243C	0.000
YDR244W	-0.003
YDR245W	NaN
YDR246W	-0.020
YDR246W-A	NaN
YDR247W	-0.056
YDR248C	0.027
YDR249C	0.029
YDR250C	0.351
YDR251W	0.022
YDR252W	-0.066
YDR253C	0.052
YDR254W	0.033
YDR255C	0.060
YDR256C	-0.030
YDR257C	-0.026
YDR258C	0.132
YDR259C	-0.033
YDR260C	-0.081
YDR261C	-0.022
YDR262W	0.020
YDR263C	-0.032
YDR264C	-0.343
YDR265W	-0.040
YDR266C	0.105
YDR267C	NaN
YDR268W	-1.301
YDR269C	0.029
YDR270W	-0.053
YDR271C	0.334
YDR272W	0.105
YDR273W	-0.015
YDR274C	0.455
YDR275W	0.051
YDR276C	0.037
YDR277C	0.330
YDR278C	0.050
YDR279W	0.073
YDR280W	0.121
YDR281C	-0.143
YDR282C	-0.172
YDR283C	0.039
YDR284C	0.118
YDR285W	-0.134
YDR286C	-0.081
YDR287W	0.216
YDR288W	0.528
YDR289C	0.100
YDR290W	0.037
YDR291W	0.022
YDR292C	-0.040
YDR293C	-0.533
YDR294C	0.152
YDR295C	0.001
YDR296W	-1.638
YDR297W	-0.049
YDR298C	-1.749
YDR299W	0.157
YDR300C	NaN
YDR301W	-0.044
YDR302W	0.059
YDR303C	-0.129
YDR304C	0.013
YDR305C	0.094
YDR306C	0.013
YDR307W	0.051
YDR308C	0.049
YDR309C	-0.128
YDR310C	0.125
YDR311W	-0.084
YDR312W	-0.017
YDR313C	-0.140
YDR314C	0.001
YDR315C	0.510
YDR316W	-0.345
YDR317W	-0.197
YDR318W	-0.025
YDR319C	0.000
YDR320C	-1.279
YDR320C-A	0.366
YDR321W	0.151
YDR322C-A	NaN
YDR322W	-0.102
YDR323C	-0.842
YDR324C	-0.025
YDR325W	0.393
YDR326C	0.180
YDR327W	-0.047
YDR328C	-0.222
YDR329C	0.118
YDR330W	0.006
YDR331W	0.063
YDR332W	-0.356
YDR333C	0.111
YDR334W	-0.549
YDR335W	0.056
YDR336W	-0.239
YDR337W	0.029
YDR338C	0.061
YDR339C	0.024
YDR340W	0.126
YDR341C	0.046
YDR344C	-0.031
YDR345C	0.202
YDR346C	-0.061
YDR347W	-1.633
YDR348C	0.058
YDR349C	0.052
YDR350C	0.392
YDR351W	-0.116
YDR352W	0.052
YDR353W	0.006
YDR354W	0.208
YDR355C	-0.053
YDR356W	0.041
YDR357C	0.096
YDR358W	0.049
YDR359C	-0.616
YDR360W	-0.175
YDR361C	0.110
YDR362C	0.271
YDR363W	-0.664
YDR363W-A	0.106
YDR364C	0.388
YDR365C	-0.012
YDR367W	-0.055
YDR368W	0.023
YDR369C	-1.032
YDR370C	-0.045
YDR371W	0.033
YDR372C	-0.008
YDR373W	0.054
YDR374C	0.003
YDR375C	-0.372
YDR376W	0.516
YDR377W	-0.047
YDR378C	-0.691
YDR379C-A	NaN
YDR379W	0.147
YDR380W	0.071
YDR381W	-0.130
YDR382W	-2.445
YDR383C	-0.125
YDR384C	0.222
YDR385W	-0.113
YDR386W	-0.110
YDR387C	0.086
YDR388W	-0.515
YDR389W	-0.207
YDR390C	0.263
YDR391C	0.000
YDR392W	-0.001
YDR393W	-0.567
YDR394W	-0.212
YDR395W	-0.071
YDR396W	0.107
YDR397C	0.213
YDR398W	0.142
YDR399W	0.103
YDR400W	0.093
YDR401W	-0.048
YDR402C	-0.114
YDR403W	0.002
YDR404C	-0.500
YDR405W	-0.870
YDR406W	0.044
YDR407C	0.182
YDR408C	0.043
YDR409W	-0.074
YDR410C	0.177
YDR411C	0.056
YDR412W	0.109
YDR413C	-0.131
YDR414C	-0.200
YDR415C	0.041
YDR416W	0.041
YDR417C	-0.289
YDR418W	-0.731
YDR419W	0.135
YDR420W	0.120
YDR421W	-0.033
YDR422C	-0.044
YDR423C	0.034
YDR424C	-0.080
YDR425W	0.003
YDR426C	-0.105
YDR427W	-0.215
YDR428C	0.050
YDR429C	0.129
YDR430C	0.075
YDR431W	-0.017
YDR432W	-0.178
YDR433W	-1.234
YDR434W	0.147
YDR435C	-0.011
YDR436W	-0.115
YDR437W	0.024
YDR438W	-0.033
YDR439W	0.061
YDR440W	-0.027
YDR441C	-0.043
YDR442W	-0.612
YDR443C	-0.145
YDR444W	0.083
YDR445C	0.051
YDR446W	-0.054
YDR447C	0.032
YDR448W	-0.950
YDR449C	-0.186
YDR450W	-0.189
YDR451C	0.062
YDR452W	0.204
YDR453C	-0.075
YDR454C	-0.080
YDR455C	0.068
YDR456W	0.012
YDR457W	-0.185
YDR458C	0.192
YDR459C	-0.081
YDR460W	0.195
YDR461W	-0.046
YDR462W	-0.381
YDR463W	-2.684
YDR464W	0.292
YDR465C	-0.198
YDR466W	0.012
YDR467C	-0.063
YDR468C	-0.106
YDR469W	0.126
YDR470C	0.019
YDR471W	0.265
YDR472W	0.122
YDR473C	0.144
YDR474C	0.090
YDR475C	-0.035
YDR476C	0.016
YDR477W	-0.351
YDR478W	0.003
YDR479C	-0.996
YDR480W	0.065
YDR481C	-0.024
YDR482C	0.147
YDR483W	0.088
YDR484W	-0.076
YDR485C	-0.122
YDR486C	-0.042
YDR487C	0.084
YDR488C	0.033
YDR489W	-0.060
YDR490C	0.386
YDR491C	-0.016
YDR492W	0.124
YDR493W	-0.027
YDR494W	0.279
YDR495C	-0.476
YDR496C	0.058
YDR497C	-0.075
YDR498C	-0.088
YDR499W	0.106
YDR500C	-0.110
YDR501W	0.031
YDR502C	0.020
YDR503C	0.068
YDR504C	0.098
YDR505C	0.190
YDR506C	-0.046
YDR507C	-0.812
YDR508C	0.323
YDR509W	-0.644
YDR510W	0.068
YDR511W	-0.017
YDR512C	-0.611
YDR513W	-0.080
YDR514C	0.246
YDR515W	0.029
YDR516C	-0.080
YDR517W	0.034
YDR518W	-0.163
YDR519W	-1.195
YDR520C	0.042
YDR521W	0.056
YDR522C	-0.010
YDR523C	0.072
YDR524C	0.092
YDR524C-B	NaN
YDR524W-A	NaN
YDR525W	0.143
YDR525W-A	0.032
YDR526C	0.080
YDR527W	-0.089
YDR528W	-0.119
YDR529C	-1.377
YDR530C	-0.063
YDR531W	-0.173
YDR532C	-1.426
YDR533C	-0.320
YDR534C	-0.024
YDR535C	0.060
YDR536W	0.111
YDR537C	-0.079
YDR538W	0.008
YDR539W	0.156
YDR540C	-0.086
YDR541C	0.130
YEL001C	-0.070
YEL002C	0.007
YEL003W	-0.181
YEL004W	0.004
YEL005C	-0.031
YEL006W	-0.072
YEL007W	0.321
YEL008W	-0.250
YEL009C	-0.036
YEL010W	0.046
YEL011W	-0.077
YEL012W	0.097
YEL013W	0.163
YEL014C	0.001
YEL015W	0.087
YEL016C	-0.022
YEL017C-A	0.066
YEL017W	0.039
YEL018W	-0.033
YEL019C	-0.084
YEL020C	-0.005
YEL022W	NaN
YEL023C	0.203
YEL024W	-0.311
YEL025C	0.054
YEL026W	0.063
YEL027W	NaN
YEL028W	0.162
YEL029C	-0.413
YEL030W	0.025
YEL031W	-0.587
YEL032W	0.289
YEL033W	-0.214
YEL034W	-0.332
YEL035C	-0.561
YEL036C	NaN
YEL037C	-0.016
YEL038W	-0.051
YEL039C	-0.054
YEL040W	0.062
YEL041W	0.204
YEL042W	0.005
YEL043W	-0.105
YEL044W	NaN
YEL045C	0.735
YEL046C	-1.234
YEL047C	-0.038
YEL048C	-0.130
YEL049W	-0.039
YEL050C	-0.847
YEL051W	NaN
YEL052W	-0.063
YEL053C	0.071
YEL054C	0.188
YEL055C	0.079
YEL056W	-0.086
YEL057C	-0.023
YEL058W	-0.003
YEL059C-A	NaN
YEL059W	-0.016
YEL060C	-0.059
YEL061C	-0.110
YEL062W	0.043
YEL063C	-0.048
YEL064C	0.158
YEL065W	-0.068
YEL066W	0.085
YEL067C	-0.029
YEL068C	0.072
YEL071W	-0.013
YEL072W	-0.002
YER001W	-0.058
YER002W	0.124
YER003C	0.282
YER004W	0.215
YER005W	0.110
YER006W	0.056
YER007C-A	0.022
YER007W	-0.062
YER008C	-0.002
YER009W	-0.123
YER010C	0.171
YER011W	-0.101
YER012W	NaN
YER013W	-0.170
YER014C-A	NaN
YER014W	NaN
YER015W	NaN
YER016W	-0.597
YER017C	-1.550
YER018C	-0.075
YER019C-A	-0.044
YER019W	-0.149
YER020W	0.122
YER021W	NaN
YER022W	-0.022
YER023W	-0.046
YER024W	0.138
YER025W	0.079
YER026C	NaN
YER027C	0.035
YER028C	-0.760
YER029C	NaN
YER030W	0.150
YER031C	-0.182
YER032W	0.093
YER033C	-0.052
YER034W	-0.024
YER035W	-0.001
YER036C	0.136
YER037W	-0.005
YER038C	-0.191
YER038W-A	-0.012
YER039C	-0.043
YER039C-A	-0.018
YER040W	-0.014
YER041W	-0.053
YER042W	0.093
YER043C	0.036
YER044C	-0.365
YER044C-A	0.024
YER045C	-0.024
YER046W	-0.108
YER046W-A	-0.132
YER047C	0.154
YER048C	0.071
YER048W-A	-0.151
YER049W	0.024
YER050C	-0.562
YER051W	-0.039
YER052C	-0.050
YER053C	-0.092
YER053C-A	NaN
YER054C	NaN
YER055C	-0.070
YER056C	0.086
YER056C-A	-0.072
YER057C	-0.006
YER058W	-0.285
YER059W	0.155
YER060W	-0.014
YER060W-A	0.051
YER061C	-2.587
YER062C	-0.129
YER063W	0.194
YER064C	-0.108
YER065C	0.185
YER066C-A	0.011
YER066W	0.095
YER067C-A	-0.095
YER067W	0.014
YER068C-A	-0.087
YER068W	NaN
YER069W	0.071
YER070W	NaN
YER071C	0.028
YER072W	-0.177
YER073W	-0.016
YER074W	-0.458
YER074W-A	0.364
YER075C	0.252
YER076C	NaN
YER077C	-1.015
YER078C	-0.375
YER079W	0.020
YER080W	0.188
YER081W	-0.031
YER082C	0.115
YER083C	-0.382
YER084W	-0.038
YER085C	-0.081
YER086W	0.098
YER087C-A	-0.054
YER087C-B	NaN
YER087W	-1.699
YER088C	0.106
YER089C	-0.051
YER090W	0.168
YER091C	0.099
YER091C-A	-0.030
YER092W	0.020
YER093C	0.073
YER093C-A	-0.702
YER094C	0.102
YER095W	-0.306
YER096W	-0.046
YER097W	0.036
YER098W	-0.035
YER099C	NaN
YER101C	-0.040
YER103W	0.024
YER104W	0.673
YER105C	NaN
YER106W	-0.003
YER107C	0.102
YER108C	-0.020
YER109C	-0.154
YER110C	-0.088
YER111C	-0.106
YER112W	0.034
YER113C	-0.004
YER114C	0.092
YER115C	-0.047
YER116C	-0.260
YER117W	0.823
YER118C	-0.041
YER119C	-0.045
YER119C-A	0.104
YER120W	0.016
YER121W	0.087
YER122C	-2.001
YER123W	-0.182
YER124C	0.035
YER125W	0.176
YER126C	-0.086
YER127W	0.027
YER128W	0.023
YER129W	-0.051
YER130C	-0.073
YER131W	-0.030
YER132C	0.046
YER133W	-0.180
YER134C	0.069
YER135C	-0.005
YER136W	0.029
YER137C	0.210
YER139C	-0.187
YER140W	0.000
YER141W	-0.272
YER142C	-0.011
YER143W	-0.061
YER144C	0.193
YER145C	-0.017
YER146W	-0.044
YER147C	0.788
YER148W	0.068
YER149C	-0.064
YER150W	-0.013
YER151C	-0.463
YER152C	-0.026
YER153C	0.318
YER154W	-0.531
YER155C	NaN
YER156C	-0.330
YER157W	-0.026
YER158C	0.140
YER159C	-0.113
YER161C	0.063
YER162C	-0.124
YER163C	0.105
YER164W	0.061
YER165W	-0.362
YER166W	0.081
YER167W	0.182
YER168C	-0.013
YER169W	-0.018
YER170W	-0.022
YER171W	0.217
YER172C	-0.023
YER173W	0.130
YER174C	0.097
YER175C	-0.066
YER175W-A	NaN
YER176W	-0.163
YER177W	0.026
YER178W	-0.783
YER179W	0.056
YER180C	-0.029
YER180C-A	NaN
YER181C	-0.009
YER182W	-0.094
YER183C	0.003
YER184C	-0.014
YER185W	0.048
YER186C	-0.047
YER186W-A	NaN
YER187W	0.041
YER188W	0.024
YFL001W	NaN
YFL002C	0.131
YFL003C	0.196
YFL004W	0.312
YFL005W	-0.144
YFL006W	0.202
YFL007W	0.028
YFL008W	-0.010
YFL009W	0.136
YFL010C	-0.014
YFL010W-A	0.061
YFL011W	0.058
YFL012W	0.046
YFL013C	0.149
YFL013W-A	0.024
YFL014W	0.290
YFL015C	0.062
YFL016C	-0.999
YFL017C	-0.065
YFL018C	0.042
YFL018W-A	0.062
YFL019C	0.135
YFL020C	-0.029
YFL021W	0.137
YFL022C	-0.091
YFL023W	-0.299
YFL024C	-0.023
YFL025C	-0.408
YFL026W	0.224
YFL027C	-0.060
YFL028C	0.199
YFL029C	0.030
YFL030W	-0.009
YFL031W	-0.043
YFL032W	-0.054
YFL033C	-0.006
YFL034C-A	0.080
YFL034W	0.068
YFL035C	-0.010
YFL035C-A	0.092
YFL035C-B	0.040
YFL036W	-0.685
YFL037W	0.012
YFL038C	-0.121
YFL039C	-1.300
YFL040W	0.158
YFL041W	-0.047
YFL041W-A	NaN
YFL042C	0.178
YFL043C	0.025
YFL044C	-0.043
YFL045C	0.079
YFL046W	0.055
YFL047W	0.127
YFL048C	0.089
YFL049W	0.078
YFL050C	0.056
YFL051C	-0.060
YFL052W	0.010
YFL053W	0.075
YFL054C	0.068
YFL055W	0.148
YFL056C	0.147
YFL060C	NaN
YFL063W	-0.050
YFR001W	-1.118
YFR002W	-0.140
YFR003C	0.315
YFR004W	-0.121
YFR005C	0.009
YFR006W	-0.128
YFR007W	-0.073
YFR008W	0.104
YFR009W	-0.209
YFR010W	0.233
YFR011C	-0.003
YFR012W	-0.005
YFR012W-A	NaN
YFR013W	0.087
YFR014C	-0.071
YFR015C	0.005
YFR016C	-0.075
YFR017C	0.106
YFR018C	-0.134
YFR019W	NaN
YFR020W	0.133
YFR021W	0.055
YFR022W	-0.022
YFR023W	-0.062
YFR024C	0.063
YFR024C-A	0.133
YFR025C	0.005
YFR026C	0.113
YFR027W	0.187
YFR028C	-0.146
YFR029W	-0.259
YFR030W	0.269
YFR031C	0.091
YFR031C-A	0.073
YFR032C	0.059
YFR032C-A	0.147
YFR032C-B	NaN
YFR033C	-0.041
YFR034C	-0.317
YFR035C	-0.108
YFR036W	-0.016
YFR037C	-0.480
YFR038W	0.006
YFR039C	0.008
YFR040W	0.050
YFR041C	0.136
YFR042W	0.186
YFR043C	0.071
YFR044C	0.008
YFR045W	0.077
YFR046C	0.099
YFR047C	0.071
YFR048W	-0.098
YFR049W	-0.032
YFR050C	0.219
YFR051C	-0.041
YFR052W	-0.050
YFR053C	0.096
YFR054C	0.073
YFR055W	-0.052
YFR056C	0.004
YFR057W	0.064
YGL001C	-0.061
YGL002W	0.146
YGL003C	0.055
YGL004C	-0.025
YGL005C	-0.423
YGL006W	0.045
YGL006W-A	NaN
YGL007C-A	NaN
YGL007W	0.057
YGL008C	0.025
YGL009C	0.041
YGL010W	0.041
YGL011C	0.090
YGL012W	-0.761
YGL013C	-0.017
YGL014W	0.108
YGL015C	-0.136
YGL016W	0.004
YGL017W	0.061
YGL018C	-0.095
YGL019W	0.069
YGL020C	0.460
YGL021W	0.013
YGL022W	-0.058
YGL023C	0.042
YGL024W	-0.056
YGL025C	0.663
YGL026C	-0.133
YGL027C	0.122
YGL028C	0.036
YGL029W	-0.010
YGL030W	-0.048
YGL031C	-0.090
YGL032C	-0.025
YGL033W	0.071
YGL034C	-0.099
YGL035C	0.011
YGL036W	NaN
YGL037C	0.103
YGL038C	NaN
YGL039W	0.068
YGL040C	-0.002
YGL041C	0.078
YGL041C-B	NaN
YGL042C	0.061
YGL043W	-0.180
YGL044C	0.105
YGL045W	-0.305
YGL046W	-0.348
YGL047W	-0.253
YGL048C	-0.242
YGL049C	0.097
YGL050W	0.087
YGL051W	0.064
YGL053W	0.096
YGL054C	0.017
YGL055W	0.050
YGL056C	0.163
YGL057C	-0.127
YGL058W	NaN
YGL059W	0.084
YGL060W	0.012
YGL061C	-0.007
YGL062W	0.051
YGL063W	0.126
YGL064C	-0.505
YGL065C	-0.012
YGL066W	-0.034
YGL067W	0.029
YGL068W	0.048
YGL069C	-0.028
YGL070C	NaN
YGL071W	0.366
YGL072C	-0.295
YGL073W	0.269
YGL074C	0.141
YGL075C	0.009
YGL076C	-2.545
YGL077C	-0.155
YGL078C	-0.153
YGL079W	0.097
YGL080W	-0.007
YGL081W	-0.076
YGL082W	-0.058
YGL083W	0.005
YGL084C	-0.494
YGL085W	0.082
YGL086W	-0.043
YGL087C	-0.075
YGL088W	0.067
YGL089C	-0.029
YGL090W	0.112
YGL091C	0.010
YGL092W	-0.135
YGL093W	-0.405
YGL094C	0.026
YGL095C	-0.819
YGL096W	0.034
YGL097W	-0.108
YGL098W	-0.098
YGL099W	-0.077
YGL100W	NaN
YGL101W	-0.518
YGL102C	0.003
YGL103W	0.090
YGL104C	NaN
YGL105W	-1.144
YGL107C	0.034
YGL108C	0.018
YGL109W	0.177
YGL110C	0.162
YGL111W	-0.119
YGL112C	-0.033
YGL113W	0.006
YGL114W	0.050
YGL115W	0.597
YGL116W	0.663
YGL117W	0.220
YGL118C	0.066
YGL119W	NaN
YGL120C	0.721
YGL121C	-0.225
YGL122C	-0.138
YGL123W	-0.069
YGL124C	-0.009
YGL125W	0.293
YGL126W	0.050
YGL127C	0.157
YGL128C	0.536
YGL129C	-0.827
YGL130W	0.461
YGL131C	0.018
YGL132W	0.081
YGL133W	0.097
YGL134W	NaN
YGL135W	NaN
YGL136C	-0.491
YGL137W	-0.009
YGL138C	0.125
YGL139W	0.057
YGL140C	0.002
YGL141W	-0.140
YGL142C	-0.395
YGL143C	-0.452
YGL144C	0.094
YGL145W	-0.018
YGL146C	-0.001
YGL147C	-0.026
YGL148W	-0.013
YGL149W	0.159
YGL150C	0.251
YGL151W	-0.006
YGL152C	-0.010
YGL153W	-0.167
YGL154C	0.183
YGL155W	-0.123
YGL156W	-0.130
YGL157W	0.117
YGL158W	0.094
YGL159W	-0.072
YGL160W	0.052
YGL161C	-0.001
YGL162W	0.111
YGL163C	-0.271
YGL164C	0.201
YGL165C	0.139
YGL166W	0.070
YGL167C	-0.805
YGL168W	-0.184
YGL169W	-0.072
YGL170C	0.211
YGL171W	-0.015
YGL172W	0.048
YGL173C	NaN
YGL174W	NaN
YGL175C	-0.005
YGL176C	0.108
YGL177W	0.008
YGL178W	NaN
YGL179C	0.008
YGL180W	0.173
YGL181W	0.072
YGL184C	NaN
YGL185C	NaN
YGL186C	NaN
YGL188C-A	NaN
YGL190C	NaN
YGL191W	NaN
YGL192W	NaN
YGL194C	-0.145
YGL195W	0.235
YGL196W	0.114
YGL197W	0.104
YGL198W	-0.054
YGL199C	0.137
YGL200C	0.015
YGL201C	0.035
YGL202W	0.152
YGL203C	0.146
YGL205W	-0.005
YGL206C	-2.504
YGL207W	0.127
YGL208W	-0.081
YGL209W	0.046
YGL210W	0.106
YGL211W	-0.121
YGL212W	-0.037
YGL213C	-0.044
YGL214W	-0.012
YGL215W	-0.285
YGL216W	0.140
YGL217C	0.061
YGL218W	-0.693
YGL219C	-0.362
YGL220W	-0.254
YGL221C	0.055
YGL222C	0.043
YGL223C	NaN
YGL224C	0.168
YGL225W	0.106
YGL226C-A	0.060
YGL226W	-0.050
YGL227W	0.071
YGL228W	-0.033
YGL229C	-0.088
YGL230C	0.050
YGL231C	0.048
YGL232W	0.249
YGL233W	0.111
YGL234W	0.559
YGL235W	0.024
YGL236C	-0.206
YGL237C	-0.101
YGL238W	-0.184
YGL239C	-0.273
YGL240W	NaN
YGL241W	-0.044
YGL242C	-0.022
YGL243W	0.042
YGL244W	-0.240
YGL245W	0.006
YGL246C	NaN
YGL247W	0.057
YGL248W	0.046
YGL249W	-0.019
YGL250W	-0.231
YGL251C	NaN
YGL252C	0.056
YGL253W	-0.157
YGL254W	0.055
YGL255W	0.058
YGL256W	0.031
YGL257C	0.209
YGL258W	0.166
YGL259W	0.126
YGL260W	-0.036
YGL261C	0.100
YGL262W	-0.067
YGL263W	0.017
YGR001C	0.104
YGR002C	-0.038
YGR003W	0.007
YGR004W	-0.097
YGR005C	0.049
YGR006W	NaN
YGR007W	0.123
YGR008C	0.271
YGR009C	0.050
YGR010W	0.204
YGR011W	-0.010
YGR012W	-0.087
YGR013W	-0.011
YGR014W	-0.011
YGR015C	0.364
YGR016W	NaN
YGR017W	-0.026
YGR018C	-0.187
YGR019W	0.116
YGR020C	0.949
YGR021W	0.244
YGR022C	0.085
YGR023W	0.246
YGR024C	0.151
YGR025W	0.102
YGR026W	-0.022
YGR027C	0.084
YGR028W	-0.041
YGR029W	-0.097
YGR030C	-0.011
YGR031W	-0.002
YGR032W	0.050
YGR033C	0.048
YGR034W	0.033
YGR035C	0.029
YGR035W-A	NaN
YGR036C	-1.157
YGR037C	-0.087
YGR038W	0.033
YGR039W	0.044
YGR040W	0.109
YGR041W	0.063
YGR042W	0.046
YGR043C	0.032
YGR044C	0.027
YGR045C	0.035
YGR046W	-0.086
YGR047C	-0.014
YGR048W	-0.033
YGR049W	0.032
YGR050C	0.143
YGR051C	-0.038
YGR052W	0.055
YGR053C	0.001
YGR054W	0.105
YGR055W	0.034
YGR056W	-0.108
YGR057C	0.075
YGR058W	0.041
YGR059W	0.076
YGR060W	0.035
YGR061C	0.003
YGR062C	-0.020
YGR063C	-0.282
YGR064W	-0.056
YGR065C	0.145
YGR066C	0.010
YGR067C	0.048
YGR068C	-0.026
YGR069W	-0.072
YGR070W	0.081
YGR071C	-0.199
YGR072W	-0.051
YGR073C	0.009
YGR074W	0.164
YGR075C	-0.153
YGR076C	-0.504
YGR077C	-0.023
YGR078C	-0.596
YGR079W	-0.013
YGR080W	-0.017
YGR081C	-0.314
YGR082W	0.085
YGR083C	0.119
YGR084C	-0.104
YGR085C	-0.174
YGR086C	-0.005
YGR087C	-0.020
YGR088W	0.044
YGR089W	-0.018
YGR090W	-0.072
YGR091W	-0.070
YGR092W	-0.326
YGR093W	0.213
YGR094W	-0.108
YGR095C	-0.155
YGR096W	0.097
YGR097W	-0.023
YGR098C	0.016
YGR099W	-0.035
YGR100W	0.088
YGR101W	-0.863
YGR102C	-0.698
YGR103W	-0.086
YGR104C	-2.257
YGR105W	NaN
YGR106C	-0.114
YGR107W	-0.044
YGR108W	-0.029
YGR109C	-0.002
YGR110W	0.006
YGR111W	-0.057
YGR112W	-0.079
YGR113W	-0.014
YGR114C	-0.154
YGR115C	-0.364
YGR116W	-0.342
YGR117C	0.044
YGR118W	-0.283
YGR119C	-0.188
YGR120C	-0.110
YGR121C	0.130
YGR121W-A	NaN
YGR122C-A	0.388
YGR122W	-0.265
YGR123C	0.036
YGR124W	-0.092
YGR125W	-0.032
YGR126W	-0.077
YGR127W	0.000
YGR128C	0.142
YGR129W	0.007
YGR130C	0.011
YGR131W	-0.123
YGR132C	-0.462
YGR133W	0.001
YGR134W	-0.072
YGR135W	0.109
YGR136W	-0.049
YGR137W	-0.022
YGR138C	-0.068
YGR139W	0.016
YGR140W	-0.100
YGR141W	-0.050
YGR142W	-0.005
YGR143W	-0.022
YGR144W	-0.100
YGR145W	-0.007
YGR146C	-0.021
YGR146C-A	NaN
YGR147C	0.266
YGR148C	-0.086
YGR149W	-0.024
YGR150C	-0.909
YGR151C	-0.158
YGR152C	-0.024
YGR153W	0.013
YGR154C	-0.013
YGR155W	-0.100
YGR156W	-0.039
YGR157W	0.047
YGR158C	0.000
YGR159C	-1.506
YGR160W	-2.361
YGR161C	-0.107
YGR161W-C	NaN
YGR162W	-0.889
YGR163W	0.220
YGR164W	-0.353
YGR165W	-1.015
YGR166W	0.081
YGR167W	NaN
YGR168C	0.030
YGR169C	-0.042
YGR169C-A	NaN
YGR170W	-0.033
YGR171C	-0.280
YGR172C	0.177
YGR173W	0.020
YGR174C	-0.186
YGR174W-A	NaN
YGR175C	0.095
YGR176W	-0.043
YGR177C	0.018
YGR178C	0.094
YGR179C	0.320
YGR180C	NaN
YGR181W	-0.184
YGR182C	-0.252
YGR183C	-0.338
YGR184C	0.009
YGR185C	0.067
YGR186W	NaN
YGR187C	0.028
YGR188C	0.682
YGR189C	-0.053
YGR190C	-0.005
YGR191W	0.098
YGR192C	-0.136
YGR193C	-0.100
YGR194C	0.037
YGR195W	-0.097
YGR196C	0.018
YGR197C	-0.114
YGR198W	-0.065
YGR199W	-0.018
YGR200C	-0.792
YGR201C	0.086
YGR202C	-0.418
YGR203W	0.005
YGR204C-A	NaN
YGR204W	0.000
YGR205W	-0.039
YGR206W	0.098
YGR207C	0.093
YGR208W	0.036
YGR209C	-0.010
YGR210C	-0.026
YGR211W	-0.013
YGR212W	-0.009
YGR213C	0.030
YGR214W	-0.579
YGR215W	-1.181
YGR216C	-0.018
YGR217W	-0.070
YGR218W	-0.157
