orf	hom | growth (pooled culture, microarray) | standard | YPD | Berry DB~Gasch AP, 2011	hom | growth (pooled culture, microarray) | hydrogen peroxide [0.4 mM] | YPD | Berry DB~Gasch AP, 2011	hom | growth (pooled culture, microarray) | dithiothreitol [2.5 mM] | YPD | Berry DB~Gasch AP, 2011	hom | growth (pooled culture, microarray) | sodium chloride [0.7 M] | YPD | Berry DB~Gasch AP, 2011	hom | growth (pooled culture, microarray) | temperature [40 C] | YPD | Berry DB~Gasch AP, 2011	hom | growth (pooled culture, microarray) | dithiothreitol [2.5 mM], hydrogen peroxide [1-1.2 mM] | YPD | Berry DB~Gasch AP, 2011	hom | growth (pooled culture, microarray) | hydrogen peroxide [1-1.2 mM], sodium chloride [0.7 M] | YPD | Berry DB~Gasch AP, 2011	hom | growth (pooled culture, microarray) | hydrogen peroxide [1-1.2 mM], temperature [40 C] | YPD | Berry DB~Gasch AP, 2011	hom | growth (pooled culture, barseq) | standard | YPD | Berry DB~Gasch AP, 2011	hom | growth (pooled culture, barseq) | hydrogen peroxide [0.4 mM] | YPD | Berry DB~Gasch AP, 2011	hom | growth (pooled culture, barseq) | dithiothreitol [2.5 mM] | YPD | Berry DB~Gasch AP, 2011	hom | growth (pooled culture, barseq) | sodium chloride [0.7 M] | YPD | Berry DB~Gasch AP, 2011	hom | growth (pooled culture, barseq) | temperature [40 C] | YPD | Berry DB~Gasch AP, 2011	hom | growth (pooled culture, barseq) | tunicamycin [20 uM] | YPD | Berry DB~Gasch AP, 2011	hom | growth (pooled culture, barseq) | dithiothreitol [2.5 mM], hydrogen peroxide [1-1.2 mM] | YPD | Berry DB~Gasch AP, 2011	hom | growth (pooled culture, barseq) | hydrogen peroxide [1-1.2 mM], sodium chloride [0.7 M] | YPD | Berry DB~Gasch AP, 2011	hom | growth (pooled culture, barseq) | hydrogen peroxide [1-1.2 mM], temperature [40 C] | YPD | Berry DB~Gasch AP, 2011	hom | growth (pooled culture, barseq) | hydrogen peroxide [1-1.2 mM], tunicamycin [20 uM] | YPD | Berry DB~Gasch AP, 2011
YHL047C	0.11414182718109812	0.030021177516944372	0.053000000000000005	-0.024211056707246336	-0.15	-0.00825	0.03145595980538628	0.15400000000000025	0.6036285738774879	0.28587324054641	1.872119089503502	0.20426658047158552	-0.2383931265036259	-2.630192333326021	0.0013899969882439703	-0.45521614935796717	-0.1254365643449171	1.5209399041426974
YHL046C	0.06847285136707901	0.07360242940282205	-0.11050000000000001	0.05759576211887411	0.0825	0.17875	0.039996703020059	-0.3124999999999995	0.4149697003903917	0.07208009278381731	-0.7801066036410349	0.047116636056355424	0.0193695911855835	0.5354370822332584	0.6161309308303928	0.34026016357949773	-0.010614439990755894	0.04746741963688767
YHL045W	-0.0835221741530145	0.005647026825793627	0.11349999999999999	-0.0585962482899808	-0.06266666666666666	0.013749999999999998	0.11689850277380925	0.13599999999999998	0.5234960012806854	-0.06396823239224471	0.056197281717786304	-0.20426676914960123	0.08723789427766006	0.15023134957388823	0.22345990941738547	0.15437925580230027	0.06361252380223151	0.2675287462972469
YHL044W	0.28934999999999944	-0.41908950179457716	-0.31899999999999995	-0.26792852822722046	-0.26	-0.4345	-0.080897226791321	-0.3119999999999995	0.37155404157188493	-0.3551219077558023	-0.769060809578252	-0.6202876459454025	-0.18966311436277894	1.9361319807001092	0.7712079080315652	-0.7121678361733563	-0.20860760265615735	0.576539909376651
YHL043W	-0.033187384428870384	-0.07594494414581585	0.012	0.024357245521433663	-0.153	0.047999999999999994	-0.0481646927639348	-0.04924999999999974	0.39995249972882013	0.06735437018814162	-0.2942311815833175	-0.0016257798164738615	-0.5757246576699684	0.12525348289067512	0.7213057748668195	-0.055458055311129024	0.19383447852288008	0.27443130030244456
YHL042W	0.037748428202609	0.008707317954588914	-0.0785	-0.039419604869396996	0.06700000000000005	0.0665	0.08621510947039902	-0.09425	0.43558358997650515	0.16681623162217574	0.30472835281662186	0.030981688900646884	-0.05543184721767208	0.2611479818819211	0.23129849518020984	0.1329261021067379	0.146987424916415	0.22805586554254076
YHL041W	0.05994802650951243	-0.0809695683332036	-0.0325	0.036349120957519195	0.014333333333333332	0.094	-0.032147176453572374	-0.08325	0.3701639188759785	0.21641496346169492	0.007939274953576724	-0.0191975040032621	0.033830309745601285	0.11699340965125762	0.5825149537820342	0.21358300539499134	0.20816369931754536	0.2670824827109167
YHL040C	-0.04447404084714636	-0.14017911119853885	-0.052000000000000005	0.04587853176856477	-0.23700000000000002	0.011999999999999997	0.016469382655859344	-0.14799999999999974	0.6477088517450875	0.07287753092058745	0.051017006818522434	0.08837594596859305	-0.23583448463527534	-1.0554138245079001	0.7164343596627338	0.3311505822754339	-0.17950060311242252	0.05329009528759025
YHL038C	-0.14174999709124503	-0.15012105556507385	0.21700000000000003	-0.02777709578219852	0.1506666666666663	-0.3915	-0.04872614992965785	-0.10925	0.30861235110692986	-0.37954431930816446	0.5564586619376178	0.2861285433768782	0.3615807711177382	0.13457932101189213	-0.4441540470432924	-0.5080304264674963	-0.11247453841405684	-1.1211909003984861
YHL037C	0.17581535327696432	0.028440125260875943	0.20750000000000002	0.004065565376392665	-0.08066666666666633	-0.1345	-0.0315279236209095	-0.1455	0.4801062631520542	0.16574512599178035	-0.04097164851634372	-0.06856177983732957	0.02535804095551875	-0.06518475387003135	0.3968572249903486	0.07125719045570487	-0.06070702462624311	0.19489836652624065
