ORF	hom | viral RNA replication (luciferase expression) | standard [standard] | Kushner DB~Ahlquist P, 2003
YAL002W	163.919
YAL004W	157.898
YAL005C	195.308
YAL007C	69.359
YAL008W	109.664
YAL009W	322.608
YAL010C	NaN
YAL011W	195.322
YAL012W	NaN
YAL013W	256.067
YAL014C	80.976
YAL015C	59.291
YAL016W	NaN
YAL017W	84.218
YAL018C	79.572
YAL019W	66.542
YAL020C	154.041
YAL021C	NaN
YAL022C	128.450
YAL023C	23.002
YAL024C	NaN
YAL026C	394.994
YAL027W	87.069
YAL028W	99.083
YAL029C	66.086
YAL030W	93.042
YAL031C	70.101
YAL034C	85.476
YAL035W	NaN
YAL036C	78.918
YAL037W	89.107
YAL039C	NaN
YAL040C	264.073
YAL042W	70.420
YAL043C-A	57.630
YAL044C	NaN
YAL045C	80.881
YAL046C	83.081
YAL047C	NaN
YAL048C	77.457
YAL049C	80.076
YAL051W	82.358
YAL053W	91.715
YAL054C	114.345
YAL055W	93.172
YAL056W	61.651
YAL058C-A	112.479
YAL058W	120.851
YAL059W	181.426
YAL060W	67.683
YAL061W	71.637
YAL062W	100.216
YAL064C-A	86.737
YAL065C	88.739
YAL066W	74.297
YAL067C	89.550
YAL068C	64.395
YAR002C-A	85.298
YAR002W	68.030
YAR003W	121.504
YAR014C	115.241
YAR015W	46.799
YAR018C	85.855
YAR020C	106.360
YAR023C	110.717
YAR027W	117.803
YAR028W	102.007
YAR029W	94.552
YAR030C	77.162
YAR031W	70.445
YAR035W	92.103
YAR037W	91.983
YAR040C	94.123
YAR042W	96.480
YAR043C	92.236
YAR044W	108.173
YAR047C	104.410
YAR050W	90.647
YBL001C	73.953
YBL002W	99.539
YBL003C	85.413
YBL005W	85.768
YBL006C	206.634
YBL007C	NaN
YBL008W	76.744
YBL009W	93.671
YBL010C	91.338
YBL011W	82.557
YBL012C	81.895
YBL013W	106.461
YBL015W	98.967
YBL017C	178.339
YBL019W	75.323
YBL021C	NaN
YBL022C	113.543
YBL024W	60.741
YBL027W	29.829
YBL028C	94.204
YBL029W	90.205
YBL031W	109.894
YBL032W	86.944
YBL033C	NaN
YBL036C	90.587
YBL037W	86.341
YBL038W	NaN
YBL039C	62.409
YBL042C	131.873
YBL043W	90.225
YBL044W	79.148
YBL045C	NaN
YBL046W	80.507
YBL047C	72.352
YBL048W	75.151
YBL049W	71.220
YBL051C	45.027
YBL052C	105.582
YBL053W	95.159
YBL054W	119.650
YBL055C	91.097
YBL056W	83.440
YBL057C	107.252
YBL058W	NaN
YBL059W	55.913
YBL060W	81.544
YBL061C	147.580
YBL062W	209.896
YBL063W	84.324
YBL064C	80.547
YBL065W	101.563
YBL066C	104.687
YBL067C	97.938
YBL068W	104.056
YBL069W	NaN
YBL070C	100.552
YBL071C	190.272
YBL072C	289.348
YBL075C	80.996
YBL078C	98.925
YBL079W	365.527
YBL080C	NaN
YBL081W	73.830
YBL082C	104.978
YBL083C	143.577
YBL085W	76.650
YBL086C	70.510
YBL087C	120.461
YBL088C	83.123
YBL089W	80.685
YBL090W	NaN
YBL091C	64.522
YBL091C-A	66.569
YBL093C	NaN
YBL094C	87.777
YBL095W	110.597
YBL096C	94.506
YBL098W	102.118
YBL099W	NaN
YBL100C	NaN
YBL101C	105.348
YBL102W	110.939
YBL104C	101.379
YBL106C	84.883
YBL107C	75.332
YBR001C	93.413
YBR003W	NaN
YBR005W	94.504
YBR006W	81.656
YBR007C	94.315
YBR008C	107.141
YBR009C	139.250
YBR010W	94.298
YBR012C	83.690
YBR013C	102.087
YBR014C	93.283
YBR015C	NaN
YBR016W	107.589
YBR018C	NaN
YBR019C	NaN
YBR020W	NaN
YBR022W	78.872
YBR023C	197.220
YBR024W	85.581
YBR025C	81.236
YBR026C	NaN
YBR027C	103.421
YBR028C	66.202
YBR029C	60.891
YBR031W	83.800
YBR032W	88.005
YBR033W	75.760
YBR034C	44.472
YBR035C	NaN
YBR036C	97.886
YBR037C	NaN
YBR038W	104.025
YBR040W	108.683
YBR041W	159.236
YBR042C	159.398
YBR043C	94.358
YBR044C	117.532
YBR045C	87.728
YBR046C	91.896
YBR047W	105.614
YBR048W	217.882
YBR050C	88.099
YBR051W	89.916
YBR052C	97.550
YBR053C	88.278
YBR054W	88.569
YBR056W	107.667
YBR057C	112.658
YBR058C	67.950
YBR059C	129.335
YBR062C	89.973
YBR063C	95.213
YBR064W	90.579
YBR065C	113.345
YBR066C	91.289
YBR067C	100.262
YBR068C	121.745
YBR069C	77.186
YBR071W	131.527
YBR072W	95.276
YBR073W	115.773
YBR074W	92.118
YBR075W	88.052
YBR076W	65.378
YBR077C	108.709
YBR078W	NaN
YBR083W	97.394
YBR084C-A	53.565
YBR084W	110.353
YBR090C	72.555
YBR090C-A	77.077
YBR092C	79.451
YBR093C	107.707
YBR094W	88.151
YBR098W	96.793
YBR099C	101.768
YBR100W	130.158
YBR101C	142.815
YBR103W	31.876
YBR104W	99.718
YBR105C	121.419
YBR106W	202.424
YBR107C	NaN
YBR108W	78.830
YBR112C	NaN
YBR113W	99.657
YBR114W	100.230
YBR116C	88.635
YBR119W	125.592
YBR120C	74.791
YBR125C	107.175
YBR126C	NaN
YBR127C	NaN
YBR128C	81.745
YBR129C	83.842
YBR130C	131.061
YBR131W	119.510
YBR133C	172.445
YBR134W	211.182
YBR137W	101.934
YBR138C	122.258
YBR139W	128.557
YBR141C	100.279
YBR144C	104.622
YBR145W	62.921
YBR146W	111.304
YBR147W	64.087
YBR148W	70.814
YBR149W	91.463
YBR150C	92.839
YBR151W	100.674
YBR156C	58.276
YBR157C	95.439
YBR158W	80.764
YBR159W	71.045
YBR161W	83.716
YBR162C	120.325
YBR162W-A	90.406
YBR163W	NaN
YBR164C	98.091
YBR168W	103.530
YBR169C	67.382
YBR170C	80.347
YBR171W	NaN
YBR172C	65.898
YBR173C	2.511
YBR174C	102.582
YBR175W	75.403
YBR176W	90.613
YBR177C	100.102
YBR178W	85.568
YBR179C	NaN
YBR180W	98.205
YBR181C	135.200
YBR182C	68.474
YBR183W	102.818
YBR184W	126.411
YBR185C	105.698
YBR186W	74.038
YBR187W	131.404
YBR188C	62.903
YBR189W	92.383
YBR191W	NaN
YBR194W	156.840
YBR195C	61.893
YBR197C	115.060
YBR199W	71.020
YBR200W	NaN
YBR201W	82.310
YBR203W	88.495
YBR204C	104.797
YBR205W	74.767
YBR206W	110.331
YBR207W	75.127
YBR208C	106.844
YBR210W	108.532
YBR212W	72.982
YBR213W	45.034
YBR214W	110.501
YBR215W	87.592
YBR216C	89.350
YBR217W	100.420
YBR218C	99.601
YBR219C	100.496
YBR220C	89.347
YBR221C	NaN
YBR222C	71.684
YBR223C	130.941
YBR224W	111.494
YBR225W	109.497
YBR226C	134.288
YBR227C	106.154
YBR228W	99.088
YBR229C	110.527
YBR230C	89.146
YBR231C	110.267
YBR232C	78.274
YBR233W	99.973
YBR235W	99.551
YBR238C	106.661
YBR239C	97.748
YBR240C	89.409
YBR241C	104.999
YBR242W	88.326
YBR244W	119.853
YBR245C	67.865
YBR246W	46.571
YBR248C	85.140
YBR249C	78.669
YBR250W	78.749
YBR251W	NaN
YBR255W	148.583
YBR258C	76.651
YBR259W	82.254
YBR260C	104.488
YBR261C	69.362
YBR262C	90.256
YBR263W	73.002
YBR264C	86.335
YBR266C	84.836
YBR267W	112.344
YBR268W	NaN
YBR269C	66.359
YBR270C	120.002
YBR271W	95.974
YBR272C	100.969
YBR273C	92.425
YBR274W	92.271
YBR275C	100.893
YBR276C	106.713
YBR277C	89.595
YBR278W	102.840
YBR279W	NaN
YBR280C	93.974
YBR281C	98.920
YBR282W	NaN
YBR283C	163.702
YBR284W	60.720
YBR285W	89.201
YBR286W	74.146
YBR287W	92.234
YBR288C	120.512
YBR289W	NaN
YBR290W	197.881
YBR291C	62.860
YBR292C	85.511
YBR293W	76.760
YBR294W	108.288
YBR295W	92.332
YBR296C	83.234
YBR297W	91.711
YBR298C	62.881
YBR299W	85.468
YBR300C	81.276
YBR301W	71.950
YCL001W	68.676
YCL001W-A	NaN
YCL002C	68.285
YCL005W	53.255
YCL006C	82.256
YCL007C	NaN
YCL008C	51.792
YCL009C	87.034
YCL010C	81.365
YCL011C	169.801
YCL012W	78.312
YCL013W	82.718
YCL014W	71.272
YCL016C	NaN
YCL022C	87.085
YCL023C	80.914
YCL024W	82.886
YCL025C	97.853
YCL026C	83.976
YCL026C-A	79.100
YCL027W	98.138
YCL028W	101.554
YCL029C	168.798
YCL030C	77.539
YCL032W	135.817
YCL033C	127.278
YCL034W	83.966
YCL035C	96.712
YCL036W	64.506
YCL037C	82.001
YCL038C	85.990
YCL039W	88.647
YCL040W	91.612
YCL042W	110.420
YCL044C	95.540
YCL045C	93.643
YCL046W	97.491
YCL047C	93.907
YCL048W	110.327
YCL049C	96.211
YCL050C	96.606
YCL051W	108.581
YCL055W	88.621
YCL056C	95.278
YCL057W	107.272
YCL058C	109.540
YCL060C	86.875
YCL061C	81.491
YCL062W	116.328
YCL063W	95.710
YCL064C	119.203
YCL069W	93.860
YCL074W	98.464
YCL075W	99.107
YCL076W	102.413
YCR001W	86.026
YCR002C	NaN
YCR003W	NaN
YCR004C	71.048
YCR005C	77.779
YCR006C	70.548
YCR007C	93.084
YCR008W	91.656
YCR009C	NaN
YCR010C	81.021
YCR011C	79.190
YCR014C	102.023
YCR015C	109.540
YCR016W	93.210
YCR017C	87.630
YCR019W	85.429
YCR020C	87.311
YCR020C-A	90.238
YCR020W-B	NaN
YCR021C	82.456
YCR022C	90.962
YCR023C	79.445
YCR024C	NaN
YCR024C-A	78.181
YCR025C	135.624
YCR026C	69.415
YCR027C	90.570
YCR028C	NaN
YCR028C-A	NaN
YCR030C	67.126
YCR031C	150.041
YCR032W	122.808
YCR033W	27.782
YCR034W	108.956
YCR036W	154.897
YCR037C	41.551
YCR043C	145.031
YCR044C	NaN
YCR045C	65.862
YCR046C	NaN
YCR047C	NaN
YCR048W	94.798
YCR049C	83.577
YCR050C	38.851
YCR051W	57.037
YCR053W	NaN
YCR059C	31.884
YCR060W	87.736
YCR061W	38.884
YCR062W	69.672
YCR063W	1377.372
YCR065W	119.530
YCR066W	148.935
YCR067C	88.851
YCR068W	115.324
YCR069W	125.959
YCR071C	NaN
YCR073C	120.832
YCR073W-A	78.670
YCR075C	119.553
YCR076C	113.125
YCR077C	24.085
YCR079W	68.322
YCR081W	46.931
YCR082W	109.219
YCR083W	105.944
YCR084C	NaN
YCR085W	73.652
YCR086W	NaN
YCR087C-A	75.511
YCR087W	60.792
YCR088W	90.628
YCR089W	84.253
YCR090C	109.870
YCR091W	94.756
YCR092C	124.380
YCR094W	522.101
YCR095C	27.486
YCR098C	346.171
YCR099C	87.803
YCR100C	118.155
YCR101C	94.262
YCR102C	91.009
YCR102W-A	127.406
YCR105W	90.052
YCR106W	88.124
YCR107W	123.289
YDL001W	101.508
YDL002C	97.000
YDL006W	NaN
YDL009C	76.802
YDL010W	110.644
YDL011C	88.105
YDL012C	111.393
YDL013W	NaN
YDL018C	84.439
YDL019C	105.572
YDL020C	22.676
YDL021W	99.469
YDL022W	144.565
YDL023C	134.195
YDL024C	108.493
YDL025C	74.215
YDL026W	87.714
YDL027C	68.099
YDL032W	NaN
YDL033C	115.622
YDL034W	70.058
YDL035C	116.468
YDL036C	99.001
YDL037C	92.725
YDL038C	105.685
YDL039C	107.867
YDL040C	95.394
YDL041W	NaN
YDL044C	NaN
YDL045W-A	NaN
YDL046W	123.401
YDL047W	NaN
YDL048C	100.948
YDL049C	101.393
YDL050C	86.349
YDL051W	NaN
YDL052C	112.500
YDL053C	108.109
YDL054C	88.751
YDL056W	NaN
YDL059C	101.986
YDL061C	93.165
YDL062W	94.431
YDL063C	111.978
YDL065C	80.618
YDL066W	58.264
YDL067C	NaN
YDL068W	NaN
YDL069C	NaN
YDL070W	140.830
YDL071C	125.470
YDL072C	83.995
YDL073W	254.842
YDL074C	43.466
YDL075W	NaN
YDL076C	115.598
YDL077C	NaN
YDL078C	90.087
YDL079C	78.441
YDL080C	55.171
YDL081C	NaN
YDL082W	124.238
YDL083C	NaN
YDL085W	113.597
YDL086W	76.036
YDL088C	121.556
YDL089W	91.750
YDL090C	NaN
YDL091C	110.082
YDL093W	87.022
YDL094C	82.693
YDL095W	61.029
YDL096C	74.195
YDL099W	110.202
YDL100C	79.152
YDL101C	103.067
YDL104C	104.286
YDL106C	176.004
YDL107W	NaN
YDL109C	101.537
YDL110C	128.754
YDL112W	114.915
YDL113C	117.236
YDL114W	110.289
YDL115C	NaN
YDL116W	NaN
YDL117W	166.906
YDL118W	95.396
YDL119C	NaN
YDL121C	96.425
YDL122W	219.841
YDL123W	116.922
YDL124W	118.068
YDL125C	117.342
YDL127W	110.228
YDL128W	113.190
YDL129W	85.384
YDL130W	112.938
YDL130W-A	85.856
YDL131W	76.556
YDL133C-A	151.700
YDL133W	58.710
YDL134C	97.057
YDL134C-A	89.742
YDL135C	170.338
YDL136W	153.557
YDL137W	131.508
YDL138W	97.097
YDL142C	131.122
YDL144C	73.207
YDL146W	101.226
YDL149W	99.378
YDL151C	152.388
YDL154W	94.822
YDL155W	125.620
YDL156W	94.098
YDL157C	99.180
YDL160C	3.891
YDL161W	84.297
YDL162C	82.791
YDL167C	78.256
YDL168W	87.740
YDL169C	83.098
YDL170W	72.709
YDL171C	89.176
YDL172C	131.757
YDL173W	135.492
YDL174C	102.960
YDL175C	87.921
YDL176W	92.770
YDL177C	83.755
YDL178W	76.819
YDL179W	73.160
