orf	hom | viral RNA replication (luciferase expression) | standard [standard] | Kushner DB~Ahlquist P, 2003
YAL002W	163.9190117542126
YAL004W	157.8977360621939
YAL005C	195.30783074826053
YAL007C	69.35868462100383
YAL008W	109.6640380813023
YAL009W	322.60841653894755
YAL010C	
YAL011W	195.32249771379895
YAL012W	
YAL013W	256.06659028774067
YAL014C	80.97566993466032
YAL015C	59.29123421955965
YAL016W	
YAL017W	84.2178289405366
YAL018C	79.57178579319282
YAL019W	66.54176342372696
YAL020C	154.04135589380766
YAL021C	
YAL022C	128.45006649024376
YAL023C	23.002152076970155
YAL024C	
YAL026C	394.99398522091093
YAL027W	87.06889765824602
YAL028W	99.08295025246971
YAL029C	66.08550020342857
YAL030W	93.04185642176947
YAL031C	70.10055237072271
YAL034C	85.47618423786867
YAL035W	
YAL036C	78.91787441367089
YAL037W	89.10691099449406
YAL039C	
YAL040C	264.0729462771371
YAL042C-A	57.63014329844678
YAL042W	70.42039890319433
YAL044C	
YAL045C	80.88104366290676
YAL046C	83.08091683040819
YAL047C	
YAL048C	77.45694741057154
YAL049C	80.07556503115825
YAL051W	82.35809838285977
YAL053W	91.71469119857667
YAL054C	114.34456251374962
YAL055W	93.17172006352051
YAL056C-A	112.47913625682338
YAL056W	61.651244841756196
YAL058W	120.85131976836627
YAL059W	181.42611920721214
YAL060W	67.68272810000923
YAL061W	71.63684672976643
YAL062W	100.2163060800048
YAL064C-A	86.73703852008009
YAL065C	88.73851294366222
YAL066W	74.29698482154927
YAL067C	89.54983039617231
YAL068C	64.39518457016061
YAR002C-A	85.29792062960163
YAR002W	68.02965410764901
YAR003W	121.50378042214089
YAR014C	115.24057366241145
YAR015W	46.798815152968174
YAR018C	85.85465530109977
YAR020C	106.35981308130536
YAR023C	110.71730803331513
YAR027W	117.80267796651438
YAR028W	102.00672038432471
YAR029W	94.55164619447734
YAR030C	77.16156609770441
YAR031W	70.44518215833739
YAR035W	92.102795786779
YAR042W	102.32665599928148
YAR047C	104.409564122375
YAR050W	90.64731552632682
YBL001C	73.95326314115249
YBL002W	99.53935044894405
YBL003C	85.41331607368313
YBL005W	85.7684371812357
YBL006C	206.6340629150771
YBL007C	
YBL008W	76.74437692807564
YBL009W	93.6706572002458
YBL010C	91.33762302753938
YBL011W	82.55707338977027
YBL012C	81.89506265571859
YBL013W	106.46115692923352
YBL015W	98.9674644783957
YBL017C	178.33890055321137
YBL019W	75.32308545095576
YBL021C	
YBL022C	113.54276554159303
YBL024W	60.74143594155042
YBL027W	29.829030421700786
YBL028C	94.20353389939473
YBL029W	90.20472812925965
YBL031W	109.89356802737797
YBL032W	86.94396074523249
YBL033C	
YBL036C	90.58748335209478
YBL037W	86.34076781332249
YBL038W	
YBL039C	62.408571616478625
YBL042C	131.87310018240288
YBL043W	90.22510658105749
YBL044W	79.14762377527518
YBL045C	
YBL046W	80.50743602427528
YBL047C	72.35211151742618
YBL048W	75.15072080443456
YBL049W	71.22030760836427
YBL051C	45.02667282125219
YBL052C	105.58207383101723
YBL053W	95.15935024500386
YBL054W	119.65023483189323
YBL055C	91.09727769171514
YBL056W	83.44010472599479
YBL057C	107.2515555995517
YBL058W	
YBL059W	55.91328188247681
YBL060W	81.54421511326603
YBL061C	147.57987177033795
YBL062W	209.8964269134342
YBL063W	84.32446059958582
YBL064C	80.54692622668935
YBL065W	101.56335166806565
YBL066C	104.68666777251784
YBL067C	97.93813978246567
YBL068W	104.05560825686777
YBL069W	
YBL070C	100.55210292692087
YBL071C	190.27167089267465
YBL072C	289.34831805016086
YBL075C	80.99597747439833
YBL078C	98.9252227122083
YBL079W	365.5265915407013
YBL080C	
YBL081W	73.83040812119145
YBL082C	104.9782559758333
YBL083C	143.57671069075525
YBL085W	76.65028834113758
YBL086C	70.50950317800027
YBL087C	120.46145087797181
YBL088C	83.12330259562751
YBL089W	80.68540361365422
YBL090W	
YBL091C	64.52203995996405
YBL091C-A	66.56870029041798
YBL093C	
YBL094C	87.7772595835391
YBL095W	110.59697578140748
YBL096C	94.50554005398565
YBL098W	102.11817923883353
YBL099W	
YBL100C	
