orf	hom | viral RNA replication (luciferase expression) | standard [standard] | Kushner DB~Ahlquist P, 2003
YBR072W	-0.04923374390257421
YBR073W	0.3592566645131886
YBR074W	-0.16618286090603024
YBR076W	-0.6450465933860461
YBR077C	0.21848308500562452
YBR078W	
YBR083W	-0.007016169982938543
YBR084C-A	-0.8804821520162498
YBR084W	0.2512382024671817
YBR089C-A	-0.411914785586282
YBR090C	-0.5020183860529149
YBR092C	-0.3646021144844717
YBR093C	0.1985012268900036
YBR094W	-0.19121999116681265
YBR098W	0.4242842956432794
YBR099C	0.08015547917619138
YBR101C	0.8981574465013389
YBR103W	-1.3127059116780784
YBR104W	0.039306186062626584
YBR105C	0.4717695110942919
YBR106W	2.0860948422048846
YBR107C	
YBR108W	-0.3769759084401283
YBR112C	
YBR113W	0.03807533103153304
YBR114W	0.04949819043600096
YBR116C	-0.18157360760047977
YBR119W	0.5549248669762835
YBR120C	-0.4574693998979028
YBR125C	0.18791022999830756
YBR126C	
YBR127C	
YBR128C	-0.31888689729274433
YBR129C	-0.27709033914688885
YBR130C	0.6639131512089571
YBR131W	0.4337348455420288
YBR133C	1.488642321051069
YBR134W	2.260638013238008
YBR137W	0.08346482893067465
YBR138C	0.4884827708208903
YBR139W	0.6140243355939098
YBR141C	0.050480217352824576
YBR144C	0.13702475391922414
YBR145W	-0.6940187968050976
YBR146W	0.2701867141746361
YBR147W	-0.6707865077900027
YBR148W	-0.5367238225795583
YBR149W	-0.12520815542223218
YBR150C	-0.09780017326638131
YBR151W	0.0583488094986369
YBR156C	-0.7865851542739121
YBR157C	-0.045976234914945506
YBR158W	-0.33843918896016334
YBR159W	-0.5321171008367728
YBR161W	-0.27961110381375837
YBR162C	0.44996330174246035
YBR162W-A	-0.14627404600436567
YBR163W	
YBR164C	0.00687331767802702
YBR168W	0.11527154568946939
YBR169C	-0.6051162426625273
YBR170C	-0.34673498010411374
YBR171W	
YBR172C	-0.6346922750008435
YBR173C	-1.897912100306361
YBR174C	0.09637446930579428
YBR175W	-0.44527913184342877
YBR176W	-0.1421462484431457
YBR177C	0.046946845781829755
YBR178W	-0.24270438519890236
YBR179C	
YBR180W	0.009139247945320008
YBR181C	0.7464109169855698
YBR182C	-0.5833612905510858
YBR183W	0.10107966525819832
YBR184W	0.5712470218091587
YBR185C	0.15846233925209677
YBR186W	-0.47246419691044966
YBR187W	0.67075472269216
YBR188C	-0.6943792941269397
YBR189W	-0.10688950805262883
YBR191W	
YBR194W	1.1776574935310542
YBR195C	-0.7145022111855872
YBR197C	0.3450431088877255
YBR199W	-0.5326139627705843
YBR200W	
YBR201W	-0.30762146138222757
YBR203W	-0.18436838219482626
YBR204C	0.14051180185380363
YBR205W	-0.4579384035789078
YBR206W	0.2508056584226633
YBR207W	-0.45078021820668307
YBR208C	0.1813051432452708
YBR210W	0.21494028469102466
YBR212W	-0.49350766214445557
YBR213W	-1.0504897097364068
YBR214W	0.2541827155576458
YBR215W	-0.2023654832067847
YBR216C	-0.16732970329589605
YBR217W	0.05329136832189305
YBR218C	0.03696578548323452
YBR219C	0.05480794936552129
YBR220C	-0.16738449469955824
YBR221C	
YBR222C	-0.5193798029747999
YBR223C	0.6615211155760924
YBR224W	0.2739694582665813
YBR225W	0.2341868887238845
YBR226C	0.7282264075241485
YBR227C	0.16755456777986458
YBR228W	0.02674657366092984
YBR229C	0.25470476565316624
YBR230C	-0.17139464559445758
YBR231C	0.24952911732267674
YBR232C	-0.3880469496151485
YBR233W	0.04438769506931751
YBR235W	0.03596466363710834
YBR238C	0.1776678779912487
YBR239C	3.320567409107557e-05
YBR240C	-0.16615781459705414
YBR241C	0.14454296315495216
YBR242W	-0.1877239621316341
YBR244W	0.44056844518284577
YBR245C	-0.5954952218129742
YBR246W	-1.0198625487396717
YBR248C	-0.2512295676477327
YBR249C	-0.38018228071405
YBR250W	-0.3785880173009392
YBR251W	
YBR255W	1.0131058111252045
YBR258C	-0.4203983039025676
YBR259W	-0.3087352315720129
YBR260C	0.13436590398984946
YBR261C	-0.5656559062652128
YBR262C	-0.14926627505515314
YBR263W	-0.4931285524163795
YBR264C	-0.2274128137297791
YBR266C	-0.25728447982674646
YBR267W	0.2909208167277634
YBR268W	
YBR269C	-0.625512617311008
YBR270C	0.44352199705686357
YBR271W	-0.03532191448915532
YBR272C	0.06423148616392432
YBR273C	-0.10604655991626152
YBR274W	-0.10910771766166988
YBR275C	0.06271146756135917
YBR276C	0.17870599596983008
YBR277C	-0.16244022774039898
YBR278W	0.10151129231135664
YBR279W	
YBR280C	-0.07517414755136696
YBR281C	0.02338757038664153
YBR282W	
YBR283C	1.31441733617293
YBR284W	-0.7378910646886532
YBR285W	-0.17030235470450758
YBR286W	-0.47031083521185635
YBR287W	-0.10985529762119674
YBR288C	0.4536924711337333
YBR289W	
YBR290W	1.9955497830168667
YBR291C	-0.6952261300227082
YBR292C	-0.24383986491314294
YBR293W	-0.4182308578223348
YBR294W	0.2100879049040028
YBR295W	-0.10789908044958649
YBR296C	-0.28920443685325753
YBR297W	-0.12028233724410053
YBR298C	-0.6948122950591276
YBR299W	-0.2446918168884975
YBR300C	-0.32822578410763587
YBR301W	-0.514091052474677
