orf	hom | growth (pooled culture, barseq) | mono(2-ethylhexyl) phthalate [2.3 mM] | YPD, 25 mM HEPES, pH 6.8, DMSO | Alfatah M~Arumugam P, 2019
YAL002W	-2.497889618224212
YAL004W	0.4425133379653032
YAL005C	-0.14169952287306417
YAL007C	0.5823984118883234
YAL008W	0.3842826730588874
YAL009W	-0.08549690180795834
YAL010C	1.9242138366452444
YAL011W	0.3362112642264112
YAL012W	-0.10205839049031387
YAL013W	0.3830647723076634
YAL014C	0.16351519166119652
YAL015C	0.05260547851339137
YAL016W	-0.051372733989001704
YAL017W	0.04386609836012306
YAL018C	0.0833248535584642
YAL019W	0.3606048487141086
YAL020C	0.219816347099439
YAL021C	-0.23855227737976145
YAL022C	0.3327950208724272
YAL023C	-2.3972068922926986
YAL024C	0.2845602640917869
YAL026C	0.013455765500822541
YAL027W	-2.1630207735302402
YAL028W	1.2484412440007255
YAL029C	-0.3417925621860041
YAL030W	-0.11231249558305631
YAL031C	0.2855894119010443
YAL034C	-0.012586903534048335
YAL034W-A	-0.051372733989001704
YAL035W	-1.7743763042044374
YAL036C	-0.5018795093554775
YAL037W	0.7110209028988562
YAL039C	-0.051372733989001704
YAL040C	-2.424048542012011
YAL042C-A	0.07742067758736713
YAL042W	-0.773082741903764
YAL044C	1.1212118813656833
YAL045C	-0.4871100938050819
YAL046C	0.06345252181017931
YAL047C	-2.8282596902306416
YAL048C	-0.8461827095743822
YAL049C	0.05544496798764356
YAL051W	0.3259949468484129
YAL053W	-0.6698690948587972
YAL054C	-0.035874539442488515
YAL055W	-0.0560360385590241
YAL056C-A	-0.23669438125492132
YAL056W	-0.3221587498497855
YAL058W	-1.0278368713595647
YAL059W	0.47442100002142373
YAL060W	0.25013415642837156
YAL061W	0.5829676929509459
YAL062W	0.11220489605453565
YAL064C-A	-0.07007596218665194
YAL065C	-0.15359271310042044
YAL066W	0.6783495496949169
YAL067C	-0.47585383030787903
YAL068C	0.04605854261719322
YAR002C-A	0.47774675904825975
YAR002W	-1.9028332811608475
YAR003W	0.27893659721565983
YAR014C	-1.080706900868181
YAR015W	-0.4074066423400198
YAR018C	-0.2446204032727909
YAR020C	0.33377418288287214
YAR023C	0.4790231816254169
YAR027W	0.4511874962753834
YAR028W	0.16495298557135593
YAR029W	-0.02476008059092761
YAR030C	-0.5449482544743928
YAR031W	-0.6534837767160563
YAR035W	0.5450861655978815
YAR042W	-0.47493117966769033
YAR047C	0.30419885702191307
YAR050W	0.11130089433505923
YBL001C	-0.2690332713509058
YBL002W	-0.584384584703046
YBL003C	2.8896287251288437
YBL005W	0.5847690419409743
YBL006C	1.0191516935700207
YBL007C	-1.100443865376661
YBL008W	-0.768465435494496
YBL009W	-0.1418782030324109
YBL010C	-0.21249846133640107
YBL011W	-0.14411000372636584
YBL012C	0.3384431195264355
YBL013W	0.4137787516134994
YBL015W	-0.4827528795175951
YBL016W	-0.051372733989001704
YBL017C	-1.0496856488726092
YBL019W	-0.6392575939067682
YBL021C	-0.005637924054613781
YBL022C	-0.358534573354408
YBL024W	0.9041958747442245
YBL025W	-0.051372733989001704
YBL027W	-2.6446988370827262
