ORF	hap a | protein transport to the vacuole (GFP-Yif1) | rapamycin [200 ug/L], temperature [26 C] | SC - Ura | Dobzinski N~Gerst JE, 2015	hap a | protein transport to the vacuole (GFP-Yif1) | temperature [26 C] | SC - Ura | Dobzinski N~Gerst JE, 2015
YBL022C	0.000	0.000
YBL024W	0.000	0.000
YBL025W	0.000	0.000
YBL027W	0.000	0.000
YBL028C	0.000	0.000
YBL029C-A	0.000	0.000
YBL029W	0.000	0.000
YBL031W	0.000	0.000
YBL032W	0.000	0.000
YBL033C	0.000	0.000
YBL036C	0.000	0.000
YBL037W	0.000	0.000
YBL038W	0.000	0.000
YBL039C	0.000	0.000
YBL039W-B	0.000	0.000
YBL042C	0.000	0.000
YBL043W	0.000	0.000
YBL044W	0.000	0.000
YBL045C	0.000	0.000
YBL046W	0.000	0.000
YBL047C	0.000	0.000
YBL048W	0.000	0.000
YBL049W	0.000	0.000
YBL051C	0.000	0.000
YBL052C	0.000	0.000
YBL053W	0.000	0.000
YBL054W	0.000	0.000
YBL055C	0.000	0.000
YBL056W	0.000	0.000
YBL057C	0.000	0.000
YBL058W	0.000	0.000
YBL059W	0.000	0.000
YBL060W	0.000	0.000
YBL061C	0.000	0.000
YBL062W	0.000	0.000
YBL063W	0.000	0.000
YBL064C	0.000	0.000
YBL065W	0.000	0.000
YBL066C	0.000	0.000
YBL067C	0.000	0.000
YBL068W	0.000	0.000
YBL069W	0.000	0.000
YBL070C	0.000	0.000
YBL071C	0.000	0.000
YBL071C-B	0.000	0.000
YBL071W-A	0.000	0.000
YBL072C	0.000	0.000
YBL075C	0.000	0.000
YBL078C	0.000	0.000
YBL079W	0.000	0.000
YBL080C	0.000	0.000
YBL081W	0.000	0.000
YBL082C	0.000	0.000
YBL083C	0.000	0.000
YBL085W	0.000	0.000
YBL086C	0.000	0.000
YBL087C	0.000	0.000
YBL088C	0.000	0.000
YBL089W	0.000	0.000
YBL090W	0.000	0.000
YBL091C	0.000	0.000
YBL091C-A	0.000	0.000
YBL093C	0.000	0.000
YBL094C	0.000	0.000
YBL095W	0.000	0.000
YBL096C	0.000	0.000
YBL098W	0.000	0.000
YBL099W	0.000	0.000
YBL100C	0.000	0.000
YBL100W-C	0.000	0.000
YBL101C	0.000	0.000
YBL102W	0.000	0.000
YBL103C	0.000	0.000
YBL104C	0.000	0.000
YBL106C	0.000	0.000
YBL107C	0.000	0.000
YBR001C	0.000	0.000
YBR003W	0.000	0.000
YBR005W	0.000	0.000
YBR006W	0.000	0.000
YBR007C	0.000	0.000
YBR008C	0.000	0.000
YBR009C	0.000	0.000
YBR010W	0.000	0.000
YBR012C	0.000	0.000
YBR013C	0.000	0.000
YBR014C	0.000	0.000
YBR015C	0.000	0.000
YBR016W	0.000	0.000
YBR018C	0.000	0.000
YBR019C	0.000	0.000
YBR020W	0.000	0.000
YBR021W	0.000	0.000
YBR022W	0.000	0.000
YBR023C	0.000	0.000
YBR024W	0.000	0.000
YBR025C	0.000	0.000
YBR026C	0.000	0.000
YBR027C	0.000	0.000
YBR028C	0.000	0.000
YBR030W	0.000	0.000
YBR031W	0.000	0.000
YBR032W	0.000	0.000
YBR033W	0.000	0.000
YBR034C	0.000	0.000
YBR035C	0.000	0.000
YBR036C	0.000	0.000
YBR037C	0.000	0.000
YBR040W	0.000	0.000
YBR041W	0.000	0.000
YBR042C	0.000	0.000
YBR043C	0.000	0.000
YBR044C	0.000	0.000
YBR045C	0.000	0.000
YBR046C	0.000	0.000
YBR047W	0.000	0.000
YBR048W	0.000	0.000
YBR050C	0.000	0.000
YBR051W	0.000	0.000
YBR052C	0.000	0.000
YBR053C	0.000	0.000
YBR054W	0.000	0.000
YBR056W	0.000	0.000
YBR056W-A	0.000	0.000
YBR057C	0.000	0.000
YBR058C	0.000	0.000
YBR058C-A	0.000	0.000
YBR059C	0.000	0.000
YBR061C	0.000	0.000
YBR062C	0.000	0.000
YBR063C	0.000	0.000
YBR064W	0.000	0.000
YBR065C	0.000	0.000
YBR066C	0.000	0.000
YBR067C	0.000	0.000
YBR068C	0.000	0.000
YBR069C	0.000	0.000
YBR071W	0.000	0.000
YBR072C-A	0.000	0.000
YBR072W	0.000	0.000
YBR073W	0.000	0.000
YBR074W	0.000	0.000
YBR076W	0.000	0.000
YBR077C	0.000	0.000
YBR081C	0.000	0.000
YBR082C	1.000	0.000
YBR083W	0.000	0.000
YBR084C-A	0.000	0.000
YBR084W	0.000	0.000
YBR085C-A	0.000	0.000
YBR085W	0.000	0.000
YBR089C-A	0.000	0.000
YBR090C	0.000	0.000
YBR092C	0.000	0.000
YBR093C	0.000	0.000
YBR094W	0.000	0.000
YBR095C	0.000	0.000
YBR097W	0.000	0.000
YBR098W	0.000	0.000
YBR099C	0.000	0.000
YBR101C	0.000	0.000
YBR103W	0.000	0.000
YBR104W	0.000	0.000
YBR105C	0.000	0.000
YBR106W	0.000	0.000
YBR107C	0.000	0.000
YBR108W	0.000	0.000
YBR111C	0.000	0.000
YBR111W-A	0.000	0.000
YBR112C	0.000	0.000
YBR113W	0.000	0.000
YBR114W	0.000	0.000
YBR115C	0.000	0.000
YBR116C	0.000	0.000
YBR119W	0.000	0.000
YBR120C	0.000	0.000
YBR121C	0.000	0.000
YBR122C	0.000	0.000
YBR125C	0.000	0.000
YBR126C	0.000	0.000
YBR127C	0.000	0.000
YBR128C	0.000	0.000
YBR129C	0.000	0.000
YBR130C	0.000	0.000
YBR131W	0.000	0.000
YBR132C	0.000	0.000
YBR133C	0.000	0.000
YBR134W	0.000	0.000
YBR137W	0.000	0.000
YBR138C	0.000	0.000
YBR139W	0.000	0.000
YBR141C	0.000	0.000
YBR144C	0.000	0.000
YBR145W	0.000	0.000
YBR146W	0.000	0.000
YBR147W	0.000	0.000
YBR148W	0.000	0.000
YBR149W	0.000	0.000
YBR150C	0.000	0.000
YBR151W	0.000	0.000
YBR156C	0.000	0.000
YBR157C	0.000	0.000
YBR158W	0.000	0.000
YBR159W	0.000	0.000
YBR161W	0.000	0.000
YBR162C	0.000	0.000
YBR162W-A	0.000	0.000
YBR163W	0.000	0.000
YBR164C	0.000	0.000
YBR165W	0.000	0.000
YBR166C	0.000	0.000
YBR168W	0.000	0.000
YBR169C	0.000	0.000
YBR170C	0.000	0.000
YBR171W	0.000	0.000
YBR172C	1.000	0.000
YBR173C	0.000	0.000
YBR174C	0.000	0.000
YBR175W	0.000	0.000
YBR176W	0.000	0.000
YBR177C	0.000	0.000
YBR178W	0.000	0.000
YBR179C	0.000	0.000
YBR180W	0.000	0.000
YBR181C	0.000	0.000
YBR182C	0.000	0.000
YBR182C-A	0.000	0.000
YBR183W	0.000	0.000
YBR184W	0.000	0.000
YBR185C	0.000	0.000
YBR186W	0.000	0.000
YBR187W	0.000	0.000
YBR188C	0.000	0.000
YBR189W	0.000	0.000
YBR191W	0.000	0.000
YBR194W	0.000	0.000
YBR195C	0.000	0.000
YBR196C-A	0.000	0.000
YBR196C-B	0.000	0.000
YBR197C	0.000	0.000
YBR199W	0.000	0.000
YBR200W	0.000	0.000
YBR200W-A	0.000	0.000
YBR201W	0.000	0.000
YBR203W	0.000	0.000
YBR204C	0.000	0.000
YBR205W	0.000	0.000
YBR206W	0.000	0.000
YBR207W	0.000	0.000
YBR208C	0.000	0.000
YBR209W	0.000	0.000
YBR210W	0.000	0.000
YBR212W	0.000	0.000
YBR213W	0.000	0.000
YBR214W	0.000	0.000
YBR215W	0.000	0.000
YBR216C	0.000	0.000
YBR217W	0.000	0.000
YBR218C	0.000	0.000
YBR219C	0.000	0.000
YBR220C	0.000	0.000
YBR221C	0.000	0.000
YBR221W-A	0.000	0.000
YBR222C	0.000	0.000
YBR223C	0.000	0.000
YBR224W	0.000	0.000
YBR225W	0.000	0.000
YBR226C	0.000	0.000
YBR227C	0.000	0.000
YBR228W	0.000	0.000
YBR229C	0.000	0.000
YBR230C	0.000	0.000
YBR231C	0.000	0.000
YBR232C	0.000	0.000
YBR233W	0.000	0.000
YBR235W	0.000	0.000
YBR238C	0.000	0.000
YBR239C	0.000	0.000
YBR240C	0.000	0.000
YBR241C	0.000	0.000
YBR242W	0.000	0.000
YBR244W	0.000	0.000
YBR245C	0.000	0.000
YBR246W	0.000	0.000
YBR248C	0.000	0.000
YBR249C	0.000	0.000
YBR250W	0.000	0.000
YBR251W	0.000	0.000
YBR255W	0.000	0.000
YBR258C	0.000	0.000
YBR259W	0.000	0.000
YBR260C	0.000	0.000
YBR261C	0.000	0.000
YBR262C	0.000	0.000
YBR263W	0.000	0.000
YBR264C	0.000	0.000
YBR266C	0.000	0.000
YBR267W	0.000	0.000
YBR268W	0.000	0.000
YBR269C	0.000	0.000
YBR270C	0.000	0.000
YBR271W	0.000	0.000
YBR272C	0.000	0.000
YBR273C	0.000	0.000
YBR274W	0.000	0.000
YBR275C	0.000	0.000
YBR276C	0.000	0.000
YBR277C	0.000	0.000
YBR278W	0.000	0.000
YBR279W	0.000	0.000
YBR280C	0.000	0.000
YBR281C	0.000	0.000
YBR282W	0.000	0.000
YBR283C	0.000	0.000
YBR284W	0.000	0.000
YBR285W	0.000	0.000
YBR286W	0.000	0.000
YBR287W	0.000	0.000
YBR288C	0.000	0.000
YBR289W	0.000	0.000
YBR290W	0.000	0.000
YBR291C	0.000	0.000
YBR292C	0.000	0.000
YBR293W	0.000	0.000
YBR294W	0.000	0.000
YBR295W	0.000	0.000
YBR296C	0.000	0.000
YBR296C-A	0.000	0.000
YBR297W	0.000	0.000
YBR298C	0.000	0.000
YBR299W	0.000	0.000
YBR300C	0.000	0.000
YBR301W	0.000	0.000
YCL001W	0.000	0.000
YCL001W-A	0.000	0.000
YCL001W-B	0.000	0.000
YCL002C	0.000	0.000
YCL005W	0.000	0.000
YCL006C	0.000	0.000
YCL007C	0.000	0.000
YCL008C	1.000	0.000
YCL009C	0.000	0.000
YCL010C	0.000	0.000
YCL011C	0.000	0.000
YCL013W	0.000	0.000
YCL014W	0.000	0.000
YCL016C	0.000	0.000
YCL021W-A	0.000	0.000
YCL022C	0.000	0.000
YCL023C	0.000	0.000
YCL024W	0.000	0.000
YCL025C	0.000	0.000
YCL026C	0.000	0.000
YCL026C-A	0.000	0.000
YCL026C-B	0.000	0.000
YCL027W	0.000	0.000
YCL028W	0.000	0.000
YCL029C	0.000	0.000
YCL030C	0.000	0.000
YCL032W	0.000	0.000
YCL033C	0.000	0.000
YCL034W	0.000	0.000
YCL035C	0.000	0.000
YCL036W	0.000	0.000
YCL037C	0.000	0.000
YCL038C	0.000	0.000
YCL039W	0.000	0.000
YCL040W	0.000	0.000
YCL042W	0.000	0.000
YCL044C	0.000	0.000
YCL045C	0.000	0.000
YCL046W	0.000	0.000
YCL047C	0.000	0.000
YCL048W	0.000	0.000
YCL049C	0.000	0.000
YCL050C	0.000	0.000
YCL051W	0.000	0.000
YCL055W	0.000	0.000
YCL056C	0.000	0.000
YCL057C-A	0.000	0.000
YCL057W	0.000	0.000
YCL058C	0.000	0.000
YCL061C	0.000	0.000
YCL063W	0.000	0.000
YCL064C	0.000	0.000
YCL069W	0.000	0.000
YCL074W	0.000	0.000
YCL075W	0.000	0.000
YCL076W	0.000	0.000
YCR001W	0.000	0.000
YCR002C	0.000	0.000
YCR003W	0.000	0.000
YCR004C	0.000	0.000
YCR005C	0.000	0.000
YCR006C	0.000	0.000
YCR007C	0.000	0.000
YCR008W	0.000	0.000
YCR009C	0.000	0.000
YCR010C	0.000	0.000
YCR011C	0.000	0.000
YCR014C	0.000	0.000
YCR015C	0.000	0.000
YCR016W	0.000	0.000
YCR017C	0.000	0.000
YCR019W	0.000	0.000
YCR020C	0.000	0.000
YCR020C-A	0.000	0.000
YCR020W-B	0.000	0.000
YCR021C	0.000	0.000
YCR022C	0.000	0.000
YCR023C	0.000	0.000
YCR024C	0.000	0.000
YCR024C-A	0.000	0.000
YCR025C	0.000	0.000
YCR026C	0.000	0.000
YCR027C	0.000	0.000
YCR028C	0.000	0.000
YCR028C-A	0.000	0.000
YCR030C	0.000	0.000
YCR031C	0.000	0.000
YCR032W	0.000	0.000
YCR033W	0.000	0.000
YCR034W	0.000	0.000
YCR036W	0.000	0.000
YCR037C	0.000	0.000
YCR043C	0.000	0.000
YCR044C	0.000	0.000
YCR045C	0.000	0.000
YCR046C	0.000	0.000
YCR047C	0.000	0.000
YCR048W	0.000	0.000
YCR049C	0.000	0.000
YCR050C	0.000	0.000
YCR051W	0.000	0.000
YCR053W	0.000	0.000
YCR059C	0.000	0.000
YCR060W	0.000	0.000
YCR061W	0.000	0.000
YCR063W	0.000	0.000
YCR065W	0.000	0.000
YCR066W	0.000	0.000
YCR067C	0.000	0.000
YCR068W	0.000	0.000
YCR069W	0.000	0.000
YCR071C	0.000	0.000
YCR073C	0.000	0.000
YCR073W-A	0.000	0.000
YCR075C	0.000	0.000
YCR075W-A	0.000	0.000
YCR076C	0.000	0.000
YCR077C	0.000	0.000
YCR079W	0.000	0.000
YCR081W	0.000	0.000
YCR082W	0.000	0.000
YCR083W	0.000	0.000
YCR084C	0.000	0.000
YCR085W	0.000	0.000
YCR086W	0.000	0.000
YCR087C-A	0.000	0.000
YCR087W	0.000	0.000
YCR088W	0.000	0.000
YCR089W	0.000	0.000
YCR090C	0.000	0.000
YCR091W	0.000	0.000
YCR092C	0.000	0.000
YCR094W	0.000	0.000
YCR095C	0.000	0.000
YCR098C	0.000	0.000
YCR099C	0.000	0.000
YCR100C	0.000	0.000
YCR101C	0.000	0.000
YCR102C	0.000	0.000
YCR102W-A	0.000	0.000
YCR105W	0.000	0.000
YCR106W	0.000	0.000
YCR107W	0.000	0.000
YDL001W	0.000	0.000
YDL002C	0.000	0.000
YDL006W	0.000	0.000
YDL009C	0.000	0.000
YDL010W	0.000	0.000
YDL011C	0.000	0.000
YDL012C	0.000	0.000
YDL013W	0.000	0.000
YDL018C	0.000	0.000
YDL019C	0.000	0.000
YDL020C	0.500	0.000
YDL021W	0.000	0.000
YDL022W	0.000	0.000
YDL023C	0.000	0.000
YDL024C	0.000	0.000
YDL025C	0.000	0.000
YDL026W	0.000	0.000
YDL027C	0.000	0.000
YDL032W	0.000	0.000
YDL033C	0.000	0.000
YDL034W	0.000	0.000
YDL035C	0.000	0.000
YDL036C	0.000	0.000
YDL037C	0.000	0.000
YDL039C	0.000	0.000
YDL040C	0.000	0.000
YDL041W	0.000	0.000
YDL042C	0.000	0.000
YDL044C	0.000	0.000
YDL045W-A	0.000	0.000
YDL046W	0.000	0.000
YDL047W	0.500	0.000
YDL048C	0.000	0.000
YDL049C	0.000	0.000
YDL050C	0.000	0.000
YDL051W	0.000	0.000
YDL052C	0.000	0.000
YDL053C	0.000	0.000
YDL054C	0.000	0.000
YDL056W	0.000	0.000
YDL057W	0.000	0.000
YDL059C	0.000	0.000
YDL061C	0.000	0.000
YDL062W	0.000	0.000
YDL063C	0.000	0.000
YDL065C	0.000	0.000
YDL066W	0.000	0.000
YDL067C	0.000	0.000
YDL068W	0.000	0.000
YDL069C	0.000	0.000
YDL070W	0.000	0.000
YDL071C	0.000	0.000
YDL072C	0.000	0.000
YDL073W	0.000	0.000
YDL074C	0.000	0.000
YDL075W	0.000	0.000
YDL076C	0.000	0.000
YDL077C	1.000	0.000
YDL078C	0.000	0.000
YDL079C	0.000	0.000
YDL080C	0.000	0.000
YDL081C	0.000	0.000
YDL082W	0.000	0.000
YDL083C	0.000	0.000
YDL085C-A	0.000	0.000
YDL085W	0.000	0.000
YDL086W	0.000	0.000
YDL088C	0.000	0.000
YDL089W	0.000	0.000
YDL090C	0.000	0.000
YDL091C	1.000	0.000
YDL093W	0.000	0.000
YDL094C	0.000	0.000
YDL095W	0.000	0.000
YDL096C	0.000	0.000
YDL099W	0.000	0.000
YDL100C	0.000	0.000
YDL101C	0.000	0.000
YDL104C	0.000	0.000
YDL106C	0.000	0.000
YDL107W	0.000	0.000
YDL109C	0.000	0.000
YDL110C	0.000	0.000
YDL112W	0.000	0.000
YDL113C	0.000	0.000
YDL114W	0.000	0.000
YDL115C	0.000	0.000
YDL116W	0.000	0.000
YDL117W	0.000	0.000
YDL118W	0.000	0.000
YDL119C	0.000	0.000
YDL121C	0.000	0.000
YDL122W	0.000	0.000
YDL123W	0.000	0.000
YDL124W	0.000	0.000
YDL125C	0.000	0.000
YDL127W	0.000	0.000
YDL128W	0.000	0.000
YDL129W	0.000	0.000
YDL130W	0.000	0.000
YDL130W-A	0.000	0.000
YDL131W	0.000	0.000
YDL133C-A	0.000	0.000
YDL133W	0.000	0.000
YDL134C	0.000	0.000
YDL135C	0.000	0.000
YDL136W	0.000	0.000
YDL137W	0.000	0.000
YDL138W	0.000	0.000
YDL142C	0.000	0.000
YDL144C	0.000	0.000
YDL146W	0.000	0.000
YDL149W	0.000	0.000
YDL151C	0.000	0.000
YDL154W	0.000	0.000
YDL155W	0.000	0.000
YDL156W	0.000	0.000
YDL157C	0.000	0.000
YDL159W	0.000	0.000
YDL159W-A	0.000	0.000
YDL160C	0.000	0.000
YDL160C-A	0.000	0.000
YDL161W	0.000	0.000
YDL162C	0.000	0.000
YDL167C	0.000	0.000
YDL168W	0.000	0.000
YDL169C	0.000	0.000
YDL170W	0.000	0.000
YDL171C	0.000	0.000
YDL172C	0.000	0.000
YDL173W	0.000	0.000
YDL174C	0.000	0.000
YDL175C	0.000	0.000
YDL176W	0.000	0.000
YDL177C	0.000	0.000
YDL178W	0.000	0.000
YDL179W	0.000	0.000
YDL180W	0.000	0.000
YDL181W	0.000	0.000
YDL182W	0.000	0.000
YDL183C	0.000	0.000
YDL184C	0.000	0.000
YDL185W	0.000	0.000
YDL186W	0.000	0.000
YDL187C	0.000	0.000
YDL188C	0.000	0.000
YDL189W	0.000	0.000
YDL190C	0.000	0.000
YDL191W	0.000	0.000
YDL192W	0.000	0.000
YDL194W	0.000	0.000
YDL197C	0.000	0.000
YDL198C	0.000	0.000
YDL199C	0.000	0.000
YDL200C	0.000	0.000
YDL201W	0.000	0.000
YDL202W	0.000	0.000
YDL203C	0.000	0.000
YDL204W	0.000	0.000
YDL206W	0.000	0.000
YDL210W	0.000	0.000
YDL211C	0.000	0.000
YDL213C	0.000	0.000
YDL214C	0.000	0.000
YDL215C	0.000	0.000
YDL216C	0.000	0.000
YDL218W	0.000	0.000
YDL219W	0.000	0.000
YDL222C	0.000	0.000
YDL223C	0.000	0.000
YDL224C	0.000	0.000
YDL225W	0.000	0.000
YDL226C	0.000	0.000
YDL227C	0.000	0.000
YDL229W	0.000	0.000
YDL230W	0.000	0.000
YDL231C	0.000	0.000
YDL232W	0.000	0.000
YDL233W	0.000	0.000
YDL234C	0.000	0.000
YDL236W	0.000	0.000
YDL237W	0.000	0.000
YDL238C	0.000	0.000
YDL239C	0.000	0.000
YDL240W	0.000	0.000
YDL241W	0.000	0.000
YDL242W	0.000	0.000
YDL243C	0.000	0.000
YDR001C	0.000	0.000
YDR003W	0.000	0.000
YDR003W-A	0.000	0.000
YDR004W	0.000	0.000
YDR005C	0.000	0.000
YDR006C	0.000	0.000
YDR007W	0.000	0.000
YDR008C	0.000	0.000
YDR009W	0.000	0.000
YDR010C	0.000	0.000
YDR011W	0.000	0.000
YDR014W	0.000	0.000
YDR015C	0.000	0.000
YDR017C	0.000	0.000
YDR018C	0.000	0.000
YDR019C	0.000	0.000
YDR020C	0.000	0.000
YDR022C	0.000	0.000
YDR024W	0.000	0.000
YDR025W	0.000	0.000
YDR026C	0.000	0.000
YDR027C	0.000	0.000
YDR028C	0.000	0.000
YDR029W	0.000	0.000
YDR030C	0.000	0.000
YDR031W	0.000	0.000
YDR032C	0.000	0.000
YDR033W	0.000	0.000
YDR034C	0.000	1.000
YDR034W-B	0.000	0.000
YDR035W	0.000	0.000
YDR036C	0.000	0.000
YDR042C	0.000	0.000
YDR043C	0.000	0.000
YDR046C	0.000	0.000
YDR048C	0.000	0.000
YDR049W	0.000	0.000
YDR050C	0.000	0.000
YDR051C	0.000	0.000
YDR055W	0.000	0.000
YDR056C	0.000	0.000
YDR057W	0.000	0.000
YDR058C	0.000	0.000
YDR059C	0.000	0.000
YDR061W	0.000	0.000
YDR063W	0.000	0.000
YDR065W	0.000	0.000
YDR066C	0.000	0.000
YDR067C	0.000	0.000
YDR068W	0.000	0.000
YDR069C	1.000	0.000
YDR070C	0.000	0.000
YDR071C	0.000	0.000
YDR072C	0.000	0.000
YDR073W	0.000	0.000
YDR074W	0.000	0.000
YDR075W	0.000	0.000
YDR076W	0.000	0.000
YDR077W	0.000	0.000
YDR078C	0.000	0.000
YDR079C-A	0.000	0.000
YDR079W	0.000	0.000
YDR080W	1.000	0.000
YDR083W	0.000	0.000
YDR084C	0.000	0.000
YDR085C	0.000	0.000
YDR089W	0.000	0.000
YDR090C	0.000	0.000
YDR092W	0.000	0.000
YDR093W	0.000	0.000
YDR094W	0.000	0.000
YDR095C	0.000	0.000
YDR096W	0.000	0.000
YDR097C	0.000	0.000
YDR098C	0.000	0.000
YDR099W	0.000	0.000
YDR100W	0.000	0.000
YDR101C	0.000	0.000
YDR102C	0.000	0.000
YDR103W	0.000	0.000
YDR104C	0.000	0.000
YDR105C	0.000	0.000
YDR107C	0.000	0.000
YDR108W	0.000	0.000
YDR109C	0.000	0.000
YDR110W	0.000	0.000
YDR111C	0.000	0.000
YDR112W	0.000	0.000
YDR114C	0.000	0.000
YDR115W	0.000	0.000
YDR116C	0.000	0.000
YDR117C	0.000	0.000
YDR119W	0.000	0.000
YDR120C	0.000	0.000
YDR121W	0.000	0.000
YDR122W	0.000	0.000
YDR123C	0.000	0.000
YDR124W	0.000	0.000
YDR125C	0.000	0.000
YDR126W	0.000	0.000
YDR127W	0.000	0.000
YDR128W	0.000	0.000
YDR129C	0.000	0.000
YDR130C	0.000	0.000
YDR131C	0.000	0.000
YDR132C	0.000	0.000
YDR133C	0.000	0.000
YDR134C	0.000	0.000
YDR135C	0.000	0.000
YDR136C	0.000	0.000
YDR137W	0.000	0.000
YDR138W	0.000	0.000
YDR139C	0.000	0.000
YDR140W	0.000	0.000
YDR142C	0.000	0.000
YDR143C	0.000	0.000
YDR144C	0.000	0.000
YDR146C	0.000	0.000
YDR147W	0.000	0.000
YDR148C	0.000	0.000
YDR149C	0.000	0.000
YDR150W	0.000	0.000
YDR151C	0.000	0.000
YDR152W	0.000	0.000
YDR153C	0.000	0.000
YDR154C	0.000	0.000
YDR155C	0.000	0.000
YDR156W	0.000	0.000
YDR157W	0.000	0.000
YDR158W	0.000	0.000
YDR159W	0.000	0.000
YDR161W	0.000	0.000
YDR162C	0.000	0.000
YDR163W	0.000	0.000
YDR165W	0.000	0.000
YDR169C	0.000	0.000
YDR169C-A	0.000	0.000
YDR171W	0.000	0.000
YDR173C	0.000	0.000
YDR174W	0.000	0.000
YDR175C	0.000	0.000
YDR176W	0.000	0.000
YDR178W	0.000	0.000
YDR179C	0.000	0.000
YDR179W-A	0.000	0.000
YDR181C	0.000	0.000
YDR182W-A	0.000	0.000
YDR183W	0.000	0.000
YDR184C	0.000	0.000
YDR185C	0.000	0.000
YDR186C	0.000	0.000
YDR191W	0.000	0.000
YDR192C	0.000	0.000
YDR193W	0.000	0.000
YDR194C	0.000	0.000
YDR194W-A	0.000	0.000
YDR195W	0.000	0.000
YDR197W	0.000	0.000
YDR198C	0.000	0.000
YDR199W	0.000	0.000
YDR200C	0.000	0.000
YDR202C	0.000	0.000
YDR203W	0.000	0.000
YDR204W	0.000	0.000
YDR205W	0.000	0.000
YDR206W	0.000	0.000
YDR207C	0.000	0.000
YDR209C	0.000	0.000
YDR210W	0.000	0.000
YDR213W	0.000	0.000
YDR214W	0.000	0.000
YDR215C	0.000	0.000
YDR216W	0.000	0.000
YDR217C	0.000	0.000
YDR218C	0.000	0.000
YDR219C	0.000	0.000
YDR220C	0.000	0.000
YDR221W	0.000	0.000
YDR222W	0.000	0.000
YDR223W	0.000	0.000
YDR225W	0.000	0.000
YDR226W	0.000	0.000
YDR227W	0.000	0.000
YDR229W	0.000	0.000
YDR230W	0.000	0.000
YDR231C	0.000	0.000
YDR233C	0.000	0.000
YDR234W	0.000	0.000
YDR237W	0.000	0.000
YDR239C	0.000	0.000
YDR241W	0.000	0.000
YDR242W	0.000	0.000
YDR244W	0.000	0.000
YDR245W	0.000	0.000
YDR246W-A	0.000	0.000
YDR247W	0.000	0.000
YDR248C	0.000	0.000
YDR249C	0.000	0.000
YDR250C	0.000	0.000
YDR251W	0.000	0.000
YDR252W	0.000	0.000
YDR253C	0.000	0.000
YDR254W	0.000	0.000
YDR255C	0.000	0.000
YDR256C	0.000	0.000
YDR257C	0.000	0.000
YDR258C	0.000	0.000
YDR259C	0.000	0.000
YDR260C	0.000	0.000
