orf	hom | growth (pooled culture, barseq) | 4-nitroquinoline N-oxide [25%IC10 (0.47 uM)] | YPD + DMSO | Guan M~Zhang X, 2022	hom | growth (pooled culture, barseq) | 4-nitroquinoline N-oxide [50%IC10 (0.95 uM)] | YPD + DMSO | Guan M~Zhang X, 2022	hom | growth (pooled culture, barseq) | 4-nitroquinoline N-oxide [IC10 (1.89 uM)] | YPD + DMSO | Guan M~Zhang X, 2022	hom | growth (pooled culture, barseq) | 4-nitroquinoline N-oxide [IC20 (2.66 uM)] | YPD + DMSO | Guan M~Zhang X, 2022	hom | growth (pooled culture, barseq) | 4-nitroquinoline N-oxide [IC50 (4.77 uM)] | YPD + DMSO | Guan M~Zhang X, 2022	hom | growth (pooled culture, barseq) | formaldehyde [IC10 (2.3 mM)] | YPD + DMSO | Guan M~Zhang X, 2022	hom | growth (pooled culture, barseq) | formaldehyde [IC20 (2.6 mM)] | YPD + DMSO | Guan M~Zhang X, 2022	hom | growth (pooled culture, barseq) | formaldehyde [IC50 (3.2 mM)] | YPD + DMSO | Guan M~Zhang X, 2022	hom | growth (pooled culture, barseq) | dichloroacetic acid [IC10 (57.7 mM)] | YPD | Guan M~Zhang X, 2022	hom | growth (pooled culture, barseq) | dichloroacetic acid [IC20 (60.8 mM)] | YPD | Guan M~Zhang X, 2022	hom | growth (pooled culture, barseq) | dichloroacetic acid [IC50 (66.5 mM)] | YPD | Guan M~Zhang X, 2022
YAL001C	1.064102564102564	0.5923076923076923	0.1641025641025641	0.22820512820512823	0.20512820512820515	1.6836158192090396	0.9887005649717514	0.9322033898305084	1.0638297872340425	0.83451536643026	0.8723404255319149
YAL003W	0.9890282131661443	0.5031347962382445	0.09090909090909091	0.08620689655172413	0.08150470219435736	1.3839712918660287	0.9629186602870812	0.8696172248803827	1.0883977900552486	0.9116022099447514	0.5883977900552486
YAL024C	0.7208121827411167	0.3248730964467005	0.0964467005076142	0.11167512690355329	0.06091370558375634	1.5708154506437768	1.1030042918454936	1.5407725321888412	0.6	0.42641509433962266	0.31698113207547174
YAL033W	0.951851851851852	0.5962962962962963	0.34444444444444444	0.3259259259259259	0.3592592592592593	1.3650793650793651	0.8571428571428571	0.828042328042328	0.989010989010989	1.0402930402930404	0.7985347985347986
YAL037C-A	0.9169139465875371	0.7240356083086054	0.4362017804154303	0.6023738872403561	0.34124629080118696	1.721822541966427	1.0575539568345325	0.8393285371702638	1.0632530120481927	0.8554216867469879	0.7771084337349398
YAL038W	0.925925925925926	0.625	0.2175925925925926	0.2361111111111111	0.3055555555555556	1.7549668874172184	1.1456953642384105	1.1622516556291391	0.8277153558052435	0.7865168539325843	0.6404494382022472
YAL043C	1.319148936170213	0.946808510638298	0.3723404255319149	0.5531914893617021	0.6595744680851064	1.4785714285714286	1.2571428571428571	1.4428571428571428	1.0204081632653061	1.0408163265306123	0.9047619047619048
YAL051W	1.028169014084507	1.1408450704225352	3.633802816901408	5.28169014084507	6.253521126760563	1.5	1.4843750000000002	2.3593750000000004	1.3529411764705883	0.8823529411764706	0.5294117647058824
YAL064C-A	1.1949860724233983	0.8885793871866294	1.4456824512534818	1.8022284122562673	1.6267409470752088	1.4796954314720812	0.9923857868020305	1.2893401015228425	1.0142045454545454	1.1647727272727273	0.8522727272727273
YAR007C	0.6636363636363637	0.2272727272727273	0.027272727272727275	0.00909090909090909	0.01818181818181818	1.2146118721461188	0.6210045662100457	0.6255707762557078	1.6119402985074627	1.4179104477611941	1.582089552238806
YAR008W	0.8650306748466258	0.4754601226993865	0.2760736196319018	0.29447852760736193	0.24846625766871164	1.431472081218274	1.0228426395939085	1.0203045685279186	0.7841945288753799	0.7598784194528875	0.7112462006079027
