ORF	hap a | growth (colony size) | paromomycin [13 mg/ml] | Alamgir M~Golshani A, 2008
YDR084C	36.404
YBR260C	-14.084
YDR085C	12.317
YBR261C	-21.492
YDR089W	-15.411
YBR262C	-7.372
YDR090C	5.419
YBR263W	4.427
YDR092W	-28.117
YBR264C	-4.078
YDR093W	18.263
YBR266C	21.943
YBL055C	18.832
YAL051W	-1.044
YBL056W	18.390
YAL049C	17.181
YBL057C	20.586
YAL045C	-12.028
YBL058W	0.854
YAL044C	19.992
YBL059W	-9.943
YAL042W	-4.189
YBL060W	-16.381
YAL043C-A	-25.609
YBL061C	9.805
YAL040C	11.481
YBL062W	-31.508
YAL039C	10.300
YBL063W	-4.171
YAL037W	-4.511
YBL064C	0.241
YAL036C	-9.484
YBL065W	-10.374
YAL035W	-15.990
YBL066C	9.640
YAL034C	-3.600
YDR059C	9.102
YBR231C	5.581
YDR061W	4.888
YBR233W	6.863
YDR063W	-9.476
YBR235W	-9.436
YDR065W	3.400
YBR238C	4.140
YDR066C	-0.588
YBR239C	-25.989
YDR067C	8.950
YBR240C	-5.854
YDR068W	-33.242
YBR241C	3.980
YDR069C	0.000
YBR242W	-4.990
YDR070C	6.979
YBR244W	-6.899
YDR072C	74.568
YBR245C	1.398
YDR073W	5.912
YBR246W	-4.867
YDR075W	13.523
YBR248C	20.335
YBL042C	-1.427
YAL068C	2.000
YBL043W	29.974
YAL067C	51.807
YBL044W	0.000
YAL066W	8.050
YBL045C	0.000
YAL065C	64.180
YBL046W	-13.710
YAL062W	19.092
YBL047C	9.009
YAL061W	4.559
YBL048W	23.746
YAL060W	5.640
YBL049W	-46.940
YAL059W	11.231
YBL051C	-4.797
YAL058W	10.275
YBL052C	58.848
YAL056W	37.323
YBL053W	65.022
YAL055W	47.597
YBL054W	-36.495
YAL053W	5.787
YGL089C	-52.534
YER050C	-20.247
YGL090W	-55.266
YER051W	-46.125
YGL194C	-2.384
YER052C	9.748
YGL195W	1.407
YER053C	7.122
YGL196W	39.798
YER054C	23.130
YGL197W	-10.529
YER055C	-37.153
YGL198W	8.737
YER056C	15.071
YGL200C	0.000
YER056C-A	-2.749
YGL202W	-40.648
YER057C	25.966
YGL203C	-2.159
YER058W	2.012
YGL205W	9.875
YER059W	-69.856
YGL206C	0.000
YER060W	-29.046
YDR431W	22.272
YDR294C	-50.647
YDR432W	-56.362
YDR295C	0.000
YDR433W	26.373
YDR296W	22.576
YDR435C	-16.356
YDR297W	-4.631
YDR436W	17.612
YDR298C	7.120
YEL001C	6.715
YDR300C	17.055
YEL003W	-4.968
YDR304C	24.942
YEL004W	-1.612
YDR305C	26.669
YEL005C	26.486
YDR306C	-0.320
YEL006W	31.654
YDR307W	-38.304
YEL007W	-23.419
YDR309C	30.208
YEL008W	17.795
YDR310C	9.393
YGL072C	9.338
YER038W-A	-26.873
YGL077C	-47.024
YER039C	18.890
YGL078C	-26.369
YER040W	-78.633
YGL079W	-2.735
YER041W	-19.474
YGL080W	-19.109
YER042W	2.727
YGL081W	17.569
YER044C	16.416
YGL082W	24.984
YER044C-A	17.360
YGL083W	18.370
YER045C	-44.749
YGL084C	25.377
YER046W-A	-8.549
YGL085W	9.173
YER047C	-35.313
YGL086W	9.341
YER048C	1.014
YGL087C	-29.457
YER049W	41.871
YDR414C	31.081
YDR278C	-79.419
YDR415C	-50.183
YDR279W	-34.667
YDR418W	13.876
YDR281C	-2.146
YDR419W	38.605
YDR282C	-57.626
YDR420W	-14.489
YDR283C	0.000
YDR421W	2.586
YDR284C	-29.176
YDR422C	-27.295
YDR285W	25.896
YDR423C	-13.997
YDR286C	-5.192
YDR425W	11.728
YDR287W	-12.143
YDR426C	-14.165
YDR289C	-1.907
YDR428C	4.552
YDR291W	18.005
YDR430C	-11.076
YDR293C	0.826
YGL051W	-23.703
YER016W	8.177
YGL053W	-7.158
YER017C	0.000
YGL054C	-16.385
YER019W	3.920
YGL056C	-11.034
