orf	hap a | growth (colony size) | paromomycin [13 mg/ml] | Alamgir M~Golshani A, 2008
YBR162W-A	-6.6565
YBR163W	0.0
YBR164C	0.39499
YBR165W	-30.784
YBR166C	-4.3346
YBR168W	-4.4682
YBR169C	17.062
YBR170C	-19.057
YBR171W	39.411
YBR172C	2.5298
YBR173C	0.7841500000000003
YBR174C	37.571666666666665
YBR175W	19.5995
YBR176W	9.052999999999999
YBR177C	-13.402999999999999
YBR178W	13.396
YBR179C	-6.2139999999999995
YBR180W	-11.883199999999999
YBR181C	35.0205
YBR182C	5.874499999999999
YBR183W	-8.4025
YBR184W	-2.20435
YBR185C	1.9365000000000006
YBR186W	12.9621
YBR187W	19.4745
YBR188C	6.5249999999999995
YBR189W	54.607
YBR191W	0.0
YBR194W	-13.9213
YBR195C	17.607
YBR197C	-32.3575
YBR199W	-13.2965
YBR200W	-9.35285
YBR201W	10.79135
YBR203W	-16.68375
YBR204C	-20.251
YBR205W	27.06815
YBR206W	23.697000000000003
YBR207W	-0.1983999999999999
YBR208C	-1.5043333333333333
YBR209W	17.0098
YBR210W	-8.1314
YBR212W	-17.22635
YBR213W	-18.561
YBR214W	-6.601999999999999
YBR215W	-5.02965
YBR216C	5.7311499999999995
YBR217W	9.2834
YBR218C	22.262999999999998
YBR219C	7.148999999999998
YBR220C	-7.464300000000001
YBR221C	-31.43133333333333
YBR222C	-31.813000000000002
YBR223C	-12.9407
YBR224W	2.9904000000000006
YBR225W	39.066500000000005
YBR226C	-10.841999999999999
YBR227C	8.59565
YBR228W	-21.567
YBR229C	-10.4458
YBR230C	-6.031149999999999
YBR231C	5.5809999999999995
YBR232C	-33.391999999999996
YBR233W	6.8632
YBR235W	-9.4359
YBR238C	4.139566666666666
YBR239C	-25.988999999999997
YBR240C	-5.8542499999999995
YBR241C	3.9799499999999997
YBR242W	-4.99
YBR244W	-6.8995
YBR245C	1.3979999999999997
YBR246W	-4.86655
YBR248C	20.334999999999997
YBR249C	-14.2152
YBR250W	-4.05335
YBR251W	0.0
YBR255W	7.5705
YBR258C	-20.66865
YBR259W	-4.075200000000001
YBR260C	-14.0835
YBR261C	-21.4925
YBR262C	-7.372
YBR263W	4.42705
YBR264C	-4.077999999999999
YBR266C	21.942999999999998
YBR267W	44.708
YBR268W	0.85045
YBR269C	-34.625
YBR270C	-3.09
YBR271W	4.2224
YBR272C	-20.197
YBR273C	39.784
YBR274W	29.235
YBR275C	9.7819
YBR276C	-16.678549999999998
YBR277C	19.525
YBR278W	54.16
YBR279W	34.635
YBR280C	-39.718
YBR281C	-43.9395
YBR282W	0.0
YBR283C	-12.497
YBR284W	-34.508
YBR285W	-39.246
YBR286W	-12.896
YBR287W	-32.238
YBR288C	5.1275
YBR289W	0.0
YBR290W	-17.517
YBR291C	29.696
YBR292C	23.654
YBR293W	-4.9527
YBR294W	-5.0704
YBR295W	23.689
YBR296C	13.05
YBR297W	-48.876999999999995
YBR298C	-25.777
YBR299W	-2.8695000000000004
YBR300C	-33.711
YBR301W	9.502
YCL001W	-10.3204
YCL001W-A	-25.461
YCL002C	-21.979
YCL005W	18.2945
YCL007C	0.0
YCL008C	10.0082
YCL009C	-6.9634633333333325
YCL010C	-80.6335
YCL011C	-18.2628
YCL014W	1.6176000000000004
YCL016C	-0.5943500000000004
YCL022C	-15.930349999999999
YCL023C	2.3229666666666664
YCL024W	-8.4244
YCL025C	-2.62645
YCL026C-A	-3.0476
YCL027W	-11.8803
YCL028W	-1.1987
YCL029C	-15.73
YCL030C	9.1329
YCL032W	-24.448
YCL033C	10.33
YCL034W	30.204966666666667
YCL035C	6.7964
YCL036W	42.477
YCL037C	5.0566
YCL038C	-15.990333333333334
YCL039W	-24.379
YCL040W	-8.9947
YCL042W	-38.688
YCL044C	-16.312
YCL045C	13.688
YCL046W	-13.377
YCL047C	-17.929
YCL048W	-19.938
YCL049C	-21.09
YCL050C	3.2537133333333337
YCL051W	-0.28034
YCL055W	10.438
YCL056C	-29.41
YCL057W	1.3949
YCL058C	73.3
YCL061C	5.306799999999999
YCL063W	-36.9025
YCL064C	-15.476
YCL069W	10.384
YCL076W	2.547999999999999
YCR001W	-33.64
YCR002C	-34.797
YCR003W	8.643
YCR004C	0.0
YCR005C	4.9956
YCR006C	-12.4
YCR007C	48.401
YCR008W	17.8
YCR009C	29.886
YCR010C	8.6796
YCR011C	21.144
YCR014C	14.231
YCR015C	-15.7
