ORF	hap a | growth (colony size) | Chimaphylin [0.05 mg/mL] | Galvan IJ~Smith ML, 2008
YDR161W	1.454
YCR017C	2.046
YDR162C	1.975
YCR019W	1.767
YDR163W	1.520
YCR020C	1.952
YDR165W	1.592
YCR020C-A	1.831
YDR169C	1.135
YCR021C	1.666
YDR171W	1.813
YCR022C	1.729
YDR173C	0.962
YCR023C	1.498
YDR175C	NaN
YDR049W	1.440
YDR176W	0.825
YDR051C	1.551
YDR178W	1.921
YDR055W	1.770
YDR179C	1.345
YDR056C	1.343
YDR179W-A	1.447
YDR057W	1.698
YBR219C	1.139
YBL022C	NaN
YBR220C	0.874
YBL024W	1.603
YBR221C	1.065
YBL025W	1.521
YBR222C	1.234
YBL027W	0.952
YBR223C	0.991
YBL028C	1.390
YBR224W	0.863
YBL029W	0.901
YBR225W	0.908
YBL031W	0.940
YBR226C	0.746
YBL032W	0.892
YBR227C	1.002
YBL036C	1.071
YBR228W	0.484
YBL037W	0.727
YBR229C	0.984
YBL038W	0.919
YBR230C	1.045
YBL039C	0.791
YDR148C	0.675
YCR003W	1.115
YDR149C	1.459
YCR004C	NaN
YDR150W	1.268
YCR005C	1.335
YDR151C	1.048
YCR006C	0.980
YDR152W	1.237
YCR007C	0.877
YDR153C	1.010
YCR008W	0.914
YDR154C	1.064
YCR009C	0.621
YDR155C	0.292
YCR010C	0.939
YDR156W	0.926
YCR011C	0.680
YDR157W	0.778
YCR014C	0.747
YDR158W	0.892
YCR015C	0.782
YDR159W	0.000
YCR016W	1.072
YBR206W	1.079
YBL007C	1.311
YBR207W	1.103
YBL008W	1.282
YBR208C	0.968
YBL009W	1.602
YBR209W	0.947
YBL010C	1.155
YBR210W	0.966
YBL011W	0.976
YBR212W	0.963
YBL012C	NaN
YBR213W	0.781
YBL013W	1.024
YBR214W	0.808
YBL015W	0.832
YBR215W	0.606
YBL016W	0.189
YBR216C	0.842
YBL017C	1.356
YBR217W	0.988
YBL019W	1.219
YBR218C	0.994
YBL021C	0.832
YDR133C	0.984
YCL051W	1.460
YDR134C	0.915
YCL055W	0.888
YDR135C	1.036
YCL056C	0.772
YDR136C	0.983
YCL057W	1.052
YDR137W	1.010
YCL060C	1.176
YDR139C	0.997
YCL061C	1.006
YDR140W	1.193
YCL062W	1.103
YDR142C	0.801
YCL063W	1.015
YDR143C	0.826
YCL064C	0.880
YDR144C	0.746
YCL069W	0.594
YDR146C	0.000
YCR001W	0.884
YDR147W	1.176
YCR002C	0.861
YBR186W	0.963
YAR035W	1.102
YBR187W	0.854
YAR037W	0.841
YBR188C	0.840
YAR040C	1.020
YBR194W	0.850
YAR042W	1.129
YBR195C	1.045
YAR043C	0.920
YBR197C	0.925
YAR044W	1.076
YBR199W	0.889
YAR047C	1.223
YBR200W	0.827
YBL001C	0.924
YBR201W	0.693
YBL002W	0.896
YBR203W	1.055
YBL003C	1.414
YBR204C	0.963
YBL005W	1.190
YBR205W	1.115
YBL006C	1.112
YDR121W	0.996
YCL036W	0.664
YDR122W	1.155
YCL037C	0.969
YDR123C	0.806
YCL039W	0.802
YDR124W	0.884
YCL040W	0.939
YDR125C	0.855
YCL042W	1.103
YDR126W	0.737
YCL044C	1.116
YDR127W	0.747
YCL045C	0.698
YDR128W	0.591
YCL046W	0.390
YDR129C	0.435
YCL047C	1.080
YDR130C	0.853
YCL048W	0.677
YDR131C	1.172
YCL049C	1.023
YDR132C	0.968
YCL050C	0.987
YBR174C	0.970
YAR002W	1.003
YBR175W	1.046
YAR003W	0.580
YBR176W	0.816
YAR014C	0.976
YBR177C	1.098
YAR015W	1.156
YBR178W	0.749
YAR018C	0.611
YBR179C	1.115
YAR020C	0.942
YBR180W	1.150
YAR023C	0.783
YBR181C	1.065
YAR027W	0.595
YBR182C	0.849
YAR028W	0.948
YBR183W	1.182
YAR029W	1.273
YBR184W	0.713
YAR031W	1.234
YBR185C	1.241
YAR030C	0.946
YDR107C	0.522
YCL014W	1.209
YDR108W	0.876
YCL016C	1.026
YDR109C	0.814
YCL024W	1.297
YDR110W	0.927
YCL025C	1.099
YDR111C	1.053
YCL026C	0.719
YDR112W	0.646
YCL027W	0.889
YDR114C	NaN
YCL028W	0.948
YDR115W	NaN
YCL029C	1.178
YDR116C	0.786
YCL030C	0.935
YDR117C	0.820
YCL032W	0.950
YDR119W	0.712
YCL033C	0.843
YDR120C	1.258
YCL034W	1.035
YBL083C	0.842
YAL017W	0.965
YBL085W	0.974
YAL015C	0.946
YBL086C	0.751
YAL014C	0.665
YBL087C	0.853
YAL013W	0.000
YBL088C	0.325
YAL011W	0.495
YBL089W	0.544
YAL010C	0.792
YBL090W	NaN
YAL009W	NaN
YBL091C	0.910
YAL008W	0.148
YBL093C	0.000
YAL007C	1.259
YBL094C	0.732
YAL004W	1.242
YBR093C	0.736
YAL005C	1.069
YBR173C	0.709
YAL002W	0.730
YDR094W	0.907
YBR267W	1.105
YDR095C	0.753
YBR268W	0.963
YDR096W	0.894
YCL001W	0.926
YDR097C	0.566
YCL002C	1.087
YDR098C	0.917
YCL005W	0.842
YDR099W	1.070
YCL007C	NaN
YDR100W	0.960
YCL008C	0.722
YDR101C	1.189
YCL009C	0.916
YDR102C	1.092
YCL010C	1.166
YDR103W	1.218
YCL011C	1.226
YDR104C	1.508
YCL012W	1.127
YDR105C	0.860
YCL013W	0.721
YBL067C	0.948
YAL031C	0.823
YBL068W	1.089
YAL030W	0.734
YBL069W	0.641
YAL029C	1.136
YBL070C	1.075
YAL028W	0.903
YBL071C	0.801
YAL027W	0.911
YBL072C	0.934
YAL026C	0.701
YBL075C	0.770
YAL023C	0.862
YBL078C	0.169
YAL022C	0.988
YBL079W	0.707
YAL021C	1.184
YBL080C	NaN
YAL020C	1.025
YBL081W	0.987
YAL019W	1.266
YBL082C	0.968
YAL018C	1.179
YDR076W	0.599
YBR249C	1.042
YDR077W	0.628
YBR250W	0.979
YDR078C	NaN
YBR251W	NaN
YDR079W	NaN
YBR255W	0.641
YDR080W	0.947
YBR258C	1.027
YDR083W	0.757
YBR259W	1.039
YDR084C	0.659
YBR260C	0.869
YDR085C	1.193
YBR261C	0.924
YDR089W	0.888
YBR262C	0.946
YDR090C	1.231
YBR263W	0.910
YDR092W	0.606
YBR264C	1.120
YDR093W	1.074
YBR266C	1.071
YBL055C	0.643
YAL051W	1.066
YBL056W	0.747
YAL049C	1.238
YBL057C	0.732
YAL045C	0.988
YBL058W	0.558
YAL044C	0.847
YBL059W	1.054
YAL042W	0.542
YBL060W	0.704
YAL043C-A	0.769
YBL061C	0.312
YAL040C	0.927
YBL062W	1.148
YAL039C	0.900
YBL063W	1.168
YAL037W	1.307
YBL064C	0.942
YAL036C	0.930
YBL065W	1.175
YAL035W	1.395
YBL066C	1.362
YAL034C	1.262
YDR059C	1.002
YBR231C	0.698
YDR061W	1.123
YBR233W	0.695
YDR063W	1.054
YBR235W	1.009
YDR065W	0.699
YBR238C	0.507
YDR066C	0.712
YBR239C	0.803
YDR067C	0.631
YBR240C	0.595
YDR068W	1.145
YBR241C	1.102
YDR069C	NaN
YBR242W	0.698
YDR070C	1.220
YBR244W	1.308
YDR072C	0.946
YBR245C	0.321
YDR073W	1.053
YBR246W	1.382
YDR075W	1.067
YBR248C	1.130
YBL042C	0.916
YAL068C	0.732
YBL043W	0.904
YAL067C	0.778
YBL044W	NaN
YAL066W	0.777
YBL045C	NaN
YAL065C	0.660
YBL046W	0.625
YAL062W	0.905
YBL047C	0.929
YAL061W	0.557
YBL048W	1.012
YAL060W	1.250
YBL049W	1.488
YAL059W	1.109
YBL051C	0.197
YAL058W	1.104
YBL052C	0.929
YAL056W	0.735
YBL053W	1.199
YAL055W	0.919
YBL054W	0.919
YAL053W	1.094
YGL089C	1.528
YER050C	1.240
YGL090W	2.781
YER051W	3.209
YGL194C	1.622
YER052C	2.573
YGL195W	1.948
YER053C	1.817
YGL196W	1.575
YER054C	2.368
YGL197W	1.481
YER055C	1.484
YGL198W	1.933
YER056C	1.351
YGL200C	NaN
YER056C-A	1.597
YGL202W	1.219
YER057C	1.254
YGL203C	1.543
YER058W	0.723
YGL205W	2.046
YER059W	1.568
YGL206C	NaN
YER060W	1.404
YDR431W	1.573
YDR294C	2.145
YDR432W	1.826
YDR295C	NaN
YDR433W	0.984
YDR296W	0.708
YDR435C	0.727
YDR297W	0.904
YDR436W	0.772
YDR298C	1.019
YEL001C	0.847
YDR300C	0.690
YEL003W	0.594
YDR304C	0.699
