orf	hap a | growth (colony size) | Chimaphylin [0.05 mg/mL] | Galvan IJ~Smith ML, 2008
YAL002W	-0.6586459467130231
YAL004W	0.9478662050759986
YAL005C	0.40429319528377505
YAL007C	1.001321845604778
YAL008W	-2.488001970279107
YAL009W	
YAL010C	-0.4651263725490765
YAL011W	-1.3981941085955245
YAL012W	0.0760901098705307
YAL013W	-2.952524662577148
YAL014C	-0.863117184792193
YAL015C	0.01816760137060383
YAL016W	
YAL017W	0.07669369044945366
YAL018C	0.7491039827902618
YAL019W	1.0246813483920973
YAL020C	0.26526699552674654
YAL021C	0.7658908058219555
YAL022C	0.15042179095653732
YAL023C	-0.24452349966782425
YAL024C	-0.8351287640406415
YAL026C	-0.7499434074007116
YAL027W	-0.09195516530574505
YAL028W	-0.11747438750900212
YAL029C	0.6160392614109141
YAL030W	-0.6475091834029032
YAL031C	-0.36701305628598774
YAL034C	1.010188479808222
YAL035W	1.4293825951533174
YAL036C	-0.03179756604916013
YAL037W	1.1510782334901422
YAL039C	-0.1254769326403041
YAL040C	-0.04148879250668671
YAL042C-A	-0.5372543220318391
YAL042W	-1.249346247946081
YAL044C	-0.29230698910731256
YAL045C	0.14977336558062748
YAL047C	-2.952524662577148
YAL049C	0.9345684942445432
YAL051W	0.39563885068135324
YAL053W	0.4842186558446022
YAL054C	-0.6778258179614318
YAL055W	-0.06603841803121091
YAL056C-A	-0.4816708001889807
YAL056W	-0.643321843103591
YAL058W	0.5134266198944508
YAL059W	0.5306776035846612
YAL060W	0.9736676734802653
YAL061W	-1.2040837762886616
YAL062W	-0.11011455611104067
YAL064C-A	1.070455884723333
YAL065C	-0.8794902762706878
YAL066W	-0.5122732818934602
YAL067C	-0.5088583461880194
YAL068C	-0.6531944498072604
YAR002C-A	-0.6483961118545214
YAR002W	0.19779346303640688
YAR003W	-1.1317170211714405
YAR014C	0.11273968098823894
YAR015W	0.6771735379852659
YAR018C	-1.0340905628853634
YAR020C	0.00443246046617195
YAR023C	-0.49480288145116624
YAR027W	-1.0826360896588185
YAR028W	0.025978567195127582
YAR029W	1.0453205824313507
YAR030C	0.01865544294357174
YAR031W	0.9220386355589947
YAR035W	0.5095002043266906
YAR042W	0.5094493314120031
YAR047C	0.887048472360233
YAR050W	-0.1804681923335133
YBL001C	-0.04916722697036727
YBL002W	-0.13704535259838774
YBL003C	1.4883836159550028
YBL005W	0.7860784085685544
YBL006C	0.5382291025500756
