orf	hap a | growth (colony size) | Chimaphylin [0.05 mg/mL] | Galvan IJ~Smith ML, 2008
YAL002W	0.7304104518370098
YAL004W	1.2419515627748785
YAL005C	1.0688685636856368
YAL007C	1.258972758482322
YAL008W	0.14791201785145042
YAL009W	
YAL010C	0.7920304139678963
YAL011W	0.4949255923542191
YAL012W	0.9643630541950521
YAL013W	0.0
YAL014C	0.665303291480095
YAL015C	0.9459195308682196
YAL016W	
YAL017W	0.9645552446366488
YAL018C	1.1786622512764877
YAL019W	1.2664108260957383
YAL020C	1.0246002295843457
YAL021C	1.1840074645655296
YAL022C	0.9880315404111518
YAL023C	0.8622741644083107
YAL024C	0.6742152862189468
YAL026C	0.7013397694808393
YAL027W	0.910854547175168
YAL028W	0.9027287877393696
YAL029C	1.1362921544644415
YAL030W	0.7339565888952118
YAL031C	0.8232713820135648
YAL034C	1.2617960473728906
YAL035W	1.395274666394509
YAL036C	0.9300097618561148
YAL037W	1.3066577691083618
YAL039C	0.9001806396769737
YAL040C	0.9269239086038298
YAL042C-A	0.7690636338118951
YAL042W	0.5423213122761316
YAL044C	0.8470590792032946
YAL045C	0.9878250706145905
YAL047C	0.0
YAL049C	1.2377173428444048
YAL051W	1.0661128714567096
YAL053W	1.0943182055336467
YAL054C	0.7243032508207397
YAL055W	0.919106885433517
YAL056C-A	0.7867623835422795
YAL056W	0.7352899100943074
YAL058W	1.1036185238422598
YAL059W	1.109111533871368
YAL060W	1.2501671942574346
YAL061W	0.5567336620424537
YAL062W	0.9050722846904733
YAL064C-A	1.2809862260648393
YAL065C	0.660089817436298
YAL066W	0.7770180268182221
YAL067C	0.7781054011045586
YAL068C	0.7321463022508039
YAR002C-A	0.7336741756156372
YAR002W	1.0031154958830948
YAR003W	0.57977648202138
YAR014C	0.9760329082351048
YAR015W	1.1557583600081727
YAR018C	0.610862426110241
YAR020C	0.9415460256760447
YAR023C	0.7825809029165002
YAR027W	0.5954046951063995
YAR028W	0.9484066767830046
YAR029W	1.272982713334555
YAR030C	0.9460748680189033
YAR031W	1.2337276202489285
YAR035W	1.1023682855671872
YAR042W	1.1023520867558263
YAR047C	1.2225861502422064
YAR050W	0.8826704764055593
YBL001C	0.924478962954685
YBL002W	0.8964970557149328
YBL003C	1.4140616065952116
YBL005W	1.1904355446299522
YBL006C	1.1115160610738
YBL007C	1.3111546307629538
YBL008W	1.2818383622461564
YBL009W	1.6022911694510737
YBL010C	1.1548245614035089
YBL011W	0.9761066864234117
YBL012C	
YBL013W	1.023847769677499
YBL015W	0.8315781365201985
YBL016W	0.18936398143127325
YBL017C	1.3560626160785354
YBL019W	1.2190690623746043
YBL021C	0.8321135895935463
YBL022C	
YBL024W	1.6032375813362958
YBL025W	1.5208681135225375
YBL027W	0.9520447906523857
YBL028C	1.3899526756461595
YBL029W	0.9006496519721578
YBL031W	0.9400720811331824
YBL032W	0.8917258437724407
YBL036C	1.0706435170436446
YBL037W	0.7267838496345284
YBL038W	0.9188799556418076
YBL039C	0.7910866173113811
YBL042C	0.9155789215239214
YBL043W	0.9038412617654541
YBL044W	
YBL045C	
