orf	hap a (post-SGA) | growth (colony size) | expression of yEVenus [prHSC82, 2u plasmid] | SC(MSG) - Leu | Farkas Z~Pal C, 2018
YAL002W	-0.890926090599886
YAL004W	0.23426013976017324
YAL005C	-0.11266928352451201
YAL007C	1.2739531682655603
YAL008W	1.0884589026860907
YAL009W	0.5251218454244158
YAL010C	0.42397360705256243
YAL011W	-0.3338750255908566
YAL012W	-1.9688172044713506
YAL013W	0.003673458092790885
YAL014C	0.1481175621372132
YAL015C	0.8339788419383765
YAL016C-B	-0.6860156056006728
YAL016W	7.548708357502137
YAL017W	0.11306335940627656
YAL018C	0.6924153112918342
YAL019W	0.49803667999609186
YAL020C	0.34836910481314076
YAL021C	-1.5732654159325845
YAL022C	-0.18513119259616448
YAL023C	-0.07241314376015069
YAL024C	1.7546640254263581
YAL026C	0.5982478624290755
YAL027W	0.017006099400530304
YAL028W	0.45721939626833763
YAL029C	0.87182983492473
YAL030W	0.15591613185331357
YAL031C	0.6483990201988076
YAL034C	0.8518911233260541
YAL035W	0.5616506185680322
YAL036C	0.40101505957988437
YAL037C-A	-0.7918728821031945
YAL037W	0.3600911691371913
YAL039C	0.26372434025223196
YAL040C	1.0519853509826587
YAL042C-A	0.31191244513227545
YAL042W	0.3305102396113274
YAL044C	0.02258839707186348
YAL044W-A	-1.2803006856954768
YAL045C	0.5016008000476047
YAL046C	1.2611630381176955
YAL047C	
YAL048C	0.6363014307394919
YAL049C	-0.1425661970297622
YAL051W	0.6879645857123616
YAL053W	0.6222352759174741
YAL054C	0.1826474674348976
YAL055W	2.0633191558233106
YAL056C-A	0.8618982927560613
YAL056W	0.9971198682660348
YAL058W	0.6948168797978861
YAL059W	0.5567728858684872
YAL060W	0.6192084769196656
YAL061W	0.4682712599260505
YAL062W	0.12549414723438823
YAL064C-A	-0.6311509610378404
YAL065C	-0.06610342530786951
YAL066W	0.8741469110812642
YAL067C	-0.22594460792180426
YAL067W-A	-0.6732879823836416
YAL068C	0.05333074985923823
YAR002C-A	-0.12012253387852447
YAR002W	0.8752680384874156
YAR003W	0.4324859614321572
YAR014C	1.2377572066505282
YAR015W	0.8537668148013238
YAR018C	-0.6155219717615636
YAR020C	0.19687538593867007
YAR023C	-0.11065133156148164
YAR027W	1.6601764018152558
YAR028W	0.11726257437493785
YAR029W	0.3304243288477012
YAR030C	0.4763243705012852
YAR031W	0.6581136094822213
YAR035C-A	0.1707372375846608
YAR035W	0.8395499534802618
YAR042W	0.0008202214031865075
YAR047C	0.20474171716514286
YAR050W	0.3069914508024165
YBL001C	0.5664310931910819
YBL002W	1.6341118175747906
YBL003C	0.6645364464596674
YBL005W	-0.7459928593447691
YBL006C	11.938961656706676
YBL007C	-0.19588789717254082
YBL008W	0.5460584435852118
YBL008W-A	0.6709946470797769
YBL009W	0.1044309556143951
YBL010C	-0.6125868216571846
YBL011W	0.4169841781120789
YBL012C	-2.1244671668143273
YBL013W	0.025708005483735648
YBL015W	0.1970348285791562
YBL016W	
