orf	hap a (post-SGA) | growth (colony size) | expression of yEVenus [prHSC82, 2u plasmid] | SC(MSG) - Leu | Farkas Z~Pal C, 2018
YBR085C-A	-0.019905341
YBR085W	
YBR089C-A	0.007904179
YBR090C	0.007108089
YBR092C	-0.012914595
YBR093C	-0.054055627
YBR094W	0.01552301
YBR095C	-0.007560643
YBR097W	
YBR098W	-0.0015165179999999997
YBR099C	0.031176743
YBR101C	-0.178103282
YBR103W	-0.017045886
YBR104W	-0.026446989
YBR105C	-0.007199146
YBR106W	-0.009373688
YBR107C	-0.018354157
YBR108W	0.000989698
YBR111C	-0.006271774
YBR111W-A	-0.004388203
YBR112C	-0.042144764
YBR113W	-0.010271211
YBR114W	-0.003209889
YBR115C	0.005519981
YBR116C	-0.030516298
YBR119W	-0.018340724
YBR120C	-0.011670795
YBR121C	0.00757886
YBR122C	-0.038787638
YBR125C	0.002970053
YBR126C	-0.007963565
YBR127C	-0.003026612
YBR128C	-0.019671539
YBR129C	-0.028585247
YBR130C	0.003990415
YBR131W	-0.024301822
YBR132C	0.010895524
YBR133C	-0.014342424
YBR134W	0.013818565
YBR137W	0.007607504
YBR138C	0.000909117
YBR139W	-0.046149953
YBR141C	0.01305987
YBR144C	0.047611944
YBR145W	-0.004021435
YBR146W	-0.054951424
YBR147W	-0.006361029
YBR148W	0.033213637
YBR149W	-0.001442049
YBR150C	-0.021916707
YBR151W	0.018410051
YBR156C	0.016131293
YBR157C	-0.020629762
YBR158W	0.013041662
YBR159W	-0.000727691
YBR161W	0.027831647
YBR162C	0.002539091
YBR162W-A	0.013495784
YBR163W	-0.005294122
YBR164C	-0.019964921
YBR165W	-0.018435287
YBR166C	0.013356803
YBR168W	0.000122212
YBR169C	0.0126869
YBR170C	-0.008942766
YBR171W	0.005981385
YBR172C	0.016604057
YBR173C	-0.046576754
YBR174C	-0.011998291
YBR175W	0.001288529
YBR176W	-0.012154193
YBR177C	-0.048716768
YBR178W	-0.014008972
YBR179C	-0.048553216
YBR180W	-0.046296694
YBR181C	-0.023409481
YBR182C	-0.0404082
YBR182C-A	0.000637719
YBR183W	-0.018676849
YBR184W	0.001711578
YBR185C	-0.014367635
YBR186W	0.017439813
YBR187W	0.011227028
YBR188C	-0.010059035
YBR189W	-0.015530757
YBR191W	0.024216807
YBR194W	-0.06448401
YBR195C	0.002967952
YBR196C-A	0.010524274
YBR196C-B	0.004386804
YBR197C	-0.026821431
YBR199W	-0.030116421
YBR200W	-0.028179327
YBR200W-A	0.00532807
YBR201W	-0.010064137
YBR203W	-0.027698609
YBR204C	-0.011460432
YBR205W	0.000324499
YBR206W	0.021501687
YBR207W	0.012373536
YBR208C	-0.013394205
YBR209W	-0.031190056
YBR210W	-0.007118885
YBR212W	-0.011782229
YBR213W	-0.019313267
YBR214W	0.014377559
YBR215W	0.004060845
YBR216C	-0.002513595
YBR217W	0.023204244
YBR218C	0.016087696
YBR219C	-0.010873918
YBR220C	0.023139867
YBR221C	-0.073652789
YBR221W-A	-0.001667528
YBR222C	0.017217143
YBR223C	-0.014520058
YBR224W	0.009132786
YBR225W	-0.073179392
YBR226C	-0.033726304
YBR227C	-0.030092516
YBR228W	-0.004678022
YBR229C	-0.005262855
YBR230C	-0.020214954
YBR230W-A	-0.047724364
YBR231C	-0.029858481
YBR232C	-0.026743031
YBR233W	0.023335592
YBR235W	-0.011428821
YBR238C	-0.035123974
YBR239C	0.038390351
YBR240C	-0.016098489
YBR241C	-0.063096736
YBR242W	-0.02673452
YBR244W	-0.008736113
YBR245C	-0.020342023
YBR246W	-0.027216662
YBR248C	
YBR249C	0.011140784
YBR250W	-0.010292657
YBR251W	-0.097546854
YBR255W	-0.034246829
YBR258C	-0.015937937
YBR259W	0.012118555
YBR260C	-0.043690463
YBR261C	-0.026149913
YBR262C	-0.02917325
YBR263W	-0.007034968
YBR264C	0.029955051
YBR266C	-0.01834982
YBR267W	0.001054202
YBR268W	-0.007764572
YBR269C	-0.023827585
YBR270C	0.023864029
YBR271W	-0.023827949
YBR272C	-0.000682914
YBR273C	-0.000328294
YBR274W	0.025368794
YBR275C	-0.014565274
YBR276C	0.006453048
YBR277C	-0.026656623
YBR278W	-0.032162698
YBR279W	
YBR280C	-0.002812482
YBR281C	0.02364237
YBR282W	-0.075438934
YBR283C	0.02004318
YBR284W	0.015058574
YBR285W	-0.015275777
YBR286W	-0.020177089
YBR287W	-0.010772364
YBR288C	0.049014939
YBR289W	-0.045954748
YBR290W	0.003384959
YBR291C	-0.02586859
YBR292C	-0.027771987
YBR293W	0.012503078
YBR294W	0.011361899
YBR295W	0.018984998
YBR296C	0.024053327
YBR296C-A	-0.002868492
YBR297W	-0.008322834
YBR298C	0.000530209
YBR299W	0.005407031
YBR300C	-0.020946494
YBR301W	0.004882304
YCL001W	0.012657946
YCL001W-A	-0.024209324
YCL001W-B	0.01139976
YCL002C	-0.036787926
YCL005W	0.036076098
YCL005W-A	-0.009743328
YCL007C	0.01235622
YCL008C	-0.05684684
YCL009C	0.021269094
YCL010C	0.002212921
YCL011C	-0.016264734
YCL012C	-0.00790459
YCL014W	-0.0022364055
YCL016C	0.02358147
YCL021W-A	-0.00023487
YCL022C	-0.013877453
YCL023C	0.015785656
YCL024W	-0.018095836
YCL025C	-0.016873479
YCL026C-A	0.014125832
YCL026C-B	0.009493644
YCL027W	-0.086216839
YCL028W	-0.014999044
YCL029C	0.001655997
YCL030C	0.033440671
YCL032W	0.008795557
YCL033C	-0.021961552
YCL034W	0.019037597
YCL035C	0.049467311
YCL036W	-0.00399705
YCL037C	0.025866705
YCL038C	0.01632177
YCL039W	0.017369537
YCL040W	0.027658265
YCL042W	-0.019751427
YCL044C	-0.031748962
YCL045C	-0.001682846
YCL046W	-0.016080529
YCL047C	-0.028314758
YCL048W	-0.017144116
YCL049C	-0.029848808
YCL050C	0.023512959
YCL051W	0.004874253
YCL055W	-0.004686328
YCL056C	0.012540443
YCL057C-A	-0.057497839
YCL057W	0.029518147
YCL058C	0.011809065
YCL061C	-0.0093633815
YCL063W	-0.0183125075
YCL064C	-0.00515271
YCL069W	-0.03622328
YCL076W	-0.007263271
YCR001W	0.007702827
YCR002C	0.038836782
YCR003W	0.003090869
YCR004C	-0.009786497
YCR005C	0.025173373
YCR006C	-0.039410901
YCR007C	-0.0470703
YCR008W	-0.036066007
YCR009C	0.030416883
YCR010C	-0.014448817
YCR011C	-0.010565383
YCR014C	-0.028966312
YCR015C	-0.032889595
YCR016W	0.025417226
YCR017C	-0.000867142
YCR019W	-0.020151174
YCR020C	-0.001281375
YCR020C-A	0.007318731
YCR020W-B	
YCR021C	-0.028584982
YCR022C	-0.002566663
YCR023C	0.002521729
YCR024C	-0.031243278
YCR024C-A	0.0205127
YCR025C	0.004285408
