orf	hom | growth (culture turbidity) | chitosan [25 ug/ml], time [5 h] | Zakrzewska A~Klis FM, 2007	het | growth (culture turbidity) | chitosan [25 ug/ml], time [5 h] | Zakrzewska A~Klis FM, 2007	hom | growth (culture turbidity) | chitosan [25 ug/ml], time [9 h] | Zakrzewska A~Klis FM, 2007	het | growth (culture turbidity) | chitosan [25 ug/ml], time [9 h] | Zakrzewska A~Klis FM, 2007
YAL002W	1.5096862750530446		1.326075839548904	
YAL004W	0.12107266061564484		-0.22271879636032096	
YAL005C	0.625727526602599		-0.29049503184382713	
YAL007C	0.24818067335307734		0.06786859862364822	
YAL008W	-0.024173359671422874		0.06626526220414507	
YAL009W	2.9785328417362122		1.9580217755899063	
YAL011W	0.7825147836158157		0.6649372116124657	
YAL013W	1.09176081140533		1.4159734120240133	
YAL014C	0.8907945166449586		-0.16840709183018818	
YAL015C	0.8466093804989684		-0.3942053770522201	
YAL016W	1.574655375181209		1.790415030023482	
YAL017W	1.4242309283030175		-0.3093234511743727	
YAL018C	0.8343137744703256		0.03305553078000016	
YAL019W	1.458106055321728		0.573429055732146	
YAL020C	1.1562061602745721		0.5150979494375746	
YAL021C	1.6592153295069925		2.1852238175219156	
YAL022C	0.1436882190585031		-0.07358879209293781	
YAL023C	1.228211917274259		1.0320586130990779	
YAL024C	0.5116807661552851		0.43286330339946155	
YAL026C	2.5679207502774557		0.4488562819017162	
YAL027W	0.08165693133800289		-0.21739960172282402	
YAL028W	-0.003214447637516529		0.24142612157099047	
YAL029C	0.06611207884665639		-0.4333767263772423	
YAL030W	0.38194425699086393		-0.1371460565879906	
YAL031C	0.22441277147346417		-0.12265291652457337	
YAL034C	0.44983000006941376		-0.33248081502575555	
YAL035W	1.4385844862333983		-0.6968907099247684	
YAL036C	0.5014648683766019		-0.18136225615503493	
YAL037W	0.4666699459330011		-0.024771438159939523	
YAL039C	0.26065008562959885		-0.0008309819296765737	
YAL040C	1.0916723733358478		0.8868638868430697	
YAL042C-A	1.418556973887929		1.2118701813546489	
YAL042W	1.8229799880981707		1.0666801301384077	
YAL044C	0.4031128094792562		-0.09528661631831568	
YAL045C	0.46963651411580454		0.21121508588032084	
YAL046C	-0.037869829235210116		0.20581109791501623	
YAL048C	0.5018779718821882		0.023106962271849052	
YAL049C	0.775311079147561		0.04896149152828446	
YAL051W	0.5590599377509541		-0.0947983720017896	
YAL053W	-0.17154433712393233		-0.28658910277642985	
YAL054C	0.018004601925750832		0.34797939426219365	
YAL055W	0.3421038820190929		0.36005784707634536	
YAL056C-A	0.6622726819878091		0.71224295936795	
YAL056W	1.7482792749153988		2.0753769246404494	
YAL058W	1.0127480204782495		0.6061364982473729	
YAL059W	-0.2227495335427629		-0.7018068190684854	
YAL060W	0.3851731560198212		-0.1556383179405484	
YAL061W	0.29477738576660617		-0.0004539259668259532	
YAL062W	0.17040578967146253		0.05789160090058621	
YAL064C-A	-0.24333639057799025		0.05726231148811144	
YAL065C	0.6303172827674293		-0.10169622316285883	
YAL066W	-0.10999490755918627		-0.1661770439358709	
YAL067C	0.621018411492265		-0.3186320140782859	
YAL068C	0.41455461521710874		-0.02643448656605911	
YAR002C-A	-0.46308365825074754		0.15519393905375703	
YAR002W	-0.36647947344487525		-1.0824518178872249	
YAR003W	1.5412123146411454		1.7085441622960262	
YAR014C	0.03964354938590438		-0.9412358620423458	
YAR015W	-1.0503280147955687		-0.013745932823705174	
YAR018C	-0.5920143736748679		-1.6592670381539238	
YAR020C	0.4724516700785328		-0.549955878743675	
YAR023C	0.9599885017101422		-0.1648789736823998	
YAR027W	0.41200527946815935		-0.40198577416162995	
YAR028W	0.5801070113384177		-0.34835835255084924	
YAR029W	0.49041037680194277		-0.2915439633712109	
YAR030C	0.7740874886551917		-0.5401036211476853	
YAR031W	0.2664602269593413		-0.3676661574394519	
YAR035W	0.5435496817282648		-0.6676728572978471	
YAR042W	0.4460649695804433		0.3224824561162373	
YAR047C	0.15735069597412243		-1.041062134481079	
YAR050W	-0.524294160177054		0.2481923900604006	
YBL001C	-0.2850190876996991		-0.07715527522583068	
YBL002W	-0.15925130438634671		0.39925550304936097	
YBL003C	-0.3886835159973902		-0.14884879408670962	
YBL005W	-0.2366417462844789		0.08644977860344277	
YBL006C	2.8746371784070353		5.960701709195317	
YBL007C	1.7099077468940473		2.01484179848456	
YBL008W	-0.5887842745291748		-0.6729578511958506	
YBL009W	-0.18065068183498928		-0.10278507302883585	
YBL010C	-0.17355352816983466		-0.5461250783592355	
YBL011W	-0.36920529595322127		-0.17346913531362168	
YBL012C	-0.4390670876689484		-0.1889086735907259	
YBL013W	-0.05620813212970272		0.1629443341216764	
YBL015W	-0.18959467595791746		-0.18626540820359525	
YBL017C	0.025154673590919795		0.08913003237793816	
YBL019W	-0.061110560087522664		-0.027956474896929238	
YBL022C	4.076203286451551		4.010409463279033	
YBL024W	0.46890156488412504		0.19802468062463116	
YBL027W	-0.7172797783411339		-1.2167211964035953	
YBL028C	-0.05803317861804054		0.12107086573684052	
YBL029W	0.5551442879089997		-0.047844974848413706	
YBL031W	1.811775758447472		1.9640363273438064	
YBL032W	0.3540481980782817		-0.0035629652214138295	
YBL036C	-0.18693685379439298		0.019106332567121992	
YBL037W	-0.4169720281310372		-0.423814274810971	
YBL038W	-1.6674460081925098		-3.433357384271618	
YBL039C	-0.8893597015599755		0.3856982726932392	
YBL042C	0.23088268544343948		0.2548867609020266	
YBL043W	-0.18500670680076572		0.18024222991577926	
YBL044W	-0.09878207581784118		-0.045559612890182906	
YBL045C	-0.027112172803386982		-0.02065310110984661	
YBL046W	3.5986958830500178		4.052560671866826	
YBL047C	-0.5703456584289107		0.42380087736976346	
YBL048W	0.004984742376650075		-0.16085202085244857	
YBL049W	-0.03130420125290968		-0.008393518590914561	
YBL051C	0.24362122483847562		0.31800525171924066	
YBL052C	0.42132394890734154		-0.41936627930148973	
YBL053W	0.24805166644717003		0.042114346798215255	
YBL054W	0.1477047934509613		0.1469016258388312	
YBL055C	-0.07039932066134769		-0.03835100115556318	
YBL056W	0.03611298276913602		-0.1091078793192696	
YBL057C	0.02058666060688595		0.08081079087403752	
YBL059W	0.2882025575163521		0.5002157729665596	
YBL060W	-0.33256833351878967		-0.012202814691184106	
YBL061C	0.06735115799294708		0.1981602373047817	
YBL062W	0.5724449375195482		0.34255354400743104	
YBL063W	0.2409787220334083		-0.2830153337116477	
YBL064C	-0.014639169581961868		0.2609405089922235	
YBL065W	-0.4915600996361161		0.123058138112033	
YBL066C	-0.07588997887725402		0.019399585333945157	
YBL067C	0.011957789299058129		-0.11901630180345596	
YBL068W	-0.18605178086922766		0.19093924967187467	
YBL069W	-0.12174076795089625		-0.07488320290323346	
YBL070C	0.0796880307315399		-0.13838216196801106	
YBL071C	0.4325706623142724		0.12932847940155762	
YBL072C	0.48799786376616855		0.7993793224376107	
YBL075C	-0.009520020857127385		-0.0023846065437501526	
YBL078C	-0.015143903317062446		0.14888319409629458	
YBL079W	4.409462254375685		5.810300062654792	
YBL080C	-0.09723520058793224		0.4035455867702386	
YBL081W	-0.24105834140525542		-0.13145691066999313	
YBL082C	0.41542173717987757		0.18795637807172147	
YBL083C	2.936795772554557		4.013370123572021	
YBL085W	-0.5409456557351018		-0.33946022847945867	
YBL086C	-0.3821440234726541		-0.11659103617199433	
YBL087C	-0.2516519956776427		-0.5605293177705769	
YBL088C	-0.24109867134696977		-0.12799315258584676	
YBL089W	-0.09227634457080508		-0.05828036164365861	
YBL090W	0.2539312490142411		-0.5236428690413221	
YBL091C	-0.11601507119873963		-0.08592844796200828	
YBL091C-A	0.07805647202933445		0.17166547176287666	
YBL094C	0.5369502774197786		1.0883079710706385	
YBL095W	0.23949127891676728		-0.4193095511915846	
YBL096C	-0.09911635159313442		-0.21164892832695814	
YBL098W	0.0489027660201508		-0.07666705038239559	
YBL099W	0.15204905990621276		0.16248456096210334	
YBL100C	0.5957682676288858		0.13469475547927082	
YBL101C	-0.18890212395367736		0.07490501281053034	
YBL102W	-0.4366656108163849		-0.42114200050999007	
YBL104C	-0.11983270649111548		-0.41023728825507794	
YBL106C	-0.8780464719651266		-1.0746608738521504	
YBL107C	-0.5998480510195198		-0.1968370302413151	
YBR001C	-0.1851926496523731		-0.08085271189975077	
YBR005W	0.13863618657995438		-0.12009534921501618	
YBR006W	0.9900801309263197		1.4718200499967324	
YBR007C	-0.5182947314697541		-0.0629699837598964	
YBR008C	-0.3239715568688691		-0.24337669910772167	
YBR009C	-0.02981031174120081		0.13827008388926199	
YBR010W	0.0826342928639326		-0.33481752452905883	
YBR012C	-0.1516477823443308		-0.29999043456197005	
YBR013C	-0.5278849263798616		-0.12286578886559255	
YBR014C	-0.02327908459724327		-0.19672295837224346	
YBR015C	0.8617041666416929		0.8660146250264003	
YBR016W	-0.22114523141030745		-0.12122637330228077	
YBR018C	-0.07469316716521335		-0.20860677015233006	
YBR019C	-0.2862120187834861		-0.0672905368764484	
YBR020W	0.7766834464939447		0.9803883584648239	
YBR022W	-0.16205872730847853		-0.0662158005076467	
