orf	hom | growth (culture turbidity) | chitosan [25 ug/ml], time [5 h] | Zakrzewska A~Klis FM, 2007	het | growth (culture turbidity) | chitosan [25 ug/ml], time [5 h] | Zakrzewska A~Klis FM, 2007	hom | growth (culture turbidity) | chitosan [25 ug/ml], time [9 h] | Zakrzewska A~Klis FM, 2007	het | growth (culture turbidity) | chitosan [25 ug/ml], time [9 h] | Zakrzewska A~Klis FM, 2007
YBL106C	-0.437659771		-0.693789654	
YBL107C	-0.289765331		-0.107765074	
YBR001C	-0.06932832		-0.030335346	
YBR005W	0.102823931		-0.056533256	
YBR006W	0.555464262		1.006210209	
YBR007C	-0.246410367		-0.018397053	
YBR008C	-0.143105262		-0.138834394	
YBR009C	0.013275254		0.115948382	
YBR010W	0.073052487		-0.199879183	
YBR012C	-0.051495367		-0.176629039	
YBR013C	-0.251508658		-0.058382768	
YBR014C	0.016747352		-0.107688921	
YBR015C	0.48721768		0.601781835	
YBR016W	-0.08844125		-0.057288314	
YBR018C	-0.010585143		-0.11562241	
YBR019C	-0.123031727		-0.021281402	
YBR020W	0.442019394		0.678136356	
YBR022W	-0.057029981		-0.020563921	
YBR023C	0.012432533		0.386974816	
YBR024W	-0.049703485		0.032935349	
YBR025C	-0.21915775		-0.513640258	
YBR026C	0.228119555		-0.034835141	
YBR027C	0.663656832		1.155970619	
YBR028C	0.054578116		0.133121951	
YBR030W	0.177512902		0.010764031	
YBR031W	-0.430325935		-0.9702544319999999	
YBR032W	-0.046059165		0.042906746	
YBR033W	-0.032830203		0.13568188	
YBR034C	-0.16819735		-0.389735625	
YBR035C	0.45945663		0.492547991	
YBR036C	1.712085313		1.919466827	
YBR037C	-0.053920662		0.048928306	
YBR040W	0.028878611		-0.253272276	
YBR041W	0.429117423		0.943097188	
YBR042C	-0.134978647		0.174962488	
YBR043C	-0.137197764		-0.143340511	
YBR044C	-0.160303401		-0.371064147	
YBR045C	-0.119372865		-0.172799514	
YBR046C	-0.03395952		-0.10712886	
YBR047W	-0.047813083		-0.020907754	
YBR048W	0.397883601		0.718653824	
YBR050C	-0.133238849		-0.042759425	
YBR051W	-0.185423421		-0.031816393	
YBR052C	-0.151718768		-0.271267966	
YBR053C	-0.136388434		-0.08762822	
YBR054W	-0.225452008		-0.085581859	
YBR056W	-0.043862975		-0.216524604	
YBR057C	0.081923474		0.694997419	
YBR058C	-0.187270756		-0.277701626	
YBR059C	0.194706335		0.116188901	
YBR062C	-0.138889212		0.066480622	
YBR063C	-0.080020424		-0.145014355	
YBR064W	-0.237170586		0.136934277	
YBR065C	-0.058528096		-0.078999402	
YBR066C	-0.046948856		-0.085533438	
YBR067C	0.033707996		-0.049893004	
YBR068C	-0.075094378		0.10581957	
YBR069C	-1.036916979		-1.948101666	
YBR071W	0.176942145		0.501486875	
YBR072W	0.099848533		0.048746584	
YBR073W	-0.232911361		0.200776177	
YBR074W	-0.058391878333333314		-0.06380448866666667	
YBR076W	-0.190373791		0.025940468	
YBR077C	0.25972138		1.019991956	
YBR082C	-1.151509933		-0.857952421	
YBR083W	-0.038817068		-0.140739609	
YBR084C-A	-0.314981251		-0.807869687	
YBR084W	0.057567321		-0.031657329	
YBR085W	3.969694433		-2.498250868	
YBR089C-A	-0.021196109		0.183461855	
YBR090C	0.096886427		0.053330535	
YBR092C	-0.13669356		-0.043361431	
YBR093C	-0.130519082		-0.143948621	
YBR094W	-0.057694761		-0.109397492	
YBR095C	-3.672069059		-0.827701064	
YBR097W	-2.487282954		0.006874325	
YBR098W	-0.098186781		-0.063494819	
YBR099C	-0.239167747		-0.418184852	
YBR101C	-0.193433394		0.012365902	
YBR103W	-0.345929939		-0.280073334	
YBR104W	-0.138248593		-0.029414054	
YBR105C	0.009357765		0.081032764	
YBR106W	0.814541479		1.042225026	
YBR107C	0.077589638		0.553672563	
YBR108W	0.048742431		0.318503311	
YBR112C	0.759823508		0.644057189	
YBR113W	-0.243261712		-0.195082332	
YBR114W	-0.120274124		-0.159566354	
YBR115C	-1.003540491		-0.067933127	
YBR116C	-0.211016158		-0.144438397	
YBR119W	0.425956452		0.733473442	
YBR120C	-0.324735819		-0.424724516	
YBR125C	0.176788943		-0.159935791	
YBR126C	-0.071946951		0.264792579	
YBR127C	0.560433729		0.271563886	
YBR128C	-0.147024361		-0.288828945	
YBR129C	-0.055472769		0.082804764	
YBR130C	-0.019942014		0.18015843	
YBR131W	-0.403143132		-0.416746681	
YBR133C	-0.208973484		-0.736037479	
YBR134W	0.296924841		0.524692966	
YBR137W	0.011492768		-0.118116699	
YBR138C	0.031685997		-0.118697653	
YBR139W	-0.02975963		0.018964086	
YBR141C	-0.189811935		-0.080520171	
YBR144C	-0.048959632		-0.104043478	
YBR145W	-0.033099678		-0.071315085	
YBR146W	0.073056004		0.166787865	
YBR147W	-0.175706205		-0.228908582	
YBR148W	-0.103715533		-0.002495634	
YBR149W	-0.115355665		0.02821651	
YBR150C	-0.33891312		-0.332831732	
YBR151W	-0.15575246		-0.026682392	
YBR156C	-0.176075887		-0.682712953	
YBR157C	-0.002439408		-0.173676258	
YBR158W	-0.160594924		-0.046361454	
YBR159W	-0.128779566		-0.094771783	
YBR161W	-0.147444555		-0.053155325	
YBR162C	-0.474232201		-1.124235312	
YBR162W-A	0.057104657		0.061020746	
YBR163W	0.057201761		0.226824467	
YBR164C	0.812540615		1.604561405	
YBR165W	-4.121191451		-1.526859546	
YBR168W	0.249946475		0.390622729	
YBR169C	-0.135766724		-0.119616754	
YBR170C	0.023288418		0.154838296	
YBR171W	3.370477967		3.220912722	
YBR172C	0.056700589		-0.020978822	
YBR173C	0.080697912		-0.20708224	
YBR174C	0.342627525		0.852120523	
YBR175W	0.326581785		0.649332979	
YBR176W	-0.223095441		0.096421133	
YBR177C	-0.084519534		-0.014130238	
YBR178W	-0.226800719		0.06598763	
YBR179C	0.020777897		-0.069547258	
YBR180W	-0.015685336		-0.013449894	
YBR181C	0.065414559		0.372516403	
YBR182C	-0.092535112		0.37925104	
YBR183W	-0.047320695		-0.074264109	
YBR184W	-0.229911905		-0.228451754	
YBR185C	-0.065741373		-0.034506504	
YBR186W	0.013769191		0.086569902	
YBR187W	0.134550408		-0.092855158	
YBR188C	-0.077074967		-0.106446138	
YBR189W	0.488294766		1.002895567	
YBR191W	-0.179684867		-0.491586422	
