ORF	hom | growth (culture turbidity) | chitosan [25 g/ml, time 5 hour exposure] | Zakrzewska A~Klis FM, 2007	het | growth (culture turbidity) | chitosan [25 g/ml, time 5 hour exposure] | Zakrzewska A~Klis FM, 2007	hom | growth (culture turbidity) | chitosan [25 g/ml, time 9 hour exposure] | Zakrzewska A~Klis FM, 2007	het | growth (culture turbidity) | chitosan [25 g/ml, time 9 hour exposure] | Zakrzewska A~Klis FM, 2007
YCR043C	-0.059	NaN	-0.104	NaN
YCR045C	0.619	NaN	1.761	NaN
YCR047C	-0.277	NaN	0.303	NaN
YCR048W	0.373	NaN	0.105	NaN
YCR049C	0.250	NaN	0.652	NaN
YCR050C	0.904	NaN	2.206	NaN
YCR051W	-0.210	NaN	-0.146	NaN
YCR052W	NaN	-0.518	NaN	0.547
YCR053W	-0.143	NaN	0.033	NaN
YCR054C	NaN	-0.719	NaN	0.058
YCR057C	NaN	-0.966	NaN	-0.831
YCR059C	0.257	NaN	1.024	NaN
YCR060W	0.086	NaN	-0.100	NaN
YCR061W	0.704	NaN	2.217	NaN
YCR062W	-0.093	NaN	-0.078	NaN
YCR063W	-0.418	NaN	-0.791	NaN
YCR065W	1.814	NaN	1.979	NaN
YCR066W	0.045	NaN	0.152	NaN
YCR067C	0.068	NaN	0.062	NaN
YCR068W	0.876	NaN	1.676	NaN
YCR069W	0.034	NaN	-0.047	NaN
YCR071C	0.915	NaN	1.958	NaN
YCR072C	NaN	-0.663	NaN	0.037
YCR073C	0.094	NaN	-0.133	NaN
YCR073W-A	-0.196	NaN	-0.256	NaN
YCR075C	-0.259	NaN	-0.132	NaN
YCR076C	-0.120	NaN	-0.068	NaN
YCR077C	1.077	NaN	2.097	NaN
YCR079W	0.344	NaN	0.799	NaN
YCR081W	1.341	NaN	1.890	NaN
YCR082W	-0.081	NaN	-0.052	NaN
YCR083W	-0.045	NaN	-0.252	NaN
YCR084C	0.665	NaN	1.094	NaN
YCR085W	0.371	NaN	0.605	NaN
YCR086W	0.223	NaN	0.851	NaN
YCR087C-A	0.749	NaN	1.370	NaN
YCR087W	0.721	NaN	1.459	NaN
YCR088W	-0.070	NaN	0.103	NaN
YCR089W	0.056	NaN	-0.009	NaN
YCR090C	-0.011	NaN	0.066	NaN
YCR091W	0.080	NaN	-0.318	NaN
YCR092C	0.158	NaN	-0.082	NaN
YCR093W	NaN	0.103	NaN	-0.033
YCR094W	0.647	NaN	0.399	NaN
YCR095C	0.331	NaN	0.628	NaN
YCR098C	0.540	NaN	0.652	NaN
YCR099C	-0.018	NaN	-0.234	NaN
YCR100C	0.046	NaN	-0.129	NaN
YCR101C	0.591	NaN	-0.087	NaN
YCR102C	-0.058	NaN	0.259	NaN
YCR102W-A	0.025	NaN	-0.069	NaN
YCR105W	0.008	NaN	-0.131	NaN
YCR106W	0.052	NaN	0.018	NaN
YCR107W	0.032	NaN	-0.180	NaN
YDL001W	0.146	NaN	0.206	NaN
YDL002C	-0.019	NaN	0.034	NaN
YDL003W	NaN	0.029	NaN	-1.942
YDL004W	NaN	0.406	NaN	0.575
YDL006W	0.332	NaN	1.992	NaN
YDL007W	NaN	1.383	NaN	1.754
YDL008W	NaN	0.194	NaN	0.131
YDL009C	-0.028	NaN	-0.088	NaN
YDL010W	-0.038	NaN	-0.137	NaN
YDL011C	0.040	NaN	-0.051	NaN
YDL012C	0.092	NaN	0.145	NaN
YDL014W	NaN	0.255	NaN	-0.120
YDL015C	NaN	0.747	NaN	-0.567
YDL016C	NaN	0.448	NaN	NaN
YDL017W	NaN	0.464	NaN	-0.300
YDL018C	0.064	NaN	0.230	NaN
YDL019C	0.400	NaN	-0.308	NaN
YDL020C	0.039	NaN	0.164	NaN
YDL021W	0.947	NaN	1.168	NaN
YDL022W	0.311	NaN	0.153	NaN
YDL023C	0.865	NaN	1.555	NaN
YDL024C	0.326	NaN	0.046	NaN
YDL025C	0.928	NaN	1.910	NaN
YDL026W	0.154	NaN	0.152	NaN
YDL027C	0.189	NaN	-0.036	NaN
YDL028C	NaN	0.302	NaN	-0.037
YDL029W	NaN	0.177	NaN	0.178
YDL030W	NaN	0.253	NaN	-0.368
YDL031W	NaN	0.127	NaN	0.249
YDL032W	0.360	NaN	0.256	NaN
YDL033C	0.920	NaN	1.462	NaN
YDL034W	0.049	NaN	-0.249	NaN
YDL035C	-0.263	NaN	-0.770	NaN
YDL036C	0.278	NaN	-0.141	NaN
YDL037C	0.670	NaN	1.024	NaN
YDL038C	0.117	NaN	-0.188	NaN
YDL039C	-0.025	NaN	0.010	NaN
YDL040C	-0.296	NaN	-0.917	NaN
YDL041W	0.594	NaN	-0.367	NaN
YDL043C	NaN	0.220	NaN	-0.086
YDL044C	-0.063	NaN	-0.178	NaN
YDL045C	NaN	0.306	NaN	-0.389
YDL045W-A	1.953	NaN	0.658	NaN
YDL046W	0.131	NaN	-0.100	NaN
YDL048C	2.028	NaN	2.814	NaN
YDL049C	0.103	NaN	0.060	NaN
YDL050C	0.172	NaN	0.109	NaN
YDL051W	0.511	NaN	-0.151	NaN
YDL052C	0.183	NaN	0.176	NaN
YDL053C	0.086	NaN	0.286	NaN
YDL054C	0.135	NaN	-0.093	NaN
YDL055C	NaN	0.599	NaN	0.183
YDL056W	0.230	NaN	-0.163	NaN
YDL058W	NaN	0.590	NaN	-0.232
YDL059C	0.140	NaN	0.145	NaN
YDL060W	NaN	0.278	NaN	0.087
YDL061C	0.784	NaN	0.982	NaN
YDL062W	-0.665	NaN	-0.819	NaN
YDL063C	-0.530	NaN	-0.678	NaN
YDL064W	NaN	0.253	NaN	0.059
YDL065C	-0.056	NaN	0.308	NaN
YDL066W	1.620	NaN	2.487	NaN
YDL067C	0.075	NaN	0.419	NaN
YDL068W	-0.083	NaN	0.054	NaN
YDL069C	0.161	NaN	0.170	NaN
YDL070W	-0.183	NaN	-0.252	NaN
YDL071C	0.018	NaN	-0.340	NaN
YDL072C	-0.195	NaN	-0.168	NaN
YDL073W	0.584	NaN	-0.112	NaN
YDL074C	1.507	NaN	2.300	NaN
YDL076C	0.434	NaN	1.323	NaN
YDL077C	-0.684	NaN	-0.924	NaN
YDL078C	0.094	NaN	-0.072	NaN
YDL079C	-0.133	NaN	0.036	NaN
YDL080C	-0.162	NaN	-0.171	NaN
YDL081C	0.756	NaN	0.942	NaN
YDL082W	-0.511	NaN	-0.864	NaN
YDL084W	NaN	0.364	NaN	0.163
YDL085W	0.001	NaN	-0.038	NaN
YDL086W	-0.164	NaN	-0.046	NaN
YDL087C	NaN	0.359	NaN	-0.395
YDL088C	-0.071	NaN	-0.069	NaN
YDL089W	0.366	NaN	0.159	NaN
YDL090C	0.332	NaN	2.614	NaN
YDL091C	-0.122	NaN	0.122	NaN
YDL092W	NaN	0.431	NaN	0.075
YDL093W	-0.021	NaN	-0.003	NaN
YDL094C	0.019	NaN	0.245	NaN
YDL095W	0.060	NaN	0.485	NaN
YDL096C	-0.026	NaN	-0.105	NaN
YDL097C	NaN	0.234	NaN	0.049
YDL098C	NaN	0.150	NaN	0.020
YDL099W	-0.128	NaN	-0.190	NaN
YDL100C	0.489	NaN	1.029	NaN
YDL101C	0.299	NaN	0.743	NaN
YDL102W	NaN	0.077	NaN	-0.099
YDL103C	NaN	0.315	NaN	-1.050
YDL104C	-0.127	NaN	0.181	NaN
YDL105W	NaN	0.089	NaN	-0.014
YDL106C	0.293	NaN	1.825	NaN
YDL107W	-0.167	NaN	0.246	NaN
YDL108W	NaN	0.090	NaN	0.154
YDL109C	-0.001	NaN	-0.231	NaN
YDL110C	-0.157	NaN	0.041	NaN
YDL111C	NaN	0.070	NaN	0.162
YDL112W	0.174	NaN	-0.057	NaN
YDL113C	-0.044	NaN	-0.066	NaN
YDL114W	-0.163	NaN	0.017	NaN
YDL115C	1.537	NaN	2.965	NaN
YDL117W	-0.314	NaN	-0.904	NaN
YDL118W	-0.115	NaN	-0.475	NaN
YDL119C	-0.177	NaN	0.331	NaN
YDL120W	NaN	-0.109	NaN	0.154
YDL121C	-0.308	NaN	0.059	NaN
YDL122W	-0.210	NaN	-0.191	NaN
YDL123W	0.779	NaN	0.018	NaN
YDL124W	-0.226	NaN	-0.072	NaN
YDL125C	0.063	NaN	-0.026	NaN
YDL126C	NaN	0.044	NaN	-0.026
YDL127W	-0.255	NaN	-0.160	NaN
YDL128W	-0.106	NaN	-0.011	NaN
YDL129W	-0.170	NaN	-0.063	NaN
YDL130W	0.530	NaN	0.969	NaN
YDL130W-A	0.172	NaN	-0.077	NaN
YDL131W	-0.084	NaN	-0.058	NaN
YDL132W	NaN	0.330	NaN	-0.041
YDL133C-A	0.011	NaN	0.115	NaN
YDL133W	1.308	NaN	2.357	NaN
YDL134C	-0.064	NaN	0.250	NaN
YDL134C-A	-0.212	NaN	0.106	NaN
YDL135C	-0.091	NaN	0.122	NaN
YDL136W	-0.406	NaN	-0.389	NaN
YDL137W	-0.132	NaN	0.036	NaN
YDL138W	-0.092	NaN	0.100	NaN
YDL139C	NaN	0.107	NaN	0.144
YDL140C	NaN	0.117	NaN	-0.228
YDL141W	NaN	-0.066	NaN	0.035
YDL142C	-0.091	NaN	0.031	NaN
YDL143W	NaN	-0.007	NaN	-0.162
YDL144C	-0.320	NaN	0.069	NaN
YDL145C	NaN	0.400	NaN	0.102
YDL146W	0.752	NaN	1.358	NaN
YDL147W	NaN	0.533	NaN	-0.089
YDL148C	NaN	0.049	NaN	0.016
YDL149W	-0.149	NaN	-0.041	NaN
YDL150W	NaN	-0.043	NaN	0.083
YDL151C	-0.459	NaN	-0.046	NaN
YDL152W	NaN	0.176	NaN	0.165
YDL153C	NaN	0.228	NaN	-0.223
YDL154W	-0.080	NaN	-0.021	NaN
YDL155W	-0.107	NaN	0.082	NaN
YDL156W	-0.038	NaN	0.066	NaN
YDL157C	0.015	NaN	-0.143	NaN
YDL160C	0.959	NaN	1.154	NaN
YDL161W	-0.236	NaN	-0.020	NaN
YDL162C	-0.123	NaN	-0.271	NaN
YDL163W	NaN	0.212	NaN	-0.010
YDL164C	NaN	0.161	NaN	0.053
YDL165W	NaN	-0.007	NaN	-0.052
YDL166C	NaN	0.229	NaN	-1.322
YDL167C	-0.192	NaN	-0.006	NaN
YDL168W	0.033	NaN	0.605	NaN
YDL169C	-0.209	NaN	0.051	NaN
YDL170W	-0.092	NaN	-0.083	NaN
YDL171C	-0.004	NaN	-0.119	NaN
YDL172C	0.108	NaN	-0.132	NaN
YDL173W	-0.076	NaN	0.019	NaN
YDL174C	-0.180	NaN	-0.063	NaN
YDL175C	-0.010	NaN	-0.134	NaN
YDL176W	-0.035	NaN	0.222	NaN
YDL177C	-0.017	NaN	-0.003	NaN
YDL178W	0.098	NaN	-0.043	NaN
YDL179W	-0.033	NaN	-0.061	NaN
YDL180W	-0.016	NaN	-0.054	NaN
YDL182W	-0.037	NaN	-0.040	NaN
YDL183C	-0.015	NaN	-0.136	NaN
YDL184C	-0.025	NaN	-0.018	NaN
YDL185W	-0.363	NaN	-0.776	NaN
YDL186W	0.007	NaN	-0.005	NaN
YDL187C	0.010	NaN	-0.023	NaN
YDL188C	-0.023	NaN	0.087	NaN
YDL189W	0.044	NaN	-0.046	NaN
YDL190C	0.011	NaN	0.057	NaN
YDL191W	1.017	NaN	2.358	NaN
YDL192W	-0.145	NaN	0.258	NaN
YDL194W	1.245	NaN	2.830	NaN
YDL195W	NaN	0.192	NaN	-0.561
YDL196W	NaN	0.363	NaN	-1.384
YDL197C	-0.083	NaN	0.028	NaN
YDL198C	-0.344	NaN	-0.487	NaN
YDL199C	-0.195	NaN	0.198	NaN
YDL200C	0.229	NaN	-0.112	NaN
YDL201W	-0.052	NaN	0.018	NaN
YDL202W	0.111	NaN	0.316	NaN
YDL203C	-0.066	NaN	0.163	NaN
YDL204W	0.063	NaN	0.042	NaN
YDL205C	NaN	0.255	NaN	-0.352
YDL206W	-0.103	NaN	0.111	NaN
YDL207W	NaN	0.010	NaN	0.212
YDL208W	NaN	0.066	NaN	-0.052
YDL209C	NaN	0.117	NaN	-0.095
YDL210W	-0.012	NaN	0.146	NaN
YDL211C	0.063	NaN	-0.117	NaN
YDL212W	NaN	0.224	NaN	-0.134
YDL213C	1.503	NaN	1.340	NaN
YDL214C	-0.127	NaN	-0.092	NaN
YDL215C	-0.123	NaN	0.074	NaN
YDL216C	0.119	NaN	0.034	NaN
YDL217C	NaN	0.071	NaN	0.049
YDL218W	0.016	NaN	0.004	NaN
YDL219W	0.070	NaN	-0.020	NaN
YDL220C	NaN	-0.015	NaN	0.504
YDL221W	NaN	0.170	NaN	0.048
YDL222C	-0.189	NaN	-0.081	NaN
YDL223C	0.122	NaN	-0.045	NaN
YDL224C	-0.090	NaN	-0.232	NaN
YDL225W	0.088	NaN	0.057	NaN
YDL226C	0.339	NaN	-0.414	NaN
YDL227C	0.079	NaN	0.058	NaN
YDL229W	0.062	NaN	0.033	NaN
YDL230W	-0.049	NaN	-0.053	NaN
YDL231C	-0.061	NaN	-0.011	NaN
YDL232W	-0.465	NaN	-0.345	NaN
YDL233W	-0.057	NaN	-0.006	NaN
YDL234C	0.694	NaN	0.917	NaN
YDL235C	NaN	0.124	NaN	-0.165
YDL236W	0.066	NaN	0.176	NaN
YDL237W	0.056	NaN	-0.099	NaN
YDL238C	0.019	NaN	-0.036	NaN
YDL239C	-0.113	NaN	0.019	NaN
YDL240W	-0.388	NaN	-0.441	NaN
YDL241W	-0.051	NaN	-0.004	NaN
YDL242W	-0.078	NaN	-0.036	NaN
YDL243C	-0.249	NaN	0.013	NaN
YDR001C	-0.051	NaN	-0.282	NaN
YDR002W	NaN	0.101	NaN	0.091
YDR003W	-0.029	NaN	0.042	NaN
YDR004W	0.057	NaN	0.098	NaN
YDR005C	0.109	NaN	-0.151	NaN
YDR006C	-0.310	NaN	0.000	NaN
YDR007W	-0.871	NaN	-1.214	NaN
YDR008C	-0.944	NaN	NaN	NaN
YDR009W	-0.033	NaN	0.082	NaN
YDR010C	-0.069	NaN	0.069	NaN
YDR011W	-0.069	NaN	0.226	NaN
YDR013W	NaN	-0.095	NaN	-0.016
YDR014W	0.114	NaN	0.116	NaN
YDR015C	0.147	NaN	0.006	NaN
YDR016C	NaN	0.003	NaN	0.046
YDR017C	1.796	NaN	4.504	NaN
YDR018C	0.017	NaN	-0.040	NaN
YDR019C	0.051	NaN	-0.103	NaN
YDR020C	0.012	NaN	-0.219	NaN
YDR021W	NaN	-0.074	NaN	-0.052
YDR022C	-0.109	NaN	-0.032	NaN
YDR023W	NaN	0.116	NaN	0.018
YDR024W	0.503	NaN	0.677	NaN
YDR025W	-0.414	NaN	-0.301	NaN
YDR026C	-0.029	NaN	-0.025	NaN
YDR028C	0.787	NaN	1.228	NaN
YDR029W	-0.064	NaN	0.039	NaN
YDR030C	0.061	NaN	-0.047	NaN
YDR031W	0.015	NaN	0.242	NaN
YDR032C	-0.161	NaN	-0.069	NaN
YDR033W	0.169	NaN	-0.157	NaN
YDR034C	0.095	NaN	0.022	NaN
YDR035W	-0.006	NaN	-0.075	NaN
YDR036C	-0.027	NaN	-0.048	NaN
YDR037W	NaN	0.083	NaN	-0.024
YDR041W	NaN	0.064	NaN	0.163
YDR042C	-0.045	NaN	-0.021	NaN
YDR043C	0.179	NaN	0.048	NaN
YDR044W	NaN	0.438	NaN	-0.812
YDR045C	NaN	0.391	NaN	0.011
YDR046C	0.070	NaN	0.158	NaN
YDR047W	NaN	0.063	NaN	0.016
YDR048C	-0.047	NaN	-0.195	NaN
YDR049W	0.497	NaN	0.569	NaN
YDR050C	NaN	0.398	NaN	-0.082
YDR051C	0.071	NaN	-0.153	NaN
YDR052C	NaN	0.208	NaN	-0.178
YDR053W	NaN	0.243	NaN	0.182
YDR054C	NaN	0.580	NaN	-0.303
YDR055W	0.035	NaN	-0.041	NaN
YDR056C	0.041	NaN	-0.040	NaN
YDR057W	0.186	NaN	0.179	NaN
YDR058C	0.128	NaN	-0.016	NaN
YDR059C	0.091	NaN	-0.035	NaN
YDR060W	NaN	0.168	NaN	-0.330
YDR061W	-0.038	NaN	-0.062	NaN
YDR062W	NaN	0.047	NaN	-0.171
YDR063W	-0.044	NaN	-0.000	NaN
YDR064W	NaN	0.345	NaN	0.175
YDR065W	0.257	NaN	-0.038	NaN
YDR066C	0.057	NaN	0.177	NaN
YDR067C	0.333	NaN	0.785	NaN
YDR068W	-0.128	NaN	-0.049	NaN
YDR069C	0.110	NaN	0.099	NaN
YDR070C	0.022	NaN	0.055	NaN
YDR071C	0.195	NaN	0.218	NaN
YDR072C	-0.044	NaN	-0.090	NaN
YDR073W	0.172	NaN	0.223	NaN
YDR074W	1.133	NaN	1.868	NaN
YDR075W	0.108	NaN	0.324	NaN
YDR076W	0.282	NaN	-0.066	NaN
YDR077W	0.194	NaN	-0.022	NaN
YDR078C	0.388	NaN	0.156	NaN
YDR079W	0.137	NaN	-0.152	NaN
YDR080W	-0.585	NaN	-0.993	NaN
YDR081C	NaN	0.402	NaN	0.389
YDR082W	NaN	0.135	NaN	0.019
YDR083W	0.313	NaN	0.113	NaN
YDR084C	0.032	NaN	-0.017	NaN
YDR085C	0.046	NaN	0.024	NaN
YDR086C	NaN	0.515	NaN	-0.407
YDR087C	NaN	0.430	NaN	0.242
YDR088C	NaN	0.491	NaN	0.169
YDR089W	0.238	NaN	-0.051	NaN
YDR090C	-0.103	NaN	0.058	NaN
YDR091C	NaN	0.245	NaN	0.099
YDR093W	0.011	NaN	-0.154	NaN
YDR094W	-0.046	NaN	0.041	NaN
YDR095C	0.059	NaN	-0.227	NaN
YDR096W	-0.361	NaN	-0.083	NaN
YDR097C	-0.081	NaN	0.164	NaN
YDR098C	-0.331	NaN	0.030	NaN
YDR099W	0.023	NaN	0.158	NaN
YDR100W	-0.156	NaN	-0.090	NaN
YDR101C	-0.538	NaN	-0.834	NaN
YDR102C	-0.046	NaN	-0.045	NaN
YDR104C	-0.072	NaN	-0.027	NaN
YDR105C	-0.010	NaN	0.168	NaN
YDR107C	-0.217	NaN	-0.033	NaN
YDR108W	-0.212	NaN	-0.079	NaN
YDR109C	0.055	NaN	-0.034	NaN
YDR110W	-0.074	NaN	0.121	NaN
YDR111C	-0.031	NaN	-0.075	NaN
YDR112W	0.115	NaN	-0.038	NaN
YDR113C	NaN	0.130	NaN	-0.298
YDR114C	-0.014	NaN	-0.499	NaN
YDR115W	0.105	NaN	0.049	NaN
YDR116C	-0.006	NaN	0.064	NaN
YDR117C	-0.024	NaN	0.117	NaN
YDR118W	NaN	0.066	NaN	-0.150
YDR119W	-0.011	NaN	0.037	NaN
YDR120C	2.244	NaN	3.743	NaN
YDR121W	0.236	NaN	0.500	NaN
YDR122W	0.124	NaN	-0.016	NaN
YDR123C	-0.120	NaN	-0.578	NaN
YDR124W	-0.052	NaN	-0.136	NaN
YDR125C	0.344	NaN	0.500	NaN
YDR126W	1.595	NaN	2.176	NaN
YDR128W	-0.034	NaN	0.317	NaN
YDR130C	-0.021	NaN	0.032	NaN
YDR131C	0.004	NaN	0.011	NaN
YDR132C	-0.028	NaN	0.041	NaN
YDR133C	0.158	NaN	-0.018	NaN
YDR134C	-0.090	NaN	0.053	NaN
YDR135C	0.000	NaN	0.119	NaN
YDR136C	-0.010	NaN	-0.105	NaN
YDR139C	0.050	NaN	0.107	NaN
YDR140W	-0.373	NaN	0.234	NaN
YDR141C	NaN	0.309	NaN	-0.548
YDR142C	0.762	NaN	-0.097	NaN
YDR143C	-0.011	NaN	0.062	NaN
YDR144C	0.389	NaN	0.634	NaN
YDR145W	NaN	0.174	NaN	0.056
YDR146C	0.268	NaN	0.425	NaN
YDR147W	0.029	NaN	0.065	NaN
YDR148C	-0.066	NaN	0.001	NaN
YDR149C	0.833	NaN	1.649	NaN
YDR150W	0.181	NaN	-0.160	NaN
YDR151C	-0.160	NaN	-0.213	NaN
YDR152W	-0.131	NaN	0.196	NaN
YDR153C	-0.168	NaN	0.105	NaN
YDR154C	0.012	NaN	0.332	NaN
YDR155C	0.095	NaN	0.182	NaN
YDR156W	0.180	NaN	0.635	NaN
YDR157W	0.183	NaN	0.119	NaN
YDR159W	-0.272	NaN	-0.160	NaN
YDR160W	NaN	0.905	NaN	-0.604
YDR161W	-0.955	NaN	-0.440	NaN
YDR162C	0.404	NaN	1.162	NaN
YDR163W	-0.249	NaN	0.060	NaN
YDR164C	NaN	0.274	NaN	-0.092
YDR165W	0.366	NaN	0.049	NaN
YDR166C	NaN	0.161	NaN	0.070
YDR167W	NaN	0.369	NaN	-0.181
YDR168W	NaN	0.452	NaN	-0.642
YDR169C	0.025	NaN	0.028	NaN
YDR170C	NaN	0.015	NaN	-0.175
YDR171W	0.052	NaN	-0.164	NaN
YDR172W	NaN	0.019	NaN	-0.201
YDR173C	-0.197	NaN	-0.603	NaN
YDR174W	-0.313	NaN	-0.106	NaN
YDR175C	-0.151	NaN	-0.442	NaN
YDR176W	0.430	NaN	0.343	NaN
YDR177W	NaN	0.543	NaN	-0.338
YDR178W	0.096	NaN	-0.033	NaN
YDR179C	0.350	NaN	0.007	NaN
YDR179W-A	-0.091	NaN	-0.012	NaN
YDR180W	NaN	0.203	NaN	-0.742
YDR181C	0.136	NaN	-0.007	NaN
YDR182W	NaN	0.196	NaN	-0.435
YDR183W	-0.064	NaN	0.061	NaN
YDR184C	0.050	NaN	-0.087	NaN
YDR185C	-0.074	NaN	0.022	NaN
YDR186C	0.024	NaN	-0.139	NaN
YDR187C	NaN	-0.006	NaN	-0.196
YDR188W	NaN	0.381	NaN	-0.432
YDR189W	NaN	0.038	NaN	0.161
YDR190C	NaN	0.470	NaN	-0.334
YDR191W	0.032	NaN	-0.127	NaN
YDR192C	-0.156	NaN	0.227	NaN
YDR193W	-0.015	NaN	-0.006	NaN
YDR194C	0.038	NaN	-0.198	NaN
YDR195W	5.416	NaN	NaN	NaN
YDR196C	NaN	0.084	NaN	-0.212
YDR197W	0.119	NaN	0.195	NaN
YDR198C	0.051	NaN	0.054	NaN
YDR199W	-0.420	NaN	-0.447	NaN
YDR200C	5.631	NaN	6.637	NaN
YDR201W	NaN	0.238	NaN	-0.443
YDR202C	-0.303	NaN	-0.190	NaN
YDR203W	-0.251	NaN	-0.038	NaN
YDR204W	0.046	NaN	0.121	NaN
YDR205W	0.154	NaN	0.516	NaN
YDR206W	-0.049	NaN	-0.056	NaN
YDR207C	1.252	NaN	0.364	NaN
YDR208W	NaN	0.162	NaN	-0.301
YDR209C	-0.001	NaN	-0.070	NaN
YDR210W	0.084	NaN	-0.188	NaN
YDR211W	NaN	0.394	NaN	-0.387
YDR212W	NaN	0.182	NaN	-0.279
YDR213W	-0.099	NaN	-0.102	NaN
YDR214W	-0.043	NaN	-0.034	NaN
YDR215C	-0.141	NaN	-0.231	NaN
YDR216W	-0.061	NaN	-0.154	NaN
YDR217C	0.081	NaN	-0.175	NaN
YDR218C	-0.122	NaN	-0.042	NaN
YDR219C	-0.086	NaN	-0.090	NaN
YDR220C	0.037	NaN	-0.229	NaN
YDR221W	1.670	NaN	-0.112	NaN
YDR222W	0.004	NaN	-0.170	NaN
YDR223W	-0.121	NaN	-0.119	NaN
YDR224C	NaN	0.113	NaN	-0.172
YDR225W	-0.041	NaN	0.248	NaN
YDR228C	NaN	0.144	NaN	-0.042
YDR229W	-0.067	NaN	-0.043	NaN
YDR230W	-0.054	NaN	0.115	NaN
YDR231C	0.110	NaN	0.056	NaN
YDR232W	NaN	0.178	NaN	-0.383
YDR233C	-0.155	NaN	0.161	NaN
YDR234W	0.470	NaN	0.143	NaN
YDR235W	NaN	0.205	NaN	0.000
YDR236C	NaN	0.222	NaN	-0.331
YDR237W	-0.038	NaN	-0.162	NaN
YDR238C	NaN	0.581	NaN	0.286
YDR239C	-0.204	NaN	-0.241	NaN
YDR240C	NaN	0.472	NaN	0.030
YDR241W	0.701	NaN	2.161	NaN
YDR242W	0.314	NaN	-0.008	NaN
YDR243C	NaN	0.079	NaN	-0.021
YDR244W	0.500	NaN	0.699	NaN
YDR246W	NaN	0.030	NaN	0.029
YDR247W	-0.103	NaN	-0.089	NaN
YDR248C	-0.030	NaN	-0.223	NaN
YDR249C	0.049	NaN	-0.176	NaN
YDR250C	-0.095	NaN	-0.093	NaN
YDR251W	0.019	NaN	-0.152	NaN
YDR252W	-0.120	NaN	-0.031	NaN
YDR253C	0.838	NaN	1.499	NaN
YDR254W	0.180	NaN	0.320	NaN
YDR255C	0.014	NaN	0.073	NaN
YDR256C	-0.162	NaN	-0.250	NaN
YDR257C	-0.034	NaN	-0.147	NaN
YDR258C	-0.018	NaN	-0.049	NaN
YDR259C	-0.025	NaN	-0.014	NaN
YDR260C	-0.098	NaN	0.051	NaN
YDR261C	0.037	NaN	-0.168	NaN
YDR262W	0.030	NaN	-0.072	NaN
YDR263C	-0.067	NaN	-0.010	NaN
YDR264C	1.330	NaN	1.664	NaN
YDR265W	-0.065	NaN	0.132	NaN
YDR266C	-0.207	NaN	-0.333	NaN
YDR267C	NaN	0.257	NaN	-0.042
YDR268W	0.784	NaN	-0.481	NaN
YDR269C	-0.111	NaN	0.457	NaN
YDR270W	0.193	NaN	0.275	NaN
YDR271C	-0.491	NaN	-0.084	NaN
YDR272W	0.307	NaN	-0.311	NaN
YDR273W	-0.028	NaN	-0.107	NaN
YDR274C	-0.405	NaN	-0.155	NaN
YDR275W	0.090	NaN	-0.267	NaN
YDR276C	1.245	NaN	2.751	NaN
YDR277C	-0.075	NaN	-0.123	NaN
YDR278C	-0.137	NaN	-0.249	NaN
YDR279W	-0.308	NaN	-0.077	NaN
YDR280W	NaN	0.316	NaN	-0.477
YDR282C	0.024	NaN	-0.322	NaN
YDR283C	-0.268	NaN	-0.249	NaN
YDR284C	0.054	NaN	-0.346	NaN
YDR285W	0.222	NaN	-0.428	NaN
YDR286C	-0.075	NaN	-0.206	NaN
YDR287W	0.033	NaN	-0.436	NaN
YDR288W	NaN	0.114	NaN	-0.236
YDR289C	-0.091	NaN	-0.099	NaN
YDR290W	-0.064	NaN	-0.127	NaN
YDR291W	0.043	NaN	-0.212	NaN
YDR292C	NaN	0.088	NaN	0.029
YDR293C	1.821	NaN	3.080	NaN
YDR294C	-0.070	NaN	-0.122	NaN
YDR295C	-0.368	NaN	0.041	NaN
YDR296W	0.120	NaN	0.131	NaN
YDR297W	-0.340	NaN	-0.573	NaN
YDR298C	0.078	NaN	-0.560	NaN
YDR299W	NaN	0.405	NaN	-0.134
YDR300C	1.642	NaN	NaN	NaN
YDR301W	NaN	0.166	NaN	0.205
YDR302W	NaN	0.017	NaN	0.351
YDR303C	NaN	0.609	NaN	NaN
YDR304C	0.101	NaN	-0.148	NaN
YDR305C	0.122	NaN	-0.167	NaN
YDR306C	-0.029	NaN	-0.119	NaN
YDR307W	0.052	NaN	0.122	NaN
YDR308C	NaN	0.046	NaN	-0.001
YDR309C	0.017	NaN	-0.215	NaN
YDR310C	0.567	NaN	0.851	NaN
YDR311W	NaN	0.324	NaN	-0.293
YDR312W	-0.081	NaN	-0.147	NaN
YDR313C	0.015	NaN	-0.030	NaN
YDR314C	0.080	NaN	-0.098	NaN
YDR315C	-0.134	NaN	0.144	NaN
YDR316W	-0.007	NaN	0.089	NaN
YDR317W	0.717	NaN	1.792	NaN
YDR318W	0.718	NaN	0.755	NaN
YDR319C	0.017	NaN	-0.165	NaN
YDR320C	-0.072	NaN	-0.733	NaN
YDR321W	-0.028	NaN	-0.112	NaN
YDR322W	0.548	NaN	0.952	NaN
YDR323C	0.292	NaN	0.351	NaN
YDR324C	NaN	0.474	NaN	0.127
YDR325W	NaN	0.328	NaN	-0.590
YDR326C	0.017	NaN	-0.001	NaN
YDR327W	NaN	0.414	NaN	0.011
YDR328C	NaN	0.023	NaN	-0.075
