ORF	hom | growth (culture turbidity) | chitosan [25 g/ml, time 5 hour exposure] | Zakrzewska A~Klis FM, 2007	het | growth (culture turbidity) | chitosan [25 g/ml, time 5 hour exposure] | Zakrzewska A~Klis FM, 2007	hom | growth (culture turbidity) | chitosan [25 g/ml, time 9 hour exposure] | Zakrzewska A~Klis FM, 2007	het | growth (culture turbidity) | chitosan [25 g/ml, time 9 hour exposure] | Zakrzewska A~Klis FM, 2007
YBR199W	-0.079	NaN	0.193	NaN
YBR201W	0.136	NaN	-0.169	NaN
YBR202W	NaN	0.280	NaN	-0.692
YBR203W	0.054	NaN	-0.013	NaN
YBR204C	0.016	NaN	-0.063	NaN
YBR205W	-0.005	NaN	0.002	NaN
YBR206W	0.007	NaN	0.030	NaN
YBR207W	-0.044	NaN	-0.011	NaN
YBR208C	-0.164	NaN	0.130	NaN
YBR210W	-0.110	NaN	-0.116	NaN
YBR211C	NaN	0.140	NaN	0.217
YBR212W	0.071	NaN	0.016	NaN
YBR213W	0.200	NaN	-0.101	NaN
YBR214W	-0.094	NaN	-0.018	NaN
YBR215W	-0.233	NaN	-0.365	NaN
YBR216C	0.056	NaN	-0.238	NaN
YBR217W	0.087	NaN	0.053	NaN
YBR218C	-0.064	NaN	0.027	NaN
YBR219C	0.067	NaN	-0.093	NaN
YBR220C	-0.110	NaN	0.032	NaN
YBR221C	-0.042	NaN	0.063	NaN
YBR222C	0.041	NaN	0.119	NaN
YBR223C	0.004	NaN	0.137	NaN
YBR224W	-0.343	NaN	-0.344	NaN
YBR225W	-0.242	NaN	-0.613	NaN
YBR226C	-0.265	NaN	-0.367	NaN
YBR227C	-0.160	NaN	-0.139	NaN
YBR228W	-0.087	NaN	-0.049	NaN
YBR229C	-0.039	NaN	-0.086	NaN
YBR230C	0.031	NaN	-0.053	NaN
YBR231C	0.331	NaN	0.517	NaN
YBR232C	-0.215	NaN	-0.017	NaN
YBR233W	-0.049	NaN	-0.231	NaN
YBR234C	NaN	0.252	NaN	-0.232
YBR235W	-0.007	NaN	-0.135	NaN
YBR236C	NaN	0.072	NaN	-0.204
YBR237W	NaN	0.069	NaN	-0.032
YBR238C	-0.163	NaN	0.054	NaN
YBR239C	-0.179	NaN	-0.086	NaN
YBR240C	-0.006	NaN	0.001	NaN
YBR241C	-0.058	NaN	-0.111	NaN
YBR242W	-0.112	NaN	0.008	NaN
YBR243C	NaN	-0.005	NaN	-0.009
YBR244W	-0.083	NaN	-0.092	NaN
YBR245C	-0.068	NaN	-0.139	NaN
YBR246W	-0.003	NaN	-0.179	NaN
YBR247C	NaN	0.066	NaN	0.037
YBR248C	-0.001	NaN	0.186	NaN
YBR249C	0.232	NaN	0.301	NaN
YBR250W	-0.001	NaN	-0.100	NaN
YBR251W	-0.016	NaN	-0.272	NaN
YBR252W	NaN	0.200	NaN	-0.100
YBR253W	NaN	0.056	NaN	-0.091
YBR254C	NaN	0.057	NaN	-0.226
YBR255W	0.050	NaN	0.281	NaN
YBR256C	NaN	0.122	NaN	0.161
YBR257W	NaN	0.039	NaN	0.212
YBR258C	-0.037	NaN	-0.036	NaN
YBR259W	-0.012	NaN	-0.110	NaN
YBR260C	-0.152	NaN	-0.208	NaN
YBR261C	-0.140	NaN	-0.209	NaN
YBR262C	0.053	NaN	-0.016	NaN
YBR263W	0.038	NaN	-0.049	NaN
YBR264C	-0.079	NaN	-0.095	NaN
YBR265W	NaN	0.161	NaN	-0.029
YBR266C	-1.384	NaN	-0.911	NaN
YBR267W	-0.176	NaN	-0.250	NaN
YBR268W	0.119	NaN	-0.261	NaN
YBR269C	0.534	NaN	0.496	NaN
YBR270C	0.164	NaN	-0.003	NaN
YBR271W	0.071	NaN	0.875	NaN
YBR272C	0.215	NaN	-0.028	NaN
YBR273C	-0.204	NaN	0.241	NaN
YBR274W	9.575	NaN	NaN	NaN
YBR275C	-0.089	NaN	-0.040	NaN
YBR276C	-0.162	NaN	0.126	NaN
YBR277C	0.041	NaN	1.242	NaN
YBR278W	0.300	NaN	1.030	NaN
YBR279W	2.093	NaN	4.538	NaN
YBR280C	-0.214	NaN	-0.009	NaN
YBR281C	0.301	NaN	0.605	NaN
YBR282W	0.544	NaN	1.484	NaN
YBR283C	1.177	NaN	2.193	NaN
YBR284W	0.118	NaN	0.478	NaN
YBR285W	-0.151	NaN	-0.081	NaN
YBR286W	0.171	NaN	0.510	NaN
YBR287W	-0.060	NaN	-0.016	NaN
YBR288C	-0.105	NaN	-0.318	NaN
YBR289W	0.484	NaN	3.536	NaN
YBR290W	0.865	NaN	1.874	NaN
YBR291C	0.789	NaN	1.551	NaN
YBR292C	0.150	NaN	0.394	NaN
YBR293W	0.065	NaN	-0.188	NaN
YBR294W	-0.188	NaN	0.080	NaN
YBR295W	0.319	NaN	0.647	NaN
YBR296C	-0.049	NaN	0.460	NaN
YBR297W	0.211	NaN	0.753	NaN
YBR298C	1.234	NaN	1.815	NaN
YBR299W	0.041	NaN	0.006	NaN
YBR300C	0.163	NaN	0.556	NaN
YBR301W	-0.190	NaN	-0.157	NaN
YCL001W	0.120	NaN	0.188	NaN
YCL001W-A	0.888	NaN	2.205	NaN
YCL002C	-0.017	NaN	-0.061	NaN
YCL003W	NaN	1.458	NaN	-0.532
YCL004W	NaN	0.386	NaN	-0.126
YCL005W	1.014	NaN	2.703	NaN
YCL006C	-0.191	NaN	0.046	NaN
YCL007C	-0.473	NaN	-0.293	NaN
YCL008C	0.596	NaN	1.292	NaN
YCL009C	-0.130	NaN	-0.234	NaN
YCL010C	0.164	NaN	0.560	NaN
YCL011C	-0.086	NaN	0.353	NaN
YCL012W	-0.055	NaN	-0.041	NaN
YCL013W	-0.062	NaN	0.002	NaN
YCL014W	0.034	NaN	0.146	NaN
YCL016C	0.015	NaN	0.234	NaN
YCL022C	-0.135	NaN	0.085	NaN
YCL023C	-0.223	NaN	0.007	NaN
YCL024W	-0.205	NaN	-0.098	NaN
YCL025C	0.039	NaN	0.083	NaN
YCL026C	0.623	NaN	0.647	NaN
YCL026C-A	-0.238	NaN	0.113	NaN
YCL027W	-0.148	NaN	-0.140	NaN
YCL028W	0.295	NaN	-0.136	NaN
YCL029C	0.038	NaN	0.340	NaN
YCL030C	-0.069	NaN	0.135	NaN
YCL031C	NaN	0.070	NaN	0.036
YCL032W	0.363	NaN	0.827	NaN
YCL033C	0.312	NaN	0.481	NaN
YCL034W	-0.065	NaN	0.077	NaN
YCL035C	0.100	NaN	0.118	NaN
YCL036W	0.523	NaN	0.827	NaN
YCL037C	0.067	NaN	0.134	NaN
YCL038C	0.216	NaN	0.268	NaN
YCL039W	0.142	NaN	0.138	NaN
YCL040W	0.033	NaN	0.276	NaN
YCL041C	NaN	0.132	NaN	-0.438
YCL042W	-0.003	NaN	-0.118	NaN
YCL043C	NaN	0.178	NaN	-0.105
YCL044C	0.113	NaN	0.223	NaN
YCL045C	0.323	NaN	0.933	NaN
YCL046W	0.484	NaN	0.810	NaN
YCL047C	-0.016	NaN	0.095	NaN
YCL048W	0.084	NaN	-0.099	NaN
YCL049C	0.078	NaN	0.152	NaN
YCL050C	0.079	NaN	-0.018	NaN
YCL051W	0.268	NaN	0.536	NaN
YCL052C	NaN	0.483	NaN	0.107
YCL053C	NaN	0.067	NaN	-0.280
YCL054W	NaN	0.143	NaN	-0.136
YCL055W	0.307	NaN	0.439	NaN
YCL056C	0.172	NaN	0.039	NaN
YCL057W	0.166	NaN	0.263	NaN
YCL058C	0.059	NaN	0.233	NaN
YCL059C	NaN	0.000	NaN	0.089
YCL060C	0.219	NaN	0.489	NaN
YCL061C	0.038	NaN	0.358	NaN
YCL062W	-0.134	NaN	-0.392	NaN
YCL063W	0.058	NaN	-0.003	NaN
YCL064C	0.112	NaN	-0.050	NaN
YCL069W	-0.038	NaN	-0.258	NaN
YCL074W	0.083	NaN	-0.085	NaN
YCL075W	-0.036	NaN	-0.009	NaN
YCL076W	-0.099	NaN	-0.031	NaN
YCR001W	0.068	NaN	-0.010	NaN
YCR004C	-0.130	NaN	-0.315	NaN
YCR005C	-0.254	NaN	0.120	NaN
YCR006C	-0.038	NaN	-0.250	NaN
YCR007C	-0.030	NaN	-0.049	NaN
YCR008W	0.736	NaN	0.509	NaN
YCR009C	0.526	NaN	4.080	NaN
YCR010C	0.046	NaN	-0.151	NaN
YCR011C	-0.039	NaN	-0.069	NaN
YCR012W	NaN	0.253	NaN	0.193
YCR013C	NaN	0.246	NaN	-0.294
YCR014C	-0.088	NaN	0.129	NaN
YCR015C	-0.019	NaN	-0.066	NaN
YCR016W	-0.043	NaN	-0.137	NaN
YCR017C	1.939	NaN	3.195	NaN
YCR019W	0.233	NaN	0.369	NaN
YCR020C	-0.080	NaN	-0.061	NaN
YCR020C-A	0.528	NaN	0.835	NaN
YCR021C	-0.013	NaN	-0.038	NaN
YCR022C	0.048	NaN	-0.030	NaN
YCR023C	0.023	NaN	0.114	NaN
YCR024C	0.516	NaN	1.069	NaN
YCR024C-A	0.274	NaN	1.003	NaN
YCR025C	0.143	NaN	0.604	NaN
YCR026C	1.278	NaN	2.131	NaN
YCR027C	0.510	NaN	0.819	NaN
YCR028C	0.409	NaN	0.116	NaN
YCR028C-A	0.896	NaN	-0.685	NaN
YCR030C	0.120	NaN	-0.016	NaN
YCR031C	0.034	NaN	0.389	NaN
YCR032W	-0.114	NaN	0.033	NaN
YCR033W	-0.159	NaN	0.236	NaN
YCR034W	-0.431	NaN	-1.197	NaN
YCR035C	NaN	-0.724	NaN	0.602
YCR036W	0.621	NaN	2.016	NaN
YCR037C	-0.048	NaN	-0.066	NaN
