orf	hom | growth (relative abundance in pooled culture) | cisplatin [500 uM], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | cisplatin [500 uM], time [overnight + 20 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | carboplatin [15 mM], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | oxaliplatin [4 mM], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | psoralen [0.5 uM], time [5 generations], radiation [unknown] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | angelicin irradiated (angelicin [62.5 uM], time [5 generations], radiation [unknown]) | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | mechlorethamine [62.5 uM], time [overnight + 5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | mechlorethamine [62.5 uM], time [overnight + 20 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | mitomycin C [1 mM], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | streptozocin [2 mM], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | streptozocin [2 mM], time [overnight + 20 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | methyl methanesulfonate [0.002%], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | camptothecin [30 ug/ml], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | camptothecin [30 ug/ml], time [overnight + 20 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | 2-dimethylaminoethyl chloride [240 mM], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | 4-nitroquinoline N-oxide [0.0313 uM], time [5 generations] | Lee W~Giaever G, 2005
YAL002W	-0.338666	0.6947004999999999	-0.8243125	-1.200845	-0.7470145	-0.496401	-0.3590193333333333	0.7365723999999999	-0.9694455	-0.488517	-0.02872150000000001	-0.2018615	-0.51262	-0.19574550000000002	0.0905285	-0.521611
YAL004W	0.0329695	0.4303705	-0.2825995	-0.1105055	-0.1952795	-0.2909935	-0.104367	0.215729	-0.209674	-0.333938	0.2385225	-0.3594635	-0.24365199999999998	0.150169	0.14126650000000002	-0.3535075
YAL005C	-0.0469665	0.5107155	-0.21045200000000003	-0.16350949999999997	0.21463100000000002	-0.28561000000000003	-0.10206233333333335	0.5049626	-0.374931	0.245477	0.190685	-0.2939425	-0.05524449999999999	0.044331	0.381204	-0.883568
YAL007C	-0.219635	0.473252	-0.085367	-0.21669950000000002	-0.133014	-0.315444	-0.10762500000000001	0.6061206	-0.376927	-0.088237	0.449832	-0.465453	-0.1622185	0.0431695	0.1201925	-0.634727
YAL008W	-0.36055349999999997	0.2327985	-0.4095325	-0.2684205	-0.5562929999999999	-0.306052	0.03568266666666666	-0.10914899999999998	-0.290878	-0.6081479999999999	0.466965	-0.7413215	-0.435253	0.10998500000000001	-0.44289750000000006	-0.5897815
YAL009W	0.078176	-0.2926805	-0.027472999999999997	-0.210161	-0.3863305	-0.463782	-0.5690726666666667	-0.7839828	-0.1686585	-0.4858365	0.800251	-0.077003	-0.3713145	-0.2544425	0.7539340000000001	-0.7891565
YAL010C	0.948397	0.0	0.5037889999999999	0.4847405	-0.0034585000000000032	-0.10421100000000001	0.4757983333333333	0.0	1.2862	0.1305435	0.0	0.05259550000000002	0.4841685	0.0	0.5562755	0.9910325
YAL011W	-0.0546465	-1.944855	0.3619415	-0.5228225	-0.552245	-1.1492680000000002	-1.059652	-1.6939342	0.2722215	-0.492736	-1.4673749999999999	-0.21264100000000002	-0.245753	-1.3688185	0.333827	-1.9470200000000002
YAL012W	-0.3785985	-0.313268	-0.16715000000000002	-0.021306500000000006	0.134847	0.129105	0.31632333333333335	-0.014068199999999998	0.8710325	0.0080575	-0.8178004999999999	0.1966475	0.1401835	-0.4264705	-0.8957365	0.80965
YAL013W	0.29222950000000003	-0.262366	0.343294	0.2772815	-0.12824399999999997	-0.421844	-0.32202666666666663	-0.4506878	-0.2682455	-0.146476	0.0	0.553791	-0.043650999999999995	0.0	-0.12483249999999999	-0.8140670000000001
YAL014C	-0.1606945	0.4068125	-0.215053	-0.4111835	-0.025811	-0.0059615000000000015	-0.140728	0.19103279999999997	-0.591275	0.078625	0.169808	-0.33874150000000003	-0.2097375	0.12110399999999999	0.369244	-0.7418425
YAL015C	-0.431531	-0.18365949999999998	-0.306284	-0.6720835000000001	-0.286483	-0.08354099999999999	-0.8366226666666666	-0.8443335999999999	-0.9803904999999999	-0.2790545	-0.42690649999999997	-0.5996765000000001	-0.5729095	-0.624926	0.21204099999999998	-1.355885
YAL016W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAL017W	-0.2181145	0.4551145	-0.313278	-0.019729499999999997	-0.2843815	-0.32574800000000004	-0.16852466666666666	0.23857160000000005	-0.1340025	-0.054086999999999996	0.3706575	-0.4161965	-0.355244	0.2408175	0.3044305	-0.424703
YAL018C	-0.093434	-0.31778850000000003	0.027406999999999994	-0.3424935	-0.048126499999999996	-0.1495085	-0.25852633333333336	-0.158812	-0.19129449999999998	-0.15169200000000002	0.2976495	-0.049028	0.03966	0.2595325	-0.2677875	-0.6556825
YAL019W	-0.004024	-0.2442295	0.074727	-0.017950999999999995	-0.6083795	-0.012302500000000001	-0.3250166666666667	-0.0616174	0.012576500000000018	-0.515455	-0.027311500000000002	0.018236000000000002	0.0651975	-0.582158	-1.45313	-0.7826150000000001
YAL020C	0.35472	-0.509018	0.084287	-0.16259149999999997	0.11068700000000001	0.353963	0.49376	-0.3904708	0.574489	0.1493545	0.7012685000000001	0.22501300000000002	0.03858249999999999	0.2937485	0.27857299999999996	-0.2309725
YAL021C	-0.446592	-1.528365	-0.31532699999999997	-1.27007	-1.633905	-0.6483085	-1.7958433333333332	-0.7295442	-2.288105	-0.5279780000000001	0.315956	-0.1728695	-1.326195	-1.0875945	-1.700695	-0.7495695
YAL022C	-0.24028	0.374982	-0.16643049999999998	-0.17213699999999998	0.20077	0.1231635	0.03797	0.20438260000000003	-0.2331735	-0.0365815	0.291666	-0.483185	-0.3258625	-0.004690499999999997	0.259318	-0.9284455
YAL023C	0.38347000000000003	0.0	0.2890315	0.0157015	-0.34982050000000003	-0.034744000000000004	0.7490083333333333	0.0	0.30001	-0.09745749999999999	0.0	0.6813255	0.186409	0.0	-1.1344539999999999	0.3132685
YAL024C	-0.631844	-1.785485	-0.315207	-0.854719	-0.05340750000000001	-0.43828900000000004	-2.30395	0.06292199999999996	-3.48212	-0.2806575	-2.44631	-0.955663	-0.097528	-1.4238425	0.593595	-1.23468
YAL026C	-0.674691	-0.8652435	0.162748	-0.373776	-0.6083505	-0.5013115	-1.2801829999999998	-1.341574	-2.00084	-1.388121	-1.2963025	-0.444915	-0.041747	0.26011850000000003	-1.137075	-1.738495
YAL027W	-0.6909315	-0.087678	-0.5783375000000001	-0.5828814999999999	-0.4112195	-0.5084035	-0.4520376666666667	0.14281700000000003	-0.33045199999999997	-0.3097235	0.143397	-0.677932	-0.33397099999999996	0.131374	-0.24761500000000003	-1.205685
YAL028W	-0.250182	0.5166295000000001	-0.2905485	-0.12351150000000001	-0.157269	-0.076853	-0.023948333333333332	0.25374220000000003	-0.19268349999999998	-0.154912	0.347801	-0.690447	-0.447029	-0.04164999999999999	0.204001	-0.678221
YAL029C	0.214623	0.4212425	-0.278499	0.2155825	0.0320905	-0.6481535	0.35163000000000005	0.019795399999999998	0.36167950000000004	0.005899500000000002	0.6051610000000001	0.048696	0.088548	0.3475625	-0.0672635	-0.7579665
YAL030W	-0.2429185	0.5176175000000001	-0.4942765	-0.13545000000000001	-0.2114415	-0.4669355	-0.057732000000000006	0.4865736	-0.3117245	-0.2387375	0.258568	-0.600792	-0.382722	0.129172	0.08131800000000002	-0.83815
YAL031C	-0.189543	0.6810735	-0.48821899999999996	0.011088	-0.116956	-0.4941355	-0.039683666666666666	0.2042948	-0.28481999999999996	-0.018646499999999996	0.219395	-0.3350265	-0.07789750000000001	0.09221	0.06387499999999999	-0.772887
YAL034C	-0.4905175	-0.1337955	-0.273138	-0.39986849999999996	-1.240315	-0.8174030000000001	0.178001	0.02021160000000003	-0.507336	-1.207965	0.1752495	-0.1859245	-0.339658	0.598833	-1.1342235	-0.894078
YAL035W	1.475085	0.0	0.5443374999999999	1.1122100000000001	0.114509	-0.19154549999999998	0.7182103333333334	0.0	2.08174	0.48524649999999997	0.0	0.8856225	0.10066250000000002	0.0	0.2931545	-0.09829249999999999
YAL036C	0.0820575	0.6301995	0.0286555	0.071629	0.0710755	-0.07591200000000001	0.17328566666666667	0.1813496	0.054044999999999996	0.27811949999999996	0.21196399999999999	-0.2185465	-0.17687799999999998	0.161696	0.371707	-0.729369
YAL037W	-0.1687645	0.5179845000000001	-0.073959	0.108236	-0.540609	-0.48228699999999997	0.122701	0.400765	-0.104094	-0.24602800000000002	0.45230800000000004	-0.5058050000000001	-0.2399975	0.2222645	0.07208649999999998	-0.7635274999999999
YAL039C	-0.08216200000000001	-0.8594075	0.490327	0.07772499999999999	-0.3471715	-0.005219500000000002	-0.30630566666666664	-0.30816220000000005	0.7710705	-0.2913815	-0.11704949999999997	0.349104	-0.11653599999999999	0.145559	-0.588982	-0.49435799999999996
YAL040C	-0.9149725	-0.1388865	-0.1689605	-0.78071	-0.8512259999999999	-1.439565	-0.8301263333333334	-1.0760706	-0.7432175000000001	-1.3981735	-0.009257999999999995	-0.7694395	0.087789	-0.9328495000000001	-0.48372950000000003	-1.032013
YAL042C-A	0.0453035	0.7447595	0.4159835	0.21099299999999999	-0.043495000000000006	0.2745655	0.021113000000000003	0.2461512	0.3342115	0.27345200000000003	0.604416	0.0975155	0.126065	0.2469825	-0.1107025	-0.28254650000000003
YAL042W	0.045478000000000005	0.3607845	0.0360985	-0.05307200000000001	0.025443	0.063291	-0.22314899999999996	0.20811459999999998	0.06676699999999999	0.046533000000000005	0.3840755	-0.18692750000000002	-0.032248000000000006	0.1427745	0.1881215	-0.36975199999999997
YAL044C	0.15627350000000004	0.0	-0.0219255	-0.003043999999999998	0.08266099999999998	-0.398099	0.12859266666666666	0.0	0.4758805	0.488781	0.0	-0.06274199999999999	0.021643999999999997	0.0	-0.11904950000000002	-0.093443
YAL045C	-0.258298	0.5598004999999999	-0.320797	-0.13721450000000002	-0.0980645	0.014110000000000004	0.004578000000000003	0.35464419999999997	-0.3658855	0.0266365	0.340902	-0.6258545	-0.5675600000000001	0.03402049999999998	0.34718099999999996	-0.6731135
YAL046C	-0.14074450000000002	0.0	-0.1337155	0.0315655	0.0820065	0.07818900000000001	0.19722066666666668	0.0	-0.0600035	0.027799000000000004	0.270061	-0.4534165	-0.3621535	0.038289000000000004	0.1947235	-0.870487
YAL047C	-0.30026	0.0	-0.258811	-0.5816159999999999	0.02980999999999999	0.10024499999999997	0.170376	0.0	-0.4964845	0.5011730000000001	0.0	0.437291	-0.09401799999999999	0.0	-0.641834	0.840291
