,Unnamed: 0,gene,area.24_mean,area.24_std,area.24_count,mean_intensity.24_mean,mean_intensity.24_std,mean_intensity.24_count,area.48_mean,area.48_std,area.48_count,mean_intensity.48_mean,mean_intensity.48_std,mean_intensity.48_count,corrected_area.24_mean,corrected_area.24_std,corrected_area.24_count,corrected_mean_intensity.24_mean,corrected_mean_intensity.24_std,corrected_mean_intensity.24_count,corrected_area.48_mean,corrected_area.48_std,corrected_area.48_count,corrected_mean_intensity.48_mean,corrected_mean_intensity.48_std,corrected_mean_intensity.48_count
0,0,0,310.6222222222222,133.37988138790337,90.0,0.3766876536011233,0.1001788758486428,90.0,330.48275862068965,141.86456545535395,87.0,0.5110344252745651,0.0694708776591245,87.0,-0.0081959678914858,1.3541872911397486,87.0,-0.2246773115168535,1.2047869379963467,87.0,-0.0137467977922473,1.3830064701001274,84.0,-0.3674286383436889,1.503881384434533,84.0
1,1,AAC1,264.75,46.42772160394406,16.0,0.4027303480611481,0.1122915654009538,16.0,279.0,42.02380277890138,16.0,0.5463667178443408,0.028831417913892,16.0,0.5470616188595532,0.4898913011321599,16.0,0.1306418524358554,1.0537020682032272,16.0,0.5133049044873303,0.4423991598704003,16.0,0.4296704254525909,0.3883119515052332,16.0
2,2,AAC3,263.3333333333333,113.00589955101164,3.0,0.3698273393194464,0.027531190301035,3.0,281.0,99.85990186255944,3.0,0.4941527754354586,0.0242831885712893,3.0,-0.1841814586577504,1.0934846041429365,3.0,-0.2132022470080546,0.6158540237546583,3.0,-0.1805537842649498,1.005484257778815,3.0,-0.3869268275087982,0.921190527949734,3.0
3,3,AAD3,227.86666666666667,40.74636998146788,15.0,0.3768903090744621,0.1242614446830964,15.0,237.9333333333333,47.2795133324401,15.0,0.5080808302838103,0.0702744083984852,15.0,-0.0503097623533346,0.6621766836560065,15.0,-0.3295092240089688,1.1195222967495817,15.0,-0.0643767749422701,0.7092905742789704,15.0,-0.4582119512110297,1.1086803432565755,15.0
4,4,AAD4,218.53333333333333,70.77819142188065,15.0,0.4129393249445422,0.0479243976709379,15.0,231.2,62.83561319597578,15.0,0.5449191336348903,0.0299025603662233,15.0,-0.2866850401674838,0.6687419098077522,15.0,0.1308126990555374,0.4635622814620042,15.0,-0.2255537264613864,0.6206564094042923,15.0,0.4013541217714403,0.4146788771748008,15.0
5,5,AAD6,253.5,55.90468078196434,16.0,0.415353142930062,0.0461354626541071,16.0,265.5,48.39008162836677,16.0,0.541319426133426,0.0407099034366308,16.0,0.3163477367280535,0.5530590575434429,16.0,0.1422207291978213,0.5447570904652808,16.0,0.3125309695336351,0.5133477496106916,16.0,0.2221939252815613,0.5614419782174246,16.0
6,6,AAH1,245.0,60.97540487770458,13.0,0.3928132133739114,0.0415903873096103,13.0,271.0769230769231,52.22461351135361,13.0,0.5118767226530496,0.0429248303415216,13.0,0.0455497947496593,0.5917262858829055,13.0,-0.1328485972867146,0.3114016781239641,13.0,0.064377214833813,0.5391597991389191,13.0,-0.2161773907074828,0.420721512829671,13.0
7,7,AAP1,247.6,57.38441799453425,15.0,0.3704815524781349,0.0522223405907834,15.0,273.2,57.98916154888651,15.0,0.5057686302506382,0.0549354415092251,15.0,0.1850805699371569,0.6919304228601822,15.0,-0.5393080105282092,1.1242017711284338,15.0,0.2003467470285432,0.6457241611852313,15.0,-0.456847812114821,1.499613668929041,15.0
8,8,AAT1,237.69230769230768,48.0024037859644,13.0,0.4513837739913262,0.0486196085606728,13.0,249.69230769230768,47.44362376439468,13.0,0.5537989405261554,0.0382388279358745,13.0,-0.0345291059730875,0.5145457290192958,13.0,0.8234510503732955,0.469850998858802,13.0,-0.2454425401730808,0.507432288452468,13.0,0.6151033835339715,0.5588721882460396,13.0
9,9,AAT2,241.14285714285717,29.08305650759864,14.0,0.4122916104761436,0.0482681946251167,14.0,252.92857142857144,23.02662100103432,14.0,0.5295756999517218,0.0444043337702229,14.0,0.1497959469792548,0.5822296986848416,14.0,0.0498027553989993,0.3260595731175382,14.0,0.1656903334044587,0.6309040603145537,14.0,-0.0657361480323609,0.5602626246793334,14.0
10,10,ABF2,200.125,42.77986286404699,16.0,0.5467380574216681,0.0560195004641682,16.0,188.5,50.53447668011744,16.0,0.5783331814078443,0.0281482944418342,16.0,-0.5951464130550875,0.4804018013063834,16.0,2.246820636994784,0.8046042349775249,16.0,-1.0646026676345708,0.5480389781103034,16.0,1.0422711415786126,0.535481030029526,16.0
11,11,ABM1,260.3333333333333,57.33319490570221,15.0,0.4017722317594211,0.1222385911984855,15.0,271.4,46.92212393195468,15.0,0.5465604139369785,0.0445464651376989,15.0,0.4203035700466265,0.5174476218401081,15.0,0.0364024036170448,1.0879485279857746,15.0,0.4044623148426227,0.4393763261146978,15.0,0.3870508246987734,0.4714586550163207,15.0
12,12,ABP1,277.4375,50.18893470344503,16.0,0.4398469943669072,0.0553269134300237,16.0,292.0,46.19668097746128,16.0,0.5609412601121149,0.0390839256189664,16.0,0.709375137882987,0.4780089211121602,16.0,0.4938851912702001,0.6063130056843848,16.0,0.6696040641045709,0.5018537120506911,16.0,0.6888627412340169,0.557391701173678,16.0
13,13,ABP140,217.84615384615384,69.7266641415441,13.0,0.3692250248222194,0.0582673800351661,13.0,258.0769230769231,74.85926967590758,13.0,0.4926334182166912,0.0530875390669779,13.0,-0.2548542390255172,0.9387114263898902,13.0,-0.2354250863412421,0.6632896331619903,13.0,-0.055507995881138,0.9267179441451678,13.0,-0.4034811924336351,0.9072025274289608,13.0
14,14,ABZ1,276.53333333333336,65.52738431555235,15.0,0.3828985894070015,0.1184149298757074,15.0,314.0,66.01298573549212,15.0,0.5372790734644864,0.0451885020022139,15.0,0.5615055612367181,0.7715752674961838,15.0,-0.1172640081931325,1.0570867263660395,15.0,0.7111783835093888,0.7856936811031606,15.0,0.2194545785341732,0.4598063414153638,15.0
15,15,ABZ2,253.42857142857144,61.54012360392864,14.0,0.3987062028265981,0.1245720344120134,14.0,262.2142857142857,49.570739774167606,14.0,0.5449239690861453,0.0409984556315958,14.0,0.2749708422553448,0.4645885698153402,14.0,-0.0111023526601036,1.061723483678947,14.0,0.2462734951326033,0.4400978713097316,14.0,0.310764576832062,0.473163157857784,14.0
16,16,ACA1,281.1875,50.222463433540696,16.0,0.4256454812875029,0.0542012989161297,16.0,290.8125,40.52524933092126,16.0,0.5568780162221175,0.0358409446307093,16.0,0.8261527736417403,0.5631653905163218,16.0,0.2571836085717802,0.6244362579595643,16.0,0.7492375218744355,0.5348876153538649,16.0,0.6061618305248712,0.5267583929744708,16.0
17,17,ACB1,178.0,78.16058420378472,14.0,0.4018356978992069,0.0554927270442463,14.0,197.0,78.87770475674547,14.0,0.5378654591599876,0.0422031144325296,14.0,-1.1319745434250534,0.7615709377289468,14.0,-0.1577605371987491,0.7043368818533359,14.0,-1.1227799246304355,0.7398029651766473,14.0,0.2718707311560546,0.823061421046025,14.0
18,18,ACE2,320.61538461538464,101.76241812963048,13.0,0.4463174004107489,0.0357946470686473,13.0,388.6666666666667,104.99639243441857,12.0,0.56479306182072,0.0234241830767405,12.0,0.1980241758024168,0.3109831056343743,13.0,0.5887307319737617,0.55344598049873,13.0,0.3382792731736941,0.3409940480281305,12.0,0.7626441003160914,0.2418936988306482,12.0
19,19,ACF2,310.6,73.44560669541194,15.0,0.3905401997690607,0.0464480242971531,15.0,372.07142857142856,81.87557566276948,14.0,0.5331255312878423,0.0286698608353765,14.0,0.2034058550560936,0.4511215322037692,15.0,-0.2817259180159875,0.5721262402316779,15.0,0.1809651342491979,0.4207511623247557,14.0,0.1125831996751387,0.2621748625906849,14.0
20,20,ACF4,224.26666666666668,79.21171149580873,15.0,0.3948128099609981,0.1218094082255019,15.0,238.26666666666668,68.53723353734364,15.0,0.5472470587770474,0.0395612169272946,15.0,-0.2499639064031641,1.028594975114116,15.0,-0.0213572936911293,1.0400264893329676,15.0,-0.1771440573331536,0.9769404104150732,15.0,0.4553509664541696,0.4342689446150457,15.0
21,21,ACH1,218.7142857142857,45.30313042576227,14.0,0.4065916025760364,0.0526674597868664,14.0,252.28571428571428,43.885214912451886,14.0,0.5255860826446215,0.0504754736215748,14.0,-0.261862858210231,0.2996963159079096,14.0,0.1201908529392343,0.432976691014255,14.0,-0.2172050384759973,0.3409978958352706,14.0,-0.0837540227681082,1.0562470438871745,14.0
22,22,ACK1,230.6875,48.26968510359272,16.0,0.4371166120690729,0.0457037857998255,16.0,243.3125,43.37544428206663,16.0,0.54869948148572,0.036801625347118,16.0,-0.0327443125158317,0.5926716136864671,16.0,0.4537161925602889,0.4357408748929409,16.0,-0.0343849068972227,0.5949194573379932,16.0,0.397019732229975,0.4681391679410304,16.0
23,23,ACM1,274.625,66.38360741428062,16.0,0.4067762247397884,0.1190886551865779,16.0,287.1875,54.91474452883003,16.0,0.5609008408039753,0.0342816064241608,16.0,0.6671282949713411,0.6030522140087752,16.0,0.1366137722313261,1.019851982019755,16.0,0.6635029410573133,0.6184122774796879,16.0,0.6158213138131925,0.4858918495383307,16.0
