ORF	hap a | growth (culture turbidity) | NaD1 [4 uM] | Bleackley MR~Anderson MA, 2014
YHR060W	550.000
YOR331C	442.857
YBR127C	275.000
YLR122C	132.609
YEL051W	120.930
YBR058C-A	114.474
YCR084C	100.000
YDR335W	90.476
YER053C-A	23.810
YLL043W	23.022
YEL036C	21.154
YBL025W	13.830
YGL223C	12.500
YBL028C	8.468
YPL234C	-4.545
YBR132C	-16.789
YBR085C-A	-26.343
YGL007W	-26.635
YLR244C	-32.521
YHR039C-B	-36.486
YBR082C	-39.226
YFR012W	-39.834
YLR027C	-40.753
YKL213C	-42.316
YER149C	-43.250
YCL007C	-43.860
YBR248C	-44.764
YOR087W	-76.043
YOR141C	-49.639
YBL024W	-49.670
YMR216C	-51.391
YDR363W-A	-52.885
YER090W	-53.652
YOL143C	-53.846
YGL007C-A	-56.021
YMR080C	-58.078
YKR055W	-58.291
YOR322C	-58.595
YOR084W	-59.156
YOR214C	-60.277
YGL203C	-60.998
YDR516C	-64.044
YPL180W	-64.463
YOR026W	-82.706
YAL009W	-65.693
YJR059W	-65.851
YOR187W	-66.364
YGR072W	-67.042
YGR215W	-67.812
YJR032W	-68.109
YLR350W	-68.234
YMR073C	-68.350
YDL034W	-68.460
YOR200W	-68.664
YNL229C	-68.958
YBR196C-A	-69.342
YNL005C	-69.386
YFL047W	-69.436
YDR297W	-70.118
YJL027C	-70.172
YOR199W	-70.880
YNL160W	-71.006
YGL214W	-83.847
YMR071C	-71.339
YBL056W	-71.434
YHR147C	-72.037
YGR034W	-72.341
YKR048C	-72.465
YFR008W	-72.576
YDR277C	-72.584
YGR192C	-73.007
YPL182C	-73.896
YPL181W	-74.053
YJL120W	-74.755
YLR185W	-75.604
YGR269W	-75.638
YDL063C	-75.805
YMR038C	-76.475
YKL185W	-76.817
YGL110C	-76.880
YDL025C	-78.135
YJL110C	-78.232
YJL209W	-78.281
YGR223C	-78.748
YJL098W	-79.341
YGR052W	-79.416
YDR290W	-79.577
YOR101W	-79.630
YLL014W	-79.674
YDR298C	-80.533
YGR165W	-80.960
YLR338W	-81.012
YNL109W	-81.283
YOR333C	-81.961
YNL015W	-82.086
YGR069W	-82.214
YOR379C	-82.570
YBR095C	-82.636
YEL033W	-82.741
YER087W	-83.005
YAL034C	-83.052
YLR398C	-83.127
YGL149W	-83.373
YDR025W	-83.388
YLR139C	-83.743
YBR058C	-84.245
YLR327C	-84.338
YDL198C	-84.451
YDL062W	-84.504
YNR045W	-84.789
YGR078C	-84.882
YFR009W	-84.892
YGL195W	-85.048
YLL006W-A	-85.097
YBR111C	-85.188
YFR020W	-85.224
YOR269W	-85.433
YGR076C	-85.516
YDL173W	-85.659
YIL059C	-85.991
YGR206W	-86.080
YOR211C	-86.397
YNL199C	-86.823
YDR249C	-87.142
YDL172C	-87.408
YLR354C	-87.994
YGR271C-A	-88.145
YFL052W	-88.224
YCR095C	-88.312
YNL047C	-88.514
YBR101C	-88.590
YKR101W	-88.658
YMR263W	-88.836
YEL062W	-88.841
YDR024W	-88.990
YJR104C	-89.067
