orf	hap a | growth (culture turbidity) | NaD1 [4 uM] | Bleackley MR~Anderson MA, 2014
YAL002W	0.44150381073388667
YAL004W	0.2318734483261228
YAL005C	0.24248623278189546
YAL007C	0.2653074155327152
YAL008W	0.33189040477458676
YAL009W	1.9713623351278065
YAL010C	0.32910281569708183
YAL011W	0.22472488828854076
YAL012W	0.2203411322319557
YAL013W	0.4616356596609766
YAL014C	0.18926704909687717
YAL015C	0.28100203731933726
YAL016C-B	0.16262194575755273
YAL016W	0.17549990466419607
YAL017W	0.253028095569982
YAL018C	0.4007081907121411
YAL019W	0.2954704047985609
YAL020C	0.2623755835704685
YAL021C	0.153734157920523
YAL022C	0.2592959841267148
YAL023C	0.2902576118991446
YAL024C	0.2136144441885268
YAL026C	0.2892109088979056
YAL027W	0.2992561867073649
YAL028W	0.24365886544511062
YAL029C	0.23256965486349937
YAL030W	0.41300633548292853
YAL031C	0.3996767300083381
YAL034C	1.1392818513462273
YAL035W	0.22714349780045653
YAL036C	0.25127111509336875
YAL037C-A	0.23416326380442384
YAL037W	0.3197879679097836
YAL039C	0.2778917456035022
YAL040C	0.38059470199647294
YAL042C-A	0.2647669125923408
YAL042W	0.2842117016165869
YAL044C	0.33724322384578403
YAL044W-A	0.21451535207796188
YAL045C	0.3025351702323523
YAL046C	0.32294490087002226
YAL047C	0.13644397203717143
YAL048C	0.6352834994102753
YAL049C	0.12208535121013296
YAL051W	0.2804475772618437
YAL053W	0.36498794111229316
YAL054C	0.27761118334638873
YAL055W	0.21168434140969905
YAL056C-A	0.2610153814804733
YAL056W	0.2816146168797122
YAL058W	0.2386189776661853
YAL059W	0.2152137615195638
YAL060W	0.19575487393368296
YAL061W	0.3301732512234154
YAL062W	0.29744875283945593
YAL064C-A	0.30196421840331145
YAL065C	0.39907503498768626
YAL066W	0.22273614060540659
YAL067C	0.21812851365369887
YAL067W-A	0.24543289796659692
YAL068C	0.2789672775261614
YAR002C-A	0.25292306418335747
YAR002W	0.4765658931705266
YAR003W	0.3482613807554666
YAR014C	0.3473619201851503
YAR015W	0.34651024159496074
YAR018C	0.3357474675561385
YAR020C	0.32092179298484597
YAR023C	0.2917064733041101
YAR027W	0.2878235484631013
YAR028W	0.2437282835265595
YAR029W	0.252380360771596
YAR030C	0.3369505143725448
YAR031W	0.3233087931428723
YAR035C-A	0.26987650813500397
YAR035W	0.32305097613974937
YAR042W	0.28051353004208623
YAR047C	0.36982028842495857
YAR050W	0.2157884005957681
YBL001C	0.1942950454713103
YBL002W	0.36422114367748964
YBL003C	0.15235715422245572
YBL005W	0.22006717036591394
YBL006C	0.15990797357080322
YBL007C	0.20178656997483485
YBL008W	0.2330612698319264
YBL008W-A	0.14466162172309646
YBL009W	0.29950044839325196
YBL010C	0.2411121662000797
YBL011W	0.38222581334771893
YBL012C	0.2503608522321357
YBL013W	0.19521610252565558
YBL015W	0.1391093010638956
YBL016W	0.24226536159591971
YBL017C	0.248619904140256
YBL019W	0.29328955053747524
YBL021C	0.3103958864190946
YBL022C	0.3030224222192037
YBL024W	2.739458074109493
YBL025W	5.783399419650939
YBL027W	0.3152865219988862
YBL028C	5.526377182899071
YBL029C-A	0.24963422852255626
YBL029W	0.20836402185320968
YBL031W	0.23556666384958994
YBL032W	0.15745170488498147
YBL033C	0.11470764012258955
YBL036C	0.17531508157109676
YBL037W	0.2537811324412364
YBL038W	0.2861985704100905
YBL039C	0.38053181755358834
YBL039W-B	0.16584428678712157
YBL042C	0.3717037515191904
YBL043W	0.33585134571710323
YBL044W	0.36672638553780224
YBL045C	0.38025295640077444
YBL046W	0.3433797859193576
YBL047C	0.3470210451474837
YBL048W	0.1985264966997481
YBL049W	0.17251578499699743
YBL051C	0.2020768883777979
YBL052C	0.3038614685059607
YBL053W	0.3744687139798847
YBL054W	0.4238895563993294
YBL055C	0.3658854702793929
YBL056W	1.6961689240618403
YBL057C	0.25077701685239384
YBL058W	0.40093913004734133
YBL059W	0.3545347249056219
YBL060W	0.31754024297516315
YBL061C	0.1711761876265524
YBL062W	0.15682332745147062
YBL063W	0.2327696622685983
YBL064C	0.32683740207213086
YBL065W	0.356055628238356
YBL066C	0.4073866224343989
YBL067C	0.3515565603407361
YBL068W	0.49144074840393953
YBL069W	0.2789380953886931
YBL070C	0.33101120723573246
YBL071C	0.3003114679908862
YBL071C-B	0.21028356836727274
YBL071W-A	0.07391543150497583
YBL072C	0.2872557959231776
YBL075C	0.23016900478062713
