orf	hap a | growth (culture turbidity) | NaD1 [4 uM] | Bleackley MR~Anderson MA, 2014
YAL002W	-97.60793465577596
YAL004W	-101.98105081826012
YAL005C	-101.7596566523605
YAL007C	-101.28358208955224
YAL008W	-99.89458889669712
YAL009W	-65.69343065693431
YAL010C	-99.95274102079395
YAL011W	-102.13017751479289
YAL012W	-102.22162740899357
YAL013W	-97.18796250616676
YAL014C	-102.86986640277091
YAL015C	-100.95617529880478
YAL016C-B	-103.42571208622017
YAL016W	-103.1570639305446
YAL017W	-101.53974198918019
YAL018C	-98.45897542690545
YAL019W	-100.65434949961507
YAL020C	-101.34474327628362
YAL021C	-103.6111209563496
YAL022C	-101.4089870525514
YAL023C	-100.76309399930628
YAL024C	-102.36195339929782
YAL026C	-100.78492935635792
YAL027W	-100.57537399309551
YAL028W	-101.7351942663146
YAL029C	-101.96652719665273
YAL030W	-98.20242282141461
YAL031C	-98.48049281314168
YAL034C	-83.05152979066023
YAL035W	-102.07972270363952
YAL036C	-101.57639450282943
YAL037C-A	-101.9332827899924
YAL037W	-100.1470588235294
YAL039C	-101.02105934907466
YAL040C	-98.87856456264018
YAL042C-A	-101.29485756566778
YAL042W	-100.8892182289737
YAL044C	-99.78292329956585
YAL044W-A	-102.34315948601662
YAL045C	-100.50697084917617
YAL046C	-100.08120178643931
YAL047C	-103.9718129404228
YAL048C	-93.56548069644208
YAL049C	-104.27134930571115
YAL051W	-100.96774193548387
YAL053W	-99.20413847990449
YAL054C	-101.02691218130313
YAL055W	-102.40221743147522
YAL056C-A	-101.37311856350672
YAL056W	-100.9433962264151
YAL058W	-101.84033177812337
YAL059W	-102.32858990944374
YAL060W	-102.73452335738699
YAL061W	-99.93041057759221
YAL062W	-100.61307901907357
YAL064C-A	-100.51888152205247
YAL065C	-98.49304482225656
YAL066W	-102.17166494312305
YAL067C	-102.26778502640572
YAL067W-A	-101.6981860285604
YAL068C	-100.99862258953169
YAR002C-A	-101.54193305754042
YAR002W	-96.87650168188371
YAR003W	-99.55307262569832
YAR014C	-99.57183634633682
YAR015W	-99.58960328317374
YAR018C	-99.81412639405205
YAR020C	-100.12340600575895
YAR023C	-100.73286918285088
YAR027W	-100.81387119603681
YAR028W	-101.73374613003097
YAR029W	-101.55325443786982
YAR030C	-99.78902953586498
YAR031W	-100.07361059992641
YAR035C-A	-101.18826587448942
YAR035W	-100.07898894154816
YAR042W	-100.96636608913258
YAR047C	-99.10333048676345
YAR050W	-102.31660231660231
YBL001C	-102.76497695852535
YBL002W	-99.22013470400569
YBL003C	-103.63984674329502
YBL005W	-102.22734254992321
YBL006C	-103.48232848232848
