orf	hom | growth (culture turbidity) | chromium trioxide [0.05 mM] | SC, pH 4.3 | Johnson AJ~Wu MJ, 2016	hom | growth (culture turbidity) | chromium trioxide [0.1 mM] | SC, pH 4.3 | Johnson AJ~Wu MJ, 2016
YAL002W	-2.237255866697232	-0.6115370547711593
YAL004W	-0.2178877971751287	0.4574158214443684
YAL005C	-0.25626441692383206	0.08535228296389069
YAL007C	-0.39258183527563667	0.29773173441012485
YAL008W	-0.5124131446724574	0.2862705920234335
YAL009W	-0.49759289401551154	-0.4390809209707963
YAL010C	0.22847400449950844	3.8222684440528107
YAL011W	-1.209581506205237	0.2702924113450776
YAL012W	-0.037281348864407655	0.16741039129180893
YAL013W	0.21964010975308704	0.22560380152434653
YAL014C	-0.5506464541627553	-0.12452030971236334
YAL015C	-0.0773498885746279	0.29482846308191013
YAL016C-B	0.7143265039388725	2.6634602918350394
YAL016W	0.40840426336141633	2.1537908488092117
YAL017W	-0.6110811516631378	0.19278576914070725
YAL018C	-0.6126916598458724	0.5641437238982686
YAL019W	-0.28811298040739	0.3046825846090944
YAL020C	-0.26220856264505715	-0.07046919679878672
YAL021C	-1.716519694638659	-0.007546212959331597
YAL022C	-0.6679591595083212	0.4029425015509429
YAL023C	-0.7428496140034283	-0.06267901656697981
YAL024C	-1.7467567177384085	-0.0930085063949199
YAL026C	-1.5743252342085596	-0.40517813689052024
YAL027W	0.3054637495597192	0.5846982260238166
YAL028W	0.5866186543706773	1.5850874899236882
YAL029C	-0.3496161289412083	0.7983479749440314
YAL030W	-0.5428356761271608	0.6226776150100121
YAL031C	-0.3866863735629998	1.5219148281831305
YAL034C	-0.5504380152435059	0.1983750612421394
YAL035W	-0.6847130767608883	1.480908773948605
YAL036C	-0.33877705339610964	0.3698520833593116
YAL037C-A	0.6768570621152962	2.3328119403010734
YAL037W	-0.41897241307924965	0.22980740182733983
YAL039C	-0.9628331015616001	0.08589883129452591
YAL040C	-0.9486158457707451	-0.4078072635850052
YAL042C-A	-0.1879552453412287	0.8440401004765569
YAL042W	-0.5012505173576022	0.965428834808909
YAL044C	-0.5194951276561748	0.9729261799534332
YAL044W-A	-0.13365193100884423	-0.17225064544178642
YAL045C	-0.4435467056698471	0.2679165999315769
YAL046C	-0.1611641816817628	0.21285871875686702
YAL047C	-0.3876185044536438	0.6527050040691161
YAL048C	0.11190145753310399	0.46878908634133754
YAL049C	-0.2113742618012395	0.07216246329546995
YAL051W	-0.39650409636757283	0.0005390273275729757
YAL053W	-0.34432707408228497	0.27887704481025855
YAL054C	-0.04781136005333816	0.5586875448966379
YAL055W	-0.6804261580424309	0.20926944269598044
YAL056C-A	0.1979955036436478	0.8499683527040202
YAL056W	-0.57358667979001	0.5121058027968107
YAL058W	-0.816313342631334	0.5529654738536517
YAL059W	-0.41899423016398946	0.2264712649769404
YAL060W	-0.4870858803479787	0.6257606225802745
YAL061W	-0.5270270233151254	0.4567449208966534
YAL062W	-0.30454776114585724	0.4977079736566004
YAL064C-A	-0.8071570041230955	0.10320103047283982
YAL065C	-0.4112800251414999	0.29051123115865257
YAL066W	-0.5636545189061122	0.6642388183471489
YAL067C	-0.4705834399571802	0.6844935277661648
YAL067W-A	0.35845810529802435	-0.24361747365462214
YAL068C	-0.7423522980749538	1.215536227202998
YAR002C-A	0.8202859170904431	1.2188592648084002
YAR002W	-0.21759754141632173	-0.2044240181519445
YAR003W	-0.7761479559663171	-0.43707717583220673
YAR014C	-0.020014717900520358	0.04751529703375207
YAR015W	-0.1835606358748533	0.7493676409434702
YAR018C	-0.4868236749563565	-0.0975073629350476
YAR020C	-0.012529203613405605	-0.0405869376017445
YAR023C	0.024613265438507236	0.3239328841165537
YAR027W	0.2389834004354825	0.19734471994571084
YAR028W	-0.297650624420862	0.024622244768578713
YAR029W	-0.5091372395435361	0.4519634416043316
YAR030C	-0.6351539783831406	0.21204204006289218
YAR031W	-0.6894197708737316	0.5316439035662432
YAR035C-A	-0.026436460377054594	-0.12612549092993014
YAR035W	-0.7507922424593593	0.41650046328939355
YAR042W	-0.346073312104469	0.0584741980847665
YAR047C	-0.5622981668106963	-0.03476048640903976
YAR050W	0.4413016505519507	1.0831387374246082
YBL001C	0.017658415690058073	0.34679528833286505
YBL002W	0.24249905526422982	0.08817387359646361
YBL003C	0.09576680382698399	0.12137090414820831
YBL005W	0.09834826436272981	-0.008762938930571335
YBL006C	-0.15870723628511368	-0.11458893669732162
YBL007C	-0.18254727625620146	0.6760476504771251
YBL008W	-0.38284941463007083	-0.29823797387626233
