orf	hom | growth (culture turbidity) | chromium trioxide [0.05 mM] | SC, pH 4.3 | Johnson AJ~Wu MJ, 2016	hom | growth (culture turbidity) | chromium trioxide [0.1 mM] | SC, pH 4.3 | Johnson AJ~Wu MJ, 2016
YAL002W	0.16175136490033779	0.22345890783771172
YAL004W	0.8747163926106049	0.8007136421017322
YAL005C	0.8611670114078824	0.5997923070142019
YAL007C	0.813038315396765	0.7144812203756322
YAL008W	0.7707302616476133	0.708291987108199
YAL009W	0.7759627502561922	0.3165884759451246
YAL010C	1.0323104236854233	2.6177975844529917
YAL011W	0.5245856049597557	0.6996634678846376
YAL012W	0.938481925684018	0.6441052347128875
YAL013W	1.0291914984593933	0.6755307748907012
YAL014C	0.7572314780570336	0.48645714471635976
YAL015C	0.924335189407472	0.7129133990465963
YAL016C-B	1.2038471761744658	1.9920193047408956
YAL016W	1.0958372189891417	1.716788183292427
YAL017W	0.7358941961477387	0.6578084178212713
YAL018C	0.7353255845962038	0.8583487243774831
YAL019W	0.8499224481758012	0.7182348107104284
YAL020C	0.8590683508997711	0.5156457661381616
YAL021C	0.3456042666793293	0.5496253653548631
YAL022C	0.7158126513063157	0.7712970209398297
YAL023C	0.6893715701729616	0.5198526105366735
YAL024C	0.3349286794312401	0.5034741134293222
YAL026C	0.39580793135586567	0.3348966194101171
YAL027W	1.0594926875573334	0.8694485435803833
YAL028W	1.1587582040943265	1.4096776327593015
YAL029C	0.8282079352742182	0.9848234415601206
YAL030W	0.7599891781824517	0.8899581306581168
YAL031C	0.8151197873615612	1.3755632027622546
YAL034C	0.7573050702179088	0.6608267410781009
YAL035W	0.70989745572681	1.3534191593090292
YAL036C	0.8320348165213768	0.7534275703916241
YAL037C-A	1.1906180863263944	1.8134629524952124
YAL037W	0.8037207673385273	0.6778007984154495
YAL039C	0.6117034443518821	0.600087453431208
YAL040C	0.6167230375215857	0.33347684135896066
YAL042W	0.7746713771940914	1.0750502602608334
YAL043C-A	0.8852844821876308	1.0094980519841241
