orf	het | growth (culture turbidity) | hydrogen peroxide [3 mM] | Okada N~Shima J, 2014
YBL014C	2.962366755071962
YDL031W	9.52043384733472
YDL043C	5.23010958136843
YDL058W	9.867745811722466
YDL193W	2.7172053684453172
YDR064W	8.764519571902564
YDR145W	6.639787554471639
YDR182W	9.888175927274688
YDR212W	7.027959749963827
YDR288W	9.602154309543602
YDR299W	8.98925084297699
YDR339C	10.194627660557995
YDR341C	9.765595233961365
YDR353W	3.6365605682952364
YDR361C	8.51935818527592
YDR362C	7.0483898655160475
YDR365C	8.13118598978373
YDR373W	7.579572869873779
YDR376W	8.744089456350343
YDR390C	9.173121882946973
YDR404C	4.801077154771801
YDR416W	9.58172419399138
YDR498C	10.092477082796892
YEL026W	4.637636230354038
YEL035C	6.169894896770569
YFL005W	6.680647785576081
YFR002W	9.96989638948357
YGL030W	6.741938132232742
YGL044C	10.133337313901333
YGL068W	7.17097055882937
YGL097W	8.927960496320328
YGR113W	9.173121882946973
YGR186W	8.805379803007005
YGR216C	7.19140067438159
YHR069C	9.438713385125839
YHR128W	8.458067838619257
YIL046W	6.537636976710537
YIL048W	8.641938878589242
YJL005W	7.947314949813747
YJL010C	9.173121882946973
YKL154W	9.561294078439161
YKL165C	7.988175180918188
YKL189W	7.906454718709306
YLR009W	10.031186736140231
YLR163C	8.539788300828139
YLR293C	2.574194559579774
YMR013C	5.332260159129532
YMR296C	9.724735002856924
YMR309C	7.068819981068268
YNL103W	9.193551998499194
YNL240C	9.663444656200262
YNL312W	9.826885580618026
YNL313C	9.5000037317825
YOL040C	7.375271714351575
YOL127W	9.540863962886942
YOR103C	7.865594487604866
YOR116C	9.41828326957362
YOR149C	7.783874025395984
YOR151C	7.722583678739323
YOR319W	9.234412229603635
YOR335C	8.662368994141461
YOR340C	9.683874771752484
YPL124W	7.865594487604866
YPL128C	10.194627660557995
YPL131W	7.273121136590473
YPL143W	1.327957510894328
YPL235W	1.8795706308042794
YPR086W	7.783874025395984
YPR104C	8.274196798649275
YPR181C	3.2688184883552687
YPR187W	4.944087963637344
