orf	het | growth (culture turbidity) | hydrogen peroxide [3 mM] | Okada N~Shima J, 2014
YBL014C	0.145
YDL031W	0.466
YDL043C	0.256
YDL058W	0.483
YDL193W	0.133
YDR064W	0.429
YDR145W	0.325
YDR182W	0.484
YDR212W	0.344
YDR288W	0.47
YDR299W	0.44
YDR339C	0.499
YDR341C	0.478
YDR353W	0.178
YDR361C	0.417
YDR362C	0.345
YDR365C	0.398
YDR373W	0.371
YDR376W	0.428
YDR390C	0.449
YDR404C	0.235
YDR416W	0.469
YDR498C	0.494
YEL026W	0.227
YEL035C	0.302
YFL005W	0.327
YFR002W	0.488
YGL030W	0.33
YGL044C	0.496
YGL068W	0.351
YGL097W	0.437
YGR113W	0.449
YGR186W	0.431
YGR216C	0.352
YHR069C	0.462
YHR128W	0.414
YIL046W	0.32
YIL048W	0.423
YJL005W	0.389
YJL010C	0.449
YKL154W	0.468
YKL165C	0.391
YKL189W	0.387
YLR009W	0.491
YLR163C	0.418
YLR293C	0.126
YMR013C	0.261
YMR296C	0.476
YMR309C	0.346
YNL103W	0.45
YNL240C	0.473
YNL312W	0.481
YNL313C	0.465
YOL040C	0.361
YOL127W	0.467
YOR103C	0.385
YOR116C	0.461
YOR149C	0.381
YOR151C	0.378
YOR319W	0.452
YOR335C	0.424
YOR340C	0.474
YPL124W	0.385
YPL128C	0.499
YPL131W	0.356
YPL143W	0.065
YPL235W	0.092
YPR086W	0.381
YPR104C	0.405
YPR181C	0.16
YPR187W	0.242
