orf	hap a | cell size | standard | YPD | Shimasawa M~Mizushima N, 2023
YAL002W	1.003
YAL004W	1.085
YAL005C	0.819
YAL007C	1.253
YAL008W	1.072
YAL009W	1.12
YAL010C	0.819
YAL011W	1.309
YAL012W	0.918
YAL013W	0.872
YAL014C	0.944
YAL015C	0.941
YAL016W	1.155
YAL017W	0.835
YAL018C	1.383
YAL019W	0.72
YAL020C	0.893
YAL021C	1.959
YAL022C	0.806
YAL023C	1.817
YAL024C	0.913
YAL026C	0.933
YAL027W	0.996
YAL028W	1.006
YAL029C	0.819
YAL030W	0.872
YAL031C	0.851
YAL034C	0.859
YAL035W	1.336
YAL036C	0.872
YAL037W	0.916
YAL040C	1.179
YAL042W	0.973
YAL044C	1.122
YAL045C	0.902
YAL046C	0.962
YAL047C	2.044
YAL048C	0.821
YAL049C	1.022
YAL051W	0.875
YAL053W	1.03
YAL054C	0.976
YAL055W	1.655
YAL056W	1.032
YAL058W	0.959
YAL059W	1.249
YAL060W	0.601
YAL061W	1.07
YAL062W	0.977
YAL064C-A	0.973
YAL065C	1.0
YAL066W	0.989
YAL067C	1.045
YAL068C	0.982
YAR002C-A	1.071
YAR002W	1.708
YAR003W	0.915
YAR014C	2.354
YAR015W	1.217
YAR018C	2.041
YAR020C	1.362
YAR023C	0.925
YAR027W	0.982
YAR028W	0.98
YAR029W	1.036
YAR030C	1.641
YAR031W	1.134
YAR035W	1.163
YAR042W	1.143
YAR047C	1.253
YAR050W	0.919
YBL001C	1.218
YBL002W	0.724
YBL003C	1.718
YBL005W	1.504
YBL006C	2.25
YBL007C	3.722
YBL008W	1.395
YBL009W	1.038
YBL010C	1.117
YBL011W	0.856
YBL012C	0.916
YBL013W	0.976
YBL015W	1.06
YBL016W	1.625
YBL017C	2.008
YBL019W	1.835
YBL021C	1.335
YBL022C	1.206
YBL024W	2.597
YBL027W	0.973
YBL028C	1.0
YBL029W	0.946
YBL031W	1.022
YBL032W	1.48
YBL033C	3.18
