orf	hap a | cell size | standard | YPD | Shimasawa M~Mizushima N, 2023
YAL002W	-0.06769353616852829
YAL004W	0.13812523784499633
YAL005C	-0.5295307851744854
YAL007C	0.5598027260678267
YAL008W	0.10549543220870612
YAL009W	0.22597471455808638
YAL010C	-0.5295307851744854
YAL011W	0.7003618888087704
YAL012W	-0.2810422653288886
YAL013W	-0.396501577580378
YAL014C	-0.21578265405630792
YAL015C	-0.2233126092031442
YAL016W	0.3138241912711759
YAL017W	-0.48937102439135866
YAL018C	0.8861007824307315
YAL019W	-0.7780193050200819
YAL020C	-0.34379189155252415
YAL021C	2.3318521706232938
YAL022C	-0.5621605908107756
YAL023C	1.9754342936730438
YAL024C	-0.29359219057361574
YAL026C	-0.24339248959470727
YAL027W	-0.08526343151114596
YAL028W	-0.060163581021691746
YAL029C	-0.5295307851744854
YAL030W	-0.396501577580378
YAL031C	-0.4492112636082319
YAL034C	-0.42913138321666855
YAL035W	0.768131485130297
YAL036C	-0.396501577580378
YAL037W	-0.28606223542677944
YAL040C	0.374063832445866
YAL042W	-0.14299308763689067
YAL044C	0.23099468465597722
YAL045C	-0.32120202611201537
YAL046C	-0.17060292317529033
YAL047C	2.545200899783654
YAL048C	-0.5245108150765946
YAL049C	-0.02000382023856499
YAL051W	-0.3889716224335418
YAL053W	7.606015299838835e-05
YAL054C	-0.1354631324900544
YAL055W	1.568816715743886
YAL056W	0.005096030250889233
YAL058W	-0.1781328783221266
YAL059W	0.5497627858720455
YAL060W	-1.0767075258445868
YAL061W	0.10047546211081528
YAL062W	-0.13295314744110898
YAL064C-A	-0.14299308763689067
YAL065C	-0.07522349131536428
YAL066W	-0.10283332685376392
YAL067C	0.03772583588717944
YAL068C	-0.12040322219638187
YAR002C-A	0.10298544715976042
YAR002W	1.701845923337993
YAR003W	-0.2885722204757249
YAR014C	3.3232962649567344
YAR015W	0.46944326430579203
YAR018C	2.5376709446368175
YAR020C	0.833391096402878
YAR023C	-0.26347236998627066
YAR027W	-0.12040322219638187
YAR028W	-0.12542319229427273
YAR029W	0.015135970446670921
YAR030C	1.53367692505865
YAR031W	0.26111450524332175
YAR035W	0.3339040716627393
YAR042W	0.2837043706838308
YAR047C	0.5598027260678267
YAR050W	-0.2785322802799432
