orf	hap a | viral RNA recombination | standard | SC - His - Leu - Ura, Gal [2%] | Serviene E~Nagy PD, 2005
YDR176W	-10.611335671487799
YDR323C	-21.44146176919184
YDR392W	0.21879042621624226
YER151C	21.879042621624322
YGL168W	21.879042621624322
YGL173C	21.879042621624322
YGL212W	-10.611335671487799
YGR157W	-21.44146176919184
YHR012W	-10.611335671487799
YHR189W	-10.611335671487799
YJL154C	-10.611335671487799
YMR180C	21.879042621624322
YOL064C	21.879042621624322
YOR180C	-21.44146176919184
YPR069C	0.21879042621624226
