ORF	hap alpha | lipid particle number | growth phase [log] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle size | growth phase [log] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle size variation | growth phase [log] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle aggregation | growth phase [log] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle centralization around nuclear envelope | growth phase [log] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle staining intensity | growth phase [log] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle resolution | growth phase [log] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle ring shape | growth phase [log] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle number | growth phase [stationary] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle size | growth phase [stationary] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle size variation | growth phase [stationary] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle aggregation | growth phase [stationary] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle centralization around nuclear envelope | growth phase [stationary] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle staining intensity | growth phase [stationary] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle resolution | growth phase [stationary] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle ring shape | growth phase [stationary] | Szymanski KM~Goodman JM, 2007
YNL243W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	-1.000	0.000
YAL009W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	-1.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000
YJL127C	1.000	0.000	0.000	0.000	0.000	0.000	-0.500	0.000	1.000	0.000	0.000	-1.000	0.000	0.000	0.000	0.000
YNL138W	1.000	0.000	0.000	0.000	0.000	0.000	-1.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	-1.000	0.000
YDR293C	0.000	-1.000	0.000	0.000	0.000	-1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	-1.000	0.000
YMR125W	1.000	0.000	0.000	0.000	0.000	0.000	-1.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000
YPR133W-A	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.500	0.000
YDL185W	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	-1.000	0.000
YAL016W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	-1.000	0.000
YLR386W	0.000	-1.000	0.000	0.000	0.000	-1.000	0.000	0.000	1.000	0.000	0.000	-1.000	0.000	0.000	0.000	0.000
YBR127C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.000	0.000	0.000	0.000	-1.000	0.000	0.000
YOR332W	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	-1.000	0.000	0.000
YLR447C	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	-1.000	0.000
YGR020C	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.500	0.000
YHR060W	0.000	-0.500	0.000	0.000	0.000	-1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.500	0.000
YPR173C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000
YPL045W	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	-1.000	0.000	0.000	0.000	0.000
YOR089C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.000	0.000
YKL041W	0.000	-1.000	0.000	0.000	0.000	-1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.500	0.000
YJL154C	0.000	-1.000	0.000	0.000	0.000	-1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.500	0.000
YKR020W	1.000	0.000	0.000	0.000	0.000	0.000	-1.000	0.000	1.000	0.000	0.000	0.000	0.000	-1.000	0.000	0.000
YPR139C	0.000	-1.000	0.000	0.000	0.000	-1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.500	0.000
YIL039W	1.000	0.000	0.000	-1.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000
YLR404W	-1.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000	-1.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000
YOR333C	0.000	-1.000	0.000	0.000	0.000	-1.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	-1.000	0.000
