orf	hap alpha | lipid particle number (BODIPY 493/503) | growth phase [log] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle size (BODIPY 493/503) | growth phase [log] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle aggregation (BODIPY 493/503) | growth phase [log] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle staining intensity (BODIPY 493/503) | growth phase [log] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle resolution (BODIPY 493/503) | growth phase [log] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle ring shape (BODIPY 493/503) | growth phase [log] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle number (BODIPY 493/503) | growth phase [stationary] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle size (BODIPY 493/503) | growth phase [stationary] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle size variation (BODIPY 493/503) | growth phase [stationary] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle aggregation (BODIPY 493/503) | growth phase [stationary] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle centralization around nuclear envelope (BODIPY 493/503) | growth phase [stationary] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle staining intensity (BODIPY 493/503) | growth phase [stationary] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle resolution (BODIPY 493/503) | growth phase [stationary] | YPD | Szymanski KM~Goodman JM, 2007
YAL009W	0.0	0.0	0.0	0.0	0.0	1.0	-1.0	1.0	0.0	1.0	0.0	0.0	0.0
YAL016W	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-1.0
YAL026C	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
YAL059W	0.0	-0.5	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0
YBL093C	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-1.0
YBR011C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0
YBR039W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
YBR127C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-1.0	0.0
YBR279W	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
YDL005C	1.0	0.0	0.0	0.0	-0.5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-1.0
YDL185W	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	-1.0
YDL232W	1.0	0.0	0.0	0.0	-0.5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-1.0
YDR138W	1.0	0.0	0.0	0.0	-0.5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-0.5
YDR226W	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
YDR293C	0.0	-1.0	0.0	-1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-1.0
YDR323C	0.0	0.0	1.0	0.0	-1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
YDR408C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
