orf	hom | growth (culture turbidity) | 1,4-dithiothreitol [20 mM], tunicamycin [6 ug/mL] | YPD | Tan S~Perrone GG, 2009
YAL002W	-7.319594974329884
YAR018C	-7.319594974329884
YBL058W	-7.319594974329884
YBL093C	-7.319594974329884
YBR025C	-7.319594974329884
YBR036C	-7.319594974329884
YBR058C	-7.319594974329884
YBR229C	-7.319594974329884
YBR279W	-7.319594974329884
YDL116W	-7.319594974329884
YDL130W-A	-7.319594974329884
YDR017C	-7.319594974329884
YDR027C	-7.319594974329884
YDR028C	-7.319594974329884
YDR067C	-7.319594974329884
YDR080W	-7.319594974329884
YDR200C	-7.319594974329884
YDR369C	-7.319594974329884
YDR389W	-7.319594974329884
YEL031W	-7.319594974329884
YEL044W	-7.319594974329884
YEL054C	-7.319594974329884
YFL031W	-7.319594974329884
YGL020C	-7.319594974329884
YGL025C	-7.319594974329884
YGL095C	-7.319594974329884
YGL148W	-7.319594974329884
YGL167C	-7.319594974329884
YGR105W	-7.319594974329884
YGR148C	-7.319594974329884
YGR200C	-7.319594974329884
YGR284C	-7.319594974329884
YHL007C	-7.319594974329884
YHL009C	-7.319594974329884
YHR030C	-7.319594974329884
YHR079C	-7.319594974329884
YHR100C	-7.319594974329884
YHR183W	-7.319594974329884
YIR037W	-7.319594974329884
YJL095W	-7.319594974329884
YJL121C	-7.319594974329884
YJR104C	-7.319594974329884
YJR105W	-7.319594974329884
YKL037W	-7.319594974329884
YKL073W	-7.319594974329884
YKL119C	-7.319594974329884
YKL190W	-7.319594974329884
YKL212W	-7.319594974329884
YKR001C	-7.319594974329884
YKR029C	-7.319594974329884
YLR027C	-7.319594974329884
YLR148W	-7.319594974329884
YLR182W	-7.319594974329884
YLR185W	-7.319594974329884
YLR226W	-7.319594974329884
YLR240W	-7.319594974329884
YLR338W	-7.319594974329884
YLR396C	-7.319594974329884
YLR404W	-7.319594974329884
YLR426W	-7.319594974329884
YML001W	-7.319594974329884
YML007W	-7.319594974329884
YML008C	-7.319594974329884
YML072C	-7.319594974329884
YML097C	-7.319594974329884
YML103C	-7.319594974329884
YML121W	-7.319594974329884
YMR038C	-7.319594974329884
YMR077C	-7.319594974329884
YMR202W	-7.319594974329884
YNL027W	-7.319594974329884
YNL032W	-7.319594974329884
YNL215W	-7.319594974329884
YNL225C	-7.319594974329884
YNL236W	-7.319594974329884
YNL297C	-7.319594974329884
YNR006W	-7.319594974329884
YNR050C	-7.319594974329884
YOR036W	-7.319594974329884
YOR070C	-7.319594974329884
YOR085W	-7.319594974329884
YPL089C	-7.319594974329884
YPR036W	-7.319594974329884
YPR074C	-7.319594974329884
YPR159W	-7.319594974329884
