ORF	hap a | abundance of alanine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of aspartic acid | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glutamate | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of phenylalanine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glycine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of histidine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of isoleucine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of lysine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of leucine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of methionine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of asparagine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of proline | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glutamine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of arginine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of serine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of threonine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of valine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of tryptophan | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of tyrosine | minimal [standard] | Mulleder M~Ralser M, 2016
YAL002W	7.576	6.024	29.799	0.173	1.669	5.519	0.347	1.018	0.141	0.149	1.151	1.530	38.744	5.001	2.228	3.830	1.354	0.022	1.064
YAL004W	5.886	5.036	23.628	0.281	1.793	3.916	0.408	0.662	0.275	0.142	1.053	1.165	27.583	2.375	2.284	3.953	1.323	0.041	3.181
YAL005C	5.903	4.827	23.024	0.300	1.847	4.765	0.411	0.708	0.313	0.137	1.121	1.149	22.609	2.697	2.153	3.712	1.367	0.043	2.725
YAL007C	5.882	5.406	20.391	0.259	1.884	5.554	0.358	0.946	0.283	0.094	1.290	1.162	28.794	2.876	2.415	3.968	1.232	0.039	2.659
YAL008W	5.838	4.682	19.303	0.287	2.367	7.125	0.425	1.245	0.352	0.108	1.224	1.126	26.755	4.705	2.785	3.852	1.204	0.055	1.466
YAL009W	6.127	4.964	20.357	0.274	2.053	6.555	0.390	1.025	0.317	0.120	1.197	1.143	30.354	4.267	2.742	3.647	1.284	0.046	1.850
YAL010C	16.635	9.339	14.274	0.405	2.654	6.004	0.348	0.765	0.190	0.067	1.525	0.862	16.449	5.471	1.412	3.843	0.870	0.092	14.635
YAL011W	5.942	4.929	21.472	0.293	1.872	5.387	0.420	0.843	0.256	0.137	1.181	0.993	24.665	3.870	2.017	3.996	1.481	0.037	2.112
YAL013W	5.943	5.153	23.671	0.309	1.828	3.245	0.387	0.932	0.329	0.093	1.238	1.211	23.033	2.455	1.997	3.597	1.157	0.042	4.176
YAL014C	5.988	4.599	18.860	0.297	2.553	5.317	0.380	0.741	0.243	0.143	1.293	0.995	24.869	3.770	2.387	3.996	1.404	0.043	2.747
YAL015C	5.790	4.798	20.003	0.273	2.268	5.396	0.402	0.746	0.289	0.126	1.263	1.124	25.763	3.111	2.326	4.001	1.349	0.041	2.442
YAL016C-B	5.479	5.166	21.963	0.263	1.856	4.737	0.380	0.876	0.288	0.130	1.224	1.329	29.303	1.951	2.419	3.917	1.252	0.035	2.715
YAL017W	5.876	4.966	22.668	0.273	1.948	4.922	0.386	0.751	0.273	0.130	1.253	1.229	30.897	2.216	2.153	4.057	1.349	0.039	2.295
YAL018C	5.992	4.861	20.770	0.297	2.244	4.459	0.413	0.737	0.294	0.132	1.157	1.132	25.511	3.010	2.273	4.088	1.377	0.038	2.372
YAL019W	6.203	5.045	23.661	0.292	1.564	4.178	0.393	0.686	0.313	0.144	1.224	1.209	26.851	1.950	2.111	3.865	1.283	0.045	3.111
YAL020C	6.378	5.048	21.479	0.293	1.585	4.594	0.386	0.783	0.296	0.116	1.286	1.128	26.768	2.914	2.157	3.814	1.295	0.039	2.450
YAL021C	6.840	3.726	30.932	0.280	2.496	3.134	0.450	0.680	0.331	0.113	1.046	0.914	38.559	1.035	2.793	4.061	1.354	0.037	2.216
YAL022C	5.681	5.106	19.601	0.280	2.491	5.465	0.415	1.023	0.265	0.126	1.164	1.052	25.913	4.587	2.333	3.993	1.391	0.038	2.912
YAL023C	6.486	5.686	22.213	0.153	2.005	4.884	0.371	1.120	0.158	0.097	1.065	1.121	30.508	3.009	2.273	4.220	1.107	0.023	1.990
YAL024C	5.021	5.224	21.839	0.272	1.870	4.876	0.376	0.977	0.290	0.126	1.177	1.193	30.150	2.867	2.226	4.042	1.225	0.037	2.367
YAL026C	5.912	5.038	24.714	0.286	1.564	3.949	0.358	0.799	0.333	0.109	1.248	1.264	25.594	3.424	1.732	3.195	1.217	0.039	3.356
YAL027W	6.067	4.809	21.698	0.280	1.733	6.125	0.388	0.806	0.276	0.126	1.197	1.216	30.984	3.066	2.388	4.192	1.331	0.035	2.442
YAL028W	6.159	5.225	21.496	0.252	1.768	4.887	0.371	0.729	0.268	0.141	1.300	1.152	28.244	2.839	2.142	4.005	1.330	0.039	2.394
YAL029C	6.237	4.993	21.902	0.290	1.796	4.982	0.376	0.667	0.284	0.143	1.232	1.217	27.844	2.212	2.143	3.996	1.382	0.038	2.071
YAL030W	6.147	4.876	20.049	0.260	1.614	4.423	0.399	0.546	0.286	0.136	1.352	1.193	27.210	1.933	2.318	4.052	1.383	0.041	2.585
YAL031C	5.989	4.638	21.254	0.296	2.135	5.020	0.415	0.578	0.298	0.164	1.153	1.144	27.171	2.586	2.273	3.948	1.401	0.045	2.230
YAL034C	6.339	4.940	23.564	0.260	1.977	4.741	0.375	0.777	0.253	0.130	1.224	1.274	29.897	2.240	2.474	4.165	1.333	0.033	1.888
YAL036C	6.164	4.706	21.451	0.327	2.280	3.814	0.433	0.601	0.299	0.169	1.107	1.077	23.905	2.513	2.273	3.921	1.441	0.043	2.955
YAL037C-A	5.348	4.860	22.301	0.294	1.810	4.586	0.399	0.764	0.307	0.138	1.219	1.311	28.570	1.862	2.372	3.951	1.249	0.042	3.235
YAL037W	6.007	5.467	21.490	0.259	1.861	5.852	0.358	0.909	0.285	0.097	1.211	1.128	29.066	2.889	2.484	3.847	1.197	0.032	2.290
YAL039C	5.586	6.803	17.294	0.296	2.493	4.648	0.431	0.889	0.268	0.088	1.149	1.004	22.343	2.261	2.607	3.831	1.379	0.048	4.253
YAL040C	6.306	5.210	21.454	0.329	1.554	5.353	0.399	0.764	0.349	0.117	1.096	1.381	26.159	4.097	2.033	3.870	1.318	0.048	2.950
YAL042C-A	6.286	5.151	20.082	0.283	1.399	3.798	0.401	0.570	0.335	0.126	1.225	1.137	27.552	1.970	2.005	3.862	1.279	0.043	2.801
YAL042W	6.089	5.227	22.125	0.279	1.889	4.294	0.367	0.818	0.291	0.130	1.173	1.239	29.449	2.259	2.158	3.996	1.289	0.039	2.295
YAL044C	14.210	4.023	13.720	0.316	3.468	4.707	0.659	1.698	0.053	0.045	1.224	0.363	11.127	1.365	1.381	4.565	6.339	0.058	9.322
YAL044W-A	5.132	6.031	20.807	0.279	1.800	5.935	0.405	1.075	0.316	0.093	1.224	1.052	28.800	3.772	2.648	3.840	1.263	0.040	2.501
YAL045C	6.127	4.825	22.074	0.312	2.292	4.942	0.379	0.720	0.321	0.135	1.212	1.196	26.874	2.653	2.017	3.888	1.345	0.045	2.825
YAL046C	12.174	5.036	15.740	0.243	7.098	5.264	0.536	0.939	0.229	0.107	1.201	0.884	18.808	3.331	1.800	4.928	3.484	0.036	2.775
YAL048C	6.255	5.552	16.658	0.338	1.605	3.316	0.410	0.653	0.268	0.135	1.272	0.867	24.431	1.123	1.851	4.156	1.213	0.048	3.333
YAL049C	5.618	5.226	19.839	0.292	2.030	5.257	0.412	0.897	0.309	0.122	1.218	1.048	24.936	3.452	2.250	3.843	1.302	0.042	2.871
YAL051W	5.898	4.761	20.278	0.286	1.987	4.217	0.422	0.691	0.302	0.130	1.213	1.033	27.672	3.248	2.303	3.996	1.350	0.042	3.709
YAL053W	6.127	4.873	22.557	0.310	2.485	3.692	0.404	0.698	0.262	0.135	1.137	1.074	22.629	3.516	2.201	3.994	1.420	0.043	3.862
YAL054C	6.127	5.122	22.336	0.272	1.691	4.371	0.401	0.728	0.284	0.124	1.184	1.153	30.184	2.285	2.357	4.032	1.278	0.037	2.959
YAL055W	7.327	2.889	19.784	0.280	1.417	5.938	0.490	0.721	0.417	0.125	1.020	1.070	30.636	2.960	1.960	2.970	1.440	0.043	3.201
YAL056C-A	5.636	5.503	23.328	0.254	2.012	4.765	0.379	0.926	0.282	0.123	1.216	1.171	26.779	3.031	2.375	3.948	1.274	0.035	2.911
YAL056W	5.948	4.751	17.999	0.291	2.455	6.185	0.406	0.980	0.283	0.125	1.224	0.981	25.739	5.679	2.471	3.934	1.358	0.039	2.412
YAL058W	5.846	5.272	22.514	0.273	2.054	4.765	0.390	0.868	0.309	0.103	1.216	1.190	26.911	3.484	2.088	3.820	1.287	0.047	3.087
YAL059W	6.334	5.329	20.341	0.299	1.608	5.568	0.393	0.963	0.312	0.117	1.275	1.128	27.727	3.699	2.119	3.889	1.292	0.044	2.616
YAL060W	6.086	4.773	21.466	0.343	1.708	6.249	0.431	0.884	0.378	0.143	1.214	1.068	28.633	3.717	2.131	3.952	1.270	0.049	2.223
YAL061W	5.422	4.862	18.680	0.282	1.883	5.551	0.402	0.919	0.304	0.109	1.224	0.967	25.722	4.331	2.254	3.790	1.284	0.040	3.062
YAL062W	5.824	4.903	20.585	0.279	1.923	5.495	0.396	0.798	0.316	0.134	1.224	1.097	29.419	2.932	2.300	3.804	1.274	0.043	2.443
YAL064C-A	5.561	4.853	22.176	0.252	1.828	4.794	0.385	0.844	0.276	0.131	1.231	1.180	28.937	2.497	2.360	3.928	1.263	0.038	2.562
YAL065C	5.973	5.176	20.047	0.281	1.851	5.928	0.373	0.843	0.279	0.122	1.237	1.100	27.696	3.581	2.280	3.996	1.272	0.036	2.027
YAL066W	5.866	5.023	20.533	0.286	1.964	5.753	0.397	0.838	0.307	0.126	1.369	1.116	27.996	3.219	2.293	4.112	1.330	0.039	2.066
YAL067C	5.793	4.880	20.785	0.318	1.947	4.834	0.429	0.751	0.347	0.134	1.250	1.140	26.285	2.533	2.112	3.802	1.319	0.052	2.758
YAL067W-A	5.408	4.848	21.444	0.332	1.738	4.463	0.421	0.678	0.359	0.143	1.193	1.381	28.620	1.691	2.273	4.127	1.340	0.048	3.311
YAL068C	5.783	5.070	21.466	0.320	1.855	4.708	0.418	0.706	0.337	0.127	1.238	1.094	25.609	2.691	2.349	3.847	1.317	0.043	2.753
YAR002C-A	6.219	4.655	19.898	0.286	2.380	5.257	0.400	0.794	0.251	0.128	1.142	1.126	25.012	4.210	2.176	3.961	1.403	0.039	2.567
YAR002W	6.237	5.194	25.385	0.311	1.543	5.657	0.396	0.700	0.316	0.125	1.292	1.201	27.521	2.880	2.192	3.759	1.252	0.046	2.626
YAR003W	6.840	6.434	27.869	0.297	2.313	3.872	0.399	0.671	0.272	0.097	1.168	1.326	28.037	3.150	2.262	5.126	1.201	0.038	2.498
YAR014C	7.851	4.886	21.906	0.301	3.307	4.711	0.448	0.877	0.162	0.126	0.967	1.159	20.599	5.470	2.239	3.935	1.829	0.030	2.348
YAR018C	6.119	4.631	24.463	0.273	1.891	4.687	0.389	0.752	0.295	0.133	1.195	1.270	28.313	3.082	2.124	3.684	1.354	0.044	2.844
YAR020C	5.595	4.947	19.130	0.281	2.212	4.842	0.360	0.788	0.273	0.107	1.227	1.230	24.352	3.011	2.178	3.996	1.234	0.036	2.862
YAR023C	5.993	5.045	22.910	0.255	1.664	5.038	0.395	0.698	0.281	0.137	1.288	1.165	31.157	2.444	2.273	3.977	1.326	0.042	2.682
YAR027W	5.651	5.134	20.682	0.284	2.080	5.052	0.404	0.847	0.327	0.116	1.212	1.104	28.244	2.840	2.268	3.928	1.265	0.045	3.256
YAR028W	5.736	5.299	21.969	0.318	1.770	5.245	0.401	0.930	0.322	0.117	1.139	1.132	27.841	2.795	2.273	3.875	1.264	0.046	2.514
YAR029W	7.134	5.178	21.466	0.312	1.807	4.291	0.419	0.637	0.277	0.142	1.122	1.057	25.383	2.301	2.157	3.900	1.361	0.042	4.038
YAR030C	5.891	4.798	19.762	0.355	2.580	4.765	0.435	0.712	0.314	0.153	1.217	1.050	23.020	4.141	2.239	4.017	1.528	0.046	2.721
YAR031W	6.127	4.995	23.142	0.271	1.776	4.250	0.396	0.642	0.278	0.142	1.206	1.242	30.546	1.783	2.372	4.165	1.351	0.043	2.814
YAR035C-A	5.892	4.929	23.349	0.280	1.849	4.323	0.380	0.705	0.270	0.155	1.228	1.261	30.514	1.897	2.579	4.194	1.349	0.036	2.077
YAR035W	5.999	5.036	24.723	0.253	1.803	4.907	0.397	0.650	0.259	0.158	1.329	1.186	34.202	2.287	2.541	4.013	1.408	0.038	2.413
YAR042W	5.922	5.257	20.713	0.287	2.075	5.013	0.404	0.990	0.292	0.112	1.219	1.108	26.943	4.025	2.154	4.085	1.305	0.041	3.769
YAR047C	6.127	4.674	19.819	0.327	2.144	4.941	0.412	0.708	0.283	0.139	1.115	1.043	24.009	4.178	2.215	3.818	1.422	0.044	2.334
YAR050W	6.512	5.070	22.607	0.198	1.638	5.195	0.346	0.884	0.196	0.115	1.278	1.128	30.627	2.779	2.554	4.160	1.265	0.028	2.243
YBL001C	7.251	5.675	23.069	0.256	1.473	3.872	0.407	0.738	0.267	0.150	1.268	1.205	27.009	1.786	2.273	4.310	1.342	0.038	2.935
YBL002W	6.757	5.036	18.053	0.313	2.248	5.075	0.438	0.641	0.209	0.096	1.399	0.888	23.905	1.736	2.265	3.897	1.503	0.056	5.311
YBL003C	6.531	5.147	22.727	0.311	2.328	4.024	0.396	0.797	0.268	0.111	1.158	1.054	24.282	2.696	2.582	3.889	1.402	0.038	3.144
YBL005W	7.781	6.128	24.117	0.240	2.277	4.876	0.386	0.856	0.222	0.099	1.022	1.281	28.244	2.485	2.267	4.784	1.426	0.024	1.370
YBL006C	6.059	5.000	24.871	0.286	1.859	4.554	0.397	0.768	0.268	0.125	1.143	1.174	29.365	2.058	2.317	4.065	1.363	0.036	2.070
YBL007C	5.855	4.872	24.576	0.341	1.750	4.625	0.397	1.011	0.367	0.140	1.075	1.335	24.519	2.591	2.085	3.533	1.288	0.042	3.570
YBL008W	6.895	5.117	22.676	0.287	1.945	4.026	0.505	0.549	0.260	0.120	1.066	1.187	28.244	1.985	2.167	4.389	1.558	0.035	2.162
YBL008W-A	5.654	4.947	21.062	0.271	2.081	5.072	0.402	0.831	0.268	0.134	1.219	1.318	28.092	2.502	2.378	4.033	1.326	0.038	2.945
YBL009W	6.465	5.660	25.161	0.259	1.691	4.602	0.387	0.706	0.247	0.137	1.228	1.241	33.074	1.640	2.619	4.326	1.354	0.034	2.265
YBL011W	5.358	4.845	22.635	0.322	1.652	4.937	0.399	0.716	0.333	0.134	1.181	1.262	28.658	1.815	2.244	3.640	1.239	0.049	2.815
YBL012C	8.539	6.258	21.539	0.281	2.133	2.927	0.394	0.698	0.217	0.153	1.303	1.128	26.116	1.405	1.966	4.665	1.203	0.038	3.105
YBL013W	4.946	4.635	19.359	0.300	1.845	4.612	0.400	0.921	0.324	0.129	1.154	1.128	26.453	2.981	2.145	3.396	1.171	0.046	2.963
YBL015W	6.228	5.243	21.939	0.297	1.863	5.198	0.400	0.886	0.281	0.114	1.236	1.142	27.982	3.596	2.328	3.963	1.353	0.041	3.227
YBL016W	5.513	5.036	22.769	0.277	2.112	5.144	0.346	1.218	0.303	0.130	1.261	1.181	26.690	3.404	2.096	3.875	1.205	0.029	2.674
YBL017C	6.573	4.900	24.206	0.324	1.941	3.819	0.399	0.609	0.279	0.088	0.939	1.141	24.102	2.562	1.961	3.420	1.428	0.040	2.976
YBL019W	5.827	4.815	21.466	0.366	2.293	3.809	0.420	0.585	0.317	0.134	1.030	1.005	21.446	3.527	1.952	3.544	1.432	0.048	3.040
YBL021C	5.785	4.844	24.123	0.296	1.363	2.967	0.408	0.422	0.299	0.142	1.132	1.342	30.965	0.975	2.077	4.026	1.354	0.041	2.655
YBL022C	12.274	5.526	17.875	0.280	2.375	3.365	0.388	0.934	0.257	0.117	1.297	1.022	21.375	1.082	1.576	4.111	1.623	0.043	3.458
YBL024W	8.859	4.663	18.860	0.330	2.155	4.765	0.467	0.656	0.256	0.103	0.996	0.910	19.353	4.539	1.983	4.520	1.575	0.040	3.373
YBL027W	6.345	5.036	22.308	0.314	2.109	4.318	0.373	0.541	0.238	0.146	1.119	1.073	26.351	3.455	2.378	4.023	1.227	0.040	2.561
YBL028C	6.127	4.945	23.569	0.311	1.329	3.773	0.391	0.468	0.291	0.155	1.240	1.231	30.054	1.797	2.130	4.047	1.201	0.042	2.498
YBL029C-A	5.161	4.930	20.375	0.294	1.828	5.221	0.399	0.782	0.313	0.133	1.182	1.327	27.259	2.588	2.235	4.025	1.285	0.044	2.970
YBL029W	5.559	5.074	21.466	0.289	2.145	5.290	0.367	0.648	0.263	0.148	1.284	1.245	29.968	2.575	2.164	4.292	1.334	0.033	2.007
YBL031W	5.793	4.462	20.181	0.363	2.083	4.920	0.439	0.576	0.366	0.152	1.165	1.290	27.425	2.090	2.011	3.972	1.390	0.055	2.758
YBL032W	5.682	4.791	20.146	0.281	2.306	4.683	0.399	0.884	0.255	0.149	1.251	1.229	29.799	2.102	2.629	4.510	1.352	0.038	2.148
YBL033C	6.372	5.320	20.964	0.312	1.828	2.679	0.444	0.631	0.299	0.083	1.248	1.163	25.249	1.286	2.053	4.527	1.272	0.038	4.103
YBL036C	6.221	4.924	21.307	0.306	1.715	4.751	0.380	0.650	0.262	0.136	1.177	1.130	27.781	2.885	2.323	3.830	1.376	0.040	2.613
YBL037W	6.288	4.929	21.690	0.377	2.000	4.455	0.465	0.736	0.380	0.123	1.138	1.074	27.460	2.880	2.128	3.737	1.408	0.053	3.883
YBL038W	7.877	6.473	19.564	0.189	1.839	3.085	0.361	0.992	0.125	0.126	1.500	0.968	28.391	1.558	2.305	5.224	1.225	0.025	3.442
YBL039C	5.702	4.379	19.175	0.259	1.881	5.428	0.394	0.915	0.242	0.100	1.289	1.021	27.403	3.407	2.385	3.856	1.179	0.038	3.091
YBL039W-B	6.098	4.573	22.323	0.312	1.828	4.808	0.403	0.698	0.302	0.160	1.190	1.154	29.238	2.855	2.483	3.784	1.330	0.035	2.129
YBL042C	8.105	3.824	21.863	0.229	0.020	5.387	0.614	0.765	0.257	0.032	1.304	0.533	33.791	1.540	2.266	4.861	1.964	0.028	4.046
YBL043W	6.154	4.765	21.749	0.305	1.882	4.135	0.399	0.434	0.243	0.164	1.268	1.127	27.271	2.312	2.206	4.114	1.475	0.040	2.064
YBL044W	7.520	5.453	18.926	0.286	2.046	3.780	0.398	0.814	0.180	0.142	1.324	1.087	24.238	1.778	1.764	4.368	1.372	0.039	3.310
YBL045C	6.394	5.474	19.368	0.287	2.374	5.068	0.394	0.918	0.243	0.132	1.151	1.150	25.140	3.593	1.871	4.010	1.303	0.037	2.829
YBL046W	5.983	4.862	21.592	0.273	2.690	4.879	0.408	0.594	0.275	0.129	1.163	1.326	27.844	2.171	2.432	4.587	1.350	0.039	2.162
YBL047C	5.983	4.777	23.002	0.281	2.234	4.923	0.356	0.655	0.260	0.129	1.228	1.261	29.147	2.347	2.273	4.335	1.340	0.038	1.861
YBL048W	5.906	5.014	21.466	0.248	2.509	5.066	0.369	0.877	0.248	0.109	1.264	1.240	29.216	2.999	2.387	4.224	1.245	0.034	1.931
YBL049W	6.035	4.612	22.282	0.275	2.004	6.021	0.379	0.637	0.280	0.126	1.265	1.307	30.283	2.143	2.302	3.892	1.262	0.042	1.923
YBL051C	6.127	5.445	22.438	0.334	1.391	4.790	0.434	0.728	0.374	0.123	1.103	0.974	30.216	2.674	2.019	3.476	1.252	0.051	3.307
YBL052C	6.127	5.002	22.879	0.395	1.413	3.211	0.481	0.539	0.424	0.137	1.104	1.217	27.952	1.364	2.166	3.825	1.369	0.059	4.456
YBL053W	4.573	4.691	23.658	0.373	0.967	4.549	0.393	0.729	0.297	0.129	1.255	1.101	28.244	4.791	2.053	3.603	1.409	0.041	3.893
YBL054W	6.680	4.814	23.735	0.277	1.650	3.288	0.399	0.432	0.268	0.154	1.285	1.297	33.263	1.273	2.462	4.239	1.436	0.038	2.187
YBL055C	6.836	4.747	24.179	0.263	2.198	4.242	0.372	0.489	0.247	0.136	1.277	1.225	29.766	1.358	2.232	3.996	1.412	0.040	1.892
YBL056W	5.771	4.752	21.466	0.260	2.290	4.854	0.385	0.997	0.246	0.129	1.252	1.208	28.662	2.666	2.658	4.340	1.245	0.036	2.121
YBL057C	6.170	5.293	24.397	0.299	1.795	4.765	0.383	0.611	0.288	0.143	1.266	1.227	24.447	2.183	2.159	3.935	1.342	0.040	2.624
YBL058W	7.341	4.678	19.741	0.262	3.235	4.765	0.340	1.643	0.165	0.080	1.676	1.189	28.731	2.268	2.786	4.203	1.154	0.032	3.899
YBL059W	5.496	4.836	21.843	0.306	1.757	4.765	0.428	0.682	0.306	0.150	1.233	1.249	31.395	2.542	2.246	3.956	1.201	0.042	2.690
YBL060W	5.485	4.385	21.557	0.309	1.502	4.920	0.399	0.777	0.331	0.126	1.211	1.229	30.628	2.221	2.234	3.466	1.221	0.045	2.858
YBL061C	5.243	4.389	21.949	0.339	1.708	5.305	0.427	0.622	0.349	0.138	1.178	1.309	29.289	2.466	2.273	3.781	1.341	0.051	2.631
YBL062W	5.294	5.036	22.688	0.250	1.940	5.518	0.323	1.004	0.253	0.123	1.276	1.020	31.755	3.029	2.493	4.076	1.199	0.029	1.644
YBL063W	5.928	4.931	22.236	0.301	1.349	4.740	0.413	0.708	0.322	0.127	1.224	1.083	30.710	2.367	2.329	3.931	1.355	0.044	2.409
YBL064C	7.768	5.149	21.466	0.435	1.181	2.472	0.488	0.503	0.454	0.134	1.441	1.128	27.433	0.976	1.717	3.920	1.327	0.084	5.904
YBL065W	5.920	4.766	21.466	0.306	1.464	3.470	0.438	0.557	0.336	0.129	1.131	1.214	28.276	1.721	2.112	4.354	1.334	0.044	2.808
YBL066C	7.866	5.036	24.136	0.230	1.100	3.512	0.431	0.606	0.198	0.138	1.119	1.308	35.579	2.106	2.351	4.967	1.498	0.026	1.594
YBL067C	8.616	4.744	20.735	0.332	2.551	3.264	0.466	0.548	0.259	0.145	1.224	0.968	21.870	3.807	2.164	3.896	1.946	0.047	3.741
YBL068W	6.436	4.734	21.591	0.245	1.937	5.063	0.357	0.581	0.224	0.144	1.253	1.131	28.015	2.446	2.551	4.066	1.354	0.035	1.830
YBL069W	6.839	4.796	24.492	0.254	1.711	4.158	0.370	0.453	0.240	0.144	1.273	1.275	30.429	1.437	2.367	4.054	1.423	0.039	1.909
YBL070C	6.129	4.520	20.168	0.339	1.559	3.902	0.435	0.497	0.343	0.136	1.219	1.143	26.596	2.469	2.273	3.822	1.389	0.047	3.184
YBL071C	5.565	4.939	20.030	0.293	1.828	4.312	0.396	0.790	0.299	0.139	1.264	1.164	30.583	2.675	2.309	4.310	1.316	0.038	2.321
YBL071C-B	6.166	4.662	19.315	0.295	1.361	8.018	0.448	0.680	0.328	0.126	1.312	0.901	32.086	4.841	1.724	3.748	1.194	0.039	3.248
YBL071W-A	6.127	4.920	20.074	0.347	1.739	8.195	0.437	1.860	0.354	0.096	1.179	0.827	24.529	13.714	2.243	4.066	1.265	0.044	2.845
YBL072C	6.373	4.856	18.378	0.275	1.567	7.960	0.428	0.513	0.285	0.130	1.319	0.872	33.388	7.342	1.513	3.715	1.146	0.039	3.064
YBL075C	5.800	4.785	22.551	0.361	1.952	5.302	0.391	0.480	0.330	0.146	1.121	1.351	28.244	1.912	2.021	3.974	1.377	0.053	2.162
YBL078C	6.334	4.842	21.063	0.313	1.671	4.569	0.405	0.592	0.290	0.136	1.225	1.133	28.174	2.432	2.228	3.872	1.395	0.042	2.758
YBL079W	5.593	4.575	22.226	0.359	1.938	4.579	0.390	0.404	0.327	0.161	1.157	1.361	28.244	1.602	2.230	4.057	1.417	0.051	2.039
YBL080C	7.665	6.067	21.114	0.257	2.331	4.376	0.386	1.022	0.161	0.130	1.353	1.179	27.101	1.821	1.901	4.499	1.471	0.033	3.072
YBL081W	6.282	4.994	21.271	0.304	1.529	4.298	0.398	0.580	0.272	0.153	1.287	1.139	28.244	3.031	2.249	3.753	1.417	0.041	2.365
YBL082C	7.698	4.585	21.466	0.331	2.103	3.562	0.412	0.505	0.220	0.136	1.153	1.106	26.957	2.734	2.276	4.008	1.510	0.040	2.633
YBL083C	6.269	4.466	20.592	0.321	2.003	3.990	0.426	0.437	0.291	0.152	1.253	1.090	25.711	2.601	2.273	3.932	1.462	0.045	2.464
YBL085W	7.169	5.036	22.277	0.223	1.562	4.186	0.393	0.603	0.180	0.131	1.308	1.240	32.607	2.338	2.334	4.230	1.414	0.029	1.833
YBL086C	5.821	4.573	18.803	0.335	2.427	4.812	0.427	0.635	0.309	0.134	1.224	0.995	22.655	4.688	2.237	3.754	1.431	0.044	2.723
YBL087C	7.745	4.743	14.942	0.247	1.084	2.056	0.450	0.408	0.310	0.126	1.438	0.921	31.487	3.435	2.530	4.718	1.248	0.038	3.115
YBL088C	5.432	4.728	20.207	0.280	2.138	4.831	0.379	0.886	0.255	0.129	1.209	1.232	28.799	2.790	2.394	4.275	1.280	0.039	2.330
YBL089W	6.191	4.683	20.729	0.317	2.158	5.336	0.413	0.575	0.335	0.127	1.224	1.268	27.817	2.601	2.038	3.895	1.326	0.045	2.215
YBL090W	7.916	5.022	19.036	0.338	1.952	3.229	0.413	0.790	0.273	0.135	1.138	1.081	23.036	1.681	1.606	4.000	1.239	0.041	4.007
YBL091C	6.413	4.294	18.499	0.364	2.057	3.437	0.472	0.412	0.349	0.150	1.072	1.051	21.738	2.794	2.162	3.996	1.521	0.049	2.944
YBL091C-A	5.953	5.228	21.278	0.238	1.692	4.984	0.398	0.981	0.273	0.118	1.208	1.076	29.342	3.063	2.277	4.099	1.258	0.040	3.212
YBL093C	6.124	5.235	16.276	0.313	1.828	3.053	0.428	0.382	0.235	0.154	1.391	0.824	23.248	1.288	1.670	4.540	1.566	0.050	3.330
YBL094C	5.584	4.473	18.496	0.293	1.460	6.656	0.405	0.969	0.297	0.110	1.176	0.900	30.404	4.608	2.273	3.936	1.199	0.042	3.032
YBL095W	6.015	5.101	22.492	0.237	1.839	4.027	0.388	0.751	0.214	0.129	1.271	1.169	29.720	2.030	2.191	4.191	1.444	0.035	2.758
YBL096C	6.048	4.823	21.479	0.280	1.610	4.088	0.416	0.654	0.268	0.133	1.157	1.151	29.077	1.795	2.111	3.862	1.452	0.040	2.983
YBL098W	5.923	5.545	26.082	0.514	1.656	4.091	0.389	0.745	0.327	0.142	1.303	1.167	25.577	2.049	2.273	3.691	1.258	0.078	9.081
YBL099W	6.127	5.458	20.684	0.249	2.454	6.286	0.348	1.056	0.228	0.083	1.272	1.196	27.979	4.619	2.375	4.433	1.354	0.028	1.705
YBL100C	6.119	5.170	20.416	0.244	1.879	5.173	0.386	0.752	0.216	0.122	1.310	1.128	32.512	2.981	2.306	4.347	1.372	0.036	2.063
YBL100W-C	5.726	5.178	20.136	0.252	1.828	5.940	0.371	1.048	0.262	0.118	1.282	1.317	28.785	3.311	2.362	3.867	1.233	0.035	2.817
YBL101C	6.466	5.191	24.573	0.254	1.828	4.662	0.371	0.743	0.254	0.135	1.331	1.231	31.938	1.501	2.274	4.191	1.275	0.036	2.161
