orf	hap a | growth (undefined) | latrunculin A [10 uM] | unknown | Sing CN~Pon LA, 2022
YDR097C	16.36711193036745
YDR126W	16.36711193036745
YDR127W	16.36711193036745
YDR137W	16.36711193036745
YDR403W	16.36711193036745
YER017C	16.36711193036745
YER056C-A	16.36711193036745
YER146W	16.36711193036745
YGL213C	16.36711193036745
YHR022C	16.36711193036745
YJL144W	16.36711193036745
YKL032C	16.36711193036745
YKL075C	16.36711193036745
YLR238W	16.36711193036745
YMR322C	16.36711193036745
YNL037C	16.36711193036745
YPL084W	16.36711193036745
