	NaN	NaN	NaN	NaN
YAL002W	-0.703	-0.194	-0.295	1.234
YAL004W	-0.425	-0.683	0.600	1.273
YAL005C	2.386	2.233	0.764	1.604
YAL007C	1.223	0.748	-1.330	-1.538
YAL008W	1.701	1.058	-1.939	-1.145
YAL009W	-0.717	-1.251	1.239	2.022
YAL011W	-0.801	-2.032	0.018	-0.704
YAL012W	-4.923	-4.718	3.911	2.847
YAL014C	1.074	0.897	0.285	0.179
YAL015C	0.243	-0.239	-0.008	0.728
YAL017W	4.090	3.526	0.360	0.770
YAL018C	1.217	0.948	0.317	0.174
YAL019W	0.063	0.396	-0.228	-0.722
YAL020C	-0.923	-0.520	-0.755	0.800
YAL021C	-9.856	-12.471	-8.148	4.178
YAL022C	2.118	2.568	1.669	1.008
YAL023C	3.022	3.760	1.960	-0.215
YAL024C	0.218	-3.085	-0.361	1.703
YAL026C	-7.567	-8.027	-1.814	0.048
YAL027W	-0.237	-0.980	-0.094	-0.226
YAL028W	0.148	-0.120	-0.890	-0.743
YAL029C	-0.234	0.131	0.468	0.674
YAL030W	1.257	1.798	-0.105	0.048
YAL031C	1.251	1.065	-1.199	-0.882
YAL034C	0.307	-0.108	0.060	0.330
YAL036C	3.786	3.280	0.465	0.601
YAL037W	3.221	3.156	-1.179	-0.728
YAL039C	-6.271	-4.879	12.553	10.279
YAL040C	-0.786	-1.278	-3.225	-2.594
YAL042W	0.590	0.419	1.130	0.231
YAL043C-A	-0.399	-0.431	-0.177	-1.167
YAL045C	2.869	1.923	-0.641	0.761
YAL047C	-18.446	-21.594	-11.313	-11.607
YAL049C	-0.255	-0.373	0.431	1.476
YAL051W	0.816	0.459	0.897	1.236
YAL053W	0.899	0.784	1.153	1.400
YAL054C	1.192	0.383	-1.479	-0.994
YAL055W	0.610	-0.320	-0.499	0.129
YAL058C-A	0.939	0.395	-2.012	-2.007
YAL058W	-0.178	-0.995	-1.161	-0.369
YAL059W	0.095	0.015	1.116	0.997
YAL060W	0.532	0.347	0.453	0.270
YAL061W	2.070	1.712	-2.225	-0.709
YAL062W	0.513	0.466	0.229	0.182
YAL064C-A	0.963	0.038	2.423	1.860
YAL065C	0.265	-0.054	0.224	-0.498
YAL066W	0.096	-0.535	0.191	0.245
YAL067C	0.954	0.657	0.785	1.049
YAL068C	0.699	0.656	0.806	0.434
YAR002C-A	0.964	0.899	-2.188	-2.033
YAR002W	1.081	-0.799	-2.456	-3.248
YAR003W	-0.852	-1.656	-0.806	-0.870
YAR014C	-1.492	-1.863	1.164	3.003
YAR018C	2.029	2.419	-1.134	-0.556
YAR020C	0.863	0.817	-0.287	-0.357
YAR023C	-0.207	0.075	0.499	0.609
YAR027W	2.908	1.848	1.685	1.592
YAR028W	0.256	0.764	0.270	-0.662
YAR029W	0.225	0.066	-0.555	-1.114
YAR030C	1.254	1.061	-0.892	-1.255
YAR031W	0.068	-0.069	0.301	0.202
YAR035W	1.339	0.881	-1.399	-1.054
YAR037W	0.865	0.210	-1.534	-0.963
YAR040C	0.509	0.207	0.565	-0.007
YAR042W	0.788	1.148	0.375	0.645
YAR043C	1.892	1.994	0.849	1.217
YAR047C	2.438	2.300	1.191	0.938
YAR050W	-0.396	-0.222	0.417	0.139
YBL001C	-0.334	-0.408	0.044	0.171
YBL002W	1.874	1.268	-0.295	-0.787
YBL003C	-1.047	-0.977	0.700	0.689
YBL005W	-0.724	-0.541	1.131	0.943
YBL006C	-1.375	-1.579	-2.081	-1.832
YBL007C	-5.961	-5.942	14.131	11.562
YBL008W	-1.219	-1.636	0.337	0.084
YBL009W	3.789	3.476	0.757	0.249
YBL010C	0.568	0.014	-1.468	-1.106
YBL011W	-1.235	-0.735	0.087	-0.250
YBL012C	-0.094	0.706	-0.148	0.594
YBL013W	0.058	0.144	1.546	1.881
