orf	hom | abundance of a specific protein/peptide (GFP-TPTM*3A) | standard | SC - Ura, Gal [2%] | Li F~Weinshilboum RM, 2008
YAL005C	1
YAL007C	1
YAL014C	1
YAL030W	1
YAL042W	1
YAL045C	1
YAL055W	1
YAL058W	1
YAR002C-A	1
YAR014C	1
YAR031W	1
YBR058C	1
YBR295W	1
YDL239C	1
YDR026C	1
YDR027C	1
YGL141W	1
YHR200W	1
YJL036W	1
YKL103C	1
YML089C	1
YMR022W	1
YMR067C	1
YMR264W	1
