orf	hom | abundance of a specific protein/peptide (GFP-TPTM*3A) | standard | SC - Ura, Gal [2%] | Li F~Weinshilboum RM, 2008
YAL005C	13.77648963512355
YAL007C	13.77648963512355
YAL014C	13.77648963512355
YAL030W	13.77648963512355
YAL042W	13.77648963512355
YAL045C	13.77648963512355
YAL055W	13.77648963512355
YAL058W	13.77648963512355
YAR002C-A	13.77648963512355
YAR014C	13.77648963512355
YAR031W	13.77648963512355
YBR058C	13.77648963512355
YBR295W	13.77648963512355
YDL239C	13.77648963512355
YDR026C	13.77648963512355
YDR027C	13.77648963512355
YGL141W	13.77648963512355
YHR200W	13.77648963512355
YJL036W	13.77648963512355
YKL103C	13.77648963512355
YML089C	13.77648963512355
YMR022W	13.77648963512355
YMR067C	13.77648963512355
YMR264W	13.77648963512355
