orf	hap a | growth (spot assay) | methyl methanesulfonate [0.01%] | Begley TJ~Samson LD, 2002	hap a | growth (spot assay) | methyl methanesulfonate [0.02%] | Begley TJ~Samson LD, 2002	hap a | growth (spot assay) | methyl methanesulfonate [0.025%] | Begley TJ~Samson LD, 2002	hap a | growth (spot assay) | methyl methanesulfonate [0.03%] | Begley TJ~Samson LD, 2002	hap a | growth (spot assay) | Di-tert-butyl peroxide [0.25 mM] | Begley TJ~Samson LD, 2002	hap a | growth (spot assay) | Di-tert-butyl peroxide [0.50 mM] | Begley TJ~Samson LD, 2002	hap a | growth (spot assay) | Di-tert-butyl peroxide [0.75 mM] | Begley TJ~Samson LD, 2002	hap a | growth (spot assay) | Di-tert-butyl peroxide [1 mM] | Begley TJ~Samson LD, 2002	hap a | growth (spot assay) | 4-nitroquinoline N-oxide [0.1 ug/ml] | Begley TJ~Samson LD, 2002	hap a | growth (spot assay) | 4-nitroquinoline N-oxide [0.2 ug/ml] | Begley TJ~Samson LD, 2002	hap a | growth (spot assay) | 4-nitroquinoline N-oxide [0.3 ug/ml] | Begley TJ~Samson LD, 2002	hap a | growth (spot assay) | 4-nitroquinoline N-oxide [0.4 ug/ml] | Begley TJ~Samson LD, 2002	hap a | growth (spot assay) | ultraviolet light [25 J/m2] | Begley TJ~Samson LD, 2002	hap a | growth (spot assay) | ultraviolet light [50 J/m2] | Begley TJ~Samson LD, 2002	hap a | growth (spot assay) | ultraviolet light [75 J/m2] | Begley TJ~Samson LD, 2002	hap a | growth (spot assay) | ultraviolet light [100 J/m2] | Begley TJ~Samson LD, 2002
YAL002W	1.5591914338807475	0.7272666385887305	0.35802368749552715	0.3768968099964293	1.5936131181505413	1.4708355826209383	1.4357203262998504	0.6803895674161111	1.3211796302151648	1.3320611531440156	0.46226441260443324	1.066172277098412	1.4447353776417915	1.5062888067268292	1.5743732080064796	1.4870553994041382
YAL004W	1.446274448533598	1.0969704352264618	0.7257165217709294	0.712544507000144	1.5825807733469845	1.4730405273912723	1.6118610198877765	1.4689906507663244	1.3668703510813642	1.3736776689166188	0.589243493145566	1.3539278172371436	1.464358814457333	1.493406003237267	1.5390001147238277	1.4734527450676862
YAL005C	1.4809822978084917	0.8977231660969607	0.6325691233760454	0.6179469334368186	1.5962657085786496	1.440642491899979	1.7060555944714537	1.5786176040075255	1.3584191113804842	1.4378425873053673	0.5923238309809415	1.3790084313657738	1.4500150730245083	1.4871763922485646	1.5474749387147995	1.4459856841943586
YAL007C	1.4804823919725443	1.37549000465778	0.9675011431991369	0.7326480805586948	1.6242618112476568	1.5726615061205562	1.6932771544581067	1.6048947900662245	1.3955377129115472	1.3903825220134094	0.5943558691862156	1.3617411519011409	1.5243128532683279	1.5671271684281476	1.6025738950365283	1.5283341490763527
YAL008W	1.5915528894828075	1.4573743122899454	0.9610224633941388	0.6745671866011365	1.6560754947309313	1.568286162009284	1.7326795841773128	1.591546541354774	1.4243876775200293	1.4110730295556666	0.5695192729959059	1.3165782365918228	1.5300122196602248	1.5603794865434821	1.6303275009594675	1.5508039768411028
YAL009W	1.618605219364478	0.9032809579116451	0.48502080485514026	0.5587398733797393	1.7458884541531048	1.6106194170572505	1.790122741422726	1.8067599109356098	1.437334028034077	1.4268727302615658	0.44005742070767817	0.9171314015770916	1.5675265664019207	1.62051477707028	1.5909652292713607	1.404742759520835
YAL010C	1.8048218074331703	0.9673057664550635	0.5623016577307046	0.5793064827439994	1.7931963882996929	1.6576313696549283	1.8423794496399242	1.7514390681697238	1.5198367306724523	1.5213189952236779	0.6321260693155349	1.46636294971604	1.4819752544080937	1.5270478679910418	1.592373332936969	1.4029119366471063
YAL011W	1.1906888384809589	0.4406583543556777	0.3312867096088106	0.45726420253653743	1.6285389395686385	1.4796021168746138	1.7386479261245051	1.7074453140383266	1.4062167919119304	1.3824452906304259	0.5027241977672001	1.114877027298813	1.5247783890764885	1.5322167119388568	1.6325119727217439	1.504110927363515
YAL013W	1.7255012874244597	0.7117412074418626	0.411827647105291	0.27441185357351505	1.744447149289599	1.6817848208664412	1.6783911743317723	1.7623228645351638	1.3348890163352658	0.7656135714571011	-0.07833700805937699	0.27452256242143064	1.6684822621378288	1.731651682731061	1.8006130564844773	1.6777565870516478
YAL014C	1.5790319328364264	1.1586693731168676	0.8123787504616261	0.5248590253607799	1.700138365398859	1.5944578670875817	1.781755168912088	1.5811164529846151	1.44511657340529	1.544382813307789	0.656705952571756	1.5018464614548774	1.5100113769032495	1.609210014768003	1.6478411173696166	1.571256846102172
YAL015C	1.571662568855244	1.3449594174026998	1.017723910946375	0.5806630620409335	1.6996422668747848	1.6157246826540759	1.8355692531158192	1.7161966164422355	1.4407451172989636	1.4473951814977513	0.603247844500705	1.4236873620443624	1.514892538385085	1.5569135214851861	1.6369230448574714	1.5545670384089239
YAL017W	1.610059457472713	1.288544142113076	0.8565772296434273	0.5898615090941769	1.6018039817643297	1.5571284016902303	1.7597090229632542	1.6275307140002793	1.3965626814822405	1.399345309493512	0.613934140856543	1.3823118177111016	1.542394913694963	1.5411590174949539	1.6306055824102728	1.5383399229314714
YAL018C	1.5439328147586333	1.3121439055367683	0.927215667993717	0.6162472050014478	1.6748527977291865	1.5864424949250098	1.737938644656649	1.6259198328097493	1.3949021173894751	1.3980360052444025	0.5633334626787941	1.282666771637354	1.5360297349377436	1.5981306399664061	1.6234672709394016	1.5660981333836688
YAL019W	1.4587547259180245	1.2270396616897024	1.0103088105174352	0.8488229261086218	1.7326276667152052	1.6174383372374064	1.7461635075223942	1.5928982256602957	1.4275837272329521	1.432705138576999	0.5576637169040548	1.2643736019174228	1.5926181347991062	1.6547742153398983	1.7288433611046667	1.625862844735245
YAL020C	1.545916033634995	1.329799253701707	0.8224048340888129	0.5677598794896417	1.6038009217602895	1.484703986139271	1.600823481058639	1.3912192671311756	1.3947995771715158	1.4417885409835598	0.5689486714240732	1.323333405980326	1.5427806566784912	1.5477967413437768	1.617491938130994	1.4844916779632116
