ORF	hap alpha | mitophagy (Om45-GFP) | YPL [standard] | Kanki T~Klionsky DJ, 2009
YBR191W	1.000
YBR194W	1.000
YBR195C	1.000
YBR197C	1.000
YBR199W	1.000
YBR200W	1.000
YBR201W	1.000
YBR203W	1.000
YBR204C	1.000
YBR205W	1.000
YBR206W	1.000
YBR207W	1.000
YBR208C	1.000
YBR209W	-1.000
YBR210W	1.000
YBR212W	-1.000
YBR213W	1.000
YBR214W	1.000
YBR215W	1.000
YBR216C	1.000
YBR217W	-1.000
YBR218C	1.000
YBR219C	1.000
YBR220C	1.000
YBR221C	1.000
YBR222C	1.000
YBR223C	1.000
YBR224W	1.000
YBR225W	1.000
YBR226C	1.000
YBR227C	1.000
YBR228W	1.000
YBR229C	1.000
YBR230C	1.000
YBR231C	1.000
YBR232C	1.000
YBR233W	1.000
YBR235W	1.000
YBR238C	1.000
YBR239C	1.000
YBR240C	1.000
YBR241C	1.000
YBR242W	1.000
YBR244W	1.000
YBR245C	1.000
YBR246W	1.000
YBR248C	1.000
YBR249C	1.000
YBR250W	1.000
YBR255W	1.000
YBR258C	1.000
YBR259W	1.000
YBR260C	1.000
YBR261C	1.000
YBR262C	1.000
YBR263W	1.000
YBR264C	1.000
YBR266C	1.000
YBR267W	1.000
YBR269C	1.000
YBR270C	1.000
YBR271W	1.000
YBR272C	1.000
YBR273C	1.000
YBR274W	1.000
YBR275C	1.000
YBR276C	1.000
YBR277C	1.000
YBR278W	1.000
YBR279W	1.000
YBR280C	1.000
YBR281C	1.000
YBR282W	NaN
YBR283C	1.000
YBR284W	1.000
YBR285W	1.000
YBR286W	1.000
YBR287W	1.000
YBR288C	1.000
YBR289W	-1.000
YBR290W	1.000
YBR291C	1.000
YBR292C	1.000
YBR293W	1.000
YBR294W	1.000
YBR295W	1.000
YBR296C	-1.000
YBR297W	1.000
YBR298C	1.000
YBR299W	1.000
YBR300C	1.000
YBR301W	1.000
YCL001W	1.000
YCL001W-A	1.000
YCL002C	1.000
YCL004W	NaN
YCL005W	1.000
YCL006C	1.000
YCL007C	1.000
YCL008C	1.000
YCL009C	1.000
YCL011C	1.000
YCL013W	1.000
YCL014W	1.000
YCL016C	1.000
YCL022C	1.000
YCL023C	1.000
YCL024W	-1.000
YCL025C	1.000
YCL026C	1.000
YCL026C-A	1.000
YCL027W	1.000
YCL028W	1.000
YCL029C	1.000
YCL030C	1.000
YCL032W	1.000
YCL033C	1.000
YCL034W	1.000
YCL035C	1.000
YCL036W	1.000
YCL037C	1.000
YCL038C	1.000
YCL039W	1.000
YCL040W	1.000
YCL042W	-1.000
YCL044C	1.000
YCL045C	1.000
YCL046W	-1.000
YCL047C	1.000
YCL048W	1.000
YCL049C	1.000
YCL050C	1.000
YCL051W	1.000
YCL055W	1.000
YCL056C	1.000
YCL057W	1.000
YCL058C	1.000
YCL061C	1.000
YCL063W	1.000
YCL064C	1.000
YCL069W	1.000
YCL074W	1.000
YCL075W	1.000
YCL076W	1.000
YCR001W	1.000
YCR002C	1.000
YCR004C	1.000
YCR005C	1.000
YCR006C	1.000
YCR007C	1.000
YCR008W	1.000
YCR009C	1.000
YCR010C	1.000
YCR011C	1.000
YCR014C	1.000
YCR015C	1.000
YCR016W	1.000
YCR017C	1.000
YCR019W	1.000
YCR020C	1.000
YCR020C-A	1.000
YCR020W-B	1.000
YCR021C	1.000
YCR022C	1.000
YCR023C	1.000
YCR024C	-1.000
YCR024C-A	1.000
YCR025C	1.000
YCR026C	1.000
YCR027C	1.000
YCR028C	NaN
YCR028C-A	NaN
YCR030C	1.000
YCR031C	1.000
YCR032W	1.000
YCR033W	1.000
YCR034W	NaN
YCR036W	1.000
YCR037C	1.000
YCR043C	1.000
YCR044C	-1.000
YCR045C	1.000
YCR046C	NaN
YCR047C	NaN
YCR048W	1.000
YCR049C	1.000
YCR050C	1.000
YCR051W	1.000
YCR053W	1.000
YCR059C	1.000
YCR060W	1.000
YCR061W	1.000
YCR063W	1.000
YCR065W	1.000
YCR066W	1.000
YCR067C	1.000
YCR068W	-1.000
YCR069W	1.000
YCR071C	1.000
YCR073C	1.000
YCR073W-A	1.000
YCR075C	1.000
YCR076C	1.000
YCR077C	1.000
YCR079W	1.000
YCR081W	1.000
YCR082W	1.000
YCR083W	1.000
YCR084C	-1.000
YCR085W	1.000
YCR086W	1.000
YCR087C-A	1.000
YCR087W	1.000
YCR088W	1.000
YCR089W	1.000
YCR090C	1.000
YCR091W	1.000
YCR092C	1.000
YCR095C	1.000
YCR098C	1.000
YCR099C	1.000
YCR100C	1.000
YCR101C	1.000
YCR102C	1.000
YCR102W-A	1.000
YCR105W	1.000
YCR106W	1.000
YCR107W	1.000
YDL001W	1.000
YDL002C	1.000
YDL005C	-1.000
YDL006W	-1.000
YDL009C	1.000
YDL010W	1.000
YDL011C	1.000
YDL012C	-1.000
YDL013W	1.000
YDL018C	1.000
YDL019C	1.000
YDL020C	1.000
YDL021W	1.000
YDL022W	1.000
YDL023C	1.000
YDL024C	1.000
YDL025C	1.000
YDL026W	1.000
YDL027C	1.000
YDL032W	-1.000
YDL033C	-1.000
YDL034W	1.000
YDL035C	1.000
YDL036C	1.000
YDL037C	1.000
YDL039C	NaN
YDL040C	1.000
YDL041W	1.000
YDL042C	1.000
YDL044C	-1.000
YDL045W-A	-1.000
YDL046W	1.000
YDL047W	1.000
YDL048C	1.000
YDL049C	1.000
YDL050C	1.000
YDL051W	1.000
YDL052C	1.000
YDL053C	1.000
YDL054C	1.000
YDL056W	-1.000
YDL057W	1.000
YDL059C	1.000
YDL061W	1.000
YDL062W	1.000
YDL063C	1.000
YDL065C	1.000
YDL066W	1.000
YDL067C	-1.000
YDL068W	-1.000
YDL069C	1.000
YDL070W	1.000
YDL071C	1.000
YDL072C	1.000
YDL073W	1.000
YDL074C	-1.000
YDL075W	NaN
