orf	hap a | abundance of a specific protein/peptide (Rnr3) | YPD [standard] | quantitative | quantitative | quantitative	hap a | abundance of a specific protein/peptide (Rnr3) | methyl methanesulfonate [0.03%] | quantitative | quantitative | quantitative
YAL002W	-0.0094161649950143	0.148141223340414
YAL004W	0.0497415224478007	-0.0425536133943176
YAL005C	0.122336641945602	-0.093176268521966
YAL007C	0.0272476646636247	-0.12092583616569
YAL008W	-0.0686874885262365	-0.261110180310444
YAL010C	-0.163953083728069	-0.299794130798311
YAL011W	-0.0685308524849613	0.132573093588649
YAL013W	0.0218516617999802	0.0106907566642471
YAL014C	0.00801324520708135	-0.0653453375565709
YAL015C	-0.100239704260739	0.00593214275995725
YAL017W	-0.194431377557292	0.0649270032338757
YAL018C	0.0045886364640643	0.0172144952638655
YAL019W	-0.0420202212111771	-0.0208635663212149
YAL020C	-0.00989277236012526	0.0239773124147208
YAL022C	-0.0004254231712029	-0.0924353726947665
YAL023C	0.00505793904982028	-0.110522965174238
YAL024C	-0.0215975640323048	-0.0557098021457868
YAL026C	0.118464688117934	-0.0527798069944499
YAL027W	0.051783354259412	-0.0357395082913662
YAL028W	0.0194603934648933	-0.0591403112257384
YAL029C	-0.0579755671547066	-0.146642417125784
YAL030W	-0.174651837478568	-0.0853688726386905
YAL031C	-0.160528115137029	0.0395883747303309
YAL034C	-0.0374670126869938	-0.0285377450919338
YAL036C	0.147533539436492	0.407725501254513
YAL037W	0.00830896713822535	-0.105788698940501
YAL040C	0.180985670394912	0.107586280797423
YAL042C-A	-0.0144017971323703	-0.142420684263753
YAL042W	0.0370363371923131	-0.124246085667581
YAL045C	0.222483293309715	-0.007769530985171
YAL046C	0.346809975113407	0.0346527629306535
YAL048C	0.136150608815692	0.0571088409693632
YAL049C	0.0249397860545508	-0.0938327819767676
YAL051W	0.00219514041641028	-0.144886939049407
YAL053W	-0.0179990520729949	0.0961924302967318
YAL054C	-0.149711852660065	0.238103779739471
YAL055W	-0.208594260696365	0.152778910538951
YAL056C-A	-0.025548928009591	0.0154619714214601
YAL056W	0.1052981950417	-0.0497421166370089
YAL058W	0.200308820425347	0.113999178446951
YAL059W	0.00424071647091025	-0.215550507212257
YAL060W	0.104810047902201	0.197894926919764
YAL061W	0.0415139920143433	-0.0743674881445163
YAL062W	-0.0250696360499498	-0.170105150756037
YAL064C-A	-0.0591751124206003	-0.148857443807867
YAL065C	-0.0980344637622319	-0.0618625819957991
YAL066W	-0.179708300856913	-0.0927097172662733
YAL067C	-0.0312731831151504	-0.164766302398209
YAL068C	-0.0594906132337032	-0.207310183531886
YAR002C-A	0.0524023510942842	-0.0502856804671839
YAR002W	0.296781302915981	0.260171145561831
YAR003W	0.207145911196516	-0.124325484476127
YAR014C	0.0244406853488726	-0.147918898446985
YAR018C	0.0783396083389342	-0.196494326407381
YAR020C	-0.0141747054314252	0.0398473895077183
YAR023C	-0.113483465521379	-0.0758476565788901
YAR027W	-0.144482013686175	0.010499197775709
YAR028W	-0.0936236267471079	-0.0104966110904495
YAR029W	0.0482665612824181	-0.0601452874150707
YAR030C	-0.0829463791843962	-0.221707080510708
YAR031W	-0.00842918185009511	-0.127250441256599
YAR035W	-0.00753327193651095	-0.0721125796630524
YAR042W	-0.0299107581282355	0.11653216511383045
YAR047C	-0.261218502034133	0.0409911104360186
YAR050W	-0.153677885281736	-0.0104168182563059
YBL001C	0.034990429572878	0.532396752553249
YBL003C	-0.0546233041716825	-0.0584491323191783
YBL005W	0.069007910091834	0.0271520543919923
YBL007C	0.298061178911807	0.476833693939065
YBL008W	0.136394928185365	0.371941403207527
YBL009W	0.139982027500066	0.0518191561906422
YBL010C	-0.0390772911532895	0.0639572292267032
YBL011W	-0.113975218337393	0.0921092647091861
YBL013W	-0.26814763734772	0.0968956481916059
YBL015W	-0.170173107698949	0.139529479451992
YBL016W	0.0998064021850242	0.312891688625152
YBL017C	-0.0017552328073516	0.0055320053914127
YBL019W	0.0778220586874307	-0.0796761815470715
YBL024W	0.126894892654835	0.160122956742716
YBL025W	-0.115328463982561	0.0637665298840928
YBL027W	0.238521731393549	0.14450525879453
YBL028C	-0.0957335549920678	-0.251137358027085
YBL029W	-0.0491215654201887	-0.271915686945761
YBL031W	0.157063798114108	-0.148337300005175
YBL032W	-0.0419856886838174	0.134178422993436
YBL036C	-0.129020494801226	-0.125538527960695
YBL037W	0.0909812435803948	-0.0997913562720159
YBL039C	0.207252105131689	0.231320615981646
YBL042C	0.0384028452633351	-0.0689318584534511
YBL043W	0.0531292155125196	-0.119370336765998
YBL046W	0.103395069082694	0.121274529907226
YBL047C	0.117055771216963	-0.11437224620083
YBL048W	0.158059179795723	0.0502893838567006
YBL049W	-0.101847456858434	-0.114931326762296
YBL051C	-0.477940705294908	-0.409714241416881
YBL052C	-0.209969487650404	-0.0956384445010034
YBL053W	-0.0656779274522079	-0.0761738986038843
YBL054W	-0.00701750895568026	0.0880949178833558
YBL055C	0.0641338570188704	-0.171847702645569
YBL056W	0.141170821816002	0.030611697412656
YBL057C	0.0658853605982263	-0.0521923106386949
YBL059W	-0.0193293208447125	0.0060860482782945
YBL060W	0.0501719116857038	-0.0931945869184398
YBL061C	0.0944152315649472	-0.101722578520115
YBL062W	0.0595665993352874	-0.120859580595306
YBL063W	-0.089114319488477	-0.12286517022613
YBL064C	-0.191337548475004	0.200336917927594
YBL065W	0.22030279006723	0.112197127756806
YBL066C	-0.007361966610605	0.107968585436591
YBL067C	0.226742277561134	0.0813497667274821
YBL068W	0.0443641556468511	-0.0554836097725826
YBL069W	0.0169440068293784	-0.155342951254164
YBL070C	-0.0128401182818763	-0.15353171464584
YBL071C	0.0226132620789703	0.0131144491012885
YBL072C	-0.428815280497485	-0.722493014155601
YBL075C	-0.0409279942192895	-0.169391155056643
YBL078C	-0.160321227049208	0.00476862411198249
YBL079W	0.133461453397022	0.165153475700946
YBL081W	0.039529174175027	0.0807413482043183
YBL082C	0.0661854034884302	-0.196052068722942
YBL083C	0.0862902425158384	-0.0641743862834109
YBL085W	0.147205274005426	0.0449551179000039
YBL086C	0.129344776596423	-0.15847250255853
YBL087C	-0.303802769072615	-0.446327462991358
YBL088C	0.00939224325298918	0.242602136201057
YBL089W	-0.180530821755877	0.00126010452983051
YBL091C	0.0194406382966301	-0.230171502731265
YBL091C-A	-0.101961513023241	0.015990843334086
YBL094C		-0.401139226016863
YBL095W	0.021708220726076	-0.0845023034465188
YBL096C	-0.0592435587951476	-0.0872263720529734
YBL098W	-0.0431755351196487	-0.0647540533575391
YBL100C	0.0591886459846319	-0.0827245238284197
YBL101C	0.0068428916166545	-0.0622149977788402
YBL102W	-0.00587576215621649	0.0896947120533137
YBL103C	-0.0722432634964662	0.0171738977577108
YBL104C	0.0266312840627714	0.102431862592811
YBL106C	-0.0533647333016505	-0.0210639505944561
YBL107C	-0.225347579405984	-0.152009021755764
YBR001C	-0.209176200248796	0.143916894723506
YBR005W	-0.145527093153568	-0.0406192029345385
YBR006W	-0.131563221007574	0.0931868943447751
YBR007C	0.060081104962395	0.000730258342399349
YBR008C	0.0110048886621096	0.114767355540849
YBR009C	0.186247927511504	0.100609583734564
YBR010W	0.147874510950486	0.0586363288575319
YBR012C	-0.0307458955846323	-0.036876512801138
YBR013C	-0.0587062199917689	0.0222011542624204
YBR014C	-0.163917085120349	0.0238856457518187
YBR015C	-0.073232282811744	0.0315884136203504
YBR016W	-0.072863950874234	0.191396443973314
YBR018C	0.184020851638344	-0.0733535255397564
YBR019C	-0.0564517756034011	-0.231050472881617
YBR020W	-0.0499372882166435	-0.0802439501325562
YBR022W	0.0340725893129593	-0.293769219313138
YBR023C	-0.0174375279935804	-0.258621210185854
YBR024W	-0.070210057496983	-0.19318218376446
YBR025C	0.179723074394999	1.05315567254833
YBR026C	0.418246264598478	
YBR027C	0.0218278471249069	-0.0923911921158767
YBR028C	0.221014967661264	0.622854937451992
YBR030W	-0.104387092966418	0.0174424027603895
YBR031W	-0.210229954670569	-0.241389070941903
YBR032W	0.127453123858241	-0.012718299689982
YBR033W	-0.0028840510543207	-0.226984421846496
YBR034C	0.0567006588999097	0.013647663233671
