ORF	het | growth (pooled culture) | chromium trioxide [0.1 mM] | None | Holland S~Avery SV, 2007
YAL001C	0.012
YAL002W	-0.005
YAL003W	0.009
YAL004W	-0.024
YAL007C	0.008
YAL008W	0.020
YAL009W	-0.009
YAL010C	-0.004
YAL011W	0.032
YAL012W	0.004
YAL013W	0.050
YAL014C	-0.000
YAL015C	0.010
YAL016W	-0.049
YAL017W	-0.007
YAL018C	0.014
YAL019W	0.010
YAL020C	0.014
YAL021C	0.005
YAL022C	0.017
YAL023C	0.066
YAL024C	-0.010
YAL025C	0.005
YAL026C	0.024
YAL027W	0.049
YAL028W	0.032
YAL029C	-0.007
YAL030W	0.005
YAL031C	0.032
YAL032C	-0.012
YAL033W	0.029
YAL034C	0.013
YAL034W-A	0.019
YAL034C-B	0.010
YAL035W	0.033
YAL037W	-0.005
YAL038W	0.012
YAL039C	0.012
YAL040C	-0.012
YAL042W	0.004
YAL043C	-0.037
YAL042C-A	-0.052
YAL045C	0.052
YAL046C	0.010
YAL047C	-0.001
YAL048C	0.002
YAL051W	0.010
YAL053W	0.008
YAL054C	-0.007
YAL055W	0.011
YAL056W	0.017
YAL056C-A	0.006
YAL058W	0.010
YAL059W	-0.005
YAL060W	0.001
YAL061W	0.013
YAL062W	0.008
YAL064C-A	-0.031
YAL065C	0.016
YAL066W	0.009
YAL067C	0.023
YAL068C	0.008
YAR002C-A	0.002
YAR002W	-0.084
YAR003W	0.008
YAR007C	-0.004
YAR008W	0.013
YAR014C	0.021
YAR015W	-0.009
YAR019C	0.024
YAR020C	0.012
YAR023C	0.005
YAR027W	0.022
YAR028W	0.006
YAR029W	0.023
YAR030C	0.002
YAR031W	0.007
YAR035W	0.013
YAR037W	0.017
YAR040C	0.006
YAR042W	0.001
YAR043C	0.005
YAR047C	0.027
YAR050W	-0.013
YBL004W	-0.013
YBL006C	-0.002
YBL007C	-0.026
YBL008W	-0.010
YBL009W	-0.023
YBL010C	-0.011
YBL012C	-0.017
YBL013W	-0.026
YBL015W	-0.032
YBL016W	-0.010
YBL017C	0.028
YBL018C	0.021
YBL019W	-0.013
YBL020W	-0.007
YBL024W	0.027
YBL025W	-0.019
YBL026W	-0.036
YBL027W	-0.002
YBL028C	0.030
YBL029W	-0.003
YBL030C	0.012
YBL031W	-0.071
YBL032W	0.011
YBL033C	-0.002
YBL034C	-0.006
YBL035C	-0.008
YBL036C	0.023
YBL037W	0.009
YBL038W	-0.014
YBL039C	-0.020
YBL040C	0.018
YBL041W	-0.010
YBL042C	-0.004
YBL043W	0.003
YBL045C	-0.013
YBL048W	-0.003
YBL049W	-0.009
YBL050W	-0.016
YBL051C	-0.027
YBL053W	-0.001
YBL054W	-0.010
YBL055C	-0.001
YBL056W	-0.017
YBL057C	-0.014
YBL058W	-0.028
YBL059W	-0.014
YBL060W	-0.015
YBL061C	-0.018
YBL062W	-0.022
YBL063W	-0.010
YBL064C	-0.022
YBL065W	-0.011
YBL066C	-0.019
YBL068W	-0.020
YBL070C	-0.009
YBL071C	-0.008
YBL072C	-0.005
YBL073W	-0.009
YBL074C	-0.021
YBL076C	-0.017
YBL077W	-0.010
YBL078C	-0.015
YBL079W	-0.005
YBL080C	-0.020
YBL081W	-0.018
YBL082C	-0.009
YBL083C	0.026
YBL084C	-0.014
YBL085W	0.000
YBL089W	-0.016
YBL090W	0.014
YBL091C-A	-0.016
YBL092W	0.013
YBL094C	-0.010
YBL095W	-0.000
YBL096C	0.006
YBL097W	-0.007
YBL098W	-0.027
YBL100C	-0.002
YBL101C	0.000
YBL102W	0.017
YBL103C	-0.007
YBL104C	-0.018
YBL105C	0.071
YBL106C	-0.018
YBL107C	-0.014
YBR001C	-0.007
YBR002C	-0.040
YBR003W	-0.021
YBR004C	0.016
YBR005W	0.033
YBR006W	-0.133
YBR007C	-0.003
YBR008C	-0.001
YBR011C	0.000
