orf	het | growth (pooled culture) | chromium trioxide [0.1 mM] | None | Holland S~Avery SV, 2007
YBR024W	-0.002154835396833839
YBR025C	-0.01637075943950473
YBR026C	-0.032602476756482694
YBR027C	0.007233576601770685
YBR028C	-0.0074686876014721
YBR029C	-0.007850877572600038
YBR030W	0.0029108822490317935
YBR031W	-0.0049643495440518295
YBR032W	0.007864007395700432
YBR033W	-0.0068262535163461195
YBR034C	0.005995709198219503
YBR035C	-0.03212317217794457
YBR036C	-0.0028049256771315832
YBR037C	0.009333464879686474
YBR038W	
YBR039W	-0.02491211090656694
YBR040W	0.010679585659302597
YBR041W	
YBR042C	-0.012267785928967812
YBR043C	0.0101165116376322
YBR044C	-0.007840184022049276
YBR045C	-0.0073251377391459396
YBR046C	0.02199182558778774
YBR047W	-0.03566091724417703
YBR048W	-0.006669258230650912
YBR049C	
YBR050C	-0.011455060271426586
YBR051W	0.006450448491861861
YBR052C	0.15985125746211148
YBR053C	0.027740797975321647
YBR054W	-0.033585851970899444
YBR055C	-0.012370472994879514
YBR056W	-0.007004047766754644
YBR057C	
YBR058C	-0.033832547051399986
YBR059C	-0.007955450834109153
YBR060C	-0.03164238752086331
YBR061C	
YBR062C	-0.010691873485536295
YBR063C	-0.006465386989823235
YBR064W	0.0012161332919576398
YBR065C	-0.01781899552034802
YBR066C	-0.010420957929315182
YBR067C	-0.0006155440331953618
YBR068C	0.0021039538869018735
YBR069C	-0.010727053897226323
YBR070C	0.02054326298106303
YBR071W	-0.0032950131002746803
YBR072W	
YBR073W	0.0013192520029116097
YBR074W	0.02050015008472374
YBR076W	-0.00040208310919093377
YBR077C	0.04918724059752476
YBR078W	-0.04600035615650313
YBR079C	-0.013202804351578381
YBR080C	-0.024119100730699145
YBR081C	-0.011545337768950881
YBR082C	-0.007891815777515264
YBR083W	-0.005144774432675274
YBR084C-A	0.001588532186253288
YBR084W	-0.01863030657026917
YBR085W	
YBR086C	-0.020675290559178286
YBR087W	-0.009340011329526198
YBR088C	-0.006077116822818329
YBR089C-A	
YBR089W	-0.0026209838194320677
YBR090C	0.00962459820119803
YBR091C	-0.023954615093982303
YBR092C	-0.01642497997753014
YBR093C	-0.01584797094049577
YBR094W	-0.000755304942048108
YBR095C	-0.03712559945041219
YBR096W	-0.021373641656627473
YBR097W	
YBR098W	-0.013733941410496137
YBR099C	-0.013254705410098908
YBR101C	
YBR102C	-0.011057195154393597
YBR103W	0.031372814126268876
YBR104W	-0.00371636242807146
YBR105C	
YBR106W	-0.010615480335984773
YBR107C	-0.017722415379059733
YBR108W	-0.005394157584559291
YBR109C	0.005925158660855949
YBR110W	-0.020052032523549358
YBR111C	-0.01546403421882292
YBR112C	-0.04833625670890182
YBR113W	-0.035043809912723656
YBR114W	0.0010473790991966589
YBR115C	
YBR116C	-0.01784916587264519
YBR117C	-0.013505839945207106
YBR118W	
YBR119W	-0.043342537033731254
YBR120C	-0.01992013122641042
YBR121C	0.095016486413562
YBR122C	
YBR123C	
YBR124W	0.005215912819876153
YBR125C	0.012686506339257712
YBR126C	
YBR127C	-0.018929278495579793
YBR128C	-0.005371419610076451
YBR129C	-0.0033513986011200593
YBR130C	0.022175728217225285
YBR131W	-0.03485154506875599
YBR132C	0.006130741020134261
YBR133C	-0.04196610376121422
YBR134W	-0.014060147514371013
YBR135W	-0.03482825659632786
YBR136W	-0.008806360363052627
YBR137W	-0.0011947457958810083
YBR138C	-0.00877243847211875
YBR139W	-0.00826752977148526
YBR140C	0.00012956225602568823
YBR141C	0.0036837265216670273
YBR142W	0.007095323576554812
YBR143C	-0.013117034231772188
YBR144C	-0.008893941531218844
YBR145W	-0.008843269049138054
YBR146W	-0.00993732857536207
YBR147W	-0.01582364596793706
YBR148W	-0.008422631061503566
YBR149W	
YBR150C	-0.01937542818484975
YBR151W	-0.0006178684809648998
YBR152W	
YBR153W	-0.015219741775716833
YBR154C	0.08825994016689513
YBR155W	-0.00940884496544237
YBR156C	0.0033575599250624116
YBR157C	0.007910632978270188
YBR158W	0.0031519351360750616
YBR159W	-0.020818841456803055
YBR160W	-0.005010854980545364
YBR161W	-0.004331706368402904
YBR162C	-0.11811812683274628
YBR162W-A	-0.014021729682553703
YBR163W	-0.017924924983761296
YBR164C	0.007858603724177664
YBR165W	-0.0026514364034630894
YBR166C	0.0012955856042963592
YBR167C	-0.007278927349611422
YBR168W	0.014737175080907694
YBR169C	-0.015132992665492517
YBR170C	-0.047543652131504105
YBR171W	0.004338905755608063
YBR172C	-0.028224543053621074
YBR173C	-0.015236945891431035
YBR174C	-0.0018093447864191477
YBR175W	0.01221781053411493
YBR176W	-0.039267111775694065
YBR177C	-0.021185808764276726
YBR178W	0.014633257623857227
YBR179C	-0.013524440944674416
YBR180W	-0.0004600317482450194
YBR181C	-0.005104412184949364
YBR182C	0.06325646210976006
YBR183W	-0.008514123658883469
YBR184W	0.016067523356935655
YBR185C	
YBR186W	-0.007454030937643103
YBR187W	0.012325729559015995
YBR188C	-0.010063991847871961
YBR189W	0.019217510558644027
YBR190W	0.005912478480432576
YBR191W	-0.01928704920790663
YBR192W	0.11759969476288443
YBR193C	
YBR194W	0.010264977479608615
YBR195C	0.016025804041551704
YBR196C	0.018283933737576797
YBR197C	0.0050753241088500895
YBR198C	-0.03031906168984031
YBR199W	-0.007933472662769909
YBR200W	-0.0022977842974086123
YBR201W	0.04499441364905214
YBR202W	-0.0055502092488099
YBR203W	0.006878501847546659
YBR204C	-0.012435320572430617
YBR205W	-0.010442003063439448
YBR206W	-0.009360168651268149
YBR207W	-0.006278102221842008
YBR208C	-0.013199930654833575
YBR209W	-0.019070813860566055
YBR210W	-0.0008380969971639434
YBR211C	0.0013349341351181145
YBR212W	-0.0036492662632652967
YBR213W	
YBR214W	0.009644110648649317
YBR215W	6.280453919498723e-05
YBR216C	-0.00733092873275118
YBR217W	-0.01995503904273043
YBR218C	0.002180685171603251
YBR219C	-0.008232108936736645
YBR220C	-0.01031920283759432
YBR221C	
YBR222C	-0.025926823221957343
YBR223C	-0.024752620763346788
YBR224W	-0.017787164587347193
YBR225W	0.005179714138923923
YBR226C	-0.004182237115031389
YBR227C	0.06464735252065935
YBR228W	0.005911065471553874
YBR229C	-0.017054724146615054
YBR230C	0.0022791815897786226
YBR231C	-0.0009853007729481323
YBR232C	-0.010507271934096073
YBR233W	-0.002845849232824698
YBR234C	-0.026902150115665664
YBR235W	-0.012501248925070787
YBR236C	0.0013805953249898103
YBR237W	-0.00900590578347603
YBR238C	
YBR239C	-0.002202171238723829
YBR240C	-0.01139312192915955
YBR241C	0.001089449799221754
YBR242W	-0.010678998643066201
YBR243C	-0.006115985251445586
YBR244W	-0.01888149352158532
YBR245C	0.007242470299976881
YBR246W	-0.05958108905705642
YBR247C	0.003197732262314892
YBR248C	0.0010853377169408214
YBR249C	0.007624245636410319
YBR250W	-0.0019540274050948605
YBR251W	0.0005014956152595337
YBR252W	-0.03008287995512516
YBR253W	-0.014490486752469275
YBR254C	9.254766096002814e-06
YBR255W	-0.0007779427144594844
YBR256C	-0.006627556931660918
YBR257W	0.00466826019048722
YBR258C	-0.008849764213152903
YBR259W	-0.011351272863543371
YBR260C	-0.007211599814354305
YBR261C	-0.0003605182725134573
YBR262C	-0.006691547776090073
YBR263W	0.02590918037142557
YBR264C	-0.06071809858763574
YBR265W	0.01781261218453389
YBR266C	0.00344824815931509
YBR267W	-0.010086297730154535
YBR268W	-0.003748493543628356
YBR269C	-0.008781778756006439
YBR270C	-0.008801286153085269
YBR271W	
YBR272C	
YBR273C	0.003183159366663537
YBR274W	
YBR275C	-0.01984817289566121
YBR276C	-0.013938378459187134
YBR277C	
YBR278W	0.011655606436044607
YBR279W	-0.03372908619162928
YBR280C	-0.003557455004373638
YBR281C	-0.0005669702761081433
YBR282W	-0.017218285296849947
YBR283C	-0.006184373770453951
YBR284W	-0.008575454127657901
YBR285W	0.0243876071219375
YBR286W	0.0006334643799894256
YBR287W	-0.02272750634508195
YBR288C	0.0032985204352513828
YBR289W	0.03696564373929545
YBR290W	0.04069343322519771
YBR291C	-0.02122357992421698
YBR292C	-0.0669635118949014
YBR293W	-0.02398452937934025
YBR294W	-0.008888487165918444
YBR295W	-0.0419400166789909
YBR296C	
YBR297W	-0.0163586810989768
YBR298C	0.00828350083092623
YBR299W	
YBR300C	
YBR301W	-0.010861290904739307
YCL001W	-0.11449766722818533
YCL001W-A	-0.03572998843871483
YCL002C	-0.0044149982909781095
YCL004W	-0.0105939496382371
YCL005W	0.020401452956732763
YCL007C	-0.0046917125631853965
YCL008C	-0.01463086093220731
YCL009C	-0.01863625775059941
YCL010C	-0.06941918736088083
YCL011C	0.004223198298399074
YCL014W	-0.004850829234403043
YCL016C	-0.018184063248753837
YCL017C	-0.01394232254373376
YCL022C	-0.014968862755760912
YCL023C	-0.004298534439496395
YCL024W	0.010929053150023862
YCL025C	-0.010112517787101875
YCL026C-A	
YCL027W	0.007548717137626643
YCL028W	-0.0352983086068729
YCL029C	-0.04401229182013587
YCL030C	0.011903188598277395
YCL031C	
YCL032W	
YCL033C	0.02211722263337967
YCL034W	
YCL035C	-0.01585358498210423
YCL036W	-0.027857799531263376
YCL037C	-0.08038974576458743
YCL038C	-0.01074315521056009
YCL039W	0.0012005276181446152
YCL040W	-0.017004435902715373
YCL041C	0.0034948513010329375
YCL042W	0.015544623855462429
YCL043C	0.013190482747826474
YCL044C	0.02130121968075713
YCL045C	-0.00015140519202306614
YCL046W	-0.005819143584585363
YCL047C	-0.021719585931921727
YCL048W	-4.0664189232245476e-05
YCL049C	0.008305872226604501
YCL050C	
YCL051W	0.0014447313949825947
YCL052C	
YCL054W	0.014491694527167236
YCL055W	0.005547019431230992
YCL056C	0.009357849112564414
YCL057W	-0.002542195412434849
YCL058C	-0.021449248647119987
YCL059C	-0.016241272139070076
YCL061C	-0.012717339789234693
YCL063W	0.013624806933170697
YCL064C	0.02920749827412223
YCL069W	0.005345174783223165
YCL076W	-0.014077877653591048
YCR001W	0.004443142324285639
YCR002C	
YCR003W	-0.013350647442903202
YCR004C	0.0035099686035891253
YCR005C	0.02282165803675676
YCR006C	0.07778534956445372
YCR007C	-0.012710912036037386
YCR008W	0.0019068063985888013
YCR009C	0.014888629922256891
YCR010C	0.027124986130692124
YCR011C	-0.014166765217296758
YCR012W	-0.044484751926142
YCR013C	0.032966554252902985
YCR014C	0.02993403079939527
YCR015C	
YCR016W	0.03309380710943352
YCR017C	0.0019507107748521868
YCR019W	0.0001391017705676973
YCR020C	0.007972853479296119
YCR020C-A	-0.010628358947707138
YCR020W-B	
YCR021C	0.005905557074083951
YCR022C	-0.03047855117845808
YCR023C	0.006710249661707253
YCR024C	-0.024375781563261763
YCR024C-A	
YCR025C	0.014647002606056243
YCR026C	-0.017929348959384528
YCR027C	
YCR028C	-0.011092273669492003
YCR028C-A	-0.012820357996039856
YCR030C	-0.01889051296338361
YCR031C	-0.03384179299148822
YCR032W	0.00439257825528175
YCR033W	0.024822169052854684
YCR034W	-0.016766010775777107
YCR035C	-0.034267563015131945
YCR036W	-0.0054539860252623695
YCR037C	-0.011068546361907551
YCR043C	
YCR044C	-0.015772339604611607
YCR045C	-0.03169528689807598
YCR046C	-0.012571760738226164
YCR047C	-0.010691580131283431
YCR048W	-0.06698365167219036
YCR049C	-0.07486633654481421
YCR050C	-0.0248223384769116
YCR051W	-0.030746841601624622
YCR052W	
YCR053W	-0.0010638041400145909
YCR054C	-0.010279177109115696
YCR057C	0.03406803428464797
YCR059C	0.06281367089892056
YCR060W	-0.007716347382362985
YCR061W	-0.005144245418031941
YCR063W	-0.0623652268770126
YCR064C	-0.016409569876370725
YCR065W	-0.012733819340310926
YCR066W	0.0106900698556001
YCR067C	-0.010317571050799152
YCR068W	-0.049540452932396145
YCR069W	-0.025010284830551954
YCR071C	-0.025838025381847395
YCR072C	-0.030060553849089705
YCR073C	-0.028235358891327823
YCR073W-A	
YCR075C	-0.012869794428690398
YCR076C	-0.043200279125761035
YCR077C	-0.08533712685907037
YCR079W	-0.010198735047866603
YCR081W	
YCR082W	
YCR083W	-0.012173317684757299
YCR084C	-0.096562289402047
YCR085W	-0.037852341459493316
YCR086W	-0.008759876341044324
YCR087C-A	0.03276874569730564
YCR087W	-0.03414420129516525
YCR088W	-0.01887538335810915
YCR089W	-0.007105313272545402
YCR090C	0.01992407248425573
YCR091W	0.01838189958563306
YCR092C	-0.012529673320195075
YCR093W	0.02472628907939155
YCR094W	-0.015428479498430792
YCR095C	0.032024135398538406
YCR098C	-0.0050281758815604715
YCR099C	0.008602853956175964
YCR100C	0.0018995849935226285
YCR101C	0.003733192999349853
YCR102C	-0.00711884887702336
YCR102W-A	0.001270545175604685
YCR105W	0.0011736941487431323
YCR106W	-0.012302517425518533
YCR107W	-0.008902999398281652
YDL001W	-0.004256675587960983
YDL002C	0.009858887429476274
YDL003W	
YDL004W	0.0003730665518139769
YDL005C	0.0014882730031234616
YDL006W	0.003813853164950335
YDL007W	-0.0492216708724127
YDL008W	-0.011165567136657133
YDL009C	
YDL010W	-0.005771052949476602
YDL011C	0.005996105197096515
YDL012C	0.005026198610346122
YDL013W	-0.016864883295542487
YDL014W	0.00851429122635405
YDL015C	0.025422658349246396
YDL016C	-0.0021780416660265745
YDL017W	-0.03270593286827525
YDL018C	0.012398426537156561
YDL019C	0.023695873120976454
YDL020C	0.011521977617238825
YDL021W	0.0005875605620892232
YDL022W	-0.009089132847182813
YDL023C	0.017966309280373863
YDL024C	0.0064835461488600915
YDL025C	-0.005882107711814971
YDL026W	
YDL027C	
YDL028C	0.005810039641794999
YDL029W	-0.0012977815249886875
YDL030W	0.012482154725943556
YDL031W	-0.05099691793144778
YDL032W	0.005170638035439142
YDL033C	0.011522134942771137
YDL034W	-0.0032100598817991852
YDL035C	-0.003526396458418127
YDL036C	
YDL037C	-0.06408308745239459
YDL039C	-0.055587738432050775
YDL040C	-0.023588857534509428
YDL041W	
YDL042C	
YDL043C	0.005386947644145781
YDL044C	-0.013826830745149477
YDL045C	-0.006857984623833485
YDL045W-A	
YDL046W	-0.00029084330841923356
YDL047W	-0.011639677490558876
YDL048C	0.004214192175795425
YDL049C	-0.04531365802313281
YDL050C	0.010866688665332618
YDL051W	0.002200182785133982
YDL052C	
YDL053C	0.014823807465120024
YDL054C	-0.045941847777730936
YDL055C	0.007071235813732278
YDL056W	-0.015118775788547362
YDL057W	
YDL058W	0.0003552644187805997
YDL059C	-0.004646411497619818
YDL060W	0.0025004722965434965
YDL061C	0.015859196035185177
YDL062W	0.009432969199946266
YDL063C	0.030580410360276235
YDL064W	0.007705634657546024
YDL065C	-0.06626275971047876
YDL066W	-0.0017011042021766315
YDL067C	0.0005920074979800271
YDL068W	0.0017547046186369617
YDL069C	
YDL070W	0.00911325855836106
YDL071C	0.004973629723388245
YDL072C	-0.004626300766323251
YDL073W	0.028832328725502565
YDL074C	0.03192560950565958
YDL075W	
YDL076C	-0.005418931723047624
YDL077C	
YDL078C	0.0055135070355693
YDL079C	0.013192237214531971
YDL080C	
YDL081C	-0.0050306531853095415
YDL082W	0.0090683360697875
YDL083C	
YDL084W	0.02182943287269559
YDL085W	-0.013848930360684767
YDL086W	0.003210597952090612
YDL087C	-0.004487900417837622
YDL088C	-0.006710838917335512
YDL089W	-0.01715192189066307
YDL090C	0.006777753612960646
YDL091C	-0.008500011648005096
YDL092W	0.04888370685725066
YDL093W	0.006565553078485541
YDL094C	
YDL095W	0.008032460733904748
YDL096C	-0.012746416907291133
YDL097C	-0.1154575094437023
YDL098C	0.015394388210250508
YDL099W	0.0023634078563883523
YDL100C	-0.011250810957073334
YDL101C	-0.0050785558086000535
YDL102W	-0.0009359104672894934
YDL103C	-0.011529730347413107
YDL104C	-7.836880237214235e-05
YDL105W	
YDL106C	0.01619704057355623
YDL107W	-0.19880251837853363
YDL108W	-0.01435773355152832
YDL109C	0.019272467165443667
YDL110C	-0.014018638494986128
YDL111C	-0.06359758596996287
YDL112W	-0.020971443846625498
YDL113C	0.013915743050532996
YDL114W	0.007108891447009304
YDL115C	-0.00021663972348177516
YDL116W	0.01426534093783548
YDL117W	-0.014937940925244437
YDL118W	0.009813431432631225
YDL119C	0.001217918211967305
YDL120W	0.05549970816466485
YDL121C	-0.006387020349629524
YDL122W	0.009169998138973066
YDL123W	0.00886266207933817
YDL124W	-0.0033579143275428436
YDL125C	0.002605996264118852
YDL126C	-0.003932637796220124
YDL127W	-0.01579390720173051
YDL128W	-0.0005742757210279604
YDL129W	-0.006057742114080115
YDL130W	0.02326933071871117
YDL130W-A	0.0017165964727668646
YDL131W	-0.00011219660000026232
YDL132W	-0.011084789811478325
YDL133C-A	-0.011649746678834717
YDL133W	0.009135188051002165
YDL134C	-0.009664966658228141
YDL135C	-0.033818516931285035
YDL136W	0.00311327313260011
YDL137W	-0.0023134794555006227
YDL138W	-0.005194088234398138
YDL139C	-0.007969508767572103
YDL140C	-0.004462099180612973
YDL141W	0.0010006155743456013
YDL142C	-0.018366862327680745
YDL143W	0.00174080477463142
YDL144C	0.013869636992108577
YDL145C	0.023610870997589347
YDL146W	-0.013117539014128751
YDL147W	-0.06017035816324496
YDL148C	-0.005666816905293368
YDL149W	0.004942657874414627
YDL150W	0.005087358947281289
YDL151C	0.018945874897721603
YDL152W	0.0045391518760900685
YDL153C	-0.0007175275249573145
YDL154W	0.017620427287370684
YDL155W	-0.001922205982005046
YDL156W	-0.00020273371710962784
YDL157C	0.0045371126201268095
YDL158C	-0.005910776332446186
YDL159W	-0.006170094743798909
YDL160C	0.016887856622186902
YDL161W	-0.15233005438507918
YDL162C	-0.017296911787521175
YDL163W	
YDL164C	-0.009887939815939871
YDL165W	0.0007346485887499089
YDL166C	-0.003341948681796502
YDL167C	0.027189457383745095
YDL168W	
YDL169C	0.0031449919156482445
YDL170W	-0.0005012746174228744
YDL171C	-0.02454150490764192
YDL172C	-0.0018649015513577984
YDL173W	-0.01730649246023834
YDL174C	-0.012702290288649744
YDL175C	0.012258436399221327
YDL176W	-0.012924720355209767
YDL177C	0.0025934146931482927
YDL178W	-0.003569443671597965
YDL179W	-0.02560848250487288
YDL180W	0.004075735551759161
YDL181W	0.03307428484361982
YDL182W	-0.0006908499710989889
YDL183C	0.03620205934793891
YDL184C	0.012137894708779486
YDL185W	-0.006763203890451424
YDL186W	-0.014273173357778243
YDL187C	-0.0664409270725185
YDL188C	0.008010615997905878
YDL189W	-0.005149634202098156
YDL190C	-0.023207521936684832
YDL191W	-0.0014434926978699643
YDL192W	
YDL193W	
YDL194W	-0.07081250479473258
YDL195W	0.01142573063295286
YDL196W	
YDL197C	-0.025496635058196746
YDL198C	0.0055359007819033865
YDL199C	0.007229021841107396
YDL200C	-0.008842366352365835
YDL201W	-0.006540202809838476
YDL202W	-0.01630677831403652
YDL203C	-0.012279213542827584
YDL204W	0.002661117897655177
YDL205C	0.04804078776318062
YDL206W	0.01747129259278432
YDL207W	
YDL208W	-0.08709119105596837
YDL209C	0.0014679132928600777
YDL210W	-0.003811546715748002
YDL211C	-0.015044865077039133
YDL212W	0.013283677035552534
YDL213C	0.017649617963212155
YDL214C	-0.0025976348469258135
YDL215C	0.002848828105322502
YDL216C	
YDL217C	-0.0029483416410164276
YDL218W	-0.01953295882472616
YDL219W	-0.03999687980944375
YDL220C	-0.024843851118623764
YDL221W	-0.04351126061563999
YDL222C	-0.0012474897141827902
YDL223C	
YDL224C	0.008162632643540856
YDL225W	0.0005902206431570101
YDL226C	0.010028388327569
YDL227C	0.01135493835139859
YDL229W	-0.005513388100101547
YDL230W	0.01084218148498618
YDL231C	-0.004934573833278456
YDL232W	-0.015760917526398993
YDL233W	-0.02591044001875397
YDL234C	-0.023290115093191066
YDL235C	0.014936946963193122
YDL236W	0.001621243955580006
YDL237W	-0.0017980085063171768
YDL238C	-0.009191390513409215
YDL239C	0.033927328678576535
YDL240W	0.006097131283998069
YDL241W	-0.026263972546854315
YDL242W	0.005787202404675227
YDL243C	0.007039689437205586
YDR001C	0.03400563034446208
YDR002W	
YDR003W	-0.020297944661383304
YDR004W	-0.008774486672063236
