ORF	Growth, OD600;external pH 2.7	Growth, OD600;external pH 4.0	Growth, OD600;external pH 7.0	Vacuolar pH (pHv);external pH 2.7	Vacuolar pH (pHv);external pH 4.0	Vacuolar pH (pHv);external pH 7.0
YDR477W	100.551	81.903	103.287	5.271	5.330	5.570
YDR479C	85.480	90.355	86.638	5.307	5.336	5.616
YDR480W	95.643	97.635	93.500	5.299	5.323	5.566
YDR481C	97.173	96.007	84.062	5.292	5.323	5.550
YDR482C	99.202	100.448	92.550	5.296	5.323	5.525
YDR483W	88.093	96.502	74.575	5.293	5.327	5.518
YDR484W	NaN	NaN	NaN	NaN	NaN	NaN
YDR485C	69.018	96.619	76.213	5.299	5.326	5.470
YDR486C	78.125	94.353	92.475	5.287	5.340	5.564
YDR488C	64.680	91.878	87.312	5.292	5.327	5.568
YDR490C	60.926	89.638	73.787	5.313	5.335	5.618
YDR491C	87.899	94.848	94.562	5.291	5.325	5.587
YDR492W	82.935	89.078	78.662	5.303	5.333	5.644
YDR493W	100.162	96.957	96.750	5.279	5.322	5.584
YDR494W	98.313	98.481	95.725	5.299	5.332	5.537
YDR495C	NaN	21.657	77.013	NaN	5.359	5.570
YDR496C	86.133	87.047	75.963	5.316	5.336	5.609
YDR497C	80.446	83.478	71.275	5.319	5.340	5.504
YDR500C	94.983	91.559	88.113	5.283	5.331	5.515
YDR501W	63.818	88.167	67.925	5.309	5.333	5.623
YDR502C	107.837	103.091	97.737	5.288	5.324	5.627
YDR503C	66.529	69.908	72.013	5.316	5.337	5.634
YDR504C	96.672	97.648	85.050	5.298	5.324	5.511
YDR505C	91.361	95.434	87.237	5.319	5.325	5.492
YDR506C	87.565	77.852	79.106	5.296	5.328	5.639
YDR507C	50.137	90.107	77.213	5.307	5.348	5.599
YDR508C	35.538	100.942	93.075	5.312	5.338	5.562
YDR509W	63.317	86.982	72.400	5.310	5.337	5.646
YDR511W	93.224	101.268	95.450	5.302	5.319	5.524
YDR512C	95.122	93.721	89.831	5.288	5.325	5.543
YDR513W	93.321	98.338	95.325	5.304	5.325	5.536
YDR514C	90.554	96.697	88.912	5.298	5.327	5.552
YDR515W	100.092	99.666	91.037	5.285	5.329	5.593
YDR516C	83.158	96.515	88.075	5.301	5.325	5.517
YDR517W	79.557	94.014	83.088	5.291	5.319	5.535
YDR518W	91.903	101.099	90.050	5.304	5.323	5.502
YDR519W	86.300	93.936	78.650	5.321	5.330	5.550
YDR520C	74.913	50.126	77.487	5.300	5.340	5.652
YDR521W	93.432	99.249	93.612	5.304	5.334	5.558
YDR522C	90.221	95.251	89.775	5.300	5.332	5.585
YDR523C	86.203	93.480	91.287	5.286	5.327	5.567
YDR524C	90.109	94.874	84.862	5.327	5.330	5.534
YDR525W	79.751	89.912	83.200	5.335	5.333	5.570
YDR525W-A	105.677	107.762	105.849	4.693	4.739	5.560
YDR528W	90.082	96.697	91.750	5.302	5.326	5.527
YDR529C	NaN	NaN	NaN	NaN	NaN	NaN
YDR530C	76.428	88.310	86.737	5.311	5.332	5.504
YDR532C	76.665	88.414	89.588	5.251	5.368	5.514
YDR533C	NaN	52.861	44.500	NaN	5.336	5.570
YDR534C	62.886	87.672	78.838	5.310	5.326	5.620
YDR535C	105.538	110.001	108.163	4.910	4.818	5.630
YDR536W	100.469	105.606	103.739	4.854	4.796	5.714
YDR537C	95.713	88.909	93.925	5.284	5.331	5.598
YDR538W	106.441	105.719	104.178	4.837	4.788	5.528
YDR539W	106.111	108.508	106.396	4.883	4.820	5.557
YDR540C	105.521	100.620	100.233	4.789	4.793	5.739
YDR541C	96.875	98.028	96.179	4.812	4.857	5.851
YEL001C	NaN	NaN	NaN	NaN	NaN	NaN
YEL003W	88.359	89.061	98.508	4.944	5.057	5.751
YEL004W	97.508	97.526	100.784	4.604	4.918	5.733
YEL005C	101.136	96.191	101.467	5.386	5.073	5.819
YEL006W	100.239	96.374	103.022	5.105	4.986	5.699
YEL007W	34.937	79.922	74.496	NaN	5.040	5.780
YEL008W	96.294	95.887	103.320	4.789	4.982	5.879
YEL009C	100.538	94.524	104.427	5.015	5.105	5.880
YEL010W	107.741	94.695	104.576	5.046	4.960	5.774
YEL011W	95.546	96.033	90.725	5.315	5.356	5.679
YEL012W	95.226	92.139	94.463	5.310	5.331	5.737
YEL013W	NaN	NaN	NaN	NaN	NaN	NaN
YEL014C	106.964	101.910	107.983	5.084	4.998	5.712
YEL015W	96.996	90.886	96.344	5.261	5.098	6.013
YEL016C	NaN	NaN	NaN	NaN	NaN	NaN
YEL017C-A	101.599	96.410	102.437	4.747	4.973	5.820
YEL017W	95.741	94.244	98.893	5.108	5.069	5.927
YEL018W	101.315	98.698	99.590	5.246	4.985	5.713
YEL020C	99.208	97.372	103.967	5.104	4.974	5.739
YEL023C	95.173	96.629	99.030	4.782	5.016	5.891
YEL024W	NaN	NaN	NaN	NaN	NaN	NaN
YEL025C	NaN	NaN	NaN	NaN	NaN	NaN
YEL027W	56.231	79.632	56.255	6.078	5.751	6.113
YEL028W	100.637	96.614	93.124	5.388	5.077	5.925
YEL029C	75.702	107.910	100.733	4.445	4.658	5.733
YEL030W	99.378	102.387	93.970	5.235	5.024	5.954
YEL031W	NaN	NaN	NaN	NaN	NaN	NaN
YEL033W	84.167	90.711	98.109	5.113	5.075	5.784
YEL036C	61.440	90.889	89.125	5.264	5.355	5.510
YEL037C	99.161	100.934	106.255	5.238	4.949	5.805
YEL038W	96.380	99.883	106.176	5.320	4.959	5.673
YEL039C	98.291	101.077	110.011	5.198	4.949	5.648
YEL040W	100.124	96.783	108.146	5.234	4.944	5.729
YEL041W	95.339	93.760	103.002	5.262	4.919	5.752
YEL042W	96.147	93.422	97.844	5.181	5.005	5.594
YEL043W	99.814	96.458	103.253	5.170	4.993	5.751
YEL044W	87.037	89.274	84.550	5.251	5.360	5.462
YEL045C	NaN	NaN	NaN	NaN	NaN	NaN
YEL046C	NaN	NaN	NaN	NaN	NaN	NaN
YEL047C	96.240	101.738	97.673	5.052	4.963	5.618
YEL048C	97.343	100.143	95.967	5.216	5.058	5.694
YEL049W	102.160	101.284	103.954	5.272	4.948	5.582
YEL050C	NaN	NaN	NaN	NaN	NaN	NaN
YEL051W	97.996	91.139	102.565	5.440	4.965	5.821
YEL052W	99.161	99.611	101.917	5.266	5.016	5.826
YEL053C	103.589	96.510	103.716	5.125	5.021	5.593
YEL054C	100.124	87.260	98.638	5.143	4.987	5.657
YEL056W	104.708	97.185	96.020	5.231	5.028	5.864
YEL057C	103.620	99.377	102.248	5.231	4.967	5.621
YEL059W	79.351	89.258	100.013	5.573	5.224	5.646
YEL060C	95.991	95.589	82.293	5.556	5.074	5.785
YEL061C	96.271	88.778	100.846	5.593	5.065	5.344
YEL062W	75.886	71.445	75.946	5.014	4.984	5.588
YEL063C	97.561	98.443	100.965	5.217	4.963	5.686
YEL064C	98.571	101.375	100.489	5.237	4.995	5.705
YEL065W	98.151	99.533	103.425	5.217	4.946	5.703
YEL066W	99.285	100.065	103.531	5.244	5.006	5.748
YEL067C	102.719	99.728	101.124	5.217	4.966	5.806
YEL068C	106.961	100.337	101.957	5.252	4.959	5.648
YEL071W	106.153	98.936	94.367	5.302	5.011	5.748
YEL072W	97.902	96.873	87.199	5.264	4.989	5.976
YER001W	97.436	98.625	91.351	5.284	5.033	5.879
YER002W	95.883	91.412	93.044	5.222	5.043	5.830
YER004W	102.160	101.816	100.529	5.086	4.926	5.456
YER005W	102.300	98.703	98.889	5.075	4.991	5.733
YER007C-A	97.296	99.118	97.144	5.264	5.039	5.928
YER007W	95.168	101.142	99.577	5.254	5.025	5.783
YER010C	92.697	94.331	90.241	5.190	5.009	5.899
YER011W	98.353	96.367	103.716	5.059	4.953	5.572
YER014C-A	85.549	93.181	89.062	NaN	NaN	NaN
YER016W	95.510	96.432	103.491	5.211	5.037	5.579
YER017C	NaN	NaN	NaN	NaN	NaN	NaN
YER019C-A	109.789	100.350	105.514	5.324	4.995	5.589
YER019W	97.685	92.320	91.418	5.335	4.928	5.995
YER020W	99.922	96.406	92.621	5.191	5.067	5.856
YER024W	103.698	98.703	96.813	5.329	5.000	5.755
YER027C	100.329	106.673	98.175	5.301	5.324	5.534
YER028C	100.637	99.079	98.215	5.298	5.064	5.709
YER030W	99.239	93.124	97.170	5.324	4.969	5.869
YER031C	94.656	96.462	102.725	5.313	5.355	5.924
YER032W	100.254	103.475	96.042	4.944	4.911	5.558
YER033C	101.057	96.484	96.218	5.261	5.003	5.732
YER034W	102.657	99.935	103.742	4.870	4.838	5.448
YER035W	98.229	97.366	106.189	5.278	4.949	5.662
YER037W	100.398	101.958	93.287	5.298	5.324	5.488
YER038W-A	85.566	75.415	99.445	4.967	5.202	5.807
YER039C	103.222	102.001	89.997	4.962	4.905	5.678
YER039C-A	99.806	96.638	103.192	4.980	5.216	6.000
YER040W	96.551	90.490	78.551	5.200	4.902	5.473
YER041W	95.696	95.070	102.103	4.943	4.906	5.488
YER042W	96.939	98.832	104.761	5.289	5.001	5.515
YER044C	NaN	37.039	57.815	NaN	5.196	5.776
YER044C-A	102.067	100.039	104.562	5.204	4.991	5.509
YER045C	100.855	98.132	99.352	5.238	5.039	5.734
YER046W	106.863	102.857	107.225	5.325	5.348	5.794
YER046W-A	101.243	99.170	99.590	5.289	5.027	5.676
YER047C	82.396	84.613	89.447	5.411	5.059	5.909
YER048C	98.710	89.011	98.757	5.331	5.038	5.723
YER049W	97.825	96.536	101.018	5.273	5.021	5.765
YER050C	NaN	NaN	NaN	NaN	NaN	NaN
YER051W	95.603	99.209	99.193	5.045	4.942	5.694
YER052C	NaN	NaN	NaN	NaN	NaN	NaN
YER053C	90.833	97.794	97.223	5.272	5.069	5.864
YER054C	97.498	98.975	102.803	5.266	5.033	5.688
YER055C	103.855	96.435	102.910	5.133	4.987	5.847
YER056C	90.475	96.432	95.120	5.220	5.047	5.885
YER056C-A	96.566	97.327	104.364	5.321	4.916	5.669
YER057C	89.843	83.410	80.197	4.703	4.921	5.893
YER058W	22.965	82.239	86.194	5.162	4.858	5.749
YER059W	77.890	88.856	85.308	5.257	5.038	5.947
YER060W	91.050	93.241	88.548	5.378	5.125	5.874
YER060W-A	94.810	91.090	93.437	4.658	4.994	5.792
YER061C	78.115	77.772	84.408	4.714	4.800	5.693
YER062C	99.316	97.470	93.375	5.179	5.047	5.739
YER063W	83.519	91.566	95.300	5.310	5.362	5.951
YER064C	97.075	95.434	89.737	5.315	5.342	5.672
YER065C	95.447	94.759	94.327	5.238	5.058	5.847
YER066C-A	93.414	98.634	98.065	4.712	4.920	5.831
YER066W	88.663	98.051	98.675	5.319	5.360	5.894
YER067C-A	91.889	86.040	90.201	5.259	5.086	5.675
YER067W	89.807	97.016	90.346	5.279	5.008	5.944
YER068C-A	95.603	100.649	104.258	5.247	4.970	5.604
YER068W	89.720	90.654	87.575	NaN	5.353	5.617
YER069W	82.551	95.265	87.900	5.294	5.047	5.949
YER070W	NaN	NaN	NaN	NaN	NaN	NaN
YER071C	93.971	97.366	96.443	5.238	5.062	5.796
YER072W	92.620	91.360	97.884	5.130	4.979	5.542
YER073W	94.733	97.665	101.851	5.360	5.012	5.641
YER074W	102.284	97.989	104.113	5.327	4.980	5.583
YER075C	104.661	98.391	104.285	5.188	5.084	5.617
YER077C	NaN	NaN	NaN	NaN	NaN	NaN
YER078C	91.639	85.927	89.750	5.312	5.337	5.641
YER079W	92.319	97.607	95.574	4.833	5.026	5.811
YER080W	87.772	93.967	88.389	5.282	5.074	5.948
YER081W	83.530	90.944	84.991	5.664	5.130	6.031
YER083C	82.365	75.584	82.782	5.698	5.250	5.877
YER084W	96.131	93.072	94.975	4.935	4.935	5.619
YER085C	90.040	95.874	95.914	5.299	5.048	5.822
YER086W	NaN	NaN	NaN	NaN	NaN	NaN
YER087C-A	92.324	90.568	95.094	5.221	5.009	5.629
YER087W	94.655	87.857	97.567	5.438	4.987	5.802
YER088C	94.392	95.264	89.688	5.311	5.341	5.719
YER089C	103.499	95.368	88.287	5.280	5.327	5.581
YER090W	94.308	95.928	98.000	5.314	5.351	5.639
YER091C	100.064	99.315	98.725	5.309	5.397	5.764
YER091C-A	109.662	102.859	108.333	4.998	5.201	5.958
YER092W	NaN	NaN	NaN	NaN	NaN	NaN
YER093C-A	NaN	NaN	NaN	NaN	NaN	NaN
YER095W	NaN	NaN	NaN	NaN	NaN	NaN
YER096W	NaN	NaN	NaN	NaN	NaN	NaN
YER097W	NaN	NaN	NaN	NaN	NaN	NaN
YER098W	NaN	NaN	NaN	NaN	NaN	NaN
YER101C	97.047	102.974	88.963	5.265	5.328	5.545
YER103W	108.031	105.058	93.338	5.265	5.328	5.542
YER106W	101.580	99.901	92.938	5.266	5.331	5.560
YER108C	97.687	99.888	101.688	5.292	5.343	5.569
YER109C	88.330	98.416	95.062	5.298	5.342	5.531
YER110C	84.075	84.546	73.888	5.384	5.351	5.616
YER111C	39.890	90.120	85.900	5.279	5.331	5.486
YER113C	95.893	103.078	93.250	5.294	5.327	5.527
YER114C	87.662	98.286	90.737	5.283	5.327	5.584
YER115C	103.054	103.768	91.013	5.294	5.326	5.529
YER116C	96.575	102.648	91.900	5.297	5.324	5.525
YER117W	81.600	96.632	93.275	5.319	5.337	5.600
YER118C	102.581	98.142	88.000	5.292	5.333	5.549
YER119C	98.716	96.814	91.275	5.294	5.328	5.552
YER119C-A	99.453	97.348	88.037	5.291	5.333	5.563
YER120W	84.576	104.029	106.525	5.294	5.348	5.681
YER121W	98.146	99.848	105.775	5.297	5.326	5.563
YER122C	105.529	100.031	106.825	5.314	5.337	NaN
YER123W	83.019	98.950	95.912	5.288	5.344	5.558
YER124C	99.077	103.117	97.287	5.301	5.321	5.553
YER128W	96.936	100.083	93.025	5.298	5.326	5.557
YER129W	95.657	98.377	88.713	5.303	5.335	5.633
YER130C	86.244	101.802	93.562	5.325	5.328	5.566
YER131W	96.310	98.885	91.600	5.296	5.318	5.537
YER132C	97.673	105.683	99.100	5.294	5.328	5.545
YER134C	105.181	98.950	96.312	5.301	5.330	5.569
YER135C	104.722	103.365	100.375	5.292	5.337	5.568
YER137C	95.254	106.412	101.875	5.292	5.333	5.579
YER139C	92.028	107.024	96.912	5.296	5.352	5.605
YER140W	100.217	108.483	102.037	5.297	5.339	5.559
YER141W	100.037	106.334	100.463	5.305	5.328	5.561
YER142C	101.538	110.944	99.412	5.290	5.329	5.558
YER143W	91.931	108.587	96.200	5.299	5.336	5.589
YER144C	96.933	95.530	100.938	5.119	5.199	6.071
YER145C	101.524	106.373	96.575	5.294	5.335	5.568
YER149C	100.760	107.324	92.888	5.295	5.331	5.563
YER150W	94.406	102.648	97.888	5.290	5.332	5.554
YER151C	80.293	99.354	81.250	5.314	5.344	5.683
YER152C	98.479	102.987	91.900	5.290	5.331	5.558
YER153C	94.795	100.838	92.800	5.298	5.336	5.585
YER154W	97.367	94.900	92.075	5.280	5.353	5.665
YER155C	NaN	54.958	23.012	NaN	NaN	NaN
YER156C	101.205	102.727	99.350	NaN	5.345	5.486
YER158C	102.581	98.455	94.775	5.287	5.323	5.543
YER161C	112.898	104.901	94.900	5.292	5.316	5.382
YER162C	104.361	98.911	86.287	5.295	5.329	5.540
YER163C	104.583	97.439	93.213	5.285	5.326	5.570
YER164W	104.986	98.429	85.750	5.288	5.328	5.574
YER166W	94.642	99.445	87.300	5.327	5.336	5.588
YER167W	86.467	93.780	87.100	5.287	5.324	5.505
YER169W	90.471	98.181	85.100	5.334	5.338	5.604
YER170W	112.731	104.224	98.612	5.264	5.341	5.586
YER173W	106.154	104.993	98.200	5.254	5.326	5.568
YER174C	108.031	102.219	99.875	5.254	5.317	5.583
YER175C	106.836	103.326	98.300	5.254	5.317	5.580
YER176W	106.196	102.818	96.475	5.256	5.317	5.543
YER177W	88.330	98.637	82.250	5.237	5.337	5.644
YER178W	101.246	96.853	88.963	5.256	5.322	5.550
YER179W	104.625	100.317	89.888	5.260	5.319	5.556
YER180C	108.407	102.792	89.763	5.256	5.327	5.552
YER181C	107.531	101.854	90.213	5.260	5.323	5.562
YER182W	98.521	98.715	92.125	5.261	5.327	5.562
YER183C	108.546	102.036	94.812	5.258	5.326	5.509
YER184C	108.212	110.775	101.275	5.262	5.337	5.553
YER185W	81.156	108.092	99.625	5.267	5.331	5.547
YER186C	106.405	105.566	102.650	5.274	5.324	5.516
YER187W	106.168	106.399	98.975	5.267	5.327	5.544
YER188W	87.405	93.527	96.308	5.210	5.208	6.171
YFL001W	89.192	96.462	90.263	5.286	5.334	5.485
YFL003C	113.495	108.001	101.325	5.253	5.326	5.597
YFL004W	103.693	102.101	99.862	5.255	5.321	5.595
YFL006W	94.620	97.994	105.402	4.874	4.816	5.702
YFL007W	106.891	104.446	99.062	5.262	5.317	5.555
YFL010C	103.318	107.050	95.638	5.251	5.327	5.581
YFL010W-A	105.946	105.266	95.900	5.253	5.314	5.564
YFL011W	110.157	102.242	105.876	4.780	4.816	5.774
YFL012W	106.238	106.477	94.312	5.251	5.312	5.567
YFL013C	93.975	102.818	88.850	5.254	5.321	5.635
YFL013W-A	70.144	95.655	86.750	5.296	5.314	5.589
YFL014W	102.011	97.569	95.513	5.284	5.311	5.502
YFL015C	101.401	99.358	105.327	4.807	4.849	5.790
YFL016C	84.047	91.982	89.463	5.272	5.350	5.456
YFL018C	113.065	117.726	109.306	5.013	4.910	5.733
YFL019C	85.354	89.209	87.575	5.288	5.315	5.549
YFL020C	94.244	98.872	101.385	4.867	4.885	5.784
YFL021W	91.652	93.811	91.779	5.012	4.957	5.871
YFL023W	91.350	96.735	95.347	4.867	4.988	5.850
YFL025C	82.685	98.427	103.356	5.046	4.878	5.686
YFL026W	87.327	94.493	96.794	4.939	4.918	5.954
YFL027C	99.292	99.803	103.368	4.766	4.846	5.780
YFL028C	91.139	89.681	96.557	4.936	4.950	5.890
YFL030W	96.097	99.331	103.955	4.843	4.870	5.809
YFL031W	95.841	96.460	102.008	5.006	4.886	5.803
YFL032W	101.010	97.024	103.680	4.986	4.877	5.770
YFL033C	102.484	104.719	89.737	5.240	5.335	5.625
YFL034C-A	95.995	95.190	102.351	5.079	5.216	6.112
YFL034W	100.648	95.555	101.085	4.934	4.943	5.889
YFL035C-B	97.649	94.297	105.277	4.837	4.883	5.792
YFL036W	NaN	NaN	NaN	NaN	NaN	NaN
YFL040W	82.203	88.528	90.220	5.150	4.983	6.008
YFL041W	96.293	96.801	101.747	4.937	4.922	5.826
YFL042C	95.977	89.808	88.450	5.290	5.318	5.511
YFL043C	98.192	92.566	102.233	4.995	4.943	5.858
YFL044C	96.579	94.179	106.287	4.835	4.860	5.827
YFL046W	97.288	94.165	105.689	4.834	4.846	5.806
YFL047W	86.739	89.708	95.958	4.970	4.902	5.963
YFL048C	94.982	94.637	103.743	4.824	4.865	5.800
YFL049W	94.801	92.894	101.796	5.004	4.916	5.894
YFL050C	101.959	96.617	104.429	4.784	4.858	5.787
YFL051C	83.936	88.777	92.764	5.168	5.040	6.036
YFL052W	83.574	87.413	95.459	5.116	5.006	6.009
YFL053W	89.813	91.045	102.882	5.014	4.957	5.932
YFL054C	97.272	92.907	98.827	5.002	4.931	5.902
YFL055W	106.239	96.460	99.526	4.846	4.920	5.828
YFL056C	99.458	97.483	99.339	5.166	4.973	5.834
YFL063W	109.672	105.930	103.487	5.270	5.318	5.572
YFR001W	97.092	94.742	95.259	4.909	4.802	5.839
YFR006W	100.316	95.608	99.638	4.893	4.881	5.822
YFR007W	103.180	91.884	95.933	4.844	4.891	5.848
YFR008W	97.122	97.509	100.299	4.830	4.857	5.814
YFR009W	101.854	94.297	101.747	4.921	4.983	5.884
YFR010W	95.268	87.020	99.938	4.064	4.937	6.070
YFR011C	84.478	86.708	87.550	5.298	5.332	6.004
YFR012W	102.260	96.132	102.258	4.796	4.805	5.762
YFR013W	85.799	88.232	89.250	5.290	5.328	5.980
YFR014C	97.529	96.093	98.553	4.947	4.962	5.905
YFR015C	98.463	96.421	101.771	4.843	4.874	5.822
YFR016C	102.547	97.312	101.110	4.804	4.845	5.802
YFR017C	98.162	94.270	103.643	4.826	4.885	5.825
YFR018C	93.626	91.963	101.148	4.922	4.923	5.877
YFR019W	57.853	82.189	78.737	5.300	5.317	5.494
YFR020W	97.649	93.628	109.232	4.832	4.841	5.804
YFR021W	93.460	89.616	104.915	4.888	4.885	5.869
YFR022W	96.519	91.320	104.266	4.848	4.862	5.826
YFR023W	104.762	95.922	103.805	4.883	4.851	5.775
YFR024C	97.200	99.575	88.075	5.287	5.310	5.463
YFR024C-A	100.311	104.602	113.955	5.011	4.915	5.605
YFR025C	87.982	96.892	87.287	5.282	5.318	5.515
YFR026C	98.932	105.494	112.136	4.917	4.848	5.599
YFR030W	91.458	97.648	92.300	5.281	5.318	5.558
YFR031C-A	95.967	106.833	114.803	4.830	4.843	5.561
YFR032C	94.462	94.346	102.753	5.052	5.213	6.090
YFR032C-A	96.740	93.074	104.423	4.998	5.194	6.039
YFR033C	92.839	90.870	99.379	5.014	5.149	6.098
YFR034C	99.107	94.635	106.104	4.997	5.123	6.015
YFR035C	102.322	97.595	107.176	4.976	5.228	5.966
YFR036W	99.166	98.136	104.301	5.028	5.166	5.995
YFR038W	99.464	97.393	100.670	4.967	5.195	5.992
YFR039C	96.436	96.371	95.438	5.289	5.330	5.580
YFR040W	78.577	80.821	93.007	4.670	5.138	6.105
YFR041C	95.042	96.461	101.827	5.073	5.219	6.060
YFR043C	106.149	100.025	103.692	5.104	5.231	6.008
YFR044C	106.342	98.514	101.474	4.996	5.200	6.022
YFR045W	106.387	99.043	101.693	5.049	5.201	6.044
YFR046C	103.231	101.562	101.109	5.197	5.280	6.097
YFR047C	111.329	97.242	100.268	5.105	5.200	6.068
YFR048W	110.153	95.303	98.099	5.181	5.222	6.105
YFR049W	98.779	97.746	102.839	5.045	5.191	6.059
YFR053C	114.233	99.081	102.083	5.084	5.221	6.002
YFR054C	108.173	100.680	102.985	5.028	5.216	6.007
YFR055W	97.067	97.305	97.295	5.109	5.207	6.121
YFR056C	91.589	97.280	98.684	5.114	5.254	6.122
YFR057W	98.050	100.957	97.758	5.139	5.228	6.137
YGL002W	102.334	97.825	101.017	5.015	5.066	5.983
YGL003C	89.224	89.220	88.212	5.281	5.223	6.068
YGL004C	98.099	96.090	98.766	5.132	5.078	6.060
YGL005C	95.831	95.020	97.065	5.144	5.337	6.032
YGL006W	96.880	94.830	98.230	5.039	5.110	6.008
YGL007W	42.777	76.301	89.252	4.021	5.084	6.088
YGL010W	89.539	95.923	89.595	5.139	5.181	6.118
YGL012W	93.537	97.278	91.959	5.775	5.861	6.222
YGL013C	99.594	101.604	98.686	4.986	5.127	5.968
YGL014W	95.752	96.114	97.464	4.874	5.082	6.023
YGL015C	98.597	103.601	98.698	4.970	5.069	5.925
YGL016W	88.332	89.411	91.742	5.260	5.097	6.122
YGL017W	NaN	NaN	NaN	NaN	NaN	NaN
YGL019W	92.541	93.309	97.601	5.063	5.347	6.075
YGL020C	95.991	91.318	92.775	5.271	5.309	5.656
YGL021W	99.882	99.358	99.703	5.035	5.108	5.949
YGL023C	103.860	111.869	107.787	5.275	5.306	5.528
YGL024W	88.700	100.178	92.107	4.973	5.263	6.165
YGL025C	87.598	99.002	91.845	5.048	5.250	6.170
YGL026C	96.631	91.253	89.754	5.026	5.164	6.127
YGL027C	92.711	90.754	95.454	5.107	5.262	5.855
YGL028C	93.865	92.132	95.523	5.049	5.096	5.987
YGL029W	88.010	85.471	90.487	5.236	5.346	5.722
YGL031C	90.836	90.242	93.547	5.121	5.146	6.108
YGL032C	93.970	96.090	96.870	5.030	5.125	6.019
YGL033W	101.127	100.630	97.796	4.954	5.124	5.986
YGL034C	96.762	99.382	100.583	4.879	5.070	5.899
YGL035C	97.457	101.616	106.054	4.916	5.123	5.846
YGL036W	91.741	96.850	94.483	4.976	5.120	6.048
YGL037C	100.524	99.845	100.548	4.992	4.989	5.930
YGL038C	91.055	93.597	90.875	NaN	NaN	NaN
YGL039W	96.749	95.900	98.709	4.915	5.093	6.004
YGL041C	96.067	93.855	96.710	5.058	5.183	6.068
YGL042C	102.032	95.971	97.122	5.099	5.114	6.059
YGL043W	105.165	96.173	96.779	5.046	5.136	6.056
YGL045W	97.627	91.336	91.947	5.032	5.111	6.090
YGL046W	103.238	95.008	94.380	4.955	5.093	6.025
YGL049C	99.345	97.504	96.996	4.951	5.041	5.982
YGL050W	101.324	98.526	93.935	5.039	5.119	6.024
YGL051W	105.167	98.794	103.250	5.286	5.308	5.728
YGL053W	94.717	99.584	94.906	5.229	5.202	6.088
YGL054C	93.209	97.587	92.907	4.883	5.105	5.988
YGL056C	95.988	104.267	98.389	4.958	5.080	5.974
YGL057C	95.281	99.750	97.236	5.000	5.102	5.967
YGL058W	77.635	84.942	82.718	4.791	5.132	6.087
YGL059W	96.709	97.195	99.726	5.019	5.115	5.930
YGL060W	89.722	93.047	94.415	5.253	5.172	6.012
YGL062W	96.631	97.671	98.252	5.021	5.111	5.916
YGL063W	96.146	95.876	98.115	5.017	5.049	5.928
YGL064C	95.215	97.088	95.557	5.045	5.096	5.997
YGL066W	85.815	91.181	89.960	5.109	5.207	6.182
YGL067W	94.127	96.114	94.654	5.065	5.093	6.035
YGL070C	50.000	70.989	68.441	4.652	5.185	6.171
YGL071W	83.416	95.995	88.852	4.874	5.093	6.022
YGL072C	85.488	95.056	75.488	5.014	5.138	6.110
YGL076C	79.811	96.993	96.117	5.101	5.188	6.008
YGL077C	96.093	97.718	99.383	5.029	5.074	5.946
YGL078C	95.897	94.414	100.240	4.956	5.181	5.958
YGL079W	99.358	96.767	97.693	5.381	5.291	6.051
YGL080W	88.870	97.730	95.066	4.998	5.158	6.028
YGL081W	97.719	101.402	95.568	5.038	5.145	6.029
YGL082W	99.436	102.104	95.808	5.010	5.104	5.990
YGL083W	98.558	103.993	94.963	5.049	5.132	5.997
YGL084C	79.208	98.514	97.030	5.212	5.248	5.832
YGL085W	94.481	102.151	97.224	4.993	5.105	5.960
YGL086W	92.383	101.676	96.082	4.966	5.035	6.005
YGL087C	88.398	100.261	98.618	4.764	5.014	6.009
YGL088W	95.212	55.973	95.713	5.292	5.315	5.724
YGL089C	91.361	94.711	94.997	5.075	5.070	6.046
YGL090W	105.742	101.509	100.340	4.714	4.902	5.890
YGL094C	109.575	53.447	107.338	5.283	5.309	5.755
YGL095C	NaN	71.862	89.300	NaN	5.335	5.744
YGL096W	103.415	100.239	104.175	5.282	5.315	5.749
YGL101W	85.938	96.710	83.338	5.300	5.334	5.569
YGL104C	86.773	94.327	82.275	5.300	5.333	5.522
YGL105W	93.099	99.315	106.713	5.299	5.331	5.586
YGL107C	105.529	98.794	105.775	5.301	5.332	5.533
YGL108C	95.031	97.348	103.662	5.307	5.328	5.527
YGL109W	91.750	93.519	93.000	5.302	5.325	5.568
YGL110C	92.765	97.491	92.875	5.296	5.331	5.576
YGL114W	91.555	92.360	83.950	5.307	5.333	5.599
YGL115W	90.290	96.944	91.237	5.298	5.323	5.535
YGL117W	88.733	96.684	87.562	5.298	5.324	5.544
YGL118C	91.514	96.488	86.388	5.295	5.328	5.551
YGL121C	83.046	93.806	88.412	5.306	5.329	5.614
YGL124C	61.037	99.041	94.950	5.281	5.351	5.530
YGL126W	92.237	112.077	103.763	5.286	5.340	5.710
YGL127C	90.791	94.691	113.263	5.301	5.346	5.686
YGL129C	88.983	98.168	100.000	5.249	5.325	5.598
YGL131C	105.640	106.920	104.900	5.251	5.330	5.607
YGL132W	104.931	106.647	110.550	5.256	5.313	5.590
YGL133W	106.196	109.433	109.537	5.263	5.335	5.385
YGL135W	75.580	88.154	98.500	5.267	5.329	5.700
YGL136C	84.937	98.898	103.725	5.252	5.322	5.543
