ORF	Growth, OD600;external pH 2.7	Growth, OD600;external pH 4.0	Growth, OD600;external pH 7.0	Vacuolar pH (pHv);external pH 2.7	Vacuolar pH (pHv);external pH 4.0	Vacuolar pH (pHv);external pH 7.0
YBL032W	NaN	43.496	31.701	NaN	5.204	6.169
YBL033C	NaN	NaN	NaN	NaN	NaN	NaN
YBL036C	94.968	93.301	98.648	4.896	5.127	6.065
YBL037W	83.177	90.404	88.462	5.172	5.220	6.187
YBL038W	95.787	92.822	99.074	5.055	5.200	6.019
YBL039C	94.700	91.941	97.978	5.073	5.215	6.019
YBL042C	94.685	96.310	98.952	5.124	5.259	6.054
YBL043W	96.308	92.041	97.685	5.056	5.186	6.052
YBL044W	102.322	95.643	102.205	4.631	5.117	6.025
YBL045C	94.581	93.905	95.797	5.277	5.202	6.134
YBL046W	NaN	NaN	NaN	NaN	NaN	NaN
YBL047C	95.757	96.474	92.434	4.990	5.236	6.263
YBL048W	95.296	94.220	97.186	5.138	5.225	6.142
YBL049W	101.563	96.751	101.206	5.046	5.233	6.071
YBL051C	95.995	93.162	93.738	5.143	5.213	6.104
YBL052C	96.888	93.918	99.366	5.151	5.204	6.088
YBL053W	93.405	91.399	99.123	4.966	5.055	6.039
YBL054W	95.638	91.185	96.211	5.034	5.191	6.053
YBL055C	100.566	95.001	100.585	4.936	5.055	6.027
YBL056W	99.790	96.375	100.468	5.005	5.161	5.975
YBL057C	96.251	94.319	98.903	5.009	5.039	6.031
YBL058W	66.859	73.425	70.051	4.911	5.275	6.312
YBL059W	99.515	96.518	99.212	5.001	5.136	5.971
YBL060W	95.739	91.265	91.513	5.017	5.091	6.011
YBL061C	99.227	99.334	95.797	4.969	5.169	6.067
YBL062W	90.614	90.492	93.969	4.860	5.007	6.088
YBL063W	98.597	97.837	101.028	5.026	5.117	5.981
YBL064C	100.642	96.779	99.235	4.923	5.103	6.006
YBL065W	99.069	97.112	99.063	4.974	5.081	6.018
YBL066C	98.099	97.884	99.315	5.042	5.156	5.979
YBL067C	96.460	93.558	92.907	5.134	5.257	6.118
YBL068W	99.712	99.263	100.994	5.030	5.185	5.934
YBL069W	101.429	96.637	96.985	5.106	5.133	5.995
YBL070C	101.363	97.255	97.590	5.032	5.119	5.980
YBL071C	94.861	92.715	89.720	5.086	5.171	6.183
YBL072C	104.680	108.415	109.549	5.177	5.269	5.963
YBL075C	101.534	95.626	95.660	5.062	5.146	6.020
YBL078C	96.395	94.711	94.894	5.126	5.120	6.029
YBL079W	85.435	82.696	84.557	4.918	5.189	6.131
YBL080C	96.736	93.915	96.916	5.043	4.995	5.905
YBL081W	96.841	93.701	96.105	5.047	5.095	6.076
YBL082C	77.399	92.750	96.893	5.477	5.170	5.918
YBL083C	73.689	91.704	91.993	5.199	5.469	6.018
YBL085W	99.659	96.114	97.579	5.140	5.195	6.008
YBL086C	105.506	101.248	98.664	5.160	5.181	6.015
YBL087C	94.769	92.215	96.630	5.141	5.126	6.061
YBL088C	103.736	100.309	99.966	5.085	5.093	5.968
YBL089W	104.667	100.986	100.605	5.044	5.118	5.967
YBL090W	99.882	95.341	97.556	5.016	4.957	5.933
YBL091C	102.006	97.100	99.452	5.075	5.095	6.023
YBL091C-A	102.359	98.286	104.325	5.292	5.331	5.680
YBL093C	88.385	84.872	90.125	NaN	5.365	5.662
YBL094C	99.685	97.611	99.475	5.064	5.050	5.972
YBL095W	105.807	98.012	102.537	5.314	5.319	5.722
YBL096C	101.344	58.786	103.638	5.314	5.326	5.750
YBL098W	97.061	57.315	101.812	5.304	5.339	5.949
YBL099W	91.277	87.164	101.150	NaN	NaN	NaN
YBL100C	98.938	92.113	101.338	NaN	5.333	5.773
YBL101C	101.928	101.867	105.825	5.320	5.316	5.767
YBL102W	101.288	97.856	101.025	5.292	5.325	5.875
YBL103C	74.579	68.163	75.862	5.303	5.329	5.698
YBL104C	107.392	108.548	103.475	5.303	5.302	5.660
YBL106C	101.594	98.364	100.463	5.317	5.319	5.795
YBL107C	107.739	98.885	103.487	5.319	5.314	5.787
